Austria, Life tables (period 1x1), Males     Last modified: 06-Jan-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10430  0.09744  0.32  100000    9744   93422  5869408  58.69
  1947           1     0.00777  0.00774  0.50   90256     698   89906  5775986  64.00
  1947           2     0.00484  0.00483  0.50   89557     432   89341  5686080  63.49
  1947           3     0.00345  0.00344  0.50   89125     307   88972  5596739  62.80
  1947           4     0.00267  0.00266  0.50   88818     237   88700  5507767  62.01
  1947           5     0.00197  0.00197  0.50   88581     174   88494  5419067  61.18
  1947           6     0.00149  0.00148  0.50   88407     131   88342  5330573  60.30
  1947           7     0.00174  0.00174  0.50   88276     153   88199  5242231  59.38
  1947           8     0.00150  0.00149  0.50   88123     132   88057  5154032  58.49
  1947           9     0.00098  0.00098  0.50   87991      86   87948  5065976  57.57
  1947          10     0.00134  0.00134  0.50   87905     117   87846  4978028  56.63
  1947          11     0.00163  0.00163  0.50   87787     143   87716  4890182  55.70
  1947          12     0.00104  0.00104  0.50   87644      91   87598  4802466  54.80
  1947          13     0.00108  0.00108  0.50   87553      95   87505  4714868  53.85
  1947          14     0.00147  0.00147  0.50   87458     128   87394  4627363  52.91
  1947          15     0.00169  0.00169  0.50   87330     148   87256  4539969  51.99
  1947          16     0.00161  0.00161  0.50   87182     140   87112  4452713  51.07
  1947          17     0.00235  0.00235  0.50   87042     204   86940  4365601  50.16
  1947          18     0.00256  0.00255  0.50   86837     222   86727  4278662  49.27
  1947          19     0.00317  0.00317  0.50   86616     274   86479  4191935  48.40
  1947          20     0.00326  0.00325  0.50   86342     281   86201  4105456  47.55
  1947          21     0.00313  0.00313  0.50   86061     269   85926  4019255  46.70
  1947          22     0.00380  0.00379  0.50   85792     325   85629  3933329  45.85
  1947          23     0.00383  0.00383  0.50   85466     327   85303  3847700  45.02
  1947          24     0.00354  0.00353  0.50   85139     301   84989  3762397  44.19
  1947          25     0.00337  0.00337  0.50   84839     286   84696  3677408  43.35
  1947          26     0.00338  0.00338  0.50   84553     286   84411  3592712  42.49
  1947          27     0.00386  0.00386  0.50   84268     325   84105  3508301  41.63
  1947          28     0.00306  0.00305  0.50   83943     256   83815  3424196  40.79
  1947          29     0.00296  0.00296  0.50   83687     247   83563  3340381  39.92
  1947          30     0.00381  0.00381  0.50   83439     318   83280  3256818  39.03
  1947          31     0.00322  0.00322  0.50   83122     268   82988  3173538  38.18
  1947          32     0.00399  0.00398  0.50   82854     330   82689  3090550  37.30
  1947          33     0.00336  0.00336  0.50   82524     277   82386  3007861  36.45
  1947          34     0.00409  0.00408  0.50   82247     336   82079  2925475  35.57
  1947          35     0.00334  0.00333  0.50   81912     273   81775  2843396  34.71
  1947          36     0.00435  0.00434  0.50   81639     354   81462  2761620  33.83
  1947          37     0.00446  0.00445  0.50   81285     362   81104  2680159  32.97
  1947          38     0.00513  0.00512  0.50   80923     414   80716  2599055  32.12
  1947          39     0.00490  0.00489  0.50   80509     393   80312  2518339  31.28
  1947          40     0.00507  0.00505  0.50   80115     405   79913  2438027  30.43
  1947          41     0.00503  0.00502  0.50   79710     400   79510  2358114  29.58
  1947          42     0.00583  0.00581  0.50   79310     461   79080  2278604  28.73
  1947          43     0.00606  0.00604  0.50   78849     476   78611  2199524  27.90
  1947          44     0.00640  0.00638  0.50   78373     500   78123  2120913  27.06
  1947          45     0.00725  0.00722  0.50   77873     562   77592  2042790  26.23
  1947          46     0.00804  0.00800  0.50   77311     619   77001  1965198  25.42
  1947          47     0.00835  0.00831  0.50   76692     638   76373  1888197  24.62
  1947          48     0.00964  0.00960  0.50   76054     730   75689  1811824  23.82
  1947          49     0.00946  0.00942  0.50   75324     709   74970  1736134  23.05
  1947          50     0.01139  0.01132  0.50   74615     845   74193  1661165  22.26
  1947          51     0.01153  0.01146  0.50   73770     846   73348  1586972  21.51
