Belgium, Life tables (period 1x1), Females     Last modified: 04-Feb-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1841           0     0.15159  0.13799  0.35  100000   13799   91030  4033177  40.33
  1841           1     0.07492  0.07221  0.50   86201    6225   83088  3942147  45.73
  1841           2     0.04170  0.04085  0.50   79976    3267   78342  3859059  48.25
  1841           3     0.02546  0.02514  0.50   76708    1928   75744  3780717  49.29
  1841           4     0.01848  0.01831  0.50   74780    1370   74095  3704972  49.54
  1841           5     0.01392  0.01382  0.50   73411    1015   72903  3630877  49.46
  1841           6     0.01283  0.01274  0.50   72396     923   71935  3557974  49.15
  1841           7     0.01094  0.01088  0.50   71473     777   71084  3486039  48.77
  1841           8     0.00881  0.00877  0.50   70696     620   70386  3414955  48.30
  1841           9     0.00814  0.00811  0.50   70076     568   69792  3344569  47.73
  1841          10     0.00739  0.00737  0.50   69508     512   69252  3274777  47.11
  1841          11     0.00676  0.00674  0.50   68995     465   68763  3205526  46.46
  1841          12     0.00650  0.00648  0.50   68531     444   68309  3136763  45.77
  1841          13     0.00690  0.00687  0.50   68086     468   67852  3068454  45.07
  1841          14     0.00747  0.00744  0.50   67618     503   67367  3000602  44.38
  1841          15     0.00817  0.00814  0.50   67115     546   66842  2933235  43.70
  1841          16     0.00883  0.00879  0.50   66569     585   66276  2866393  43.06
  1841          17     0.00909  0.00905  0.50   65984     597   65685  2800117  42.44
  1841          18     0.00924  0.00919  0.50   65386     601   65086  2734432  41.82
  1841          19     0.00922  0.00918  0.50   64785     595   64488  2669346  41.20
  1841          20     0.00920  0.00916  0.50   64191     588   63897  2604858  40.58
  1841          21     0.00925  0.00920  0.50   63603     585   63310  2540961  39.95
  1841          22     0.00938  0.00934  0.50   63018     589   62723  2477651  39.32
  1841          23     0.00990  0.00985  0.50   62429     615   62122  2414927  38.68
  1841          24     0.00936  0.00932  0.50   61814     576   61526  2352806  38.06
  1841          25     0.00945  0.00941  0.50   61238     576   60950  2291279  37.42
  1841          26     0.01026  0.01020  0.50   60662     619   60353  2230329  36.77
  1841          27     0.01015  0.01010  0.50   60043     606   59740  2169976  36.14
  1841          28     0.01047  0.01042  0.50   59437     619   59127  2110237  35.50
  1841          29     0.01040  0.01035  0.50   58818     609   58513  2051109  34.87
  1841          30     0.01010  0.01004  0.50   58209     585   57916  1992596  34.23
  1841          31     0.01053  0.01048  0.50   57624     604   57322  1934680  33.57
  1841          32     0.01089  0.01083  0.50   57020     618   56712  1877357  32.92
  1841          33     0.01108  0.01102  0.50   56403     621   56092  1820646  32.28
  1841          34     0.01058  0.01052  0.50   55781     587   55488  1764554  31.63
  1841          35     0.01110  0.01103  0.50   55195     609   54890  1709066  30.96
  1841          36     0.01264  0.01256  0.50   54586     686   54243  1654176  30.30
  1841          37     0.01293  0.01284  0.50   53900     692   53554  1599933  29.68
  1841          38     0.01342  0.01333  0.50   53208     709   52853  1546379  29.06
  1841          39     0.01307  0.01298  0.50   52498     681   52158  1493526  28.45
  1841          40     0.01275  0.01267  0.50   51817     656   51489  1441368  27.82
  1841          41     0.01369  0.01360  0.50   51161     696   50813  1389879  27.17
  1841          42     0.01442  0.01432  0.50   50465     723   50104  1339067  26.53
  1841          43     0.01428  0.01418  0.50   49742     705   49390  1288963  25.91
  1841          44     0.01276  0.01268  0.50   49037     622   48726  1239573  25.28
  1841          45     0.01254  0.01246  0.50   48415     603   48114  1190847  24.60
  1841          46     0.01409  0.01399  0.50   47812     669   47478  1142733  23.90
