Bulgaria, Life tables (period 1x1), Females     Last modified: 18-Apr-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.13506  0.12416  0.35  100000   12416   91929  5570344  55.70
  1947           1     0.03141  0.03092  0.50   87584    2708   86229  5478414  62.55
  1947           2     0.01404  0.01394  0.50   84875    1183   84284  5392185  63.53
  1947           3     0.00699  0.00697  0.50   83692     583   83400  5307901  63.42
  1947           4     0.00495  0.00494  0.50   83109     411   82904  5224501  62.86
  1947           5     0.00364  0.00363  0.50   82698     300   82548  5141597  62.17
  1947           6     0.00277  0.00277  0.50   82398     228   82284  5059049  61.40
  1947           7     0.00232  0.00231  0.50   82170     190   82075  4976765  60.57
  1947           8     0.00204  0.00204  0.50   81980     167   81896  4894690  59.71
  1947           9     0.00179  0.00179  0.50   81813     146   81740  4812794  58.83
  1947          10     0.00206  0.00206  0.50   81667     168   81582  4731055  57.93
  1947          11     0.00167  0.00166  0.50   81498     136   81431  4649472  57.05
  1947          12     0.00208  0.00208  0.50   81363     169   81278  4568042  56.14
  1947          13     0.00207  0.00207  0.50   81193     168   81110  4486763  55.26
  1947          14     0.00266  0.00266  0.50   81026     215   80918  4405654  54.37
  1947          15     0.00283  0.00282  0.50   80810     228   80696  4324736  53.52
  1947          16     0.00307  0.00307  0.50   80582     247   80458  4244040  52.67
  1947          17     0.00468  0.00467  0.50   80335     375   80147  4163581  51.83
  1947          18     0.00445  0.00444  0.50   79960     355   79782  4083434  51.07
  1947          19     0.00479  0.00477  0.50   79605     380   79415  4003652  50.29
  1947          20     0.00536  0.00535  0.50   79225     424   79013  3924236  49.53
  1947          21     0.00456  0.00455  0.50   78802     358   78622  3845223  48.80
  1947          22     0.00496  0.00495  0.50   78443     388   78249  3766601  48.02
  1947          23     0.00520  0.00519  0.50   78055     405   77852  3688352  47.25
  1947          24     0.00471  0.00470  0.50   77650     365   77467  3610499  46.50
  1947          25     0.00457  0.00456  0.50   77285     353   77108  3533032  45.71
  1947          26     0.00464  0.00463  0.50   76932     356   76754  3455924  44.92
  1947          27     0.00486  0.00485  0.50   76576     371   76390  3379170  44.13
  1947          28     0.00481  0.00480  0.50   76205     365   76022  3302780  43.34
  1947          29     0.00446  0.00445  0.50   75839     337   75671  3226758  42.55
  1947          30     0.00511  0.00509  0.50   75502     385   75310  3151087  41.74
  1947          31     0.00440  0.00439  0.50   75117     330   74952  3075778  40.95
  1947          32     0.00386  0.00385  0.50   74787     288   74643  3000825  40.12
  1947          33     0.00356  0.00356  0.50   74499     265   74367  2926182  39.28
  1947          34     0.00432  0.00431  0.50   74234     320   74074  2851815  38.42
  1947          35     0.00447  0.00446  0.50   73914     330   73749  2777741  37.58
  1947          36     0.00377  0.00376  0.50   73584     277   73446  2703992  36.75
  1947          37     0.00455  0.00454  0.50   73307     333   73141  2630546  35.88
  1947          38     0.00488  0.00486  0.50   72975     355   72797  2557405  35.05
  1947          39     0.00416  0.00415  0.50   72620     302   72469  2484608  34.21
  1947          40     0.00457  0.00456  0.50   72318     330   72154  2412139  33.35
  1947          41     0.00411  0.00411  0.50   71989     296   71841  2339985  32.50
  1947          42     0.00498  0.00497  0.50   71693     356   71515  2268144  31.64
  1947          43     0.00496  0.00495  0.50   71337     353   71160  2196629  30.79
  1947          44     0.00480  0.00479  0.50   70984     340   70814  2125469  29.94
  1947          45     0.00528  0.00527  0.50   70644     372   70458  2054654  29.08
  1947          46     0.00514  0.00513  0.50   70272     361   70092  1984196  28.24
  1947          47     0.00550  0.00548  0.50   69911     383   69720  1914105  27.38
  1947          48     0.00588  0.00586  0.50   69528     407   69324  1844385  26.53
  1947          49     0.00675  0.00672  0.50   69121     465   68888  1775061  25.68
  1947          50     0.00754  0.00751  0.50   68656     516   68398  1706172  24.85
  1947          51     0.00825  0.00822  0.50   68140     560   67860  1637774  24.04
  1947          52     0.00905  0.00901  0.50   67580     609   67276  1569914  23.23
  1947          53     0.00950  0.00946  0.50   66972     634   66655  1502638  22.44
  1947          54     0.00938  0.00933  0.50   66338     619   66028  1435983  21.65
  1947          55     0.01206  0.01199  0.50   65719     788   65325  1369955  20.85
  1947          56     0.00989  0.00984  0.50   64931     639   64611  1304630  20.09
  1947          57     0.01181  0.01174  0.50   64292     755   63915  1240018  19.29
  1947          58     0.01189  0.01182  0.50   63537     751   63162  1176104  18.51
  1947          59     0.01435  0.01425  0.50   62786     895   62339  1112942  17.73
  1947          60     0.01759  0.01743  0.50   61892    1079   61352  1050603  16.97
  1947          61     0.01802  0.01786  0.50   60813    1086   60269   989251  16.27
  1947          62     0.02011  0.01991  0.50   59726    1189   59132   928981  15.55
  1947          63     0.02031  0.02011  0.50   58537    1177   57949   869850  14.86
  1947          64     0.02180  0.02156  0.50   57360    1237   56742   811901  14.15
  1947          65     0.02500  0.02469  0.50   56123    1386   55430   755159  13.46
  1947          66     0.02719  0.02683  0.50   54738    1469   54003   699729  12.78
  1947          67     0.03564  0.03501  0.50   53269    1865   52336   645726  12.12
  1947          68     0.03432  0.03374  0.50   51404    1734   50537   593389  11.54
  1947          69     0.03966  0.03888  0.50   49669    1931   48704   542853  10.93
  1947          70     0.04744  0.04634  0.50   47738    2212   46632   494149  10.35
  1947          71     0.04771  0.04660  0.50   45526    2121   44465   447518   9.83
  1947          72     0.06567  0.06359  0.50   43404    2760   42024   403053   9.29
  1947          73     0.06220  0.06032  0.50   40644    2452   39418   361029   8.88
  1947          74     0.06969  0.06735  0.50   38192    2572   36906   321610   8.42
  1947          75     0.07849  0.07553  0.50   35620    2690   34275   284704   7.99
  1947          76     0.07181  0.06933  0.50   32930    2283   31789   250429   7.60
  1947          77     0.09473  0.09045  0.50   30647    2772   29261   218640   7.13
  1947          78     0.10164  0.09673  0.50   27875    2696   26527   189379   6.79
  1947          79     0.10467  0.09946  0.50   25179    2504   23927   162852   6.47
  1947          80     0.13333  0.12500  0.50   22675    2834   21257   138925   6.13
  1947          81     0.12831  0.12057  0.50   19840    2392   18644   117668   5.93
  1947          82     0.14450  0.13477  0.50   17448    2351   16272    99024   5.68
  1947          83     0.13770  0.12883  0.50   15097    1945   14124    82751   5.48
  1947          84     0.13417  0.12574  0.50   13152    1654   12325    68627   5.22
  1947          85     0.17411  0.16017  0.50   11498    1842   10577    56302   4.90
  1947          86     0.17376  0.15987  0.50    9656    1544    8885    45725   4.74
  1947          87     0.17717  0.16275  0.50    8113    1320    7452    36841   4.54
  1947          88     0.19408  0.17692  0.50    6792    1202    6191    29388   4.33
  1947          89     0.17981  0.16497  0.50    5591     922    5129    23197   4.15
  1947          90     0.25143  0.22335  0.50    4668    1043    4147    18067   3.87
  1947          91     0.21127  0.19108  0.50    3626     693    3279    13920   3.84
  1947          92     0.22992  0.20621  0.50    2933     605    2630    10641   3.63
  1947          93     0.25453  0.22580  0.50    2328     526    2065     8011   3.44
  1947          94     0.26774  0.23613  0.50    1802     426    1590     5946   3.30
  1947          95     0.28138  0.24668  0.50    1377     340    1207     4356   3.16
  1947          96     0.29544  0.25741  0.50    1037     267     904     3149   3.04
  1947          97     0.30989  0.26832  0.50     770     207     667     2245   2.92
  1947          98     0.32472  0.27937  0.50     564     157     485     1578   2.80
  1947          99     0.33992  0.29054  0.50     406     118     347     1094   2.69
  1947         100     0.35545  0.30181  0.50     288      87     245      746   2.59
