Bulgaria, Life tables (period 1x1), Males     Last modified: 18-Apr-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.15559  0.14090  0.33  100000   14090   90560  5254356  52.54
  1947           1     0.03220  0.03169  0.50   85910    2722   84549  5163796  60.11
  1947           2     0.01329  0.01320  0.50   83187    1098   82638  5079248  61.06
  1947           3     0.00615  0.00614  0.50   82090     504   81838  4996609  60.87
  1947           4     0.00468  0.00467  0.50   81586     381   81395  4914772  60.24
  1947           5     0.00423  0.00422  0.50   81205     343   81033  4833376  59.52
  1947           6     0.00303  0.00303  0.50   80862     245   80739  4752343  58.77
  1947           7     0.00287  0.00286  0.50   80617     231   80501  4671604  57.95
  1947           8     0.00244  0.00244  0.50   80386     196   80288  4591102  57.11
  1947           9     0.00246  0.00246  0.50   80190     197   80091  4510814  56.25
  1947          10     0.00215  0.00214  0.50   79993     172   79907  4430723  55.39
  1947          11     0.00182  0.00182  0.50   79821     145   79748  4350816  54.51
  1947          12     0.00185  0.00185  0.50   79676     147   79602  4271068  53.61
  1947          13     0.00192  0.00192  0.50   79529     153   79452  4191465  52.70
  1947          14     0.00200  0.00200  0.50   79376     159   79296  4112013  51.80
  1947          15     0.00260  0.00259  0.50   79217     205   79114  4032717  50.91
  1947          16     0.00321  0.00320  0.50   79011     253   78885  3953603  50.04
  1947          17     0.00362  0.00362  0.50   78758     285   78616  3874718  49.20
  1947          18     0.00418  0.00417  0.50   78473     327   78310  3796102  48.37
  1947          19     0.00479  0.00478  0.50   78146     374   77959  3717792  47.57
  1947          20     0.00505  0.00503  0.50   77773     391   77577  3639833  46.80
  1947          21     0.00546  0.00545  0.50   77381     422   77170  3562256  46.04
  1947          22     0.00582  0.00580  0.50   76960     447   76736  3485086  45.28
  1947          23     0.00484  0.00483  0.50   76513     370   76328  3408350  44.55
  1947          24     0.00507  0.00506  0.50   76143     385   75951  3332022  43.76
  1947          25     0.00505  0.00504  0.50   75758     382   75567  3256071  42.98
  1947          26     0.00447  0.00446  0.50   75376     336   75208  3180504  42.20
  1947          27     0.00477  0.00476  0.50   75040     357   74862  3105296  41.38
  1947          28     0.00421  0.00420  0.50   74683     314   74526  3030434  40.58
  1947          29     0.00405  0.00404  0.50   74369     301   74219  2955908  39.75
  1947          30     0.00485  0.00483  0.50   74069     358   73890  2881688  38.91
  1947          31     0.00442  0.00441  0.50   73711     325   73548  2807799  38.09
  1947          32     0.00451  0.00450  0.50   73386     330   73221  2734250  37.26
  1947          33     0.00436  0.00435  0.50   73056     318   72897  2661030  36.42
  1947          34     0.00468  0.00467  0.50   72738     340   72568  2588133  35.58
  1947          35     0.00481  0.00480  0.50   72398     347   72225  2515565  34.75
  1947          36     0.00467  0.00466  0.50   72051     336   71883  2443340  33.91
  1947          37     0.00472  0.00471  0.50   71715     337   71546  2371457  33.07
  1947          38     0.00495  0.00494  0.50   71378     352   71201  2299911  32.22
  1947          39     0.00543  0.00541  0.50   71025     384   70833  2228710  31.38
  1947          40     0.00604  0.00602  0.50   70641     425   70428  2157877  30.55
  1947          41     0.00577  0.00575  0.50   70215     404   70014  2087449  29.73
  1947          42     0.00623  0.00621  0.50   69812     433   69595  2017435  28.90
  1947          43     0.00668  0.00666  0.50   69378     462   69147  1947840  28.08
  1947          44     0.00645  0.00643  0.50   68916     443   68695  1878693  27.26
  1947          45     0.00888  0.00884  0.50   68473     605   68170  1809998  26.43
  1947          46     0.00801  0.00797  0.50   67868     541   67597  1741828  25.67
  1947          47     0.00880  0.00876  0.50   67327     590   67032  1674231  24.87
  1947          48     0.00920  0.00916  0.50   66737     611   66431  1607199  24.08
  1947          49     0.00875  0.00872  0.50   66125     576   65837  1540768  23.30
  1947          50     0.01100  0.01094  0.50   65549     717   65190  1474931  22.50
  1947          51     0.01125  0.01119  0.50   64832     726   64469  1409741  21.74
  1947          52     0.01358  0.01349  0.50   64106     865   63674  1345272  20.99
  1947          53     0.01411  0.01401  0.50   63242     886   62799  1281598  20.27
  1947          54     0.01479  0.01468  0.50   62356     915   61898  1218799  19.55
  1947          55     0.01823  0.01807  0.50   61440    1110   60885  1156901  18.83
  1947          56     0.01749  0.01734  0.50   60330    1046   59807  1096016  18.17
  1947          57     0.02102  0.02081  0.50   59284    1233   58667  1036209  17.48
  1947          58     0.02119  0.02097  0.50   58051    1217   57442   977541  16.84
  1947          59     0.02148  0.02126  0.50   56833    1208   56229   920099  16.19
  1947          60     0.02571  0.02539  0.50   55625    1412   54919   863870  15.53
  1947          61     0.02313  0.02286  0.50   54213    1239   53593   808951  14.92
  1947          62     0.02747  0.02710  0.50   52974    1435   52256   755357  14.26
  1947          63     0.02887  0.02846  0.50   51538    1467   50805   703101  13.64
  1947          64     0.03065  0.03019  0.50   50071    1512   49315   652297  13.03
  1947          65     0.03567  0.03505  0.50   48560    1702   47709   602981  12.42
  1947          66     0.03732  0.03664  0.50   46858    1717   45999   555272  11.85
