Belarus, Life tables (period 1x1), Females     Last modified: 10-Aug-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0     0.04374  0.04222  0.18  100000    4222   96519  7197607  71.98
  1959           1     0.00672  0.00670  0.50   95778     641   95457  7101088  74.14
  1959           2     0.00214  0.00214  0.50   95137     204   95035  7005631  73.64
  1959           3     0.00137  0.00137  0.50   94933     130   94868  6910596  72.79
  1959           4     0.00094  0.00094  0.50   94803      89   94759  6815728  71.89
  1959           5     0.00086  0.00086  0.50   94714      81   94673  6720969  70.96
  1959           6     0.00093  0.00093  0.50   94633      88   94589  6626296  70.02
  1959           7     0.00067  0.00067  0.50   94545      63   94514  6531707  69.09
  1959           8     0.00065  0.00065  0.50   94482      62   94451  6437193  68.13
  1959           9     0.00049  0.00049  0.50   94420      47   94397  6342742  67.18
  1959          10     0.00064  0.00064  0.50   94374      60   94344  6248345  66.21
  1959          11     0.00056  0.00056  0.50   94314      53   94287  6154001  65.25
  1959          12     0.00063  0.00063  0.50   94261      60   94231  6059714  64.29
  1959          13     0.00054  0.00054  0.50   94201      51   94176  5965483  63.33
  1959          14     0.00053  0.00053  0.50   94150      50   94125  5871307  62.36
  1959          15     0.00060  0.00060  0.50   94100      57   94072  5777182  61.39
  1959          16     0.00073  0.00073  0.50   94043      69   94009  5683110  60.43
  1959          17     0.00066  0.00066  0.50   93974      62   93944  5589102  59.47
  1959          18     0.00092  0.00092  0.50   93913      87   93869  5495158  58.51
  1959          19     0.00092  0.00092  0.50   93826      86   93783  5401289  57.57
  1959          20     0.00099  0.00099  0.50   93740      92   93694  5307506  56.62
  1959          21     0.00071  0.00071  0.50   93648      66   93615  5213812  55.67
  1959          22     0.00113  0.00113  0.50   93581     106   93528  5120197  54.71
  1959          23     0.00105  0.00105  0.50   93476      98   93426  5026669  53.78
  1959          24     0.00117  0.00117  0.50   93377     109   93323  4933242  52.83
  1959          25     0.00132  0.00132  0.50   93268     123   93206  4839920  51.89
  1959          26     0.00107  0.00107  0.50   93145     100   93095  4746713  50.96
  1959          27     0.00109  0.00109  0.50   93045     102   92994  4653619  50.01
  1959          28     0.00138  0.00138  0.50   92943     128   92879  4560625  49.07
  1959          29     0.00112  0.00111  0.50   92815     103   92763  4467746  48.14
  1959          30     0.00164  0.00164  0.50   92711     152   92635  4374983  47.19
  1959          31     0.00125  0.00125  0.50   92559     116   92501  4282347  46.27
  1959          32     0.00163  0.00163  0.50   92443     151   92368  4189846  45.32
  1959          33     0.00150  0.00150  0.50   92292     138   92223  4097478  44.40
  1959          34     0.00144  0.00144  0.50   92154     133   92088  4005255  43.46
  1959          35     0.00167  0.00167  0.50   92021     154   91944  3913168  42.52
  1959          36     0.00200  0.00199  0.50   91867     183   91776  3821224  41.60
  1959          37     0.00228  0.00228  0.50   91684     209   91579  3729448  40.68
  1959          38     0.00216  0.00216  0.50   91475     197   91376  3637868  39.77
  1959          39     0.00194  0.00193  0.50   91278     177   91189  3546492  38.85
  1959          40     0.00251  0.00251  0.50   91101     228   90987  3455303  37.93
  1959          41     0.00226  0.00226  0.50   90873     206   90770  3364316  37.02
  1959          42     0.00224  0.00224  0.50   90667     203   90566  3273546  36.11
  1959          43     0.00243  0.00243  0.50   90464     220   90355  3182980  35.18
  1959          44     0.00259  0.00258  0.50   90245     233   90128  3092626  34.27
  1959          45     0.00396  0.00396  0.50   90011     356   89833  3002498  33.36
  1959          46     0.00293  0.00292  0.50   89655     262   89524  2912664  32.49
  1959          47     0.00370  0.00369  0.50   89393     330   89228  2823140  31.58
  1959          48     0.00376  0.00375  0.50   89063     334   88896  2733912  30.70
  1959          49     0.00373  0.00373  0.50   88729     331   88564  2645016  29.81
  1959          50     0.00616  0.00614  0.50   88398     543   88127  2556452  28.92
  1959          51     0.00338  0.00337  0.50   87855     296   87707  2468325  28.10
  1959          52     0.00553  0.00551  0.50   87559     483   87318  2380618  27.19
  1959          53     0.00500  0.00499  0.50   87076     435   86859  2293300  26.34
  1959          54     0.00544  0.00542  0.50   86642     470   86407  2206441  25.47
  1959          55     0.00676  0.00674  0.50   86172     581   85882  2120034  24.60
  1959          56     0.00595  0.00594  0.50   85591     508   85337  2034153  23.77
  1959          57     0.00708  0.00705  0.50   85083     600   84783  1948816  22.90
  1959          58     0.00803  0.00799  0.50   84483     675   84145  1864033  22.06
  1959          59     0.00916  0.00912  0.50   83808     764   83426  1779887  21.24
  1959          60     0.01392  0.01383  0.50   83043    1148   82469  1696462  20.43
  1959          61     0.00742  0.00739  0.50   81895     605   81593  1613993  19.71
  1959          62     0.01562  0.01549  0.50   81290    1260   80660  1532400  18.85
  1959          63     0.01301  0.01293  0.50   80031    1034   79514  1451739  18.14
  1959          64     0.01479  0.01468  0.50   78996    1159   78417  1372226  17.37
  1959          65     0.01858  0.01841  0.50   77837    1433   77120  1293809  16.62
  1959          66     0.01179  0.01172  0.50   76404     896   75956  1216689  15.92
  1959          67     0.02040  0.02020  0.50   75509    1525   74746  1140732  15.11
  1959          68     0.01980  0.01960  0.50   73983    1450   73258  1065986  14.41
  1959          69     0.02008  0.01988  0.50   72533    1442   71812   992728  13.69
  1959          70     0.03218  0.03167  0.50   71091    2251   69966   920916  12.95
  1959          71     0.02092  0.02070  0.50   68840    1425   68127   850950  12.36
  1959          72     0.04360  0.04267  0.50   67415    2876   65977   782823  11.61
  1959          73     0.04184  0.04098  0.50   64538    2645   63216   716846  11.11
  1959          74     0.04341  0.04249  0.50   61894    2630   60579   653630  10.56
  1959          75     0.05746  0.05585  0.50   59264    3310   57609   593051  10.01
  1959          76     0.04043  0.03963  0.50   55954    2218   54845   535442   9.57
  1959          77     0.05350  0.05211  0.50   53736    2800   52336   480597   8.94
  1959          78     0.06889  0.06659  0.50   50936    3392   49240   428260   8.41
  1959          79     0.07151  0.06905  0.50   47544    3283   45903   379020   7.97
  1959          80     0.12019  0.11338  0.50   44262    5018   41752   333117   7.53
  1959          81     0.06788  0.06565  0.50   39243    2576   37955   291365   7.42
  1959          82     0.09164  0.08762  0.50   36667    3213   35061   253410   6.91
  1959          83     0.09587  0.09148  0.50   33454    3060   31924   218349   6.53
  1959          84     0.09233  0.08826  0.50   30394    2682   29052   186425   6.13
  1959          85     0.14888  0.13857  0.50   27711    3840   25791   157373   5.68
  1959          86     0.13100  0.12294  0.50   23871    2935   22404   131581   5.51
