Belarus, Life tables (period 1x1), Males     Last modified: 10-Aug-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0     0.05414  0.05187  0.19  100000    5187   95800  6524214  65.24
  1959           1     0.00627  0.00625  0.50   94813     592   94517  6428414  67.80
  1959           2     0.00199  0.00199  0.50   94221     187   94127  6333897  67.22
  1959           3     0.00154  0.00154  0.50   94034     145   93961  6239770  66.36
  1959           4     0.00117  0.00117  0.50   93889     110   93834  6145808  65.46
  1959           5     0.00097  0.00097  0.50   93779      91   93734  6051974  64.53
  1959           6     0.00102  0.00102  0.50   93688      96   93640  5958240  63.60
  1959           7     0.00110  0.00110  0.50   93592     103   93541  5864600  62.66
  1959           8     0.00092  0.00092  0.50   93489      86   93446  5771059  61.73
  1959           9     0.00096  0.00096  0.50   93403      90   93358  5677613  60.79
  1959          10     0.00120  0.00120  0.50   93313     112   93257  5584255  59.84
  1959          11     0.00086  0.00086  0.50   93201      80   93161  5490998  58.92
  1959          12     0.00106  0.00106  0.50   93121      99   93071  5397836  57.97
  1959          13     0.00085  0.00085  0.50   93022      79   92982  5304765  57.03
  1959          14     0.00120  0.00119  0.50   92943     111   92887  5211782  56.08
  1959          15     0.00098  0.00098  0.50   92832      91   92787  5118895  55.14
  1959          16     0.00101  0.00101  0.50   92741      93   92694  5026109  54.20
  1959          17     0.00114  0.00114  0.50   92648     105   92595  4933414  53.25
  1959          18     0.00153  0.00153  0.50   92543     142   92472  4840819  52.31
  1959          19     0.00159  0.00159  0.50   92401     147   92327  4748347  51.39
  1959          20     0.00186  0.00186  0.50   92254     172   92168  4656020  50.47
  1959          21     0.00167  0.00167  0.50   92082     154   92005  4563852  49.56
  1959          22     0.00240  0.00239  0.50   91928     220   91818  4471847  48.65
  1959          23     0.00254  0.00254  0.50   91708     233   91592  4380029  47.76
  1959          24     0.00213  0.00213  0.50   91475     195   91378  4288438  46.88
  1959          25     0.00236  0.00236  0.50   91280     215   91173  4197060  45.98
  1959          26     0.00254  0.00254  0.50   91065     231   90950  4105887  45.09
  1959          27     0.00216  0.00216  0.50   90834     196   90736  4014937  44.20
  1959          28     0.00234  0.00234  0.50   90638     212   90532  3924201  43.30
  1959          29     0.00252  0.00252  0.50   90426     228   90312  3833669  42.40
  1959          30     0.00339  0.00339  0.50   90198     305   90045  3743357  41.50
  1959          31     0.00246  0.00246  0.50   89893     221   89782  3653312  40.64
  1959          32     0.00370  0.00369  0.50   89672     331   89506  3563529  39.74
  1959          33     0.00351  0.00351  0.50   89341     313   89184  3474023  38.89
  1959          34     0.00359  0.00358  0.50   89028     319   88868  3384839  38.02
  1959          35     0.00414  0.00413  0.50   88709     367   88525  3295971  37.16
  1959          36     0.00370  0.00369  0.50   88342     326   88179  3207446  36.31
  1959          37     0.00374  0.00373  0.50   88016     329   87851  3119267  35.44
  1959          38     0.00460  0.00459  0.50   87687     402   87486  3031415  34.57
  1959          39     0.00460  0.00459  0.50   87285     401   87084  2943929  33.73
  1959          40     0.00575  0.00574  0.50   86884     498   86635  2856845  32.88
  1959          41     0.00363  0.00363  0.50   86386     313   86229  2770210  32.07
  1959          42     0.00482  0.00481  0.50   86072     414   85865  2683981  31.18
  1959          43     0.00449  0.00448  0.50   85658     384   85466  2598116  30.33
  1959          44     0.00536  0.00535  0.50   85274     456   85046  2512650  29.47
  1959          45     0.00653  0.00651  0.50   84818     552   84542  2427604  28.62
  1959          46     0.00549  0.00548  0.50   84265     462   84035  2343062  27.81
  1959          47     0.00665  0.00663  0.50   83804     555   83526  2259028  26.96
  1959          48     0.00740  0.00738  0.50   83249     614   82941  2175501  26.13
  1959          49     0.00820  0.00817  0.50   82634     675   82297  2092560  25.32
  1959          50     0.01002  0.00997  0.50   81960     817   81551  2010263  24.53
  1959          51     0.00740  0.00737  0.50   81142     598   80843  1928712  23.77
  1959          52     0.01175  0.01168  0.50   80544     941   80074  1847869  22.94
  1959          53     0.01061  0.01056  0.50   79603     840   79183  1767795  22.21
  1959          54     0.01250  0.01242  0.50   78763     979   78273  1688612  21.44
  1959          55     0.01289  0.01281  0.50   77784     997   77286  1610339  20.70
  1959          56     0.01352  0.01343  0.50   76788    1031   76272  1533053  19.96
  1959          57     0.01532  0.01520  0.50   75756    1152   75181  1456781  19.23
  1959          58     0.01701  0.01686  0.50   74605    1258   73976  1381600  18.52
  1959          59     0.01703  0.01688  0.50   73347    1238   72727  1307625  17.83
  1959          60     0.02504  0.02473  0.50   72108    1783   71217  1234897  17.13
  1959          61     0.01622  0.01609  0.50   70325    1132   69759  1163681  16.55
  1959          62     0.02738  0.02701  0.50   69193    1869   68259  1093921  15.81
  1959          63     0.02585  0.02552  0.50   67324    1718   66465  1025663  15.23
  1959          64     0.02784  0.02746  0.50   65606    1801   64706   959197  14.62
  1959          65     0.02874  0.02834  0.50   63805    1808   62901   894492  14.02
  1959          66     0.02731  0.02694  0.50   61997    1670   61162   831591  13.41
  1959          67     0.03607  0.03543  0.50   60327    2137   59258   770429  12.77
  1959          68     0.03673  0.03607  0.50   58190    2099   57140   711171  12.22
