Switzerland, Life tables (period 1x1), Females     Last modified: 30-Aug-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1876           0     0.22814  0.19868  0.35  100000   19868   87086  4180665  41.81
  1876           1     0.03910  0.03835  0.50   80132    3073   78595  4093579  51.09
  1876           2     0.01785  0.01769  0.50   77059    1363   76377  4014984  52.10
  1876           3     0.01245  0.01237  0.50   75696     936   75227  3938607  52.03
  1876           4     0.00912  0.00908  0.50   74759     679   74420  3863379  51.68
  1876           5     0.00778  0.00775  0.50   74080     574   73793  3788960  51.15
  1876           6     0.00624  0.00622  0.50   73506     457   73277  3715167  50.54
  1876           7     0.00482  0.00481  0.50   73049     352   72873  3641889  49.86
  1876           8     0.00409  0.00408  0.50   72697     296   72549  3569016  49.09
  1876           9     0.00407  0.00407  0.50   72401     294   72254  3496467  48.29
  1876          10     0.00449  0.00448  0.50   72107     323   71945  3424213  47.49
  1876          11     0.00358  0.00358  0.50   71784     257   71655  3352268  46.70
  1876          12     0.00368  0.00367  0.50   71527     262   71396  3280612  45.87
  1876          13     0.00383  0.00382  0.50   71265     272   71128  3209216  45.03
  1876          14     0.00472  0.00471  0.50   70992     335   70825  3138088  44.20
  1876          15     0.00520  0.00518  0.50   70657     366   70474  3067263  43.41
  1876          16     0.00518  0.00517  0.50   70291     363   70110  2996789  42.63
  1876          17     0.00773  0.00770  0.50   69928     538   69659  2926679  41.85
  1876          18     0.00549  0.00547  0.50   69390     380   69200  2857020  41.17
  1876          19     0.00628  0.00626  0.50   69010     432   68794  2787820  40.40
  1876          20     0.00646  0.00644  0.50   68578     442   68357  2719026  39.65
  1876          21     0.00662  0.00660  0.50   68136     450   67912  2650669  38.90
  1876          22     0.00759  0.00756  0.50   67687     512   67431  2582757  38.16
  1876          23     0.00835  0.00832  0.50   67175     559   66895  2515327  37.44
  1876          24     0.00854  0.00850  0.50   66616     566   66333  2448431  36.75
  1876          25     0.00854  0.00850  0.50   66049     562   65769  2382099  36.07
  1876          26     0.00919  0.00915  0.50   65488     599   65188  2316330  35.37
  1876          27     0.00934  0.00930  0.50   64888     603   64587  2251142  34.69
  1876          28     0.00863  0.00859  0.50   64285     552   64009  2186555  34.01
  1876          29     0.00877  0.00873  0.50   63733     556   63455  2122546  33.30
  1876          30     0.00909  0.00905  0.50   63177     572   62891  2059091  32.59
  1876          31     0.00977  0.00972  0.50   62605     608   62301  1996200  31.89
  1876          32     0.01088  0.01082  0.50   61996     671   61661  1933899  31.19
  1876          33     0.00887  0.00883  0.50   61326     541   61055  1872238  30.53
  1876          34     0.01203  0.01196  0.50   60784     727   60421  1811183  29.80
  1876          35     0.01232  0.01224  0.50   60057     735   59690  1750762  29.15
  1876          36     0.01108  0.01102  0.50   59322     654   58995  1691073  28.51
  1876          37     0.01187  0.01180  0.50   58668     692   58322  1632077  27.82
  1876          38     0.01221  0.01214  0.50   57976     704   57624  1573755  27.14
  1876          39     0.01232  0.01225  0.50   57272     701   56922  1516131  26.47
  1876          40     0.01104  0.01098  0.50   56571     621   56260  1459209  25.79
  1876          41     0.01105  0.01099  0.50   55950     615   55642  1402949  25.08
  1876          42     0.01186  0.01179  0.50   55335     653   55009  1347306  24.35
  1876          43     0.01216  0.01208  0.50   54682     661   54352  1292298  23.63
  1876          44     0.01237  0.01229  0.50   54021     664   53689  1237946  22.92
  1876          45     0.01349  0.01340  0.50   53357     715   53000  1184257  22.19
  1876          46     0.01279  0.01271  0.50   52643     669   52308  1131257  21.49
  1876          47     0.01320  0.01312  0.50   51974     682   51633  1078949  20.76
  1876          48     0.01352  0.01343  0.50   51292     689   50947  1027316  20.03
