Chile, Life tables (period 1x1), Females     Last modified: 25-Nov-2008, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1992           0     0.01382  0.01365  0.09  100000    1365   98760  7748512  77.49
  1992           1     0.00111  0.00111  0.50   98635     109   98580  7649752  77.56
  1992           2     0.00067  0.00067  0.50   98526      66   98492  7551172  76.64
  1992           3     0.00036  0.00036  0.50   98459      36   98441  7452680  75.69
  1992           4     0.00030  0.00030  0.50   98424      29   98409  7354238  74.72
  1992           5     0.00022  0.00022  0.50   98394      22   98383  7255829  73.74
  1992           6     0.00029  0.00029  0.50   98373      28   98358  7157446  72.76
  1992           7     0.00022  0.00022  0.50   98344      22   98333  7059088  71.78
  1992           8     0.00024  0.00024  0.50   98322      24   98310  6960754  70.80
  1992           9     0.00020  0.00020  0.50   98298      20   98288  6862444  69.81
  1992          10     0.00018  0.00018  0.50   98278      18   98270  6764155  68.83
  1992          11     0.00018  0.00018  0.50   98261      18   98252  6665886  67.84
  1992          12     0.00021  0.00021  0.50   98242      20   98232  6567634  66.85
  1992          13     0.00021  0.00021  0.50   98222      21   98212  6469402  65.87
  1992          14     0.00028  0.00028  0.50   98201      27   98188  6371191  64.88
  1992          15     0.00033  0.00033  0.50   98174      33   98158  6273003  63.90
  1992          16     0.00043  0.00043  0.50   98141      42   98120  6174845  62.92
  1992          17     0.00040  0.00040  0.50   98099      40   98079  6076725  61.94
  1992          18     0.00035  0.00035  0.50   98060      35   98042  5978646  60.97
  1992          19     0.00042  0.00042  0.50   98025      41   98004  5880603  59.99
  1992          20     0.00045  0.00045  0.50   97984      44   97962  5782599  59.02
  1992          21     0.00043  0.00043  0.50   97940      42   97918  5684637  58.04
  1992          22     0.00059  0.00059  0.50   97897      58   97869  5586719  57.07
  1992          23     0.00047  0.00047  0.50   97840      46   97817  5488850  56.10
  1992          24     0.00040  0.00040  0.50   97794      39   97775  5391034  55.13
  1992          25     0.00051  0.00051  0.50   97755      50   97730  5293259  54.15
  1992          26     0.00056  0.00056  0.50   97705      55   97678  5195529  53.18
  1992          27     0.00046  0.00046  0.50   97651      45   97628  5097851  52.21
  1992          28     0.00063  0.00063  0.50   97606      61   97575  5000223  51.23
  1992          29     0.00051  0.00051  0.50   97544      50   97519  4902648  50.26
