Chile, Life tables (period 1x1), Males     Last modified: 25-Nov-2008, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1992           0     0.01621  0.01598  0.09  100000    1598   98544  7147975  71.48
  1992           1     0.00157  0.00157  0.50   98402     154   98325  7049431  71.64
  1992           2     0.00093  0.00093  0.50   98248      91   98203  6951106  70.75
  1992           3     0.00074  0.00074  0.50   98157      73   98120  6852903  69.82
  1992           4     0.00031  0.00031  0.50   98084      31   98069  6754783  68.87
  1992           5     0.00026  0.00026  0.50   98054      25   98041  6656714  67.89
  1992           6     0.00024  0.00024  0.50   98028      24   98016  6558673  66.91
  1992           7     0.00034  0.00034  0.50   98005      33   97988  6460657  65.92
  1992           8     0.00033  0.00033  0.50   97972      33   97955  6362669  64.94
  1992           9     0.00028  0.00028  0.50   97939      27   97925  6264713  63.97
  1992          10     0.00028  0.00028  0.50   97912      28   97898  6166788  62.98
  1992          11     0.00038  0.00038  0.50   97884      37   97866  6068890  62.00
  1992          12     0.00030  0.00030  0.50   97847      29   97832  5971024  61.02
  1992          13     0.00038  0.00038  0.50   97818      37   97799  5873192  60.04
  1992          14     0.00049  0.00049  0.50   97780      47   97757  5775393  59.06
  1992          15     0.00052  0.00052  0.50   97733      51   97707  5677636  58.09
  1992          16     0.00077  0.00077  0.50   97682      75   97644  5579929  57.12
  1992          17     0.00086  0.00086  0.50   97607      84   97564  5482285  56.17
  1992          18     0.00099  0.00099  0.50   97522      97   97474  5384720  55.22
  1992          19     0.00121  0.00121  0.50   97425     118   97367  5287246  54.27
  1992          20     0.00137  0.00136  0.50   97308     133   97241  5189880  53.33
  1992          21     0.00167  0.00166  0.50   97175     162   97094  5092638  52.41
  1992          22     0.00162  0.00161  0.50   97013     157   96935  4995544  51.49
  1992          23     0.00158  0.00158  0.50   96857     153   96780  4898609  50.58
  1992          24     0.00155  0.00154  0.50   96704     149   96629  4801829  49.65
