Czech Republic, Life tables (period 1x1), Females     Last modified: 11-Feb-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1950           0     0.05999  0.05731  0.22  100000    5731   95535  6684806  66.85
  1950           1     0.00470  0.00469  0.50   94269     442   94047  6589271  69.90
  1950           2     0.00216  0.00216  0.50   93826     203   93725  6495224  69.23
  1950           3     0.00118  0.00118  0.50   93624     110   93569  6401499  68.37
  1950           4     0.00112  0.00112  0.50   93514     105   93461  6307930  67.45
  1950           5     0.00084  0.00084  0.50   93409      79   93370  6214469  66.53
  1950           6     0.00086  0.00086  0.50   93330      80   93290  6121099  65.59
  1950           7     0.00066  0.00066  0.50   93250      61   93220  6027809  64.64
  1950           8     0.00053  0.00053  0.50   93189      50   93165  5934589  63.68
  1950           9     0.00062  0.00062  0.50   93140      57   93111  5841424  62.72
  1950          10     0.00072  0.00072  0.50   93082      67   93049  5748313  61.76
  1950          11     0.00043  0.00043  0.50   93016      40   92996  5655264  60.80
  1950          12     0.00087  0.00087  0.50   92976      81   92935  5562269  59.82
  1950          13     0.00068  0.00068  0.50   92894      63   92863  5469334  58.88
  1950          14     0.00071  0.00071  0.50   92831      66   92799  5376471  57.92
  1950          15     0.00083  0.00082  0.50   92766      77   92728  5283672  56.96
  1950          16     0.00091  0.00091  0.50   92689      84   92647  5190944  56.00
  1950          17     0.00116  0.00116  0.50   92605     107   92551  5098297  55.05
  1950          18     0.00121  0.00121  0.50   92498     112   92442  5005746  54.12
  1950          19     0.00112  0.00112  0.50   92386     103   92334  4913304  53.18
  1950          20     0.00120  0.00120  0.50   92283     111   92227  4820970  52.24
  1950          21     0.00155  0.00154  0.50   92172     142   92101  4728743  51.30
  1950          22     0.00140  0.00140  0.50   92029     129   91965  4636642  50.38
  1950          23     0.00180  0.00180  0.50   91901     165   91818  4544677  49.45
  1950          24     0.00140  0.00140  0.50   91735     129   91671  4452859  48.54
  1950          25     0.00180  0.00180  0.50   91607     164   91524  4361188  47.61
  1950          26     0.00170  0.00170  0.50   91442     156   91364  4269664  46.69
  1950          27     0.00175  0.00174  0.50   91286     159   91207  4178300  45.77
  1950          28     0.00168  0.00168  0.50   91127     153   91051  4087093  44.85
  1950          29     0.00167  0.00167  0.50   90974     152   90899  3996042  43.92
  1950          30     0.00189  0.00189  0.50   90823     172   90737  3905144  43.00
  1950          31     0.00163  0.00162  0.50   90651     147   90578  3814407  42.08
  1950          32     0.00205  0.00205  0.50   90504     186   90411  3723829  41.15
  1950          33     0.00185  0.00185  0.50   90318     167   90234  3633418  40.23
  1950          34     0.00223  0.00222  0.50   90151     200   90051  3543184  39.30
  1950          35     0.00240  0.00239  0.50   89950     215   89843  3453133  38.39
  1950          36     0.00241  0.00241  0.50   89735     216   89627  3363290  37.48
  1950          37     0.00263  0.00262  0.50   89519     235   89402  3273663  36.57
  1950          38     0.00254  0.00254  0.50   89284     227   89171  3184262  35.66
  1950          39     0.00273  0.00273  0.50   89058     243   88936  3095091  34.75
  1950          40     0.00300  0.00300  0.50   88815     266   88682  3006154  33.85
  1950          41     0.00323  0.00322  0.50   88549     286   88406  2917472  32.95
  1950          42     0.00321  0.00320  0.50   88263     283   88122  2829067  32.05
  1950          43     0.00352  0.00351  0.50   87980     309   87826  2740945  31.15
  1950          44     0.00399  0.00398  0.50   87672     349   87497  2653119  30.26
  1950          45     0.00448  0.00447  0.50   87323     390   87128  2565621  29.38
  1950          46     0.00422  0.00421  0.50   86933     366   86750  2478494  28.51
  1950          47     0.00470  0.00469  0.50   86567     406   86364  2391744  27.63
  1950          48     0.00535  0.00533  0.50   86161     460   85931  2305380  26.76
  1950          49     0.00557  0.00556  0.50   85701     476   85463  2219449  25.90
  1950          50     0.00559  0.00558  0.50   85225     475   84987  2133986  25.04
  1950          51     0.00679  0.00676  0.50   84750     573   84463  2048998  24.18
  1950          52     0.00655  0.00653  0.50   84176     549   83902  1964535  23.34
  1950          53     0.00748  0.00745  0.50   83627     623   83315  1880634  22.49
  1950          54     0.00817  0.00813  0.50   83004     675   82666  1797318  21.65
  1950          55     0.00976  0.00971  0.50   82329     800   81929  1714652  20.83
  1950          56     0.01018  0.01013  0.50   81529     826   81116  1632723  20.03
  1950          57     0.01072  0.01066  0.50   80703     860   80273  1551607  19.23
  1950          58     0.01184  0.01177  0.50   79843     940   79373  1471335  18.43
  1950          59     0.01366  0.01357  0.50   78903    1070   78368  1391962  17.64
  1950          60     0.01408  0.01398  0.50   77833    1088   77289  1313594  16.88
  1950          61     0.01623  0.01610  0.50   76745    1236   76127  1236305  16.11
  1950          62     0.01841  0.01825  0.50   75509    1378   74820  1160178  15.36
  1950          63     0.02054  0.02033  0.50   74131    1507   73378  1085358  14.64
  1950          64     0.02298  0.02272  0.50   72624    1650   71799  1011980  13.93
  1950          65     0.02548  0.02516  0.50   70974    1786   70081   940181  13.25
  1950          66     0.02672  0.02637  0.50   69188    1824   68276   870099  12.58
  1950          67     0.03164  0.03115  0.50   67364    2098   66315   801823  11.90
  1950          68     0.03501  0.03441  0.50   65265    2246   64143   735508  11.27
  1950          69     0.03860  0.03787  0.50   63020    2386   61826   671366  10.65
  1950          70     0.04285  0.04195  0.50   60633    2544   59362   609539  10.05
  1950          71     0.05133  0.05005  0.50   58090    2907   56636   550178   9.47
  1950          72     0.05356  0.05217  0.50   55183    2879   53743   493542   8.94
  1950          73     0.05934  0.05763  0.50   52304    3014   50797   439798   8.41
  1950          74     0.06945  0.06712  0.50   49290    3308   47636   389002   7.89
  1950          75     0.07610  0.07331  0.50   45981    3371   44296   341366   7.42
  1950          76     0.08499  0.08153  0.50   42611    3474   40874   297070   6.97
  1950          77     0.09216  0.08810  0.50   39137    3448   37413   256196   6.55
  1950          78     0.10450  0.09931  0.50   35689    3544   33917   218783   6.13
  1950          79     0.11908  0.11239  0.50   32145    3613   30338   184867   5.75
  1950          80     0.12721  0.11960  0.50   28532    3413   26826   154528   5.42
  1950          81     0.14413  0.13444  0.50   25120    3377   23431   127702   5.08
  1950          82     0.15264  0.14182  0.50   21742    3084   20201   104271   4.80
  1950          83     0.15823  0.14663  0.50   18659    2736   17291    84071   4.51
  1950          84     0.18869  0.17243  0.50   15923    2746   14550    66780   4.19
  1950          85     0.19143  0.17471  0.50   13178    2302   12026    52229   3.96
  1950          86     0.22222  0.20000  0.50   10875    2175    9788    40203   3.70
  1950          87     0.23835  0.21297  0.50    8700    1853    7774    30415   3.50
  1950          88     0.23161  0.20757  0.50    6847    1421    6137    22641   3.31
  1950          89     0.29618  0.25797  0.50    5426    1400    4726    16505   3.04
  1950          90     0.27654  0.24295  0.50    4026     978    3537    11778   2.93
  1950          91     0.33434  0.28645  0.50    3048     873    2612     8241   2.70
  1950          92     0.34243  0.29237  0.50    2175     636    1857     5630   2.59
  1950          93     0.36471  0.30846  0.50    1539     475    1302     3773   2.45
  1950          94     0.38940  0.32594  0.50    1064     347     891     2471   2.32
  1950          95     0.41468  0.34346  0.50     717     246     594     1580   2.20
  1950          96     0.44040  0.36093  0.50     471     170     386      986   2.09
  1950          97     0.46646  0.37824  0.50     301     114     244      600   1.99
  1950          98     0.49270  0.39531  0.50     187      74     150      356   1.90
  1950          99     0.51897  0.41205  0.50     113      47      90      206   1.82
  1950         100     0.54515  0.42838  0.50      67      29      52      116   1.74
  1950         101     0.57107  0.44423  0.50      38      17      30       64   1.67
  1950         102     0.59661  0.45953  0.50      21      10      16       34   1.61
  1950         103     0.62164  0.47424  0.50      11       5       9       18   1.55
  1950         104     0.64604  0.48831  0.50       6       3       5        9   1.50
  1950         105     0.66970  0.50170  0.50       3       2       2        4   1.45
