Czech Republic, Life tables (period 1x1), Males     Last modified: 11-Feb-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1950           0     0.07544  0.07139  0.25  100000    7139   94628  6196923  61.97
  1950           1     0.00502  0.00501  0.50   92861     465   92628  6102295  65.71
  1950           2     0.00259  0.00258  0.50   92396     239   92276  6009667  65.04
  1950           3     0.00178  0.00178  0.50   92157     164   92075  5917391  64.21
  1950           4     0.00155  0.00154  0.50   91993     142   91922  5825316  63.32
  1950           5     0.00083  0.00083  0.50   91851      76   91812  5733394  62.42
  1950           6     0.00099  0.00099  0.50   91774      91   91729  5641582  61.47
  1950           7     0.00097  0.00097  0.50   91683      89   91639  5549853  60.53
  1950           8     0.00083  0.00083  0.50   91594      76   91556  5458214  59.59
  1950           9     0.00076  0.00076  0.50   91518      70   91483  5366658  58.64
  1950          10     0.00092  0.00092  0.50   91448      84   91406  5275175  57.68
  1950          11     0.00100  0.00099  0.50   91364      91   91318  5183769  56.74
  1950          12     0.00075  0.00075  0.50   91273      68   91239  5092451  55.79
  1950          13     0.00102  0.00102  0.50   91204      93   91158  5001212  54.84
  1950          14     0.00112  0.00112  0.50   91112     102   91061  4910054  53.89
  1950          15     0.00111  0.00111  0.50   91010     101   90959  4818993  52.95
  1950          16     0.00145  0.00145  0.50   90909     132   90843  4728034  52.01
  1950          17     0.00158  0.00158  0.50   90777     144   90705  4637191  51.08
  1950          18     0.00197  0.00197  0.50   90633     178   90544  4546486  50.16
  1950          19     0.00237  0.00236  0.50   90455     214   90348  4455942  49.26
  1950          20     0.00229  0.00228  0.50   90241     206   90138  4365595  48.38
  1950          21     0.00258  0.00257  0.50   90035     232   89919  4275457  47.49
  1950          22     0.00187  0.00187  0.50   89803     168   89719  4185538  46.61
  1950          23     0.00228  0.00228  0.50   89635     204   89533  4095819  45.69
  1950          24     0.00219  0.00219  0.50   89431     196   89333  4006286  44.80
  1950          25     0.00236  0.00236  0.50   89235     211   89130  3916953  43.89
  1950          26     0.00265  0.00265  0.50   89025     236   88907  3827823  43.00
  1950          27     0.00269  0.00269  0.50   88789     239   88669  3738916  42.11
  1950          28     0.00276  0.00276  0.50   88550     244   88428  3650247  41.22
  1950          29     0.00267  0.00267  0.50   88306     236   88188  3561819  40.34
  1950          30     0.00258  0.00258  0.50   88070     227   87957  3473631  39.44
  1950          31     0.00243  0.00242  0.50   87843     213   87737  3385674  38.54
  1950          32     0.00261  0.00261  0.50   87631     229   87516  3297937  37.63
  1950          33     0.00279  0.00279  0.50   87402     243   87280  3210421  36.73
  1950          34     0.00308  0.00307  0.50   87158     268   87025  3123140  35.83
  1950          35     0.00335  0.00334  0.50   86891     290   86745  3036116  34.94
  1950          36     0.00296  0.00296  0.50   86600     256   86472  2949371  34.06
  1950          37     0.00320  0.00320  0.50   86344     276   86206  2862898  33.16
  1950          38     0.00309  0.00309  0.50   86068     266   85935  2776692  32.26
  1950          39     0.00354  0.00353  0.50   85802     303   85651  2690757  31.36
  1950          40     0.00414  0.00413  0.50   85499     354   85322  2605107  30.47
  1950          41     0.00419  0.00418  0.50   85146     356   84968  2519784  29.59
  1950          42     0.00483  0.00482  0.50   84790     409   84585  2434817  28.72
  1950          43     0.00532  0.00530  0.50   84381     447   84157  2350231  27.85
  1950          44     0.00553  0.00551  0.50   83934     463   83702  2266074  27.00
  1950          45     0.00595  0.00593  0.50   83471     495   83223  2182372  26.15
  1950          46     0.00623  0.00621  0.50   82976     515   82718  2099148  25.30
  1950          47     0.00700  0.00697  0.50   82461     575   82173  2016430  24.45
  1950          48     0.00765  0.00762  0.50   81886     624   81574  1934257  23.62
  1950          49     0.00895  0.00891  0.50   81262     724   80900  1852683  22.80
  1950          50     0.01032  0.01027  0.50   80537     827   80124  1771784  22.00
  1950          51     0.01042  0.01037  0.50   79711     826   79298  1691660  21.22
  1950          52     0.01202  0.01195  0.50   78884     942   78413  1612362  20.44
  1950          53     0.01374  0.01365  0.50   77942    1064   77410  1533949  19.68
  1950          54     0.01474  0.01463  0.50   76878    1125   76316  1456539  18.95
  1950          55     0.01655  0.01642  0.50   75753    1244   75132  1380223  18.22
  1950          56     0.01770  0.01754  0.50   74510    1307   73856  1305091  17.52
  1950          57     0.01809  0.01793  0.50   73203    1312   72547  1231235  16.82
  1950          58     0.02018  0.01998  0.50   71891    1436   71172  1158688  16.12
  1950          59     0.02205  0.02181  0.50   70454    1536   69686  1087516  15.44
  1950          60     0.02581  0.02548  0.50   68918    1756   68040  1017830  14.77
  1950          61     0.02767  0.02729  0.50   67162    1833   66246   949789  14.14
  1950          62     0.02932  0.02889  0.50   65329    1888   64386   883544  13.52
  1950          63     0.03337  0.03282  0.50   63442    2082   62401   819158  12.91
  1950          64     0.03394  0.03338  0.50   61360    2048   60336   756757  12.33
  1950          65     0.03815  0.03744  0.50   59312    2220   58201   696422  11.74
  1950          66     0.04131  0.04048  0.50   57091    2311   55936   638220  11.18
  1950          67     0.04363  0.04270  0.50   54780    2339   53611   582285  10.63
  1950          68     0.05076  0.04951  0.50   52441    2596   51143   528674  10.08
  1950          69     0.04981  0.04860  0.50   49845    2423   48634   477531   9.58
  1950          70     0.05826  0.05661  0.50   47422    2685   46080   428897   9.04
  1950          71     0.06625  0.06413  0.50   44738    2869   43303   382817   8.56
  1950          72     0.07019  0.06781  0.50   41869    2839   40449   339514   8.11
  1950          73     0.07422  0.07157  0.50   39030    2793   37633   299065   7.66
  1950          74     0.08761  0.08393  0.50   36236    3041   34716   261432   7.21
  1950          75     0.09037  0.08646  0.50   33195    2870   31760   226716   6.83
  1950          76     0.10033  0.09554  0.50   30325    2897   28876   194956   6.43
  1950          77     0.10452  0.09933  0.50   27428    2724   26066   166079   6.06
  1950          78     0.11036  0.10458  0.50   24703    2584   23412   140014   5.67
  1950          79     0.12917  0.12133  0.50   22120    2684   20778   116602   5.27
  1950          80     0.14503  0.13523  0.50   19436    2628   18122    95824   4.93
  1950          81     0.14657  0.13656  0.50   16808    2295   15660    77702   4.62
  1950          82     0.17747  0.16300  0.50   14512    2366   13330    62042   4.28
  1950          83     0.19080  0.17418  0.50   12147    2116   11089    48713   4.01
  1950          84     0.21930  0.19763  0.50   10031    1982    9040    37624   3.75
  1950          85     0.21255  0.19213  0.50    8049    1546    7275    28584   3.55
  1950          86     0.25942  0.22964  0.50    6502    1493    5756    21308   3.28
  1950          87     0.27410  0.24106  0.50    5009    1208    4405    15553   3.10
  1950          88     0.26966  0.23762  0.50    3802     903    3350    11147   2.93
  1950          89     0.33583  0.28755  0.50    2898     833    2482     7797   2.69
  1950          90     0.31445  0.27173  0.50    2065     561    1784     5316   2.57
  1950          91     0.38496  0.32283  0.50    1504     485    1261     3531   2.35
  1950          92     0.41801  0.34574  0.50    1018     352     842     2270   2.23
  1950          93     0.42503  0.35054  0.50     666     234     549     1428   2.14
  1950          94     0.45339  0.36960  0.50     433     160     353      879   2.03
  1950          95     0.48205  0.38843  0.50     273     106     220      526   1.93
  1950          96     0.51082  0.40690  0.50     167      68     133      306   1.83
  1950          97     0.53953  0.42491  0.50      99      42      78      173   1.75
  1950          98     0.56798  0.44235  0.50      57      25      44       95   1.67
  1950          99     0.59598  0.45916  0.50      32      15      24       51   1.60
  1950         100     0.62338  0.47525  0.50      17       8      13       26   1.54
  1950         101     0.65000  0.49057  0.50       9       4       7       13   1.49
  1950         102     0.67573  0.50508  0.50       5       2       3        7   1.44
  1950         103     0.70043  0.51876  0.50       2       1       2        3   1.39
  1950         104     0.72402  0.53158  0.50       1       1       1        1   1.35
  1950         105     0.74643  0.54356  0.50       1       0       0        1   1.31
  1950         106     0.76760  0.55470  0.50       0       0       0        0   1.28
  1950         107     0.78751  0.56503  0.50       0       0       0        0   1.25
  1950         108     0.80614  0.57455  0.50       0       0       0        0   1.23
  1950         109     0.82350  0.58332  0.50       0       0       0        0   1.20
  1950         110+    0.83962  1.00000  1.19       0       0       0        0   1.19
  1951           0     0.06574  0.06254  0.22  100000    6254   95131  6274517  62.75
  1951           1     0.00540  0.00539  0.50   93746     505   93494  6179386  65.92
  1951           2     0.00242  0.00241  0.50   93241     225   93129  6085892  65.27
  1951           3     0.00167  0.00166  0.50   93016     155   92939  5992764  64.43
  1951           4     0.00128  0.00128  0.50   92861     119   92802  5899825  63.53
  1951           5     0.00086  0.00086  0.50   92742      80   92703  5807023  62.61
  1951           6     0.00086  0.00086  0.50   92663      79   92623  5714320  61.67
  1951           7     0.00092  0.00092  0.50   92583      85   92541  5621697  60.72
  1951           8     0.00086  0.00086  0.50   92498      80   92458  5529157  59.78
  1951           9     0.00083  0.00083  0.50   92419      77   92380  5436698  58.83
  1951          10     0.00067  0.00067  0.50   92342      62   92311  5344318  57.88
  1951          11     0.00084  0.00084  0.50   92280      78   92241  5252008  56.91
  1951          12     0.00059  0.00059  0.50   92202      55   92175  5159767  55.96
  1951          13     0.00071  0.00071  0.50   92147      65   92115  5067592  54.99
  1951          14     0.00120  0.00120  0.50   92082     110   92027  4975478  54.03
  1951          15     0.00088  0.00088  0.50   91972      81   91931  4883451  53.10
  1951          16     0.00129  0.00129  0.50   91891     118   91832  4791520  52.14
  1951          17     0.00160  0.00160  0.50   91773     147   91699  4699688  51.21
  1951          18     0.00174  0.00174  0.50   91626     160   91546  4607989  50.29
  1951          19     0.00191  0.00191  0.50   91466     175   91379  4516443  49.38
  1951          20     0.00217  0.00217  0.50   91291     198   91192  4425064  48.47
  1951          21     0.00192  0.00192  0.50   91093     175   91006  4333872  47.58
  1951          22     0.00220  0.00219  0.50   90918     199   90819  4242867  46.67
  1951          23     0.00234  0.00234  0.50   90719     212   90613  4152048  45.77
  1951          24     0.00222  0.00221  0.50   90507     200   90406  4061435  44.87
  1951          25     0.00226  0.00226  0.50   90306     204   90204  3971029  43.97
  1951          26     0.00205  0.00205  0.50   90102     184   90010  3880825  43.07
  1951          27     0.00229  0.00229  0.50   89918     206   89815  3790815  42.16
  1951          28     0.00248  0.00247  0.50   89712     222   89601  3701000  41.25
  1951          29     0.00208  0.00208  0.50   89490     186   89397  3611399  40.36
  1951          30     0.00273  0.00272  0.50   89304     243   89183  3522002  39.44
  1951          31     0.00284  0.00283  0.50   89061     252   88935  3432820  38.54
  1951          32     0.00196  0.00196  0.50   88809     174   88722  3343885  37.65
  1951          33     0.00302  0.00301  0.50   88635     267   88501  3255163  36.73
  1951          34     0.00277  0.00277  0.50   88368     245   88245  3166662  35.84
  1951          35     0.00318  0.00318  0.50   88123     280   87983  3078417  34.93
  1951          36     0.00283  0.00283  0.50   87843     249   87718  2990434  34.04
  1951          37     0.00282  0.00281  0.50   87594     246   87471  2902716  33.14
  1951          38     0.00291  0.00291  0.50   87348     254   87221  2815245  32.23
  1951          39     0.00341  0.00341  0.50   87094     297   86946  2728024  31.32
  1951          40     0.00350  0.00350  0.50   86797     303   86646  2641078  30.43
  1951          41     0.00419  0.00418  0.50   86494     362   86313  2554433  29.53
  1951          42     0.00447  0.00446  0.50   86132     385   85940  2468120  28.66
  1951          43     0.00458  0.00457  0.50   85747     392   85552  2382180  27.78
  1951          44     0.00535  0.00534  0.50   85356     455   85128  2296629  26.91
  1951          45     0.00554  0.00552  0.50   84900     469   84666  2211501  26.05
  1951          46     0.00623  0.00621  0.50   84431     524   84169  2126835  25.19
  1951          47     0.00677  0.00675  0.50   83907     566   83624  2042665  24.34
  1951          48     0.00837  0.00834  0.50   83341     695   82994  1959041  23.51
  1951          49     0.00920  0.00916  0.50   82646     757   82268  1876048  22.70
  1951          50     0.01005  0.01000  0.50   81889     819   81480  1793780  21.90
  1951          51     0.01054  0.01048  0.50   81070     850   80645  1712300  21.12
  1951          52     0.01250  0.01243  0.50   80220     997   79722  1631655  20.34
  1951          53     0.01372  0.01363  0.50   79224    1080   78684  1551933  19.59
  1951          54     0.01475  0.01464  0.50   78144    1144   77572  1473249  18.85
  1951          55     0.01744  0.01729  0.50   77000    1332   76334  1395677  18.13
  1951          56     0.01737  0.01722  0.50   75668    1303   75017  1319343  17.44
  1951          57     0.01866  0.01849  0.50   74365    1375   73678  1244326  16.73
  1951          58     0.02027  0.02007  0.50   72991    1465   72258  1170648  16.04
  1951          59     0.02341  0.02314  0.50   71526    1655   70699  1098390  15.36
  1951          60     0.02579  0.02547  0.50   69871    1779   68982  1027691  14.71
  1951          61     0.02829  0.02789  0.50   68092    1899   67142   958710  14.08
  1951          62     0.02885  0.02844  0.50   66193    1883   65251   891567  13.47
  1951          63     0.03205  0.03155  0.50   64310    2029   63296   826316  12.85
  1951          64     0.03629  0.03565  0.50   62281    2220   61171   763020  12.25
  1951          65     0.03815  0.03743  0.50   60061    2248   58937   701849  11.69
  1951          66     0.04244  0.04155  0.50   57813    2402   56612   642912  11.12
  1951          67     0.04469  0.04372  0.50   55410    2422   54199   586301  10.58
  1951          68     0.04787  0.04675  0.50   52988    2477   51749   532102  10.04
  1951          69     0.05238  0.05104  0.50   50511    2578   49222   480352   9.51
  1951          70     0.05761  0.05599  0.50   47933    2684   46591   431131   8.99
  1951          71     0.06301  0.06108  0.50   45249    2764   43867   384540   8.50
  1951          72     0.07213  0.06962  0.50   42485    2958   41006   340673   8.02
  1951          73     0.07734  0.07446  0.50   39527    2943   38055   299667   7.58
  1951          74     0.08047  0.07736  0.50   36584    2830   35169   261612   7.15
  1951          75     0.09362  0.08943  0.50   33754    3019   32245   226443   6.71
  1951          76     0.09713  0.09263  0.50   30735    2847   29312   194199   6.32
  1951          77     0.10817  0.10262  0.50   27888    2862   26457   164887   5.91
  1951          78     0.12112  0.11420  0.50   25026    2858   23597   138430   5.53
  1951          79     0.13144  0.12333  0.50   22168    2734   20801   114833   5.18
  1951          80     0.14100  0.13171  0.50   19434    2560   18154    94031   4.84
  1951          81     0.16035  0.14845  0.50   16874    2505   15622    75877   4.50
  1951          82     0.17597  0.16174  0.50   14369    2324   13207    60255   4.19
  1951          83     0.20186  0.18336  0.50   12045    2209   10941    47048   3.91
  1951          84     0.21251  0.19210  0.50    9837    1890    8892    36107   3.67
  1951          85     0.24359  0.21714  0.50    7947    1726    7084    27215   3.42
  1951          86     0.24183  0.21574  0.50    6221    1342    5550    20131   3.24
  1951          87     0.27548  0.24213  0.50    4879    1181    4289    14580   2.99
  1951          88     0.32322  0.27825  0.50    3698    1029    3183    10292   2.78
  1951          89     0.34142  0.29163  0.50    2669     778    2280     7108   2.66
  1951          90     0.34930  0.29737  0.50    1891     562    1609     4829   2.55
  1951          91     0.33999  0.29059  0.50    1328     386    1135     3219   2.42
  1951          92     0.40874  0.33938  0.50     942     320     782     2084   2.21
  1951          93     0.43731  0.35885  0.50     623     223     511     1301   2.09
  1951          94     0.46630  0.37814  0.50     399     151     324      791   1.98
  1951          95     0.49552  0.39713  0.50     248      99     199      467   1.88
  1951          96     0.52478  0.41570  0.50     150      62     119      268   1.79
  1951          97     0.55386  0.43374  0.50      87      38      68      149   1.71
  1951          98     0.58258  0.45116  0.50      50      22      38       81   1.64
  1951          99     0.61075  0.46787  0.50      27      13      21       43   1.57
  1951         100     0.63820  0.48381  0.50      14       7      11       22   1.51
  1951         101     0.66478  0.49894  0.50       7       4       6       11   1.46
  1951         102     0.69035  0.51320  0.50       4       2       3        5   1.41
  1951         103     0.71481  0.52660  0.50       2       1       1        2   1.36
  1951         104     0.73806  0.53911  0.50       1       0       1        1   1.33
  1951         105     0.76006  0.55076  0.50       0       0       0        1   1.29
  1951         106     0.78076  0.56155  0.50       0       0       0        0   1.26
  1951         107     0.80015  0.57150  0.50       0       0       0        0   1.23
  1951         108     0.81822  0.58066  0.50       0       0       0        0   1.21
  1951         109     0.83499  0.58906  0.50       0       0       0        0   1.19
  1951         110+    0.85049  1.00000  1.18       0       0       0        0   1.18
  1952           0     0.05180  0.04970  0.18  100000    4970   95945  6441770  64.42
  1952           1     0.00401  0.00400  0.50   95030     380   94840  6345825  66.78
  1952           2     0.00197  0.00197  0.50   94650     187   94556  6250985  66.04
  1952           3     0.00130  0.00130  0.50   94463     123   94401  6156429  65.17
  1952           4     0.00098  0.00098  0.50   94340      92   94294  6062028  64.26
  1952           5     0.00091  0.00091  0.50   94248      86   94205  5967734  63.32
