East Germany, Life tables (period 1x1), Females     Last modified: 31-Oct-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1956           0     0.04121  0.03985  0.17  100000    3985   96686  7088186  70.88
  1956           1     0.00344  0.00344  0.50   96015     330   95850  6991500  72.82
  1956           2     0.00163  0.00163  0.50   95685     156   95607  6895649  72.07
  1956           3     0.00093  0.00093  0.50   95530      89   95485  6800042  71.18
  1956           4     0.00079  0.00079  0.50   95441      76   95403  6704557  70.25
  1956           5     0.00054  0.00054  0.50   95365      52   95339  6609154  69.30
  1956           6     0.00043  0.00043  0.50   95313      41   95293  6513815  68.34
  1956           7     0.00037  0.00037  0.50   95273      36   95255  6418521  67.37
  1956           8     0.00039  0.00039  0.50   95237      37   95219  6323266  66.39
  1956           9     0.00040  0.00040  0.50   95200      38   95181  6228047  65.42
  1956          10     0.00029  0.00029  0.50   95162      28   95149  6132866  64.45
  1956          11     0.00040  0.00040  0.50   95135      38   95116  6037717  63.46
  1956          12     0.00034  0.00034  0.50   95097      32   95081  5942601  62.49
  1956          13     0.00043  0.00043  0.50   95065      41   95045  5847520  61.51
  1956          14     0.00035  0.00035  0.50   95024      33   95008  5752476  60.54
  1956          15     0.00050  0.00050  0.50   94991      47   94967  5657468  59.56
  1956          16     0.00052  0.00052  0.50   94944      49   94919  5562501  58.59
  1956          17     0.00063  0.00063  0.50   94894      59   94865  5467582  57.62
  1956          18     0.00071  0.00071  0.50   94835      67   94802  5372717  56.65
  1956          19     0.00072  0.00072  0.50   94768      68   94734  5277916  55.69
  1956          20     0.00068  0.00068  0.50   94700      65   94668  5183181  54.73
  1956          21     0.00084  0.00084  0.50   94635      80   94596  5088514  53.77
  1956          22     0.00070  0.00070  0.50   94556      66   94523  4993918  52.81
  1956          23     0.00111  0.00111  0.50   94490     105   94437  4899395  51.85
  1956          24     0.00101  0.00101  0.50   94385      95   94337  4804958  50.91
  1956          25     0.00081  0.00081  0.50   94289      76   94251  4710621  49.96
  1956          26     0.00112  0.00112  0.50   94213     105   94160  4616370  49.00
  1956          27     0.00103  0.00103  0.50   94108      97   94059  4522210  48.05
  1956          28     0.00091  0.00091  0.50   94011      86   93968  4428150  47.10
  1956          29     0.00096  0.00096  0.50   93925      90   93880  4334182  46.15
  1956          30     0.00114  0.00114  0.50   93835     107   93781  4240303  45.19
  1956          31     0.00132  0.00132  0.50   93728     124   93666  4146521  44.24
  1956          32     0.00145  0.00145  0.50   93604     136   93536  4052856  43.30
