East Germany, Life tables (period 1x1), Males     Last modified: 31-Oct-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1956           0     0.05273  0.05056  0.19  100000    5056   95887  6639153  66.39
  1956           1     0.00445  0.00444  0.50   94944     422   94733  6543265  68.92
  1956           2     0.00216  0.00216  0.50   94522     204   94420  6448532  68.22
  1956           3     0.00132  0.00132  0.50   94318     125   94256  6354112  67.37
  1956           4     0.00105  0.00105  0.50   94193      99   94144  6259856  66.46
  1956           5     0.00097  0.00097  0.50   94095      92   94049  6165712  65.53
  1956           6     0.00075  0.00075  0.50   94003      71   93968  6071663  64.59
  1956           7     0.00063  0.00063  0.50   93932      59   93903  5977695  63.64
  1956           8     0.00062  0.00062  0.50   93873      58   93844  5883793  62.68
  1956           9     0.00068  0.00068  0.50   93815      64   93783  5789949  61.72
  1956          10     0.00052  0.00052  0.50   93751      48   93727  5696166  60.76
  1956          11     0.00064  0.00064  0.50   93703      60   93672  5602439  59.79
  1956          12     0.00056  0.00056  0.50   93642      53   93616  5508767  58.83
  1956          13     0.00057  0.00057  0.50   93590      53   93563  5415151  57.86
  1956          14     0.00066  0.00066  0.50   93537      62   93506  5321588  56.89
  1956          15     0.00077  0.00077  0.50   93475      72   93439  5228082  55.93
  1956          16     0.00091  0.00091  0.50   93403      85   93361  5134643  54.97
  1956          17     0.00094  0.00093  0.50   93318      87   93275  5041282  54.02
  1956          18     0.00145  0.00145  0.50   93231     135   93164  4948007  53.07
  1956          19     0.00149  0.00149  0.50   93096     138   93027  4854844  52.15
  1956          20     0.00164  0.00164  0.50   92958     152   92882  4761817  51.23
  1956          21     0.00161  0.00161  0.50   92806     149   92731  4668935  50.31
  1956          22     0.00161  0.00161  0.50   92656     149   92582  4576204  49.39
  1956          23     0.00176  0.00176  0.50   92507     163   92426  4483622  48.47
  1956          24     0.00174  0.00173  0.50   92345     160   92265  4391196  47.55
  1956          25     0.00191  0.00190  0.50   92184     175   92097  4298932  46.63
  1956          26     0.00176  0.00176  0.50   92009     162   91928  4206835  45.72
  1956          27     0.00146  0.00146  0.50   91847     134   91780  4114907  44.80
  1956          28     0.00179  0.00179  0.50   91713     164   91631  4023126  43.87
