Germany, Life tables (period 1x1), Females     Last modified: 26-Oct-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1990           0     0.00610  0.00606  0.07  100000     606   99436  7842604  78.43
  1990           1     0.00061  0.00061  0.50   99394      61   99363  7743168  77.90
  1990           2     0.00035  0.00035  0.50   99333      35   99315  7643805  76.95
  1990           3     0.00032  0.00032  0.50   99297      32   99282  7544490  75.98
  1990           4     0.00021  0.00021  0.50   99266      21   99256  7445208  75.00
  1990           5     0.00021  0.00021  0.50   99245      20   99235  7345953  74.02
  1990           6     0.00022  0.00022  0.50   99225      22   99214  7246717  73.03
  1990           7     0.00022  0.00022  0.50   99203      22   99192  7147503  72.05
  1990           8     0.00019  0.00019  0.50   99181      19   99172  7048311  71.06
  1990           9     0.00015  0.00015  0.50   99163      14   99155  6949139  70.08
  1990          10     0.00014  0.00014  0.50   99148      14   99141  6849984  69.09
  1990          11     0.00013  0.00013  0.50   99134      13   99128  6750842  68.10
  1990          12     0.00014  0.00014  0.50   99121      14   99114  6651714  67.11
  1990          13     0.00019  0.00019  0.50   99107      19   99098  6552600  66.12
  1990          14     0.00022  0.00022  0.50   99088      22   99077  6453503  65.13
  1990          15     0.00025  0.00025  0.50   99066      25   99053  6354426  64.14
  1990          16     0.00027  0.00027  0.50   99041      27   99028  6255373  63.16
  1990          17     0.00030  0.00030  0.50   99014      30   98999  6156345  62.18
  1990          18     0.00035  0.00035  0.50   98984      35   98967  6057346  61.20
  1990          19     0.00040  0.00040  0.50   98949      40   98929  5958379  60.22
  1990          20     0.00041  0.00041  0.50   98909      41   98889  5859450  59.24
  1990          21     0.00038  0.00038  0.50   98869      37   98850  5760561  58.26
  1990          22     0.00040  0.00040  0.50   98831      39   98812  5661711  57.29
  1990          23     0.00043  0.00043  0.50   98792      42   98771  5562899  56.31
  1990          24     0.00040  0.00040  0.50   98750      40   98730  5464128  55.33
  1990          25     0.00042  0.00042  0.50   98710      42   98689  5365398  54.36
  1990          26     0.00038  0.00038  0.50   98668      38   98649  5266709  53.38
  1990          27     0.00042  0.00042  0.50   98630      41   98610  5168060  52.40
  1990          28     0.00041  0.00041  0.50   98589      41   98569  5069450  51.42
  1990          29     0.00053  0.00053  0.50   98549      53   98522  4970881  50.44
  1990          30     0.00054  0.00054  0.50   98496      53   98469  4872359  49.47
  1990          31     0.00059  0.00059  0.50   98443      58   98414  4773889  48.49
  1990          32     0.00061  0.00061  0.50   98385      60   98355  4675476  47.52
  1990          33     0.00063  0.00063  0.50   98325      62   98294  4577121  46.55
  1990          34     0.00078  0.00078  0.50   98263      76   98225  4478827  45.58
  1990          35     0.00083  0.00083  0.50   98187      81   98146  4380601  44.61
  1990          36     0.00100  0.00100  0.50   98106      98   98057  4282455  43.65
  1990          37     0.00103  0.00103  0.50   98008     101   97957  4184399  42.69
  1990          38     0.00109  0.00109  0.50   97907     107   97854  4086441  41.74
  1990          39     0.00123  0.00123  0.50   97800     121   97740  3988588  40.78
  1990          40     0.00136  0.00136  0.50   97680     133   97613  3890848  39.83
  1990          41     0.00138  0.00138  0.50   97547     135   97480  3793235  38.89
  1990          42     0.00152  0.00151  0.50   97412     148   97339  3695755  37.94
  1990          43     0.00166  0.00166  0.50   97265     162   97184  3598416  37.00
  1990          44     0.00177  0.00177  0.50   97103     172   97017  3501233  36.06
  1990          45     0.00207  0.00207  0.50   96931     201   96831  3404216  35.12
  1990          46     0.00225  0.00225  0.50   96730     218   96621  3307385  34.19
