Germany, Life tables (period 1x1), Males     Last modified: 26-Oct-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1990           0     0.00808  0.00802  0.07  100000     802   99252  7193233  71.93
  1990           1     0.00067  0.00067  0.50   99198      67   99165  7093982  71.51
  1990           2     0.00046  0.00046  0.50   99131      46   99109  6994817  70.56
  1990           3     0.00042  0.00042  0.50   99086      42   99065  6895708  69.59
  1990           4     0.00030  0.00030  0.50   99044      30   99029  6796644  68.62
  1990           5     0.00029  0.00029  0.50   99014      29   98999  6697615  67.64
  1990           6     0.00022  0.00022  0.50   98985      21   98974  6598616  66.66
  1990           7     0.00027  0.00027  0.50   98963      26   98950  6499642  65.68
  1990           8     0.00026  0.00026  0.50   98937      25   98924  6400692  64.69
  1990           9     0.00018  0.00018  0.50   98912      18   98903  6301767  63.71
  1990          10     0.00021  0.00021  0.50   98894      21   98883  6202864  62.72
  1990          11     0.00023  0.00023  0.50   98873      23   98861  6103981  61.74
  1990          12     0.00018  0.00018  0.50   98850      18   98841  6005119  60.75
  1990          13     0.00025  0.00025  0.50   98832      24   98819  5906279  59.76
  1990          14     0.00035  0.00035  0.50   98807      34   98790  5807459  58.78
  1990          15     0.00039  0.00039  0.50   98773      39   98754  5708669  57.80
  1990          16     0.00056  0.00056  0.50   98734      55   98707  5609916  56.82
  1990          17     0.00067  0.00067  0.50   98679      66   98646  5511209  55.85
  1990          18     0.00114  0.00114  0.50   98613     113   98557  5412563  54.89
  1990          19     0.00114  0.00114  0.50   98500     112   98444  5314007  53.95
  1990          20     0.00109  0.00109  0.50   98388     107   98335  5215562  53.01
  1990          21     0.00120  0.00120  0.50   98281     118   98222  5117228  52.07
  1990          22     0.00111  0.00111  0.50   98163     109   98109  5019006  51.13
  1990          23     0.00109  0.00109  0.50   98054     107   98001  4920897  50.19
  1990          24     0.00098  0.00097  0.50   97947      95   97899  4822897  49.24
