West Germany, Life tables (period 1x1), Females     Last modified: 31-Oct-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1956           0     0.03608  0.03501  0.15  100000    3501   97038  7089009  70.89
  1956           1     0.00240  0.00240  0.50   96499     231   96384  6991971  72.46
  1956           2     0.00137  0.00136  0.50   96268     131   96202  6895587  71.63
  1956           3     0.00092  0.00092  0.50   96137      89   96092  6799384  70.73
  1956           4     0.00075  0.00075  0.50   96048      72   96012  6703292  69.79
  1956           5     0.00065  0.00065  0.50   95976      62   95945  6607280  68.84
  1956           6     0.00049  0.00049  0.50   95914      47   95890  6511335  67.89
  1956           7     0.00042  0.00042  0.50   95867      40   95846  6415445  66.92
  1956           8     0.00041  0.00041  0.50   95826      39   95807  6319598  65.95
  1956           9     0.00034  0.00034  0.50   95787      33   95771  6223792  64.98
  1956          10     0.00032  0.00032  0.50   95755      31   95739  6128021  64.00
  1956          11     0.00029  0.00029  0.50   95724      28   95710  6032282  63.02
  1956          12     0.00030  0.00030  0.50   95696      28   95681  5936572  62.04
  1956          13     0.00026  0.00026  0.50   95667      25   95655  5840891  61.05
  1956          14     0.00037  0.00037  0.50   95642      36   95624  5745236  60.07
  1956          15     0.00045  0.00045  0.50   95606      43   95585  5649612  59.09
  1956          16     0.00047  0.00047  0.50   95563      45   95541  5554027  58.12
  1956          17     0.00055  0.00055  0.50   95518      52   95492  5458486  57.15
  1956          18     0.00049  0.00049  0.50   95466      47   95443  5362994  56.18
  1956          19     0.00053  0.00053  0.50   95419      51   95394  5267552  55.20
  1956          20     0.00071  0.00071  0.50   95369      68   95335  5172158  54.23
  1956          21     0.00068  0.00068  0.50   95300      65   95268  5076824  53.27
  1956          22     0.00066  0.00066  0.50   95236      63   95204  4981555  52.31
  1956          23     0.00079  0.00078  0.50   95173      75   95135  4886351  51.34
  1956          24     0.00081  0.00081  0.50   95098      77   95059  4791216  50.38
  1956          25     0.00088  0.00088  0.50   95021      83   94979  4696157  49.42
  1956          26     0.00092  0.00091  0.50   94937      87   94894  4601177  48.47
  1956          27     0.00095  0.00095  0.50   94851      90   94806  4506283  47.51
  1956          28     0.00101  0.00101  0.50   94760      96   94712  4411478  46.55
  1956          29     0.00118  0.00118  0.50   94665     112   94609  4316765  45.60
  1956          30     0.00119  0.00119  0.50   94553     113   94497  4222156  44.65
  1956          31     0.00119  0.00119  0.50   94440     112   94384  4127660  43.71
  1956          32     0.00122  0.00122  0.50   94328     115   94270  4033276  42.76
  1956          33     0.00139  0.00139  0.50   94213     131   94147  3939006  41.81
  1956          34     0.00135  0.00135  0.50   94082     127   94018  3844858  40.87
  1956          35     0.00144  0.00144  0.50   93955     136   93887  3750840  39.92
  1956          36     0.00173  0.00173  0.50   93819     162   93738  3656953  38.98
  1956          37     0.00158  0.00158  0.50   93657     148   93583  3563215  38.05
  1956          38     0.00196  0.00196  0.50   93509     183   93417  3469632  37.10
  1956          39     0.00200  0.00200  0.50   93326     186   93233  3376215  36.18
  1956          40     0.00215  0.00215  0.50   93139     200   93039  3282982  35.25
  1956          41     0.00255  0.00255  0.50   92939     237   92821  3189943  34.32
  1956          42     0.00249  0.00249  0.50   92702     231   92587  3097122  33.41
  1956          43     0.00275  0.00274  0.50   92472     254   92345  3004535  32.49
  1956          44     0.00289  0.00289  0.50   92218     266   92085  2912190  31.58
  1956          45     0.00321  0.00321  0.50   91952     295   91804  2820105  30.67
  1956          46     0.00329  0.00328  0.50   91657     301   91506  2728301  29.77
  1956          47     0.00364  0.00363  0.50   91356     332   91190  2636795  28.86
  1956          48     0.00402  0.00401  0.50   91024     365   90842  2545605  27.97
  1956          49     0.00454  0.00453  0.50   90659     410   90454  2454763  27.08
  1956          50     0.00475  0.00473  0.50   90249     427   90035  2364309  26.20
  1956          51     0.00516  0.00514  0.50   89822     462   89591  2274274  25.32
  1956          52     0.00574  0.00572  0.50   89360     511   89104  2184684  24.45
  1956          53     0.00604  0.00602  0.50   88848     535   88581  2095580  23.59
  1956          54     0.00676  0.00674  0.50   88313     595   88016  2006999  22.73
  1956          55     0.00728  0.00726  0.50   87719     636   87400  1918983  21.88
  1956          56     0.00812  0.00809  0.50   87082     705   86730  1831582  21.03
  1956          57     0.00875  0.00871  0.50   86378     752   86001  1744852  20.20
  1956          58     0.00928  0.00924  0.50   85625     791   85230  1658851  19.37
  1956          59     0.01058  0.01052  0.50   84834     893   84388  1573621  18.55
  1956          60     0.01171  0.01165  0.50   83941     978   83453  1489234  17.74
  1956          61     0.01285  0.01277  0.50   82964    1060   82434  1405781  16.94
  1956          62     0.01485  0.01474  0.50   81904    1207   81301  1323347  16.16
  1956          63     0.01644  0.01631  0.50   80697    1316   80039  1242047  15.39
  1956          64     0.01835  0.01818  0.50   79381    1443   78660  1162008  14.64
  1956          65     0.02073  0.02052  0.50   77938    1599   77139  1083348  13.90
  1956          66     0.02286  0.02261  0.50   76339    1726   75476  1006209  13.18
  1956          67     0.02566  0.02533  0.50   74613    1890   73668   930733  12.47
  1956          68     0.02984  0.02940  0.50   72723    2138   71654   857065  11.79
  1956          69     0.03340  0.03285  0.50   70585    2319   69426   785411  11.13
  1956          70     0.03859  0.03786  0.50   68266    2585   66974   715985  10.49
  1956          71     0.04240  0.04152  0.50   65682    2727   64318   649011   9.88
  1956          72     0.04787  0.04676  0.50   62954    2943   61483   584693   9.29
  1956          73     0.05429  0.05285  0.50   60011    3172   58425   523210   8.72
  1956          74     0.06199  0.06012  0.50   56839    3417   55131   464785   8.18
  1956          75     0.06835  0.06609  0.50   53422    3531   51657   409654   7.67
  1956          76     0.07701  0.07415  0.50   49891    3700   48041   357998   7.18
  1956          77     0.08856  0.08480  0.50   46192    3917   44233   309956   6.71
  1956          78     0.09805  0.09347  0.50   42275    3951   40299   265723   6.29
  1956          79     0.11202  0.10608  0.50   38323    4065   36291   225424   5.88
  1956          80     0.12005  0.11325  0.50   34258    3880   32318   189134   5.52
  1956          81     0.13160  0.12347  0.50   30378    3751   28503   156816   5.16
  1956          82     0.14848  0.13822  0.50   26627    3680   24787   128313   4.82
  1956          83     0.16313  0.15083  0.50   22947    3461   21216   103526   4.51
  1956          84     0.17769  0.16319  0.50   19486    3180   17896    82310   4.22
  1956          85     0.19651  0.17893  0.50   16306    2918   14847    64414   3.95
  1956          86     0.21947  0.19777  0.50   13388    2648   12064    49567   3.70
  1956          87     0.23094  0.20704  0.50   10741    2224    9629    37502   3.49
  1956          88     0.25269  0.22435  0.50    8517    1911    7561    27874   3.27
  1956          89     0.26859  0.23679  0.50    6606    1564    5824    20312   3.07
  1956          90     0.29970  0.26064  0.50    5042    1314    4385    14488   2.87
  1956          91     0.32025  0.27605  0.50    3728    1029    3213    10103   2.71
  1956          92     0.35431  0.30099  0.50    2699     812    2293     6890   2.55
