West Germany, Life tables (period 1x1), Males     Last modified: 31-Oct-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1956           0     0.04555  0.04389  0.17  100000    4389   96345  6593074  65.93
  1956           1     0.00305  0.00305  0.50   95611     292   95466  6496728  67.95
  1956           2     0.00150  0.00150  0.50   95320     143   95248  6401262  67.16
  1956           3     0.00123  0.00123  0.50   95177     117   95118  6306014  66.26
  1956           4     0.00098  0.00098  0.50   95060      93   95013  6210895  65.34
  1956           5     0.00088  0.00088  0.50   94967      83   94925  6115882  64.40
  1956           6     0.00085  0.00085  0.50   94884      81   94843  6020957  63.46
  1956           7     0.00064  0.00064  0.50   94803      61   94772  5926114  62.51
  1956           8     0.00054  0.00054  0.50   94742      51   94717  5831342  61.55
  1956           9     0.00056  0.00056  0.50   94691      53   94665  5736625  60.58
  1956          10     0.00042  0.00042  0.50   94638      40   94619  5641960  59.62
  1956          11     0.00054  0.00054  0.50   94599      51   94573  5547342  58.64
  1956          12     0.00049  0.00049  0.50   94547      46   94524  5452769  57.67
  1956          13     0.00053  0.00053  0.50   94501      51   94476  5358245  56.70
  1956          14     0.00067  0.00067  0.50   94450      63   94419  5263769  55.73
  1956          15     0.00076  0.00076  0.50   94388      71   94352  5169350  54.77
  1956          16     0.00095  0.00095  0.50   94316      90   94271  5074998  53.81
  1956          17     0.00111  0.00111  0.50   94226     105   94174  4980727  52.86
  1956          18     0.00143  0.00143  0.50   94122     134   94054  4886552  51.92
  1956          19     0.00177  0.00177  0.50   93987     166   93904  4792498  50.99
  1956          20     0.00192  0.00192  0.50   93821     180   93731  4698594  50.08
  1956          21     0.00204  0.00204  0.50   93641     191   93546  4604863  49.18
  1956          22     0.00193  0.00193  0.50   93450     180   93360  4511317  48.28
  1956          23     0.00188  0.00188  0.50   93270     175   93183  4417957  47.37
  1956          24     0.00189  0.00188  0.50   93095     175   93007  4324774  46.46
  1956          25     0.00174  0.00174  0.50   92920     161   92839  4231767  45.54
  1956          26     0.00175  0.00175  0.50   92758     162   92677  4138928  44.62
  1956          27     0.00194  0.00194  0.50   92596     179   92506  4046250  43.70
  1956          28     0.00179  0.00179  0.50   92417     166   92334  3953744  42.78
  1956          29     0.00190  0.00190  0.50   92251     175   92164  3861410  41.86
  1956          30     0.00175  0.00174  0.50   92076     161   91996  3769247  40.94
  1956          31     0.00185  0.00184  0.50   91915     169   91831  3677251  40.01
  1956          32     0.00206  0.00206  0.50   91746     189   91652  3585420  39.08
  1956          33     0.00187  0.00187  0.50   91557     171   91471  3493769  38.16
  1956          34     0.00217  0.00217  0.50   91386     198   91287  3402297  37.23
  1956          35     0.00215  0.00215  0.50   91188     196   91090  3311010  36.31
  1956          36     0.00266  0.00265  0.50   90992     241   90871  3219920  35.39
  1956          37     0.00220  0.00220  0.50   90751     199   90651  3129049  34.48
  1956          38     0.00248  0.00248  0.50   90551     224   90439  3038398  33.55
  1956          39     0.00289  0.00288  0.50   90327     260   90197  2947958  32.64
  1956          40     0.00291  0.00290  0.50   90067     261   89936  2857761  31.73
  1956          41     0.00351  0.00350  0.50   89806     314   89648  2767825  30.82
  1956          42     0.00348  0.00348  0.50   89491     311   89335  2678177  29.93
  1956          43     0.00380  0.00379  0.50   89180     338   89011  2588841  29.03
  1956          44     0.00427  0.00426  0.50   88842     379   88653  2499830  28.14
  1956          45     0.00460  0.00459  0.50   88463     406   88260  2411178  27.26
  1956          46     0.00529  0.00527  0.50   88057     464   87825  2322917  26.38
  1956          47     0.00578  0.00576  0.50   87593     505   87341  2235092  25.52
  1956          48     0.00629  0.00627  0.50   87088     546   86815  2147752  24.66
  1956          49     0.00697  0.00695  0.50   86542     601   86241  2060937  23.81
  1956          50     0.00765  0.00762  0.50   85940     655   85613  1974696  22.98
  1956          51     0.00870  0.00866  0.50   85286     739   84916  1889083  22.15
  1956          52     0.00990  0.00986  0.50   84547     833   84130  1804167  21.34
  1956          53     0.01094  0.01088  0.50   83714     911   83258  1720036  20.55
  1956          54     0.01221  0.01213  0.50   82803    1005   82301  1636778  19.77
  1956          55     0.01360  0.01350  0.50   81798    1105   81246  1554477  19.00
  1956          56     0.01541  0.01529  0.50   80694    1234   80077  1473231  18.26
  1956          57     0.01713  0.01698  0.50   79460    1349   78785  1393154  17.53
  1956          58     0.01824  0.01807  0.50   78111    1412   77405  1314369  16.83
  1956          59     0.02029  0.02009  0.50   76699    1541   75929  1236964  16.13
  1956          60     0.02207  0.02183  0.50   75158    1641   74338  1161036  15.45
  1956          61     0.02363  0.02336  0.50   73518    1717   72659  1086697  14.78
  1956          62     0.02582  0.02549  0.50   71801    1830   70886  1014038  14.12
  1956          63     0.02770  0.02733  0.50   69970    1912   69014   943153  13.48
  1956          64     0.02995  0.02951  0.50   68058    2008   67054   874138  12.84
  1956          65     0.03388  0.03331  0.50   66050    2200   64950   807084  12.22
  1956          66     0.03615  0.03551  0.50   63850    2267   62716   742134  11.62
  1956          67     0.03888  0.03814  0.50   61582    2349   60408   679418  11.03
  1956          68     0.04358  0.04265  0.50   59233    2526   57970   619011  10.45
  1956          69     0.04749  0.04639  0.50   56707    2631   55392   561041   9.89
  1956          70     0.05234  0.05100  0.50   54076    2758   52697   505649   9.35
  1956          71     0.05698  0.05540  0.50   51318    2843   49897   452952   8.83
  1956          72     0.06496  0.06292  0.50   48475    3050   46950   403055   8.31
  1956          73     0.07010  0.06773  0.50   45425    3076   43887   356104   7.84
  1956          74     0.07794  0.07501  0.50   42349    3177   40761   312217   7.37
  1956          75     0.08369  0.08033  0.50   39172    3147   37599   271457   6.93
  1956          76     0.09687  0.09239  0.50   36026    3329   34361   233858   6.49
  1956          77     0.10709  0.10164  0.50   32697    3323   31035   199497   6.10
  1956          78     0.11647  0.11006  0.50   29374    3233   27757   168461   5.74
  1956          79     0.12738  0.11975  0.50   26141    3130   24575   140704   5.38
  1956          80     0.13716  0.12835  0.50   23010    2953   21534   116129   5.05
  1956          81     0.15014  0.13965  0.50   20057    2801   18656    94595   4.72
  1956          82     0.16594  0.15322  0.50   17256    2644   15934    75939   4.40
  1956          83     0.18367  0.16822  0.50   14612    2458   13383    60005   4.11
  1956          84     0.19628  0.17874  0.50   12154    2172   11068    46622   3.84
  1956          85     0.22451  0.20185  0.50    9981    2015    8974    35555   3.56
  1956          86     0.25077  0.22283  0.50    7967    1775    7079    26581   3.34
  1956          87     0.26292  0.23237  0.50    6191    1439    5472    19502   3.15
  1956          88     0.28689  0.25090  0.50    4753    1192    4157    14029   2.95
  1956          89     0.31078  0.26898  0.50    3560     958    3081     9873   2.77
  1956          90     0.33147  0.28434  0.50    2603     740    2233     6791   2.61
  1956          91     0.36339  0.30752  0.50    1863     573    1576     4559   2.45
  1956          92     0.40482  0.33667  0.50    1290     434    1073     2983   2.31
  1956          93     0.39160  0.32748  0.50     856     280     715     1910   2.23
  1956          94     0.43239  0.35553  0.50     575     205     473     1195   2.08
  1956          95     0.47645  0.38478  0.50     371     143     299      721   1.95
