Denmark, Life tables (period 1x1), Females     Last modified: 16-Mar-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1835           0     0.18635  0.16621  0.35  100000   16621   89196  4020898  40.21
  1835           1     0.05611  0.05458  0.50   83379    4551   81103  3931702  47.15
  1835           2     0.04117  0.04034  0.50   78828    3180   77238  3850599  48.85
  1835           3     0.02764  0.02727  0.50   75647    2063   74616  3773362  49.88
  1835           4     0.01870  0.01852  0.50   73585    1363   72903  3698746  50.27
  1835           5     0.01557  0.01545  0.50   72222    1116   71664  3625843  50.20
  1835           6     0.01387  0.01377  0.50   71106     979   70616  3554179  49.98
  1835           7     0.01225  0.01217  0.50   70127     853   69700  3483563  49.68
  1835           8     0.01081  0.01075  0.50   69273     745   68901  3413863  49.28
  1835           9     0.00971  0.00966  0.50   68528     662   68197  3344962  48.81
  1835          10     0.00880  0.00876  0.50   67866     594   67569  3276765  48.28
  1835          11     0.00808  0.00805  0.50   67272     541   67001  3209196  47.70
  1835          12     0.00757  0.00754  0.50   66730     503   66479  3142195  47.09
  1835          13     0.00710  0.00708  0.50   66227     469   65993  3075716  46.44
  1835          14     0.00669  0.00667  0.50   65759     438   65539  3009723  45.77
  1835          15     0.00627  0.00625  0.50   65320     408   65116  2944183  45.07
  1835          16     0.00597  0.00595  0.50   64912     386   64719  2879067  44.35
  1835          17     0.00587  0.00585  0.50   64526     377   64337  2814348  43.62
  1835          18     0.00597  0.00596  0.50   64149     382   63958  2750011  42.87
  1835          19     0.00637  0.00635  0.50   63767     405   63564  2686053  42.12
  1835          20     0.00708  0.00705  0.50   63361     447   63138  2622489  41.39
  1835          21     0.00775  0.00772  0.50   62915     486   62672  2559351  40.68
  1835          22     0.00818  0.00815  0.50   62429     509   62175  2496679  39.99
  1835          23     0.00847  0.00843  0.50   61920     522   61659  2434505  39.32
  1835          24     0.00866  0.00862  0.50   61398     529   61134  2372845  38.65
  1835          25     0.00898  0.00894  0.50   60869     544   60597  2311712  37.98
  1835          26     0.00925  0.00921  0.50   60324     555   60047  2251115  37.32
  1835          27     0.00924  0.00920  0.50   59769     550   59494  2191068  36.66
  1835          28     0.00918  0.00914  0.50   59219     541   58949  2131574  35.99
  1835          29     0.00909  0.00905  0.50   58678     531   58413  2072626  35.32
  1835          30     0.00892  0.00888  0.50   58147     516   57889  2014213  34.64
  1835          31     0.00892  0.00888  0.50   57631     512   57375  1956324  33.95
  1835          32     0.00922  0.00918  0.50   57119     524   56857  1898949  33.25
  1835          33     0.00967  0.00962  0.50   56595     545   56322  1842093  32.55
  1835          34     0.01030  0.01024  0.50   56050     574   55763  1785770  31.86
  1835          35     0.01107  0.01101  0.50   55476     611   55171  1730007  31.18
  1835          36     0.01178  0.01172  0.50   54865     643   54544  1674836  30.53
  1835          37     0.01231  0.01223  0.50   54223     663   53891  1620292  29.88
  1835          38     0.01261  0.01253  0.50   53559     671   53224  1566401  29.25
  1835          39     0.01278  0.01270  0.50   52888     671   52552  1513178  28.61
  1835          40     0.01237  0.01230  0.50   52217     642   51896  1460625  27.97
  1835          41     0.01200  0.01193  0.50   51574     615   51267  1408730  27.31
  1835          42     0.01211  0.01203  0.50   50959     613   50653  1357463  26.64
