Denmark, Life tables (period 1x1), Males     Last modified: 16-Mar-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1835           0     0.23683  0.20439  0.33  100000   20439   86306  3664663  36.65
  1835           1     0.06126  0.05944  0.50   79561    4729   77196  3578358  44.98
  1835           2     0.04573  0.04471  0.50   74831    3345   73159  3501162  46.79
  1835           3     0.02885  0.02844  0.50   71486    2033   70470  3428003  47.95
  1835           4     0.01791  0.01775  0.50   69453    1233   68837  3357534  48.34
  1835           5     0.01509  0.01497  0.50   68221    1021   67710  3288697  48.21
  1835           6     0.01393  0.01383  0.50   67199     930   66734  3220987  47.93
  1835           7     0.01257  0.01249  0.50   66270     828   65856  3154252  47.60
  1835           8     0.01110  0.01103  0.50   65442     722   65081  3088397  47.19
  1835           9     0.00967  0.00962  0.50   64720     623   64408  3023316  46.71
  1835          10     0.00833  0.00830  0.50   64097     532   63831  2958908  46.16
  1835          11     0.00727  0.00725  0.50   63565     461   63335  2895077  45.55
  1835          12     0.00652  0.00650  0.50   63104     410   62899  2831742  44.87
  1835          13     0.00602  0.00600  0.50   62694     376   62506  2768843  44.16
  1835          14     0.00578  0.00576  0.50   62318     359   62139  2706337  43.43
  1835          15     0.00577  0.00575  0.50   61959     356   61781  2644198  42.68
  1835          16     0.00585  0.00584  0.50   61603     359   61423  2582417  41.92
  1835          17     0.00602  0.00600  0.50   61243     368   61059  2520994  41.16
  1835          18     0.00633  0.00631  0.50   60876     384   60684  2459935  40.41
  1835          19     0.00686  0.00684  0.50   60492     414   60285  2399251  39.66
  1835          20     0.00762  0.00760  0.50   60078     456   59850  2338966  38.93
  1835          21     0.00829  0.00825  0.50   59622     492   59376  2279116  38.23
  1835          22     0.00866  0.00862  0.50   59130     510   58875  2219741  37.54
  1835          23     0.00880  0.00876  0.50   58620     513   58363  2160866  36.86
  1835          24     0.00876  0.00872  0.50   58106     507   57853  2102503  36.18
  1835          25     0.00877  0.00874  0.50   57600     503   57348  2044650  35.50
  1835          26     0.00880  0.00877  0.50   57096     500   56846  1987302  34.81
  1835          27     0.00871  0.00868  0.50   56596     491   56350  1930456  34.11
  1835          28     0.00869  0.00866  0.50   56105     486   55862  1874105  33.40
  1835          29     0.00878  0.00874  0.50   55619     486   55376  1818243  32.69
  1835          30     0.00880  0.00876  0.50   55133     483   54892  1762867  31.97
  1835          31     0.00898  0.00894  0.50   54650     488   54406  1707975  31.25
  1835          32     0.00946  0.00942  0.50   54162     510   53907  1653570  30.53
  1835          33     0.01004  0.00999  0.50   53652     536   53384  1599663  29.82
  1835          34     0.01076  0.01071  0.50   53116     569   52831  1546279  29.11
  1835          35     0.01183  0.01176  0.50   52547     618   52238  1493448  28.42
  1835          36     0.01287  0.01279  0.50   51929     664   51597  1441210  27.75
  1835          37     0.01345  0.01336  0.50   51265     685   50922  1389613  27.11
  1835          38     0.01381  0.01372  0.50   50580     694   50233  1338691  26.47
  1835          39     0.01407  0.01397  0.50   49886     697   49537  1288458  25.83
  1835          40     0.01407  0.01397  0.50   49189     687   48845  1238921  25.19
  1835          41     0.01416  0.01406  0.50   48502     682   48161  1190075  24.54
  1835          42     0.01460  0.01450  0.50   47820     693   47473  1141914  23.88
  1835          43     0.01530  0.01519  0.50   47127     716   46769  1094441  23.22
  1835          44     0.01637  0.01624  0.50   46411     754   46034  1047672  22.57
  1835          45     0.01801  0.01785  0.50   45657     815   45250  1001638  21.94
  1835          46     0.01955  0.01937  0.50   44842     868   44408   956389  21.33
  1835          47     0.02048  0.02027  0.50   43974     891   43528   911980  20.74
  1835          48     0.02116  0.02094  0.50   43082     902   42631   868452  20.16
  1835          49     0.02155  0.02132  0.50   42180     899   41731   825821  19.58
  1835          50     0.02160  0.02137  0.50   41281     882   40840   784090  18.99
  1835          51     0.02189  0.02165  0.50   40399     875   39962   743250  18.40
  1835          52     0.02268  0.02243  0.50   39524     886   39081   703288  17.79
  1835          53     0.02380  0.02352  0.50   38638     909   38184   664207  17.19
  1835          54     0.02526  0.02495  0.50   37729     941   37259   626024  16.59
  1835          55     0.02713  0.02677  0.50   36788     985   36296   588765  16.00
  1835          56     0.02896  0.02855  0.50   35803    1022   35292   552469  15.43
  1835          57     0.03057  0.03011  0.50   34781    1047   34258   517177  14.87
  1835          58     0.03223  0.03172  0.50   33734    1070   33199   482919  14.32
  1835          59     0.03426  0.03369  0.50   32664    1100   32114   449720  13.77
  1835          60     0.03667  0.03601  0.50   31564    1137   30995   417607  13.23
  1835          61     0.03927  0.03852  0.50   30427    1172   29841   386611  12.71
  1835          62     0.04204  0.04117  0.50   29255    1204   28653   356771  12.20
  1835          63     0.04515  0.04415  0.50   28051    1238   27431   328118  11.70
  1835          64     0.04848  0.04734  0.50   26812    1269   26177   300687  11.21
  1835          65     0.05198  0.05067  0.50   25543    1294   24896   274509  10.75
  1835          66     0.05548  0.05398  0.50   24249    1309   23594   249613  10.29
  1835          67     0.05909  0.05740  0.50   22940    1317   22281   226019   9.85
  1835          68     0.06307  0.06114  0.50   21623    1322   20962   203738   9.42
  1835          69     0.06757  0.06537  0.50   20301    1327   19637   182776   9.00
  1835          70     0.07268  0.07013  0.50   18974    1331   18309   163138   8.60
  1835          71     0.07809  0.07515  0.50   17643    1326   16980   144830   8.21
  1835          72     0.08338  0.08004  0.50   16317    1306   15664   127849   7.84
  1835          73     0.08775  0.08406  0.50   15011    1262   14380   112185   7.47
  1835          74     0.09170  0.08768  0.50   13749    1206   13147    97805   7.11
  1835          75     0.09600  0.09161  0.50   12544    1149   11969    84658   6.75
  1835          76     0.10097  0.09612  0.50   11395    1095   10847    72689   6.38
  1835          77     0.10754  0.10206  0.50   10299    1051    9774    61842   6.00
