Spain, Life tables (period 1x1), Females     Last modified: 13-Jul-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1908           0     0.16111  0.14584  0.35  100000   14584   90520  4227077  42.27
  1908           1     0.08226  0.07901  0.50   85416    6749   82042  4136557  48.43
  1908           2     0.04540  0.04439  0.50   78667    3492   76921  4054515  51.54
  1908           3     0.02460  0.02430  0.50   75175    1826   74262  3977594  52.91
  1908           4     0.01637  0.01624  0.50   73349    1191   72753  3903332  53.22
  1908           5     0.01114  0.01108  0.50   72158     799   71758  3830579  53.09
  1908           6     0.00925  0.00921  0.50   71358     657   71030  3758821  52.68
  1908           7     0.00612  0.00610  0.50   70701     431   70486  3687792  52.16
  1908           8     0.00508  0.00507  0.50   70270     356   70092  3617306  51.48
  1908           9     0.00414  0.00414  0.50   69914     289   69769  3547214  50.74
  1908          10     0.00380  0.00380  0.50   69625     264   69493  3477445  49.95
  1908          11     0.00352  0.00351  0.50   69361     243   69239  3407952  49.13
  1908          12     0.00388  0.00387  0.50   69117     267   68983  3338713  48.31
  1908          13     0.00375  0.00374  0.50   68850     257   68721  3269730  47.49
  1908          14     0.00479  0.00478  0.50   68592     328   68428  3201009  46.67
  1908          15     0.00473  0.00472  0.50   68264     322   68103  3132581  45.89
  1908          16     0.00537  0.00536  0.50   67942     364   67760  3064477  45.10
  1908          17     0.00570  0.00569  0.50   67578     384   67386  2996717  44.34
  1908          18     0.00694  0.00691  0.50   67194     464   66962  2929331  43.60
  1908          19     0.00660  0.00658  0.50   66729     439   66510  2862370  42.90
  1908          20     0.00743  0.00740  0.50   66290     491   66045  2795860  42.18
  1908          21     0.00614  0.00612  0.50   65800     403   65598  2729815  41.49
  1908          22     0.00790  0.00787  0.50   65397     515   65140  2664217  40.74
  1908          23     0.00777  0.00774  0.50   64882     502   64631  2599077  40.06
  1908          24     0.00869  0.00865  0.50   64380     557   64102  2534446  39.37
  1908          25     0.00785  0.00782  0.50   63824     499   63574  2470344  38.71
  1908          26     0.00849  0.00846  0.50   63325     536   63057  2406770  38.01
  1908          27     0.00679  0.00677  0.50   62789     425   62576  2343713  37.33
  1908          28     0.00812  0.00809  0.50   62364     505   62112  2281136  36.58
  1908          29     0.00757  0.00754  0.50   61859     466   61626  2219025  35.87
  1908          30     0.01346  0.01337  0.50   61393     821   60983  2157399  35.14
  1908          31     0.00615  0.00613  0.50   60572     371   60387  2096416  34.61
  1908          32     0.00975  0.00970  0.50   60201     584   59909  2036029  33.82
  1908          33     0.00805  0.00802  0.50   59617     478   59378  1976120  33.15
  1908          34     0.00911  0.00907  0.50   59139     537   58871  1916742  32.41
  1908          35     0.00980  0.00976  0.50   58603     572   58317  1857871  31.70
  1908          36     0.01015  0.01010  0.50   58031     586   57738  1799555  31.01
  1908          37     0.00588  0.00587  0.50   57444     337   57276  1741817  30.32
  1908          38     0.00760  0.00758  0.50   57108     433   56891  1684541  29.50
  1908          39     0.00783  0.00780  0.50   56675     442   56454  1627650  28.72
  1908          40     0.01856  0.01839  0.50   56233    1034   55716  1571196  27.94
  1908          41     0.00675  0.00673  0.50   55198     371   55013  1515480  27.46
  1908          42     0.01083  0.01077  0.50   54827     591   54532  1460468  26.64
  1908          43     0.00703  0.00700  0.50   54237     380   54047  1405936  25.92
