Spain, Life tables (period 1x1), Males     Last modified: 13-Jul-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1908           0     0.19087  0.16922  0.33  100000   16922   88662  4041337  40.41
  1908           1     0.08587  0.08234  0.50   83078    6840   79657  3952675  47.58
  1908           2     0.04566  0.04464  0.50   76237    3403   74536  3873018  50.80
  1908           3     0.02567  0.02534  0.50   72834    1846   71911  3798482  52.15
  1908           4     0.01668  0.01654  0.50   70988    1174   70401  3726571  52.50
  1908           5     0.01085  0.01079  0.50   69814     754   69437  3656169  52.37
  1908           6     0.00869  0.00865  0.50   69061     598   68762  3586732  51.94
  1908           7     0.00570  0.00568  0.50   68463     389   68268  3517970  51.39
  1908           8     0.00482  0.00481  0.50   68074     327   67910  3449702  50.68
  1908           9     0.00386  0.00386  0.50   67747     261   67616  3381791  49.92
  1908          10     0.00329  0.00329  0.50   67486     222   67375  3314175  49.11
  1908          11     0.00310  0.00310  0.50   67264     209   67159  3246800  48.27
  1908          12     0.00336  0.00336  0.50   67055     225   66943  3179641  47.42
  1908          13     0.00353  0.00353  0.50   66830     236   66712  3112699  46.58
  1908          14     0.00390  0.00389  0.50   66594     259   66465  3045986  45.74
  1908          15     0.00366  0.00365  0.50   66335     242   66214  2979522  44.92
  1908          16     0.00433  0.00432  0.50   66093     285   65950  2913308  44.08
  1908          17     0.00634  0.00632  0.50   65808     416   65600  2847357  43.27
  1908          18     0.00773  0.00770  0.50   65392     504   65140  2781758  42.54
  1908          19     0.00695  0.00693  0.50   64888     450   64663  2716618  41.87
  1908          20     0.00665  0.00663  0.50   64439     427   64225  2651954  41.15
  1908          21     0.00672  0.00669  0.50   64011     429   63797  2587729  40.43
  1908          22     0.00796  0.00793  0.50   63583     504   63331  2523932  39.70
  1908          23     0.00796  0.00793  0.50   63079     500   62829  2460601  39.01
  1908          24     0.00833  0.00830  0.50   62579     519   62319  2397773  38.32
  1908          25     0.00787  0.00784  0.50   62059     487   61816  2335454  37.63
  1908          26     0.00800  0.00797  0.50   61573     491   61327  2273638  36.93
  1908          27     0.00630  0.00628  0.50   61082     384   60890  2212310  36.22
  1908          28     0.00784  0.00781  0.50   60698     474   60461  2151420  35.44
  1908          29     0.00711  0.00708  0.50   60224     427   60011  2090959  34.72
  1908          30     0.00953  0.00949  0.50   59797     567   59514  2030948  33.96
  1908          31     0.00575  0.00573  0.50   59230     340   59060  1971435  33.28
  1908          32     0.00799  0.00795  0.50   58890     468   58656  1912374  32.47
  1908          33     0.00828  0.00824  0.50   58422     481   58181  1853718  31.73
  1908          34     0.00848  0.00844  0.50   57941     489   57696  1795537  30.99
  1908          35     0.00975  0.00970  0.50   57451     557   57173  1737841  30.25
  1908          36     0.00979  0.00974  0.50   56894     554   56617  1680668  29.54
  1908          37     0.00589  0.00588  0.50   56340     331   56174  1624051  28.83
  1908          38     0.00856  0.00852  0.50   56008     477   55770  1567877  27.99
