Estonia, Life tables (period 1x1), Females     Last modified: 11-Jun-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0     0.02974  0.02899  0.14  100000    2899   97496  7193235  71.93
  1959           1     0.00274  0.00274  0.50   97101     266   96968  7095740  73.08
  1959           2     0.00132  0.00132  0.50   96835     127   96771  6998772  72.28
  1959           3     0.00042  0.00042  0.50   96707      41   96687  6902001  71.37
  1959           4     0.00042  0.00041  0.50   96666      40   96646  6805314  70.40
  1959           5     0.00053  0.00053  0.50   96626      52   96600  6708668  69.43
  1959           6     0.00075  0.00075  0.50   96575      73   96538  6612067  68.47
  1959           7     0.00022  0.00022  0.50   96502      21   96491  6515529  67.52
  1959           8     0.00110  0.00110  0.50   96481     106   96428  6419038  66.53
  1959           9     0.00044  0.00044  0.50   96374      42   96353  6322610  65.60
  1959          10     0.00054  0.00054  0.50   96332      52   96306  6226257  64.63
  1959          11     0.00055  0.00055  0.50   96280      53   96254  6129950  63.67
  1959          12     0.00069  0.00069  0.50   96227      67   96194  6033697  62.70
  1959          13     0.00063  0.00063  0.50   96160      61   96130  5937503  61.75
  1959          14     0.00070  0.00070  0.50   96099      68   96066  5841373  60.78
  1959          15     0.00071  0.00071  0.50   96032      69   95998  5745307  59.83
  1959          16     0.00040  0.00040  0.50   95963      38   95944  5649310  58.87
  1959          17     0.00111  0.00111  0.50   95925     106   95872  5553366  57.89
  1959          18     0.00064  0.00064  0.50   95819      61   95789  5457493  56.96
  1959          19     0.00097  0.00097  0.50   95758      93   95712  5361704  55.99
  1959          20     0.00132  0.00131  0.50   95666     126   95603  5265992  55.05
  1959          21     0.00166  0.00166  0.50   95540     159   95461  5170390  54.12
  1959          22     0.00097  0.00097  0.50   95381      92   95335  5074929  53.21
  1959          23     0.00151  0.00151  0.50   95289     143   95217  4979594  52.26
  1959          24     0.00085  0.00085  0.50   95146      81   95105  4884376  51.34
  1959          25     0.00104  0.00104  0.50   95065      99   95015  4789271  50.38
  1959          26     0.00145  0.00145  0.50   94966     137   94897  4694256  49.43
  1959          27     0.00120  0.00120  0.50   94828     113   94772  4599359  48.50
  1959          28     0.00143  0.00143  0.50   94715     136   94647  4504587  47.56
  1959          29     0.00090  0.00090  0.50   94579      85   94537  4409940  46.63
  1959          30     0.00104  0.00104  0.50   94494      98   94445  4315403  45.67
  1959          31     0.00131  0.00131  0.50   94396     123   94335  4220958  44.72
  1959          32     0.00198  0.00198  0.50   94273     186   94180  4126623  43.77
  1959          33     0.00151  0.00151  0.50   94087     142   94016  4032443  42.86
  1959          34     0.00129  0.00129  0.50   93944     121   93884  3938428  41.92
  1959          35     0.00220  0.00220  0.50   93823     207   93720  3844544  40.98
  1959          36     0.00169  0.00169  0.50   93617     158   93538  3750824  40.07
  1959          37     0.00154  0.00154  0.50   93458     144   93386  3657286  39.13
  1959          38     0.00172  0.00172  0.50   93314     160   93234  3563900  38.19
  1959          39     0.00145  0.00145  0.50   93154     135   93087  3470666  37.26
  1959          40     0.00259  0.00258  0.50   93019     240   92899  3377579  36.31
  1959          41     0.00286  0.00285  0.50   92779     265   92647  3284680  35.40
  1959          42     0.00374  0.00374  0.50   92515     346   92342  3192033  34.50
  1959          43     0.00305  0.00305  0.50   92169     281   92029  3099691  33.63
  1959          44     0.00399  0.00398  0.50   91888     366   91705  3007663  32.73
  1959          45     0.00267  0.00267  0.50   91522     244   91400  2915958  31.86
  1959          46     0.00337  0.00337  0.50   91278     307   91124  2824558  30.94
  1959          47     0.00471  0.00470  0.50   90971     428   90757  2733433  30.05
  1959          48     0.00490  0.00489  0.50   90543     443   90322  2642676  29.19
