Estonia, Life tables (period 1x1), Males     Last modified: 11-Jun-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0     0.03548  0.03443  0.14  100000    3443   97040  6436386  64.36
  1959           1     0.00280  0.00279  0.50   96557     270   96422  6339346  65.65
  1959           2     0.00167  0.00167  0.50   96288     161   96207  6242924  64.84
  1959           3     0.00122  0.00122  0.50   96127     117   96068  6146717  63.94
  1959           4     0.00090  0.00090  0.50   96010      86   95967  6050648  63.02
  1959           5     0.00112  0.00112  0.50   95924     107   95870  5954681  62.08
  1959           6     0.00134  0.00134  0.50   95816     128   95752  5858811  61.15
  1959           7     0.00082  0.00081  0.50   95688      78   95649  5763059  60.23
  1959           8     0.00041  0.00041  0.50   95610      40   95590  5667410  59.28
  1959           9     0.00113  0.00113  0.50   95571     108   95516  5571820  58.30
  1959          10     0.00051  0.00051  0.50   95462      49   95438  5476303  57.37
  1959          11     0.00074  0.00074  0.50   95413      71   95378  5380866  56.40
  1959          12     0.00066  0.00066  0.50   95343      63   95311  5285487  55.44
  1959          13     0.00135  0.00135  0.50   95280     129   95215  5190176  54.47
  1959          14     0.00110  0.00110  0.50   95151     105   95099  5094961  53.55
  1959          15     0.00181  0.00181  0.50   95046     172   94960  4999862  52.60
  1959          16     0.00141  0.00141  0.50   94874     134   94807  4904902  51.70
  1959          17     0.00120  0.00120  0.50   94740     114   94683  4810096  50.77
  1959          18     0.00242  0.00242  0.50   94626     229   94511  4715413  49.83
  1959          19     0.00215  0.00214  0.50   94397     202   94296  4620902  48.95
  1959          20     0.00308  0.00308  0.50   94194     290   94049  4526606  48.06
  1959          21     0.00354  0.00354  0.50   93905     332   93738  4432556  47.20
  1959          22     0.00279  0.00279  0.50   93572     261   93442  4338818  46.37
  1959          23     0.00340  0.00339  0.50   93311     316   93153  4245376  45.50
  1959          24     0.00312  0.00312  0.50   92995     290   92850  4152223  44.65
  1959          25     0.00394  0.00393  0.50   92705     365   92523  4059373  43.79
  1959          26     0.00302  0.00302  0.50   92340     279   92201  3966851  42.96
  1959          27     0.00311  0.00311  0.50   92062     286   91919  3874650  42.09
  1959          28     0.00300  0.00299  0.50   91776     275   91638  3782731  41.22
  1959          29     0.00253  0.00252  0.50   91501     231   91386  3691093  40.34
  1959          30     0.00389  0.00388  0.50   91270     354   91093  3599707  39.44
  1959          31     0.00502  0.00501  0.50   90916     455   90689  3508614  38.59
  1959          32     0.00223  0.00223  0.50   90461     201   90360  3417925  37.78
  1959          33     0.00352  0.00351  0.50   90260     317   90101  3327565  36.87
  1959          34     0.00392  0.00392  0.50   89942     352   89766  3237464  35.99
  1959          35     0.00461  0.00460  0.50   89590     412   89384  3147697  35.13
  1959          36     0.00346  0.00345  0.50   89178     308   89025  3058313  34.29
  1959          37     0.00440  0.00439  0.50   88871     390   88675  2969288  33.41
  1959          38     0.00431  0.00430  0.50   88480     381   88290  2880613  32.56
  1959          39     0.00527  0.00526  0.50   88100     463   87868  2792323  31.70
  1959          40     0.00438  0.00437  0.50   87636     383   87445  2704455  30.86
  1959          41     0.00587  0.00586  0.50   87254     511   86998  2617010  29.99
  1959          42     0.00577  0.00575  0.50   86742     499   86493  2530012  29.17
  1959          43     0.00372  0.00371  0.50   86244     320   86084  2443519  28.33
  1959          44     0.00617  0.00615  0.50   85924     529   85659  2357435  27.44
  1959          45     0.00721  0.00718  0.50   85395     613   85088  2271776  26.60
  1959          46     0.00500  0.00499  0.50   84782     423   84570  2186687  25.79
  1959          47     0.00673  0.00670  0.50   84359     565   84076  2102117  24.92
  1959          48     0.00682  0.00680  0.50   83794     570   83509  2018040  24.08
  1959          49     0.01034  0.01029  0.50   83224     856   82796  1934532  23.24
