Finland, Life tables (period 1x1), Females     Last modified: 16-Nov-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1878           0     0.18691  0.16666  0.35  100000   16666   89167  4008065  40.08
  1878           1     0.08344  0.08010  0.50   83334    6675   79996  3918898  47.03
  1878           2     0.04610  0.04506  0.50   76659    3454   74932  3838902  50.08
  1878           3     0.02870  0.02830  0.50   73205    2072   72169  3763970  51.42
  1878           4     0.02140  0.02117  0.50   71133    1506   70380  3691801  51.90
  1878           5     0.01553  0.01541  0.50   69627    1073   69091  3621421  52.01
  1878           6     0.01280  0.01272  0.50   68554     872   68118  3552330  51.82
  1878           7     0.00983  0.00978  0.50   67682     662   67351  3484212  51.48
  1878           8     0.00881  0.00877  0.50   67020     588   66726  3416861  50.98
  1878           9     0.00579  0.00577  0.50   66432     383   66241  3350134  50.43
  1878          10     0.00696  0.00693  0.50   66049     458   65820  3283894  49.72
  1878          11     0.00570  0.00569  0.50   65591     373   65405  3218074  49.06
  1878          12     0.00558  0.00557  0.50   65218     363   65037  3152669  48.34
  1878          13     0.00518  0.00517  0.50   64855     335   64688  3087632  47.61
  1878          14     0.00497  0.00495  0.50   64520     320   64360  3022945  46.85
  1878          15     0.00574  0.00572  0.50   64200     367   64017  2958584  46.08
  1878          16     0.00628  0.00626  0.50   63833     400   63633  2894568  45.35
  1878          17     0.00623  0.00621  0.50   63433     394   63236  2830935  44.63
  1878          18     0.00574  0.00572  0.50   63039     361   62859  2767699  43.90
  1878          19     0.00576  0.00574  0.50   62678     360   62499  2704840  43.15
  1878          20     0.00569  0.00567  0.50   62319     354   62142  2642342  42.40
  1878          21     0.00606  0.00604  0.50   61965     374   61778  2580200  41.64
  1878          22     0.00717  0.00715  0.50   61591     440   61371  2518422  40.89
  1878          23     0.00606  0.00604  0.50   61151     369   60966  2457051  40.18
  1878          24     0.00682  0.00679  0.50   60781     413   60575  2396085  39.42
  1878          25     0.00593  0.00591  0.50   60368     357   60190  2335510  38.69
  1878          26     0.00833  0.00829  0.50   60011     498   59763  2275321  37.91
  1878          27     0.00849  0.00845  0.50   59514     503   59262  2215558  37.23
  1878          28     0.00847  0.00844  0.50   59011     498   58762  2156296  36.54
  1878          29     0.00747  0.00745  0.50   58513     436   58295  2097534  35.85
  1878          30     0.00795  0.00791  0.50   58077     460   57847  2039239  35.11
  1878          31     0.00738  0.00735  0.50   57618     424   57406  1981391  34.39
  1878          32     0.00732  0.00730  0.50   57194     417   56985  1923985  33.64
  1878          33     0.00839  0.00835  0.50   56777     474   56540  1867000  32.88
  1878          34     0.00861  0.00858  0.50   56302     483   56061  1810461  32.16
  1878          35     0.00916  0.00912  0.50   55820     509   55565  1754399  31.43
  1878          36     0.00848  0.00845  0.50   55311     467   55077  1698834  30.71
  1878          37     0.00906  0.00902  0.50   54843     495   54596  1643757  29.97
  1878          38     0.00977  0.00972  0.50   54349     528   54085  1589161  29.24
  1878          39     0.00969  0.00965  0.50   53821     519   53561  1535076  28.52
  1878          40     0.01049  0.01044  0.50   53301     556   53023  1481515  27.80
  1878          41     0.01056  0.01051  0.50   52745     554   52468  1428492  27.08
  1878          42     0.01136  0.01130  0.50   52191     590   51896  1376024  26.37
  1878          43     0.01147  0.01141  0.50   51601     589   51307  1324128  25.66
  1878          44     0.01032  0.01027  0.50   51013     524   50751  1272821  24.95
  1878          45     0.00911  0.00907  0.50   50489     458   50260  1222070  24.20
  1878          46     0.01231  0.01223  0.50   50031     612   49725  1171810  23.42
  1878          47     0.01230  0.01222  0.50   49419     604   49117  1122084  22.71
  1878          48     0.01023  0.01018  0.50   48815     497   48567  1072967  21.98
  1878          49     0.01104  0.01098  0.50   48319     531   48053  1024400  21.20
  1878          50     0.01404  0.01394  0.50   47788     666   47455   976347  20.43
  1878          51     0.01592  0.01580  0.50   47122     744   46749   928892  19.71
  1878          52     0.01536  0.01524  0.50   46377     707   46024   882143  19.02
  1878          53     0.01477  0.01466  0.50   45670     669   45336   836119  18.31
  1878          54     0.01438  0.01428  0.50   45001     643   44680   790783  17.57
  1878          55     0.01982  0.01962  0.50   44358     870   43923   746103  16.82
  1878          56     0.02026  0.02006  0.50   43488     872   43052   702180  16.15
  1878          57     0.02428  0.02399  0.50   42616    1022   42104   659128  15.47
  1878          58     0.01961  0.01941  0.50   41593     808   41190   617024  14.83
  1878          59     0.02482  0.02451  0.50   40786    1000   40286   575834  14.12
  1878          60     0.03274  0.03222  0.50   39786    1282   39145   535548  13.46
  1878          61     0.03368  0.03312  0.50   38504    1275   37867   496403  12.89
  1878          62     0.03475  0.03415  0.50   37229    1271   36593   458537  12.32
  1878          63     0.03944  0.03868  0.50   35958    1391   35262   421943  11.73
  1878          64     0.03959  0.03882  0.50   34567    1342   33896   386681  11.19
  1878          65     0.04574  0.04472  0.50   33225    1486   32482   352785  10.62
  1878          66     0.05065  0.04940  0.50   31739    1568   30955   320303  10.09
  1878          67     0.05919  0.05749  0.50   30172    1735   29304   289347   9.59
  1878          68     0.06171  0.05986  0.50   28437    1702   27586   260043   9.14
  1878          69     0.05535  0.05386  0.50   26735    1440   26015   232457   8.69
  1878          70     0.06602  0.06391  0.50   25295    1617   24487   206442   8.16
