Finland, Life tables (period 1x1), Males     Last modified: 16-Nov-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1878           0     0.21513  0.18803  0.33  100000   18803   87402  3821213  38.21
  1878           1     0.08251  0.07924  0.50   81197    6434   77980  3733811  45.98
  1878           2     0.04393  0.04299  0.50   74763    3214   73156  3655830  48.90
  1878           3     0.02852  0.02812  0.50   71549    2012   70543  3582674  50.07
  1878           4     0.01946  0.01927  0.50   69538    1340   68868  3512131  50.51
  1878           5     0.01465  0.01455  0.50   68197     992   67701  3443263  50.49
  1878           6     0.01222  0.01215  0.50   67205     817   66797  3375562  50.23
  1878           7     0.00958  0.00953  0.50   66389     633   66073  3308764  49.84
  1878           8     0.00773  0.00770  0.50   65756     506   65503  3242692  49.31
  1878           9     0.00606  0.00604  0.50   65250     394   65053  3177189  48.69
  1878          10     0.00617  0.00615  0.50   64856     399   64656  3112136  47.99
  1878          11     0.00508  0.00507  0.50   64457     327   64293  3047480  47.28
  1878          12     0.00488  0.00487  0.50   64130     312   63974  2983187  46.52
  1878          13     0.00390  0.00389  0.50   63818     248   63694  2919213  45.74
  1878          14     0.00404  0.00403  0.50   63569     256   63441  2855519  44.92
  1878          15     0.00493  0.00492  0.50   63313     312   63157  2792078  44.10
  1878          16     0.00469  0.00468  0.50   63002     295   62854  2728921  43.32
  1878          17     0.00488  0.00486  0.50   62707     305   62554  2666066  42.52
  1878          18     0.00624  0.00622  0.50   62402     388   62208  2603512  41.72
  1878          19     0.00642  0.00639  0.50   62013     397   61815  2541304  40.98
  1878          20     0.00708  0.00705  0.50   61617     434   61400  2479489  40.24
  1878          21     0.00663  0.00661  0.50   61182     404   60980  2418090  39.52
  1878          22     0.00809  0.00806  0.50   60778     490   60533  2357110  38.78
  1878          23     0.00668  0.00665  0.50   60288     401   60087  2296577  38.09
  1878          24     0.00832  0.00828  0.50   59887     496   59639  2236489  37.35
  1878          25     0.00732  0.00729  0.50   59391     433   59174  2176851  36.65
  1878          26     0.00923  0.00919  0.50   58958     542   58687  2117676  35.92
  1878          27     0.00801  0.00798  0.50   58416     466   58183  2058990  35.25
  1878          28     0.00775  0.00772  0.50   57950     447   57726  2000807  34.53
  1878          29     0.00771  0.00768  0.50   57503     442   57282  1943080  33.79
  1878          30     0.00900  0.00896  0.50   57061     512   56805  1885799  33.05
  1878          31     0.00798  0.00794  0.50   56549     449   56325  1828994  32.34
  1878          32     0.00762  0.00759  0.50   56100     426   55887  1772669  31.60
  1878          33     0.00790  0.00786  0.50   55674     438   55455  1716782  30.84
  1878          34     0.00757  0.00754  0.50   55236     417   55028  1661327  30.08
  1878          35     0.01035  0.01029  0.50   54820     564   54537  1606299  29.30
  1878          36     0.00811  0.00807  0.50   54255     438   54036  1551762  28.60
  1878          37     0.01007  0.01002  0.50   53817     539   53548  1497725  27.83
  1878          38     0.01036  0.01031  0.50   53278     549   53003  1444178  27.11
  1878          39     0.01014  0.01009  0.50   52729     532   52463  1391174  26.38
  1878          40     0.01227  0.01220  0.50   52197     637   51878  1338712  25.65
  1878          41     0.01294  0.01285  0.50   51560     663   51229  1286833  24.96
  1878          42     0.01268  0.01260  0.50   50897     641   50577  1235605  24.28
  1878          43     0.01309  0.01300  0.50   50256     654   49929  1185028  23.58
  1878          44     0.01251  0.01243  0.50   49603     616   49294  1135099  22.88
  1878          45     0.01156  0.01149  0.50   48986     563   48705  1085804  22.17
  1878          46     0.01355  0.01346  0.50   48423     652   48097  1037100  21.42
  1878          47     0.01549  0.01537  0.50   47772     734   47404   989002  20.70
  1878          48     0.01769  0.01753  0.50   47037     825   46625   941598  20.02
  1878          49     0.01736  0.01722  0.50   46213     796   45815   894973  19.37
  1878          50     0.01776  0.01760  0.50   45417     800   45017   849158  18.70
  1878          51     0.02171  0.02148  0.50   44618     958   44138   804140  18.02
  1878          52     0.02049  0.02028  0.50   43659     885   43217   760002  17.41
  1878          53     0.02283  0.02258  0.50   42774     966   42291   716785  16.76
  1878          54     0.02064  0.02043  0.50   41808     854   41381   674494  16.13
  1878          55     0.02219  0.02194  0.50   40954     899   40505   633113  15.46
  1878          56     0.02612  0.02579  0.50   40055    1033   39539   592609  14.79
  1878          57     0.02935  0.02892  0.50   39022    1129   38458   553070  14.17
  1878          58     0.03126  0.03078  0.50   37894    1166   37310   514612  13.58
  1878          59     0.03305  0.03251  0.50   36727    1194   36130   477301  13.00
  1878          60     0.03835  0.03763  0.50   35533    1337   34865   441171  12.42
  1878          61     0.04648  0.04543  0.50   34196    1553   33420   406306  11.88
  1878          62     0.04912  0.04794  0.50   32643    1565   31860   372887  11.42
  1878          63     0.04158  0.04073  0.50   31078    1266   30445   341026  10.97
