France, Civilian Population, Life tables (period 1x1), Males     Last modified: 21-Sep-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1816           0     0.22293  0.19396  0.33  100000   19396   87005  3903261  39.03
  1816           1     0.04667  0.04561  0.50   80604    3676   78766  3816256  47.35
  1816           2     0.03431  0.03373  0.50   76928    2595   75631  3737490  48.58
  1816           3     0.02315  0.02289  0.50   74333    1701   73483  3661859  49.26
  1816           4     0.01607  0.01595  0.50   72632    1158   72053  3588376  49.40
  1816           5     0.01364  0.01354  0.50   71474     968   70990  3516324  49.20
  1816           6     0.01163  0.01157  0.50   70506     815   70098  3445334  48.87
  1816           7     0.00991  0.00986  0.50   69690     687   69347  3375236  48.43
  1816           8     0.00838  0.00834  0.50   69003     576   68715  3305889  47.91
  1816           9     0.00710  0.00708  0.50   68427     484   68185  3237174  47.31
  1816          10     0.00601  0.00599  0.50   67943     407   67739  3168988  46.64
  1816          11     0.00521  0.00519  0.50   67536     351   67360  3101249  45.92
  1816          12     0.00465  0.00464  0.50   67185     311   67029  3033889  45.16
  1816          13     0.00443  0.00442  0.50   66874     295   66726  2966859  44.37
  1816          14     0.00455  0.00454  0.50   66578     302   66427  2900133  43.56
  1816          15     0.00496  0.00495  0.50   66276     328   66112  2833706  42.76
  1816          16     0.00561  0.00559  0.50   65948     369   65764  2767594  41.97
  1816          17     0.00645  0.00643  0.50   65579     422   65368  2701830  41.20
  1816          18     0.00752  0.00749  0.50   65157     488   64913  2636462  40.46
  1816          19     0.00884  0.00880  0.50   64669     569   64385  2571549  39.76
  1816          20     0.01029  0.01024  0.50   64100     656   63772  2507164  39.11
  1816          21     0.01157  0.01150  0.50   63443     730   63078  2443393  38.51
  1816          22     0.01251  0.01244  0.50   62714     780   62324  2380314  37.96
  1816          23     0.01292  0.01283  0.50   61934     795   61536  2317991  37.43
  1816          24     0.01270  0.01262  0.50   61139     772   60753  2256454  36.91
  1816          25     0.01209  0.01202  0.50   60367     726   60004  2195701  36.37
  1816          26     0.01123  0.01117  0.50   59641     666   59308  2135697  35.81
  1816          27     0.01045  0.01039  0.50   58975     613   58669  2076389  35.21
  1816          28     0.00989  0.00984  0.50   58362     574   58075  2017720  34.57
  1816          29     0.00953  0.00948  0.50   57788     548   57514  1959645  33.91
  1816          30     0.00946  0.00941  0.50   57240     539   56971  1902131  33.23
  1816          31     0.00942  0.00938  0.50   56701     532   56436  1845160  32.54
  1816          32     0.00954  0.00950  0.50   56170     533   55903  1788724  31.85
  1816          33     0.00968  0.00964  0.50   55636     536   55368  1732822  31.15
  1816          34     0.00984  0.00979  0.50   55100     540   54830  1677453  30.44
  1816          35     0.00995  0.00990  0.50   54561     540   54291  1622623  29.74
  1816          36     0.01015  0.01010  0.50   54021     546   53748  1568332  29.03
  1816          37     0.01038  0.01032  0.50   53475     552   53199  1514585  28.32
  1816          38     0.01065  0.01060  0.50   52923     561   52643  1461386  27.61
  1816          39     0.01099  0.01093  0.50   52362     572   52076  1408743  26.90
  1816          40     0.01138  0.01132  0.50   51790     586   51497  1356667  26.20
  1816          41     0.01191  0.01183  0.50   51204     606   50901  1305171  25.49
  1816          42     0.01253  0.01246  0.50   50598     630   50282  1254270  24.79
  1816          43     0.01324  0.01316  0.50   49967     657   49639  1203988  24.10
  1816          44     0.01407  0.01397  0.50   49310     689   48965  1154349  23.41
  1816          45     0.01504  0.01492  0.50   48621     726   48258  1105384  22.73
  1816          46     0.01590  0.01577  0.50   47895     755   47518  1057126  22.07
  1816          47     0.01663  0.01649  0.50   47140     778   46751  1009608  21.42
  1816          48     0.01743  0.01728  0.50   46362     801   45962   962857  20.77
  1816          49     0.01828  0.01811  0.50   45561     825   45149   916895  20.12
  1816          50     0.01911  0.01893  0.50   44736     847   44313   871747  19.49
  1816          51     0.02001  0.01981  0.50   43889     869   43454   827434  18.85
  1816          52     0.02094  0.02072  0.50   43020     891   42574   783980  18.22
  1816          53     0.02180  0.02157  0.50   42128     909   41674   741406  17.60
  1816          54     0.02264  0.02239  0.50   41220     923   40758   699732  16.98
  1816          55     0.02328  0.02301  0.50   40297     927   39833   658974  16.35
  1816          56     0.02448  0.02419  0.50   39369     952   38893   619141  15.73
  1816          57     0.02608  0.02575  0.50   38417     989   37922   580247  15.10
  1816          58     0.02832  0.02792  0.50   37428    1045   36905   542325  14.49
  1816          59     0.03138  0.03090  0.50   36383    1124   35821   505420  13.89
  1816          60     0.03452  0.03393  0.50   35259    1196   34661   469599  13.32
  1816          61     0.03802  0.03731  0.50   34062    1271   33427   434938  12.77
  1816          62     0.04093  0.04011  0.50   32792    1315   32134   401511  12.24
  1816          63     0.04342  0.04250  0.50   31476    1338   30808   369377  11.74
