France, Total Population, Life tables (period 1x1), Females     Last modified: 21-Sep-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1816           0     0.18699  0.16672  0.35  100000   16672   89163  4107291  41.07
  1816           1     0.04670  0.04564  0.50   83328    3803   81426  4018128  48.22
  1816           2     0.03393  0.03336  0.50   79525    2653   78198  3936702  49.50
  1816           3     0.02291  0.02265  0.50   76872    1741   76001  3858503  50.19
  1816           4     0.01599  0.01587  0.50   75131    1192   74534  3782502  50.35
  1816           5     0.01383  0.01374  0.50   73938    1016   73430  3707968  50.15
  1816           6     0.01210  0.01203  0.50   72922     877   72484  3634537  49.84
  1816           7     0.01043  0.01038  0.50   72045     748   71672  3562053  49.44
  1816           8     0.00891  0.00887  0.50   71298     632   70982  3490382  48.95
  1816           9     0.00760  0.00757  0.50   70666     535   70398  3419400  48.39
  1816          10     0.00629  0.00627  0.50   70131     439   69911  3349002  47.75
  1816          11     0.00537  0.00536  0.50   69691     373   69505  3279091  47.05
  1816          12     0.00491  0.00489  0.50   69318     339   69148  3209586  46.30
  1816          13     0.00485  0.00484  0.50   68979     334   68812  3140438  45.53
  1816          14     0.00521  0.00519  0.50   68645     356   68467  3071626  44.75
  1816          15     0.00576  0.00575  0.50   68288     392   68092  3003159  43.98
  1816          16     0.00631  0.00629  0.50   67896     427   67683  2935067  43.23
  1816          17     0.00688  0.00686  0.50   67469     463   67238  2867384  42.50
  1816          18     0.00739  0.00737  0.50   67006     494   66760  2800147  41.79
  1816          19     0.00782  0.00778  0.50   66513     518   66254  2733387  41.10
  1816          20     0.00764  0.00761  0.50   65995     502   65744  2667133  40.41
  1816          21     0.00753  0.00750  0.50   65493     491   65247  2601389  39.72
  1816          22     0.00791  0.00788  0.50   65001     512   64745  2536142  39.02
  1816          23     0.00825  0.00822  0.50   64489     530   64224  2471397  38.32
  1816          24     0.00855  0.00851  0.50   63959     545   63687  2407172  37.64
  1816          25     0.00871  0.00867  0.50   63415     550   63140  2343485  36.95
  1816          26     0.00869  0.00865  0.50   62865     544   62593  2280345  36.27
  1816          27     0.00873  0.00870  0.50   62321     542   62050  2217753  35.59
  1816          28     0.00874  0.00870  0.50   61779     538   61510  2155703  34.89
  1816          29     0.00869  0.00865  0.50   61241     530   60976  2094193  34.20
  1816          30     0.00915  0.00911  0.50   60711     553   60435  2033216  33.49
  1816          31     0.00964  0.00959  0.50   60158     577   59870  1972782  32.79
  1816          32     0.00982  0.00978  0.50   59581     582   59290  1912912  32.11
  1816          33     0.01005  0.01000  0.50   58999     590   58704  1853622  31.42
  1816          34     0.01031  0.01026  0.50   58409     599   58109  1794918  30.73
  1816          35     0.01057  0.01051  0.50   57810     608   57506  1736809  30.04
  1816          36     0.01094  0.01088  0.50   57202     622   56891  1679303  29.36
  1816          37     0.01131  0.01125  0.50   56580     636   56261  1622412  28.67
  1816          38     0.01175  0.01169  0.50   55943     654   55616  1566151  28.00
  1816          39     0.01228  0.01220  0.50   55290     675   54952  1510534  27.32
  1816          40     0.01234  0.01227  0.50   54615     670   54280  1455582  26.65
  1816          41     0.01239  0.01232  0.50   53945     665   53613  1401302  25.98
  1816          42     0.01288  0.01280  0.50   53280     682   52939  1347690  25.29
  1816          43     0.01328  0.01320  0.50   52598     694   52251  1294750  24.62
  1816          44     0.01362  0.01353  0.50   51904     702   51553  1242499  23.94
  1816          45     0.01409  0.01399  0.50   51202     716   50844  1190946  23.26
  1816          46     0.01448  0.01438  0.50   50486     726   50123  1140102  22.58
  1816          47     0.01475  0.01464  0.50   49760     729   49395  1089980  21.90
  1816          48     0.01518  0.01507  0.50   49031     739   48662  1040584  21.22
  1816          49     0.01575  0.01563  0.50   48292     755   47915   991922  20.54
  1816          50     0.01695  0.01681  0.50   47538     799   47138   944007  19.86
  1816          51     0.01826  0.01810  0.50   46739     846   46316   896869  19.19
  1816          52     0.01905  0.01887  0.50   45893     866   45460   850553  18.53
  1816          53     0.01977  0.01957  0.50   45027     881   44586   805093  17.88
  1816          54     0.02044  0.02024  0.50   44146     893   43699   760507  17.23
  1816          55     0.02123  0.02100  0.50   43252     908   42798   716808  16.57
  1816          56     0.02271  0.02246  0.50   42344     951   41868   674010  15.92
  1816          57     0.02435  0.02406  0.50   41393     996   40895   632142  15.27
  1816          58     0.02672  0.02637  0.50   40397    1065   39864   591247  14.64
  1816          59     0.03003  0.02959  0.50   39332    1164   38750   551382  14.02
  1816          60     0.03356  0.03301  0.50   38168    1260   37538   512632  13.43
  1816          61     0.03749  0.03680  0.50   36908    1358   36229   475094  12.87
  1816          62     0.04066  0.03985  0.50   35550    1416   34842   438865  12.35
  1816          63     0.04331  0.04239  0.50   34133    1447   33410   404024  11.84
  1816          64     0.04528  0.04428  0.50   32686    1447   31963   370614  11.34
  1816          65     0.04592  0.04489  0.50   31239    1402   30538   338651  10.84
  1816          66     0.04795  0.04683  0.50   29837    1397   29138   308113  10.33
  1816          67     0.05125  0.04997  0.50   28440    1421   27729   278975   9.81
  1816          68     0.05600  0.05447  0.50   27018    1472   26282   251246   9.30
  1816          69     0.06246  0.06056  0.50   25547    1547   24773   224964   8.81
  1816          70     0.07011  0.06773  0.50   23999    1626   23187   200191   8.34
  1816          71     0.07870  0.07572  0.50   22374    1694   21527   177004   7.91
  1816          72     0.08681  0.08320  0.50   20680    1720   19819   155478   7.52
  1816          73     0.09492  0.09062  0.50   18959    1718   18100   135658   7.16
  1816          74     0.10153  0.09662  0.50   17241    1666   16408   117558   6.82
  1816          75     0.10648  0.10109  0.50   15575    1575   14788   101150   6.49
  1816          76     0.11209  0.10614  0.50   14001    1486   13258    86362   6.17
  1816          77     0.12017  0.11336  0.50   12515    1419   11805    73104   5.84
  1816          78     0.13086  0.12282  0.50   11096    1363   10415    61299   5.52
