Northern Ireland, Life tables (period 1x1), Females     Last modified: 01-Oct-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1922           0     0.07217  0.06849  0.26  100000    6849   94898  5493710  54.94
  1922           1     0.01996  0.01977  0.50   93151    1841   92231  5398812  57.96
  1922           2     0.00938  0.00934  0.50   91310     853   90884  5306581  58.12
  1922           3     0.00551  0.00550  0.50   90457     497   90208  5215698  57.66
  1922           4     0.00461  0.00460  0.50   89960     414   89753  5125489  56.98
  1922           5     0.00392  0.00391  0.50   89546     350   89371  5035737  56.24
  1922           6     0.00331  0.00331  0.50   89195     295   89048  4946366  55.46
  1922           7     0.00278  0.00277  0.50   88901     247   88777  4857318  54.64
  1922           8     0.00240  0.00240  0.50   88654     213   88548  4768541  53.79
  1922           9     0.00215  0.00214  0.50   88441     190   88346  4679993  52.92
  1922          10     0.00198  0.00198  0.50   88251     174   88164  4591647  52.03
  1922          11     0.00198  0.00198  0.50   88077     174   87990  4503483  51.13
  1922          12     0.00218  0.00218  0.50   87903     191   87807  4415493  50.23
  1922          13     0.00253  0.00253  0.50   87711     222   87600  4327686  49.34
  1922          14     0.00305  0.00304  0.50   87489     266   87356  4240086  48.46
  1922          15     0.00375  0.00375  0.50   87223     327   87059  4152730  47.61
  1922          16     0.00440  0.00439  0.50   86896     381   86705  4065671  46.79
  1922          17     0.00491  0.00490  0.50   86514     424   86303  3978966  45.99
  1922          18     0.00524  0.00523  0.50   86091     450   85866  3892663  45.22
  1922          19     0.00535  0.00534  0.50   85640     457   85412  3806798  44.45
  1922          20     0.00528  0.00526  0.50   85183     448   84959  3721386  43.69
  1922          21     0.00512  0.00511  0.50   84735     433   84519  3636427  42.92
  1922          22     0.00516  0.00515  0.50   84303     434   84086  3551908  42.13
  1922          23     0.00547  0.00545  0.50   83869     457   83640  3467822  41.35
  1922          24     0.00575  0.00574  0.50   83412     478   83172  3384182  40.57
  1922          25     0.00604  0.00603  0.50   82933     500   82683  3301009  39.80
  1922          26     0.00629  0.00627  0.50   82433     517   82175  3218326  39.04
  1922          27     0.00708  0.00706  0.50   81917     578   81628  3136151  38.28
  1922          28     0.00785  0.00782  0.50   81339     636   81021  3054523  37.55
  1922          29     0.00797  0.00794  0.50   80702     641   80382  2973502  36.85
  1922          30     0.00800  0.00797  0.50   80062     638   79743  2893120  36.14
  1922          31     0.00760  0.00757  0.50   79424     601   79124  2813377  35.42
  1922          32     0.00761  0.00758  0.50   78823     598   78524  2734253  34.69
  1922          33     0.00796  0.00793  0.50   78226     620   77915  2655729  33.95
  1922          34     0.00797  0.00793  0.50   77605     616   77297  2577813  33.22
  1922          35     0.00787  0.00784  0.50   76989     604   76688  2500516  32.48
  1922          36     0.00773  0.00770  0.50   76386     588   76091  2423829  31.73
  1922          37     0.00877  0.00874  0.50   75797     662   75466  2347737  30.97
  1922          38     0.00974  0.00969  0.50   75135     728   74771  2272271  30.24
  1922          39     0.00940  0.00935  0.50   74407     696   74059  2197500  29.53
  1922          40     0.00953  0.00948  0.50   73711     699   73361  2123441  28.81
  1922          41     0.00885  0.00881  0.50   73012     644   72690  2050080  28.08
  1922          42     0.00885  0.00881  0.50   72368     638   72050  1977389  27.32
  1922          43     0.00953  0.00949  0.50   71731     680   71391  1905340  26.56
  1922          44     0.00955  0.00950  0.50   71050     675   70713  1833949  25.81
  1922          45     0.00946  0.00942  0.50   70375     663   70044  1763237  25.05
  1922          46     0.00943  0.00939  0.50   69712     655   69385  1693193  24.29
  1922          47     0.01154  0.01147  0.50   69058     792   68662  1623807  23.51
  1922          48     0.01419  0.01409  0.50   68266     962   67785  1555146  22.78
  1922          49     0.01441  0.01430  0.50   67304     963   66823  1487361  22.10
  1922          50     0.01532  0.01520  0.50   66341    1008   65837  1420538  21.41
  1922          51     0.01579  0.01566  0.50   65333    1023   64821  1354701  20.74
  1922          52     0.01703  0.01688  0.50   64310    1086   63767  1289880  20.06
  1922          53     0.01896  0.01878  0.50   63224    1187   62630  1226113  19.39
  1922          54     0.01927  0.01908  0.50   62036    1184   61445  1163483  18.75
  1922          55     0.01833  0.01817  0.50   60853    1105   60300  1102038  18.11
  1922          56     0.01787  0.01771  0.50   59747    1058   59218  1041739  17.44
  1922          57     0.02121  0.02099  0.50   58689    1232   58073   982520  16.74
  1922          58     0.02585  0.02552  0.50   57457    1467   56724   924447  16.09
  1922          59     0.02658  0.02623  0.50   55991    1469   55257   867723  15.50
  1922          60     0.02846  0.02806  0.50   54522    1530   53757   812466  14.90
  1922          61     0.02827  0.02787  0.50   52992    1477   52254   758709  14.32
  1922          62     0.03125  0.03077  0.50   51515    1585   50723   706455  13.71
  1922          63     0.03603  0.03539  0.50   49930    1767   49047   655732  13.13
  1922          64     0.03454  0.03395  0.50   48163    1635   47346   606686  12.60
  1922          65     0.03181  0.03131  0.50   46528    1457   45799   559340  12.02
  1922          66     0.03118  0.03070  0.50   45071    1384   44379   513541  11.39
  1922          67     0.03492  0.03432  0.50   43687    1500   42938   469162  10.74
  1922          68     0.04019  0.03940  0.50   42188    1662   41357   426224  10.10
  1922          69     0.04618  0.04514  0.50   40526    1829   39611   384867   9.50
  1922          70     0.05697  0.05539  0.50   38697    2144   37625   345256   8.92
  1922          71     0.06466  0.06264  0.50   36553    2290   35408   307631   8.42
  1922          72     0.07446  0.07178  0.50   34264    2460   33034   272223   7.94
  1922          73     0.09131  0.08732  0.50   31804    2777   30415   239189   7.52
  1922          74     0.10230  0.09732  0.50   29027    2825   27614   208773   7.19
  1922          75     0.10321  0.09815  0.50   26202    2572   24916   181159   6.91
  1922          76     0.09717  0.09267  0.50   23630    2190   22535   156243   6.61
  1922          77     0.10230  0.09732  0.50   21440    2087   20397   133708   6.24
  1922          78     0.11808  0.11150  0.50   19354    2158   18275   113311   5.85
  1922          79     0.12181  0.11482  0.50   17196    1974   16209    95036   5.53
  1922          80     0.14163  0.13226  0.50   15221    2013   14215    78827   5.18
  1922          81     0.15663  0.14525  0.50   13208    1919   12249    64612   4.89
