Northern Ireland, Life tables (period 1x1), Males     Last modified: 01-Oct-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1922           0     0.08912  0.08377  0.28  100000    8377   94003  5392497  53.92
  1922           1     0.02178  0.02155  0.50   91623    1974   90635  5298493  57.83
  1922           2     0.01051  0.01045  0.50   89648     937   89180  5207858  58.09
  1922           3     0.00475  0.00474  0.50   88712     421   88501  5118678  57.70
  1922           4     0.00433  0.00432  0.50   88291     381   88100  5030177  56.97
  1922           5     0.00369  0.00368  0.50   87910     324   87748  4942076  56.22
  1922           6     0.00287  0.00286  0.50   87586     251   87460  4854329  55.42
  1922           7     0.00225  0.00225  0.50   87335     197   87237  4766868  54.58
  1922           8     0.00186  0.00186  0.50   87138     162   87057  4679632  53.70
  1922           9     0.00164  0.00164  0.50   86976     143   86905  4592574  52.80
  1922          10     0.00155  0.00155  0.50   86834     134   86767  4505669  51.89
  1922          11     0.00162  0.00161  0.50   86699     140   86629  4418903  50.97
  1922          12     0.00189  0.00189  0.50   86560     164   86478  4332273  50.05
  1922          13     0.00233  0.00233  0.50   86396     201   86295  4245796  49.14
  1922          14     0.00289  0.00288  0.50   86195     249   86071  4159500  48.26
  1922          15     0.00360  0.00359  0.50   85946     309   85792  4073430  47.40
  1922          16     0.00434  0.00433  0.50   85638     371   85452  3987638  46.56
  1922          17     0.00501  0.00500  0.50   85267     426   85054  3902185  45.76
  1922          18     0.00565  0.00564  0.50   84841     478   84601  3817132  44.99
  1922          19     0.00635  0.00633  0.50   84362     534   84095  3732530  44.24
  1922          20     0.00690  0.00688  0.50   83828     577   83540  3648435  43.52
  1922          21     0.00698  0.00696  0.50   83252     579   82962  3564895  42.82
  1922          22     0.00701  0.00699  0.50   82672     578   82383  3481933  42.12
  1922          23     0.00729  0.00727  0.50   82095     597   81796  3399550  41.41
  1922          24     0.00736  0.00733  0.50   81498     597   81199  3317754  40.71
  1922          25     0.00712  0.00710  0.50   80901     574   80614  3236554  40.01
  1922          26     0.00683  0.00681  0.50   80327     547   80053  3155941  39.29
  1922          27     0.00711  0.00709  0.50   79780     565   79497  3075887  38.55
  1922          28     0.00743  0.00740  0.50   79215     586   78922  2996390  37.83
  1922          29     0.00746  0.00743  0.50   78629     584   78337  2917468  37.10
  1922          30     0.00759  0.00756  0.50   78044     590   77749  2839132  36.38
  1922          31     0.00726  0.00723  0.50   77454     560   77174  2761383  35.65
  1922          32     0.00734  0.00731  0.50   76894     562   76613  2684208  34.91
  1922          33     0.00772  0.00769  0.50   76332     587   76038  2607596  34.16
  1922          34     0.00752  0.00750  0.50   75744     568   75460  2531558  33.42
  1922          35     0.00720  0.00718  0.50   75177     540   74907  2456097  32.67
  1922          36     0.00695  0.00692  0.50   74637     517   74379  2381190  31.90
  1922          37     0.00774  0.00771  0.50   74120     572   73834  2306812  31.12
  1922          38     0.00867  0.00864  0.50   73549     635   73231  2232978  30.36
  1922          39     0.00862  0.00859  0.50   72913     626   72600  2159747  29.62
  1922          40     0.00862  0.00859  0.50   72287     621   71977  2087146  28.87
  1922          41     0.00790  0.00787  0.50   71667     564   71385  2015169  28.12
  1922          42     0.00814  0.00811  0.50   71102     577   70814  1943785  27.34
  1922          43     0.00901  0.00897  0.50   70526     633   70209  1872971  26.56
  1922          44     0.00897  0.00893  0.50   69893     624   69581  1802761  25.79
  1922          45     0.00861  0.00858  0.50   69269     594   68972  1733180  25.02
  1922          46     0.00832  0.00829  0.50   68675     569   68390  1664208  24.23
  1922          47     0.01014  0.01009  0.50   68106     687   67762  1595818  23.43
  1922          48     0.01283  0.01275  0.50   67418     860   66988  1528056  22.67
  1922          49     0.01360  0.01351  0.50   66559     899   66109  1461067  21.95
  1922          50     0.01497  0.01486  0.50   65659     976   65171  1394958  21.25
  1922          51     0.01559  0.01547  0.50   64683    1001   64183  1329787  20.56
  1922          52     0.01682  0.01668  0.50   63683    1062   63152  1265604  19.87
  1922          53     0.01913  0.01895  0.50   62621    1187   62027  1202452  19.20
  1922          54     0.01954  0.01935  0.50   61434    1189   60840  1140425  18.56
  1922          55     0.01797  0.01781  0.50   60245    1073   59709  1079585  17.92
  1922          56     0.01662  0.01648  0.50   59172     975   58685  1019876  17.24
  1922          57     0.01897  0.01879  0.50   58197    1093   57650   961192  16.52
  1922          58     0.02325  0.02298  0.50   57104    1312   56448   903542  15.82
  1922          59     0.02448  0.02418  0.50   55791    1349   55117   847094  15.18
  1922          60     0.02669  0.02634  0.50   54442    1434   53725   791977  14.55
  1922          61     0.02671  0.02635  0.50   53008    1397   52310   738252  13.93
  1922          62     0.02958  0.02915  0.50   51611    1505   50859   685942  13.29
  1922          63     0.03506  0.03446  0.50   50106    1727   49243   635084  12.67
  1922          64     0.03528  0.03467  0.50   48380    1677   47541   585841  12.11
  1922          65     0.03442  0.03384  0.50   46702    1580   45912   538299  11.53
  1922          66     0.03645  0.03579  0.50   45122    1615   44314   492387  10.91
  1922          67     0.04268  0.04179  0.50   43507    1818   42598   448073  10.30
  1922          68     0.04924  0.04805  0.50   41689    2003   40687   405475   9.73
  1922          69     0.05533  0.05384  0.50   39685    2137   38617   364788   9.19
  1922          70     0.06525  0.06319  0.50   37549    2373   36362   326171   8.69
  1922          71     0.07172  0.06923  0.50   35176    2435   33958   289809   8.24
  1922          72     0.08085  0.07770  0.50   32741    2544   31468   255850   7.81
  1922          73     0.09604  0.09164  0.50   30196    2767   28813   224382   7.43
  1922          74     0.10387  0.09874  0.50   27429    2708   26075   195569   7.13
  1922          75     0.10268  0.09767  0.50   24721    2414   23514   169494   6.86
  1922          76     0.09829  0.09369  0.50   22307    2090   21262   145980   6.54
  1922          77     0.10291  0.09788  0.50   20217    1979   19227   124719   6.17
  1922          78     0.11596  0.10960  0.50   18238    1999   17238   105491   5.78
  1922          79     0.12384  0.11661  0.50   16239    1894   15292    88253   5.43
  1922          80     0.14564  0.13575  0.50   14345    1947   13372    72961   5.09
  1922          81     0.16251  0.15029  0.50   12398    1863   11466    59589   4.81
  1922          82     0.17866  0.16401  0.50   10535    1728    9671    48123   4.57
  1922          83     0.19234  0.17547  0.50    8807    1545    8034    38452   4.37
  1922          84     0.20074  0.18243  0.50    7261    1325    6599    30418   4.19
  1922          85     0.20658  0.18724  0.50    5937    1112    5381    23819   4.01
  1922          86     0.21965  0.19792  0.50    4825     955    4348    18438   3.82
  1922          87     0.23331  0.20894  0.50    3870     809    3466    14090   3.64
  1922          88     0.24755  0.22029  0.50    3062     674    2724    10625   3.47
  1922          89     0.26237  0.23194  0.50    2387     554    2110     7900   3.31
  1922          90     0.27774  0.24387  0.50    1833     447    1610     5790   3.16
  1922          91     0.29365  0.25606  0.50    1386     355    1209     4180   3.02
  1922          92     0.31009  0.26846  0.50    1031     277     893     2971   2.88
  1922          93     0.32702  0.28106  0.50     754     212     648     2078   2.75
  1922          94     0.34441  0.29381  0.50     542     159     463     1430   2.64
  1922          95     0.36222  0.30668  0.50     383     117     324      967   2.52
  1922          96     0.38043  0.31963  0.50     266      85     223      643   2.42
  1922          97     0.39898  0.33262  0.50     181      60     151      420   2.32
  1922          98     0.41782  0.34562  0.50     121      42     100      269   2.23
  1922          99     0.43690  0.35857  0.50      79      28      65      169   2.15
  1922         100     0.45618  0.37145  0.50      51      19      41      105   2.07
  1922         101     0.47558  0.38422  0.50      32      12      26       63   1.99
  1922         102     0.49506  0.39683  0.50      20       8      16       38   1.92
  1922         103     0.51456  0.40926  0.50      12       5       9       22   1.86
  1922         104     0.53401  0.42147  0.50       7       3       6       13   1.80
  1922         105     0.55336  0.43344  0.50       4       2       3        7   1.74
  1922         106     0.57255  0.44512  0.50       2       1       2        4   1.69
  1922         107     0.59152  0.45650  0.50       1       1       1        2   1.64
  1922         108     0.61022  0.46756  0.50       1       0       1        1   1.60
  1922         109     0.62860  0.47828  0.50       0       0       0        1   1.57
  1922         110+    0.64662  1.00000  1.55       0       0       0        0   1.55
  1923           0     0.09070  0.08520  0.29  100000    8520   93937  5532485  55.32
  1923           1     0.02445  0.02416  0.50   91480    2210   90375  5438547  59.45
  1923           2     0.00879  0.00875  0.50   89270     781   88879  5348172  59.91
  1923           3     0.00703  0.00701  0.50   88489     620   88179  5259293  59.43
  1923           4     0.00385  0.00385  0.50   87869     338   87700  5171114  58.85
  1923           5     0.00283  0.00283  0.50   87531     247   87407  5083415  58.08
  1923           6     0.00280  0.00279  0.50   87283     244   87161  4996008  57.24
  1923           7     0.00257  0.00256  0.50   87039     223   86928  4908846  56.40
  1923           8     0.00230  0.00229  0.50   86816     199   86717  4821919  55.54
  1923           9     0.00205  0.00204  0.50   86617     177   86529  4735202  54.67
  1923          10     0.00181  0.00181  0.50   86440     157   86362  4648673  53.78
  1923          11     0.00169  0.00168  0.50   86284     145   86211  4562311  52.88
  1923          12     0.00170  0.00170  0.50   86138     147   86065  4476100  51.96
  1923          13     0.00191  0.00191  0.50   85992     164   85910  4390035  51.05
  1923          14     0.00226  0.00226  0.50   85827     194   85730  4304126  50.15
  1923          15     0.00268  0.00267  0.50   85634     229   85519  4218395  49.26
  1923          16     0.00312  0.00312  0.50   85405     266   85272  4132876  48.39
  1923          17     0.00360  0.00359  0.50   85138     306   84986  4047604  47.54
  1923          18     0.00406  0.00405  0.50   84833     344   84661  3962619  46.71
  1923          19     0.00454  0.00453  0.50   84489     383   84298  3877958  45.90
  1923          20     0.00510  0.00509  0.50   84106     428   83892  3793660  45.11
  1923          21     0.00551  0.00550  0.50   83679     460   83448  3709768  44.33
  1923          22     0.00550  0.00548  0.50   83218     456   82990  3626319  43.58
  1923          23     0.00541  0.00539  0.50   82762     446   82539  3543329  42.81
  1923          24     0.00545  0.00544  0.50   82316     448   82092  3460790  42.04
  1923          25     0.00531  0.00529  0.50   81868     433   81651  3378698  41.27
  1923          26     0.00508  0.00506  0.50   81435     412   81229  3297046  40.49
  1923          27     0.00488  0.00487  0.50   81022     394   80825  3215818  39.69
  1923          28     0.00515  0.00514  0.50   80628     414   80421  3134992  38.88
  1923          29     0.00552  0.00550  0.50   80214     441   79993  3054572  38.08
  1923          30     0.00572  0.00570  0.50   79772     455   79545  2974579  37.29
  1923          31     0.00595  0.00593  0.50   79317     470   79082  2895034  36.50
  1923          32     0.00579  0.00577  0.50   78847     455   78619  2815952  35.71
  1923          33     0.00593  0.00591  0.50   78392     464   78160  2737333  34.92
  1923          34     0.00631  0.00629  0.50   77928     490   77683  2659173  34.12
  1923          35     0.00621  0.00619  0.50   77438     479   77198  2581490  33.34
  1923          36     0.00602  0.00601  0.50   76959     462   76728  2504291  32.54
  1923          37     0.00590  0.00588  0.50   76496     450   76272  2427564  31.73
  1923          38     0.00667  0.00665  0.50   76047     506   75794  2351292  30.92
  1923          39     0.00760  0.00757  0.50   75541     572   75255  2275498  30.12
  1923          40     0.00766  0.00763  0.50   74969     572   74683  2200243  29.35
  1923          41     0.00776  0.00773  0.50   74397     575   74110  2125560  28.57
  1923          42     0.00719  0.00716  0.50   73822     529   73558  2051450  27.79
  1923          43     0.00750  0.00747  0.50   73293     548   73020  1977893  26.99
  1923          44     0.00842  0.00838  0.50   72746     610   72441  1904873  26.19
  1923          45     0.00851  0.00847  0.50   72136     611   71830  1832432  25.40
  1923          46     0.00838  0.00835  0.50   71525     597   71226  1760602  24.62
  1923          47     0.00823  0.00820  0.50   70928     582   70637  1689375  23.82
  1923          48     0.01008  0.01003  0.50   70346     706   69993  1618738  23.01
  1923          49     0.01269  0.01261  0.50   69640     878   69201  1548745  22.24
  1923          50     0.01318  0.01309  0.50   68762     900   68312  1479544  21.52
  1923          51     0.01394  0.01384  0.50   67862     939   67392  1411232  20.80
  1923          52     0.01414  0.01404  0.50   66923     939   66453  1343839  20.08
  1923          53     0.01514  0.01503  0.50   65983     992   65487  1277387  19.36
