United Kingdom, Life tables (period 1x1), Females     Last modified: 03-Nov-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1922           0     0.07005  0.06655  0.25  100000    6655   95003  5886433  58.86
  1922           1     0.02498  0.02467  0.50   93345    2303   92193  5791430  62.04
  1922           2     0.01214  0.01207  0.50   91042    1099   90493  5699237  62.60
  1922           3     0.00607  0.00605  0.50   89943     544   89671  5608744  62.36
  1922           4     0.00443  0.00442  0.50   89399     395   89202  5519073  61.74
  1922           5     0.00386  0.00385  0.50   89004     343   88833  5429871  61.01
  1922           6     0.00296  0.00295  0.50   88661     262   88530  5341039  60.24
  1922           7     0.00243  0.00242  0.50   88399     214   88292  5252509  59.42
  1922           8     0.00195  0.00195  0.50   88185     172   88099  5164217  58.56
  1922           9     0.00183  0.00183  0.50   88013     161   87933  5076117  57.67
  1922          10     0.00180  0.00180  0.50   87852     158   87773  4988185  56.78
  1922          11     0.00165  0.00165  0.50   87694     144   87622  4900411  55.88
  1922          12     0.00182  0.00182  0.50   87550     159   87470  4812789  54.97
  1922          13     0.00194  0.00193  0.50   87390     169   87306  4725319  54.07
  1922          14     0.00212  0.00212  0.50   87221     185   87129  4638013  53.18
  1922          15     0.00231  0.00231  0.50   87037     201   86936  4550884  52.29
  1922          16     0.00256  0.00256  0.50   86836     222   86725  4463948  51.41
  1922          17     0.00263  0.00262  0.50   86614     227   86500  4377223  50.54
  1922          18     0.00281  0.00281  0.50   86387     243   86265  4290723  49.67
  1922          19     0.00301  0.00300  0.50   86144     259   86015  4204458  48.81
  1922          20     0.00325  0.00324  0.50   85885     279   85746  4118443  47.95
  1922          21     0.00330  0.00329  0.50   85607     282   85466  4032697  47.11
  1922          22     0.00334  0.00333  0.50   85325     284   85183  3947231  46.26
  1922          23     0.00336  0.00335  0.50   85040     285   84898  3862049  45.41
  1922          24     0.00358  0.00357  0.50   84756     303   84604  3777151  44.57
  1922          25     0.00359  0.00359  0.50   84453     303   84301  3692547  43.72
  1922          26     0.00361  0.00360  0.50   84150     303   83998  3608245  42.88
  1922          27     0.00386  0.00386  0.50   83847     323   83685  3524247  42.03
  1922          28     0.00399  0.00398  0.50   83523     333   83357  3440562  41.19
  1922          29     0.00396  0.00396  0.50   83191     329   83026  3357205  40.36
  1922          30     0.00410  0.00410  0.50   82862     339   82692  3274179  39.51
  1922          31     0.00408  0.00408  0.50   82522     336   82354  3191487  38.67
  1922          32     0.00432  0.00431  0.50   82186     354   82009  3109132  37.83
  1922          33     0.00452  0.00451  0.50   81832     369   81647  3027124  36.99
  1922          34     0.00464  0.00463  0.50   81462     377   81274  2945477  36.16
  1922          35     0.00478  0.00477  0.50   81086     386   80892  2864203  35.32
  1922          36     0.00493  0.00491  0.50   80699     396   80501  2783310  34.49
  1922          37     0.00501  0.00500  0.50   80303     401   80102  2702809  33.66
  1922          38     0.00557  0.00556  0.50   79901     444   79679  2622707  32.82
  1922          39     0.00542  0.00541  0.50   79457     430   79243  2543028  32.00
  1922          40     0.00543  0.00541  0.50   79028     428   78814  2463785  31.18
  1922          41     0.00562  0.00561  0.50   78600     441   78380  2384971  30.34
  1922          42     0.00656  0.00654  0.50   78159     511   77904  2306592  29.51
  1922          43     0.00637  0.00635  0.50   77648     493   77402  2228688  28.70
  1922          44     0.00643  0.00641  0.50   77155     495   76908  2151286  27.88
  1922          45     0.00692  0.00690  0.50   76660     529   76396  2074378  27.06
  1922          46     0.00734  0.00731  0.50   76132     556   75853  1997982  26.24
  1922          47     0.00778  0.00775  0.50   75575     586   75282  1922129  25.43
  1922          48     0.00867  0.00863  0.50   74989     647   74666  1846846  24.63
  1922          49     0.00926  0.00921  0.50   74342     685   73999  1772181  23.84
  1922          50     0.00983  0.00979  0.50   73657     721   73297  1698181  23.06
  1922          51     0.00992  0.00987  0.50   72936     720   72576  1624885  22.28
  1922          52     0.01215  0.01208  0.50   72216     872   71780  1552308  21.50
  1922          53     0.01258  0.01250  0.50   71344     892   70898  1480528  20.75
  1922          54     0.01356  0.01347  0.50   70452     949   69978  1409630  20.01
  1922          55     0.01289  0.01281  0.50   69503     890   69058  1339652  19.27
  1922          56     0.01511  0.01500  0.50   68613    1029   68098  1270594  18.52
  1922          57     0.01605  0.01593  0.50   67584    1076   67045  1202496  17.79
  1922          58     0.01826  0.01809  0.50   66507    1203   65906  1135451  17.07
  1922          59     0.01895  0.01877  0.50   65304    1226   64691  1069545  16.38
  1922          60     0.02031  0.02011  0.50   64078    1288   63434  1004854  15.68
  1922          61     0.02069  0.02048  0.50   62790    1286   62147   941420  14.99
  1922          62     0.02645  0.02610  0.50   61504    1605   60701   879273  14.30
  1922          63     0.02797  0.02758  0.50   59899    1652   59073   818572  13.67
  1922          64     0.03088  0.03041  0.50   58247    1771   57361   759499  13.04
  1922          65     0.03359  0.03304  0.50   56475    1866   55542   702138  12.43
  1922          66     0.03234  0.03182  0.50   54609    1738   53741   646596  11.84
  1922          67     0.03781  0.03711  0.50   52872    1962   51891   592856  11.21
  1922          68     0.04339  0.04247  0.50   50910    2162   49829   540965  10.63
  1922          69     0.04676  0.04569  0.50   48748    2227   47634   491136  10.08
  1922          70     0.05114  0.04986  0.50   46520    2320   45361   443502   9.53
  1922          71     0.05372  0.05232  0.50   44201    2313   43045   398142   9.01
  1922          72     0.06809  0.06585  0.50   41888    2758   40509   355097   8.48
  1922          73     0.07365  0.07104  0.50   39130    2780   37740   314588   8.04
  1922          74     0.07745  0.07456  0.50   36350    2710   34995   276848   7.62
  1922          75     0.08777  0.08408  0.50   33640    2829   32226   241852   7.19
  1922          76     0.09324  0.08909  0.50   30811    2745   29439   209627   6.80
  1922          77     0.10081  0.09598  0.50   28067    2694   26720   180188   6.42
  1922          78     0.11146  0.10557  0.50   25373    2679   24034   153468   6.05
  1922          79     0.12068  0.11381  0.50   22694    2583   21403   129434   5.70
  1922          80     0.12619  0.11870  0.50   20111    2387   18918   108032   5.37
  1922          81     0.13805  0.12914  0.50   17724    2289   16580    89114   5.03
  1922          82     0.15991  0.14808  0.50   15435    2286   14292    72534   4.70
  1922          83     0.16536  0.15274  0.50   13150    2008   12145    58242   4.43
  1922          84     0.19962  0.18151  0.50   11141    2022   10130    46097   4.14
  1922          85     0.20275  0.18409  0.50    9119    1679    8280    35966   3.94
  1922          86     0.22474  0.20203  0.50    7440    1503    6689    27687   3.72
  1922          87     0.23945  0.21384  0.50    5937    1270    5302    20998   3.54
  1922          88     0.25086  0.22290  0.50    4667    1040    4147    15696   3.36
  1922          89     0.27130  0.23890  0.50    3627     867    3194    11548   3.18
  1922          90     0.28928  0.25273  0.50    2761     698    2412     8355   3.03
  1922          91     0.29572  0.25763  0.50    2063     531    1797     5943   2.88
  1922          92     0.31166  0.26964  0.50    1531     413    1325     4146   2.71
  1922          93     0.33464  0.28668  0.50    1119     321     958     2821   2.52
  1922          94     0.38824  0.32512  0.50     798     259     668     1862   2.33
  1922          95     0.41200  0.34163  0.50     538     184     446     1194   2.22
  1922          96     0.43714  0.35873  0.50     355     127     291      748   2.11
  1922          97     0.46261  0.37571  0.50     227      85     185      457   2.01
  1922          98     0.48827  0.39246  0.50     142      56     114      272   1.92
  1922          99     0.51400  0.40891  0.50      86      35      69      158   1.84
  1922         100     0.53965  0.42498  0.50      51      22      40       90   1.76
  1922         101     0.56509  0.44060  0.50      29      13      23       49   1.69
  1922         102     0.59020  0.45572  0.50      16       7      13       27   1.62
  1922         103     0.61484  0.47027  0.50       9       4       7       14   1.57
