United Kingdom, Life tables (period 1x1), Males     Last modified: 03-Nov-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1922           0     0.09257  0.08689  0.29  100000    8689   93861  5517971  55.18
  1922           1     0.02726  0.02689  0.50   91311    2455   90083  5424110  59.40
  1922           2     0.01298  0.01290  0.50   88856    1146   88283  5334027  60.03
  1922           3     0.00632  0.00630  0.50   87710     553   87433  5245744  59.81
  1922           4     0.00431  0.00430  0.50   87157     374   86970  5158310  59.18
  1922           5     0.00378  0.00377  0.50   86782     327   86619  5071341  58.44
  1922           6     0.00316  0.00315  0.50   86455     272   86319  4984722  57.66
  1922           7     0.00253  0.00252  0.50   86183     217   86074  4898403  56.84
  1922           8     0.00217  0.00217  0.50   85965     186   85872  4812329  55.98
  1922           9     0.00188  0.00188  0.50   85779     161   85698  4726458  55.10
  1922          10     0.00175  0.00175  0.50   85618     150   85543  4640759  54.20
  1922          11     0.00173  0.00173  0.50   85468     148   85394  4555216  53.30
  1922          12     0.00164  0.00164  0.50   85320     140   85250  4469822  52.39
  1922          13     0.00172  0.00172  0.50   85180     147   85107  4384572  51.47
  1922          14     0.00199  0.00199  0.50   85033     169   84949  4299465  50.56
  1922          15     0.00207  0.00207  0.50   84864     176   84776  4214517  49.66
  1922          16     0.00250  0.00250  0.50   84688     212   84583  4129741  48.76
  1922          17     0.00285  0.00285  0.50   84477     240   84357  4045158  47.88
  1922          18     0.00309  0.00308  0.50   84236     260   84107  3960802  47.02
  1922          19     0.00341  0.00341  0.50   83977     286   83834  3876695  46.16
  1922          20     0.00363  0.00362  0.50   83691     303   83539  3792861  45.32
  1922          21     0.00356  0.00355  0.50   83387     296   83239  3709322  44.48
  1922          22     0.00389  0.00388  0.50   83091     323   82930  3626083  43.64
  1922          23     0.00382  0.00381  0.50   82768     315   82611  3543153  42.81
  1922          24     0.00418  0.00417  0.50   82453     344   82281  3460542  41.97
  1922          25     0.00386  0.00385  0.50   82109     316   81951  3378261  41.14
  1922          26     0.00403  0.00402  0.50   81793     329   81629  3296310  40.30
  1922          27     0.00412  0.00412  0.50   81464     335   81297  3214681  39.46
  1922          28     0.00432  0.00431  0.50   81129     350   80954  3133385  38.62
  1922          29     0.00448  0.00447  0.50   80779     361   80599  3052431  37.79
  1922          30     0.00422  0.00421  0.50   80418     339   80249  2971832  36.95
  1922          31     0.00449  0.00448  0.50   80080     359   79900  2891583  36.11
  1922          32     0.00501  0.00500  0.50   79721     399   79522  2811682  35.27
  1922          33     0.00499  0.00498  0.50   79322     395   79125  2732161  34.44
  1922          34     0.00547  0.00546  0.50   78928     431   78712  2653036  33.61
  1922          35     0.00559  0.00557  0.50   78497     438   78278  2574323  32.80
  1922          36     0.00585  0.00583  0.50   78059     455   77832  2496045  31.98
  1922          37     0.00608  0.00606  0.50   77604     470   77369  2418213  31.16
  1922          38     0.00671  0.00669  0.50   77134     516   76876  2340844  30.35
  1922          39     0.00697  0.00695  0.50   76618     532   76352  2263968  29.55
  1922          40     0.00688  0.00685  0.50   76086     521   75825  2187616  28.75
  1922          41     0.00678  0.00676  0.50   75564     511   75309  2111791  27.95
  1922          42     0.00837  0.00833  0.50   75053     625   74741  2036482  27.13
  1922          43     0.00801  0.00798  0.50   74428     594   74131  1961742  26.36
  1922          44     0.00838  0.00834  0.50   73834     616   73526  1887610  25.57
  1922          45     0.00939  0.00935  0.50   73218     684   72876  1814084  24.78
  1922          46     0.00931  0.00926  0.50   72534     672   72198  1741208  24.01
  1922          47     0.00998  0.00993  0.50   71862     713   71505  1669010  23.23
  1922          48     0.01093  0.01087  0.50   71149     774   70762  1597504  22.45
  1922          49     0.01172  0.01165  0.50   70375     820   69965  1526742  21.69
  1922          50     0.01201  0.01194  0.50   69555     830   69140  1456777  20.94
  1922          51     0.01222  0.01214  0.50   68725     835   68308  1387637  20.19
