Hungary, Life tables (period 1x1), Females     Last modified: 12-Apr-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1950           0     0.08142  0.07692  0.28  100000    7692   94470  6425172  64.25
  1950           1     0.00716  0.00714  0.50   92308     659   91979  6330702  68.58
  1950           2     0.00322  0.00322  0.50   91650     295   91502  6238723  68.07
  1950           3     0.00207  0.00206  0.50   91355     188   91261  6147221  67.29
  1950           4     0.00169  0.00169  0.50   91166     154   91089  6055961  66.43
  1950           5     0.00127  0.00127  0.50   91013     115   90955  5964871  65.54
  1950           6     0.00127  0.00126  0.50   90897     115   90840  5873916  64.62
  1950           7     0.00112  0.00112  0.50   90782     102   90732  5783076  63.70
  1950           8     0.00079  0.00079  0.50   90681      71   90645  5692345  62.77
  1950           9     0.00092  0.00092  0.50   90609      83   90568  5601699  61.82
  1950          10     0.00071  0.00071  0.50   90526      64   90494  5511131  60.88
  1950          11     0.00090  0.00090  0.50   90462      81   90422  5420637  59.92
  1950          12     0.00095  0.00095  0.50   90381      86   90338  5330215  58.97
  1950          13     0.00074  0.00074  0.50   90295      67   90262  5239877  58.03
  1950          14     0.00112  0.00112  0.50   90229     101   90178  5149615  57.07
  1950          15     0.00149  0.00149  0.50   90128     134   90061  5059436  56.14
  1950          16     0.00155  0.00155  0.50   89993     140   89924  4969376  55.22
  1950          17     0.00185  0.00185  0.50   89854     166   89771  4879452  54.30
  1950          18     0.00182  0.00182  0.50   89687     163   89606  4789681  53.40
  1950          19     0.00165  0.00165  0.50   89524     148   89450  4700076  52.50
  1950          20     0.00241  0.00241  0.50   89376     215   89269  4610626  51.59
  1950          21     0.00205  0.00204  0.50   89161     182   89070  4521357  50.71
  1950          22     0.00197  0.00197  0.50   88979     175   88891  4432287  49.81
  1950          23     0.00205  0.00205  0.50   88804     182   88713  4343396  48.91
  1950          24     0.00235  0.00235  0.50   88621     208   88517  4254683  48.01
  1950          25     0.00239  0.00239  0.50   88413     211   88308  4166166  47.12
  1950          26     0.00224  0.00224  0.50   88202     197   88104  4077858  46.23
  1950          27     0.00250  0.00249  0.50   88005     219   87895  3989755  45.34
  1950          28     0.00264  0.00264  0.50   87785     232   87670  3901859  44.45
  1950          29     0.00223  0.00222  0.50   87554     195   87456  3814190  43.56
  1950          30     0.00241  0.00241  0.50   87359     211   87253  3726734  42.66
  1950          31     0.00218  0.00218  0.50   87148     190   87053  3639480  41.76
  1950          32     0.00258  0.00258  0.50   86958     224   86846  3552427  40.85
  1950          33     0.00199  0.00198  0.50   86734     172   86648  3465581  39.96
  1950          34     0.00244  0.00244  0.50   86562     211   86456  3378934  39.04
  1950          35     0.00248  0.00247  0.50   86350     214   86243  3292478  38.13
  1950          36     0.00320  0.00319  0.50   86137     275   85999  3206234  37.22
  1950          37     0.00262  0.00262  0.50   85862     225   85749  3120235  36.34
  1950          38     0.00288  0.00288  0.50   85637     246   85514  3034486  35.43
  1950          39     0.00370  0.00369  0.50   85391     315   85233  2948972  34.53
  1950          40     0.00331  0.00330  0.50   85076     281   84936  2863738  33.66
  1950          41     0.00352  0.00352  0.50   84795     298   84646  2778803  32.77
  1950          42     0.00402  0.00402  0.50   84497     339   84327  2694157  31.88
  1950          43     0.00358  0.00357  0.50   84158     301   84007  2609830  31.01
  1950          44     0.00441  0.00440  0.50   83857     369   83672  2525822  30.12
  1950          45     0.00518  0.00517  0.50   83488     432   83272  2442150  29.25
  1950          46     0.00478  0.00477  0.50   83056     396   82858  2358878  28.40
  1950          47     0.00547  0.00546  0.50   82660     451   82435  2276020  27.53
  1950          48     0.00614  0.00612  0.50   82209     503   81958  2193585  26.68
  1950          49     0.00661  0.00659  0.50   81706     538   81437  2111627  25.84
  1950          50     0.00740  0.00738  0.50   81168     599   80868  2030190  25.01
  1950          51     0.00705  0.00702  0.50   80569     566   80286  1949322  24.19
  1950          52     0.00811  0.00808  0.50   80003     646   79680  1869035  23.36
  1950          53     0.00871  0.00867  0.50   79357     688   79013  1789355  22.55
  1950          54     0.00958  0.00953  0.50   78669     750   78294  1710342  21.74
  1950          55     0.00985  0.00980  0.50   77920     763   77538  1632047  20.95
  1950          56     0.01083  0.01078  0.50   77156     831   76741  1554509  20.15
  1950          57     0.01192  0.01185  0.50   76325     904   75873  1477769  19.36
  1950          58     0.01307  0.01298  0.50   75420     979   74931  1401896  18.59
  1950          59     0.01446  0.01436  0.50   74441    1069   73907  1326965  17.83
  1950          60     0.01714  0.01699  0.50   73373    1247   72749  1253058  17.08
  1950          61     0.01706  0.01692  0.50   72126    1220   71516  1180309  16.36
  1950          62     0.01983  0.01963  0.50   70906    1392   70210  1108793  15.64
  1950          63     0.02197  0.02173  0.50   69514    1511   68759  1038583  14.94
  1950          64     0.02260  0.02235  0.50   68003    1520   67243   969824  14.26
  1950          65     0.02511  0.02480  0.50   66483    1649   65659   902581  13.58
  1950          66     0.02736  0.02700  0.50   64835    1750   63960   836921  12.91
  1950          67     0.03096  0.03048  0.50   63085    1923   62123   772962  12.25
  1950          68     0.03430  0.03372  0.50   61161    2062   60130   710839  11.62
  1950          69     0.03712  0.03645  0.50   59099    2154   58022   650708  11.01
  1950          70     0.04521  0.04421  0.50   56945    2518   55686   592686  10.41
  1950          71     0.04580  0.04478  0.50   54428    2437   53209   537000   9.87
  1950          72     0.05354  0.05215  0.50   51990    2711   50635   483791   9.31
  1950          73     0.05651  0.05496  0.50   49279    2708   47925   433156   8.79
  1950          74     0.06339  0.06144  0.50   46571    2862   45140   385231   8.27
  1950          75     0.07248  0.06995  0.50   43709    3057   42181   340091   7.78
  1950          76     0.07745  0.07456  0.50   40652    3031   39136   297910   7.33
  1950          77     0.08913  0.08532  0.50   37621    3210   36016   258773   6.88
  1950          78     0.09704  0.09255  0.50   34411    3185   32818   222758   6.47
  1950          79     0.09369  0.08949  0.50   31226    2795   29829   189939   6.08
  1950          80     0.12580  0.11836  0.50   28431    3365   26749   160110   5.63
  1950          81     0.12200  0.11498  0.50   25066    2882   23625   133361   5.32
  1950          82     0.14838  0.13813  0.50   22184    3064   20652   109736   4.95
  1950          83     0.15975  0.14793  0.50   19120    2828   17706    89084   4.66
  1950          84     0.17930  0.16455  0.50   16291    2681   14951    71379   4.38
  1950          85     0.18191  0.16674  0.50   13611    2269   12476    56428   4.15
  1950          86     0.21378  0.19314  0.50   11341    2190   10246    43952   3.88
  1950          87     0.23783  0.21256  0.50    9151    1945    8178    33706   3.68
  1950          88     0.23453  0.20991  0.50    7206    1513    6449    25528   3.54
  1950          89     0.23412  0.20958  0.50    5693    1193    5097    19078   3.35
  1950          90     0.27400  0.24098  0.50    4500    1084    3958    13982   3.11
  1950          91     0.28421  0.24884  0.50    3416     850    2991    10024   2.93
  1950          92     0.31947  0.27547  0.50    2566     707    2212     7033   2.74
  1950          93     0.34190  0.29199  0.50    1859     543    1587     4821   2.59
  1950          94     0.36507  0.30872  0.50    1316     406    1113     3234   2.46
  1950          95     0.38887  0.32557  0.50     910     296     762     2121   2.33
  1950          96     0.41322  0.34247  0.50     614     210     509     1359   2.21
  1950          97     0.43801  0.35931  0.50     403     145     331      850   2.11
  1950          98     0.46310  0.37603  0.50     258      97     210      520   2.01
  1950          99     0.48838  0.39253  0.50     161      63     130      310   1.92
  1950         100     0.51373  0.40874  0.50      98      40      78      180   1.84
  1950         101     0.53900  0.42458  0.50      58      25      46      102   1.76
  1950         102     0.56407  0.43998  0.50      33      15      26       56   1.69
  1950         103     0.58882  0.45490  0.50      19       8      14       30   1.63
  1950         104     0.61313  0.46927  0.50      10       5       8       16   1.57
  1950         105     0.63689  0.48306  0.50       5       3       4        8   1.52
  1950         106     0.66000  0.49624  0.50       3       1       2        4   1.47
  1950         107     0.68237  0.50878  0.50       1       1       1        2   1.43
  1950         108     0.70393  0.52067  0.50       1       0       1        1   1.39
  1950         109     0.72461  0.53190  0.50       0       0       0        0   1.36
  1950         110+    0.74438  1.00000  1.34       0       0       0        0   1.34
  1951           0     0.07755  0.07340  0.27  100000    7340   94643  6474044  64.74
  1951           1     0.00762  0.00759  0.50   92660     704   92309  6379401  68.85
  1951           2     0.00281  0.00281  0.50   91957     258   91828  6287092  68.37
  1951           3     0.00209  0.00208  0.50   91698     191   91603  6195265  67.56
  1951           4     0.00157  0.00156  0.50   91507     143   91436  6103662  66.70
  1951           5     0.00108  0.00108  0.50   91364      99   91315  6012226  65.81
  1951           6     0.00096  0.00096  0.50   91265      88   91221  5920912  64.88
  1951           7     0.00094  0.00094  0.50   91177      86   91134  5829690  63.94
  1951           8     0.00084  0.00084  0.50   91091      77   91053  5738556  63.00
  1951           9     0.00071  0.00071  0.50   91015      64   90983  5647503  62.05
  1951          10     0.00080  0.00080  0.50   90950      72   90914  5556520  61.09
  1951          11     0.00061  0.00061  0.50   90878      56   90850  5465606  60.14
  1951          12     0.00088  0.00088  0.50   90822      80   90782  5374756  59.18
  1951          13     0.00087  0.00087  0.50   90742      79   90703  5283974  58.23
  1951          14     0.00113  0.00113  0.50   90664     102   90612  5193271  57.28
  1951          15     0.00111  0.00111  0.50   90561     100   90511  5102658  56.34
  1951          16     0.00133  0.00133  0.50   90461     120   90401  5012147  55.41
  1951          17     0.00158  0.00158  0.50   90341     143   90270  4921746  54.48
  1951          18     0.00154  0.00154  0.50   90198     139   90129  4831476  53.57
  1951          19     0.00168  0.00168  0.50   90059     151   89984  4741347  52.65
  1951          20     0.00200  0.00200  0.50   89908     180   89818  4651363  51.73
  1951          21     0.00170  0.00170  0.50   89728     153   89652  4561545  50.84
  1951          22     0.00183  0.00183  0.50   89576     164   89494  4471893  49.92
  1951          23     0.00209  0.00208  0.50   89412     186   89319  4382399  49.01
  1951          24     0.00222  0.00222  0.50   89226     198   89127  4293080  48.11
  1951          25     0.00223  0.00223  0.50   89028     198   88929  4203953  47.22
  1951          26     0.00208  0.00208  0.50   88829     185   88737  4115025  46.33
  1951          27     0.00228  0.00228  0.50   88644     202   88543  4026288  45.42
  1951          28     0.00213  0.00213  0.50   88442     188   88348  3937744  44.52
  1951          29     0.00215  0.00215  0.50   88254     190   88159  3849396  43.62
  1951          30     0.00203  0.00202  0.50   88065     178   87976  3761236  42.71
  1951          31     0.00265  0.00265  0.50   87887     233   87770  3673261  41.80
  1951          32     0.00238  0.00238  0.50   87654     209   87550  3585491  40.91
  1951          33     0.00214  0.00214  0.50   87445     187   87352  3497941  40.00
  1951          34     0.00275  0.00275  0.50   87258     240   87138  3410589  39.09
  1951          35     0.00214  0.00214  0.50   87018     186   86926  3323451  38.19
  1951          36     0.00244  0.00244  0.50   86833     211   86727  3236526  37.27
  1951          37     0.00270  0.00270  0.50   86621     234   86504  3149799  36.36
  1951          38     0.00290  0.00290  0.50   86387     250   86262  3063294  35.46
  1951          39     0.00286  0.00286  0.50   86137     246   86014  2977032  34.56
  1951          40     0.00322  0.00322  0.50   85891     277   85753  2891018  33.66
  1951          41     0.00342  0.00341  0.50   85614     292   85468  2805265  32.77
  1951          42     0.00347  0.00346  0.50   85322     295   85175  2719797  31.88
  1951          43     0.00374  0.00373  0.50   85027     317   84868  2634622  30.99
  1951          44     0.00434  0.00433  0.50   84710     367   84526  2549754  30.10
  1951          45     0.00405  0.00404  0.50   84343     341   84172  2465228  29.23
  1951          46     0.00451  0.00450  0.50   84002     378   83812  2381056  28.35
  1951          47     0.00515  0.00513  0.50   83623     429   83409  2297243  27.47
  1951          48     0.00636  0.00634  0.50   83194     528   82930  2213835  26.61
  1951          49     0.00633  0.00631  0.50   82666     522   82405  2130905  25.78
  1951          50     0.00626  0.00624  0.50   82144     513   81888  2048500  24.94
  1951          51     0.00682  0.00679  0.50   81632     555   81354  1966612  24.09
  1951          52     0.00759  0.00756  0.50   81077     613   80771  1885257  23.25
  1951          53     0.00831  0.00827  0.50   80464     666   80131  1804486  22.43
  1951          54     0.00812  0.00809  0.50   79798     646   79476  1724355  21.61
  1951          55     0.01000  0.00995  0.50   79153     788   78759  1644880  20.78
  1951          56     0.01066  0.01060  0.50   78365     831   77950  1566121  19.98
  1951          57     0.01075  0.01070  0.50   77534     829   77119  1488171  19.19
  1951          58     0.01318  0.01310  0.50   76705    1005   76203  1411051  18.40
  1951          59     0.01335  0.01326  0.50   75700    1004   75198  1334849  17.63
  1951          60     0.01523  0.01511  0.50   74696    1129   74132  1259651  16.86
  1951          61     0.01793  0.01777  0.50   73568    1308   72914  1185519  16.11
  1951          62     0.01951  0.01932  0.50   72260    1396   71562  1112605  15.40
  1951          63     0.01999  0.01979  0.50   70864    1403   70163  1041043  14.69
  1951          64     0.02286  0.02260  0.50   69461    1570   68676   970881  13.98
  1951          65     0.02735  0.02698  0.50   67891    1832   66976   902204  13.29
  1951          66     0.02634  0.02600  0.50   66060    1718   65201   835229  12.64
  1951          67     0.03256  0.03203  0.50   64342    2061   63311   770028  11.97
  1951          68     0.03335  0.03280  0.50   62281    2043   61259   706716  11.35
  1951          69     0.03659  0.03593  0.50   60238    2164   59156   645457  10.72
  1951          70     0.04293  0.04203  0.50   58073    2441   56853   586302  10.10
  1951          71     0.04849  0.04734  0.50   55633    2634   54316   529449   9.52
  1951          72     0.05579  0.05427  0.50   52999    2876   51561   475133   8.96
  1951          73     0.06028  0.05852  0.50   50123    2933   48656   423572   8.45
  1951          74     0.06829  0.06603  0.50   47189    3116   45631   374916   7.94
  1951          75     0.07486  0.07216  0.50   44073    3180   42483   329284   7.47
  1951          76     0.08073  0.07760  0.50   40893    3173   39306   286801   7.01
  1951          77     0.09171  0.08769  0.50   37720    3308   36066   247495   6.56
  1951          78     0.10056  0.09575  0.50   34412    3295   32765   211429   6.14
  1951          79     0.10544  0.10016  0.50   31117    3117   29559   178664   5.74
  1951          80     0.12040  0.11357  0.50   28001    3180   26411   149105   5.33
  1951          81     0.13864  0.12966  0.50   24821    3218   23212   122695   4.94
  1951          82     0.15818  0.14659  0.50   21603    3167   20019    99483   4.61
  1951          83     0.16176  0.14966  0.50   18436    2759   17056    79464   4.31
  1951          84     0.18541  0.16968  0.50   15677    2660   14347    62408   3.98
  1951          85     0.22510  0.20233  0.50   13017    2634   11700    48061   3.69
  1951          86     0.23423  0.20967  0.50   10383    2177    9295    36361   3.50
  1951          87     0.26742  0.23588  0.50    8206    1936    7238    27066   3.30
  1951          88     0.26710  0.23563  0.50    6270    1477    5532    19828   3.16
  1951          89     0.27996  0.24558  0.50    4793    1177    4204    14297   2.98
  1951          90     0.33051  0.28364  0.50    3616    1026    3103    10092   2.79
  1951          91     0.29738  0.25889  0.50    2590     671    2255     6989   2.70
  1951          92     0.32009  0.27593  0.50    1920     530    1655     4734   2.47
  1951          93     0.40654  0.33787  0.50    1390     470    1155     3080   2.22
  1951          94     0.43601  0.35797  0.50     920     329     756     1924   2.09
  1951          95     0.46594  0.37790  0.50     591     223     479     1169   1.98
  1951          96     0.49612  0.39751  0.50     368     146     295      690   1.88
  1951          97     0.52632  0.41667  0.50     221      92     175      395   1.78
  1951          98     0.55634  0.43526  0.50     129      56     101      220   1.70
  1951          99     0.58594  0.45318  0.50      73      33      56      119   1.63
  1951         100     0.61494  0.47033  0.50      40      19      31       62   1.56
  1951         101     0.64315  0.48665  0.50      21      10      16       32   1.50
  1951         102     0.67040  0.50209  0.50      11       5       8       16   1.44
  1951         103     0.69654  0.51662  0.50       5       3       4        8   1.40
  1951         104     0.72148  0.53021  0.50       3       1       2        4   1.35
  1951         105     0.74511  0.54287  0.50       1       1       1        2   1.31
  1951         106     0.76739  0.55460  0.50       1       0       0        1   1.28
  1951         107     0.78827  0.56542  0.50       0       0       0        0   1.25
  1951         108     0.80775  0.57537  0.50       0       0       0        0   1.22
  1951         109     0.82583  0.58449  0.50       0       0       0        0   1.20
  1951         110+    0.84255  1.00000  1.19       0       0       0        0   1.19
  1952           0     0.06349  0.06053  0.23  100000    6053   95344  6623641  66.24
  1952           1     0.00564  0.00563  0.50   93947     528   93682  6528297  69.49
  1952           2     0.00219  0.00219  0.50   93418     205   93316  6434615  68.88
  1952           3     0.00139  0.00139  0.50   93214     129   93149  6341299  68.03
  1952           4     0.00110  0.00110  0.50   93084     103   93033  6248150  67.12
  1952           5     0.00074  0.00074  0.50   92982      69   92947  6155117  66.20
  1952           6     0.00069  0.00069  0.50   92913      64   92881  6062170  65.25
  1952           7     0.00082  0.00082  0.50   92849      76   92811  5969288  64.29
  1952           8     0.00040  0.00040  0.50   92773      37   92755  5876477  63.34
  1952           9     0.00042  0.00042  0.50   92736      39   92717  5783723  62.37
  1952          10     0.00041  0.00041  0.50   92697      38   92678  5691006  61.39
  1952          11     0.00050  0.00050  0.50   92659      46   92635  5598328  60.42
  1952          12     0.00048  0.00048  0.50   92612      44   92590  5505693  59.45
  1952          13     0.00053  0.00053  0.50   92568      49   92544  5413102  58.48
  1952          14     0.00068  0.00068  0.50   92520      62   92489  5320558  57.51
  1952          15     0.00103  0.00103  0.50   92457      95   92410  5228070  56.55
  1952          16     0.00097  0.00097  0.50   92362      89   92317  5135660  55.60
  1952          17     0.00122  0.00122  0.50   92273     113   92216  5043343  54.66
  1952          18     0.00122  0.00122  0.50   92160     112   92104  4951127  53.72
  1952          19     0.00143  0.00142  0.50   92048     131   91982  4859023  52.79
  1952          20     0.00157  0.00157  0.50   91916     144   91844  4767041  51.86
  1952          21     0.00153  0.00153  0.50   91772     140   91702  4675196  50.94
  1952          22     0.00165  0.00165  0.50   91632     151   91557  4583494  50.02
  1952          23     0.00172  0.00172  0.50   91481     157   91402  4491938  49.10
  1952          24     0.00173  0.00173  0.50   91324     158   91245  4400535  48.19
  1952          25     0.00191  0.00190  0.50   91166     174   91079  4309290  47.27
  1952          26     0.00220  0.00220  0.50   90992     200   90892  4218211  46.36
  1952          27     0.00186  0.00186  0.50   90793     169   90708  4127319  45.46
  1952          28     0.00197  0.00197  0.50   90623     178   90534  4036611  44.54
  1952          29     0.00182  0.00182  0.50   90445     165   90363  3946077  43.63
  1952          30     0.00225  0.00225  0.50   90280     203   90179  3855714  42.71
  1952          31     0.00183  0.00182  0.50   90077     164   89995  3765536  41.80
  1952          32     0.00273  0.00273  0.50   89913     246   89790  3675540  40.88
  1952          33     0.00174  0.00174  0.50   89667     156   89589  3585750  39.99
  1952          34     0.00227  0.00227  0.50   89511     203   89410  3496161  39.06
  1952          35     0.00187  0.00187  0.50   89308     167   89225  3406751  38.15
  1952          36     0.00264  0.00264  0.50   89141     235   89024  3317526  37.22
  1952          37     0.00272  0.00271  0.50   88906     241   88785  3228503  36.31
  1952          38     0.00281  0.00281  0.50   88665     249   88540  3139717  35.41
  1952          39     0.00272  0.00272  0.50   88416     241   88296  3051177  34.51
  1952          40     0.00291  0.00291  0.50   88175     256   88047  2962882  33.60
  1952          41     0.00282  0.00281  0.50   87919     247   87795  2874835  32.70
  1952          42     0.00357  0.00357  0.50   87671     313   87515  2787039  31.79
  1952          43     0.00327  0.00326  0.50   87359     285   87216  2699524  30.90
  1952          44     0.00377  0.00376  0.50   87074     327   86910  2612308  30.00
  1952          45     0.00465  0.00464  0.50   86746     402   86545  2525398  29.11
  1952          46     0.00449  0.00448  0.50   86344     387   86151  2438853  28.25
  1952          47     0.00477  0.00475  0.50   85957     409   85753  2352702  27.37
  1952          48     0.00556  0.00555  0.50   85549     475   85312  2266949  26.50
  1952          49     0.00575  0.00574  0.50   85074     488   84830  2181637  25.64
  1952          50     0.00581  0.00579  0.50   84586     490   84341  2096807  24.79
