Hungary, Life tables (period 1x1), Males     Last modified: 12-Apr-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1950           0     0.10102  0.09450  0.32  100000    9450   93538  5984669  59.85
  1950           1     0.00756  0.00753  0.50   90550     682   90209  5891131  65.06
  1950           2     0.00348  0.00347  0.50   89869     312   89713  5800922  64.55
  1950           3     0.00278  0.00277  0.50   89556     248   89432  5711209  63.77
  1950           4     0.00198  0.00198  0.50   89308     176   89220  5621777  62.95
  1950           5     0.00149  0.00149  0.50   89132     133   89065  5532557  62.07
  1950           6     0.00172  0.00172  0.50   88999     153   88922  5443492  61.16
  1950           7     0.00118  0.00118  0.50   88846     105   88794  5354570  60.27
  1950           8     0.00133  0.00132  0.50   88741     118   88683  5265776  59.34
  1950           9     0.00118  0.00118  0.50   88624     104   88572  5177093  58.42
  1950          10     0.00115  0.00115  0.50   88519     102   88468  5088522  57.48
  1950          11     0.00116  0.00116  0.50   88417     103   88366  5000053  56.55
  1950          12     0.00128  0.00127  0.50   88315     113   88258  4911687  55.62
  1950          13     0.00132  0.00132  0.50   88202     116   88144  4823429  54.69
  1950          14     0.00114  0.00114  0.50   88086     100   88036  4735285  53.76
  1950          15     0.00145  0.00144  0.50   87986     127   87922  4647249  52.82
  1950          16     0.00160  0.00160  0.50   87859     140   87789  4559327  51.89
  1950          17     0.00176  0.00176  0.50   87718     155   87641  4471538  50.98
  1950          18     0.00237  0.00237  0.50   87564     207   87460  4383897  50.07
  1950          19     0.00265  0.00265  0.50   87357     232   87241  4296437  49.18
  1950          20     0.00320  0.00320  0.50   87125     279   86986  4209196  48.31
  1950          21     0.00320  0.00320  0.50   86846     278   86708  4122210  47.47
  1950          22     0.00329  0.00328  0.50   86569     284   86427  4035502  46.62
  1950          23     0.00320  0.00319  0.50   86285     275   86147  3949076  45.77
  1950          24     0.00307  0.00307  0.50   86009     264   85877  3862929  44.91
  1950          25     0.00326  0.00326  0.50   85745     279   85606  3777051  44.05
  1950          26     0.00304  0.00304  0.50   85466     260   85336  3691446  43.19
