Ireland, Life tables (period 1x1), Females     Last modified: 12-Nov-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1950           0     0.04025  0.03894  0.17  100000    3894   96751  6673566  66.74
  1950           1     0.00331  0.00331  0.50   96106     318   95947  6576815  68.43
  1950           2     0.00198  0.00198  0.50   95788     189   95693  6480868  67.66
  1950           3     0.00173  0.00173  0.50   95598     165   95516  6385175  66.79
  1950           4     0.00163  0.00163  0.50   95433     155   95355  6289660  65.91
  1950           5     0.00137  0.00137  0.50   95278     130   95213  6194304  65.01
  1950           6     0.00080  0.00080  0.50   95147      76   95109  6099092  64.10
  1950           7     0.00087  0.00087  0.50   95071      82   95030  6003983  63.15
  1950           8     0.00071  0.00071  0.50   94989      67   94955  5908953  62.21
  1950           9     0.00044  0.00044  0.50   94921      42   94900  5813998  61.25
  1950          10     0.00084  0.00084  0.50   94879      80   94839  5719098  60.28
  1950          11     0.00048  0.00048  0.50   94799      46   94777  5624259  59.33
  1950          12     0.00081  0.00081  0.50   94754      77   94715  5529482  58.36
  1950          13     0.00092  0.00092  0.50   94677      87   94633  5434767  57.40
  1950          14     0.00077  0.00077  0.50   94590      73   94553  5340133  56.46
  1950          15     0.00130  0.00130  0.50   94517     123   94455  5245580  55.50
  1950          16     0.00118  0.00118  0.50   94394     112   94338  5151125  54.57
  1950          17     0.00169  0.00169  0.50   94282     159   94203  5056787  53.63
  1950          18     0.00213  0.00213  0.50   94123     200   94023  4962584  52.72
  1950          19     0.00196  0.00196  0.50   93923     184   93831  4868561  51.84
  1950          20     0.00221  0.00221  0.50   93739     207   93635  4774730  50.94
  1950          21     0.00211  0.00211  0.50   93532     198   93433  4681095  50.05
  1950          22     0.00197  0.00197  0.50   93334     184   93242  4587662  49.15
  1950          23     0.00323  0.00322  0.50   93150     300   93000  4494420  48.25
  1950          24     0.00312  0.00311  0.50   92850     289   92705  4401420  47.40
  1950          25     0.00241  0.00241  0.50   92561     223   92450  4308715  46.55
  1950          26     0.00225  0.00225  0.50   92338     208   92234  4216265  45.66
  1950          27     0.00299  0.00299  0.50   92130     275   91993  4124031  44.76
