Ireland, Life tables (period 1x1), Males     Last modified: 12-Nov-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1950           0     0.05142  0.04935  0.18  100000    4935   95968  6450223  64.50
  1950           1     0.00445  0.00444  0.50   95065     422   94854  6354255  66.84
  1950           2     0.00229  0.00229  0.50   94643     217   94535  6259400  66.14
  1950           3     0.00187  0.00187  0.50   94427     176   94338  6164866  65.29
  1950           4     0.00145  0.00145  0.50   94250     137   94182  6070527  64.41
  1950           5     0.00101  0.00101  0.50   94113      95   94066  5976345  63.50
  1950           6     0.00063  0.00063  0.50   94018      59   93989  5882279  62.57
  1950           7     0.00123  0.00123  0.50   93959     116   93902  5788290  61.60
  1950           8     0.00113  0.00113  0.50   93844     106   93791  5694389  60.68
  1950           9     0.00066  0.00066  0.50   93737      62   93706  5600598  59.75
  1950          10     0.00069  0.00069  0.50   93676      65   93643  5506892  58.79
  1950          11     0.00073  0.00073  0.50   93611      69   93577  5413248  57.83
  1950          12     0.00070  0.00070  0.50   93542      66   93509  5319672  56.87
  1950          13     0.00066  0.00066  0.50   93477      62   93446  5226162  55.91
  1950          14     0.00066  0.00066  0.50   93415      62   93383  5132717  54.95
  1950          15     0.00071  0.00071  0.50   93352      67   93319  5039333  53.98
  1950          16     0.00113  0.00113  0.50   93286     106   93233  4946014  53.02
  1950          17     0.00099  0.00099  0.50   93180      93   93134  4852781  52.08
  1950          18     0.00121  0.00121  0.50   93088     112   93032  4759647  51.13
  1950          19     0.00178  0.00178  0.50   92975     165   92893  4666616  50.19
  1950          20     0.00230  0.00230  0.50   92810     214   92703  4573723  49.28
  1950          21     0.00243  0.00243  0.50   92597     225   92484  4481019  48.39
  1950          22     0.00191  0.00191  0.50   92372     177   92284  4388535  47.51
  1950          23     0.00292  0.00292  0.50   92196     269   92061  4296251  46.60
  1950          24     0.00329  0.00328  0.50   91926     302   91776  4204190  45.73
  1950          25     0.00255  0.00255  0.50   91625     233   91508  4112415  44.88
  1950          26     0.00254  0.00254  0.50   91391     232   91275  4020906  44.00
  1950          27     0.00274  0.00273  0.50   91159     249   91035  3929631  43.11
  1950          28     0.00265  0.00265  0.50   90910     241   90790  3838597  42.22
  1950          29     0.00255  0.00254  0.50   90669     231   90554  3747807  41.33
  1950          30     0.00309  0.00309  0.50   90439     279   90299  3657253  40.44
  1950          31     0.00238  0.00237  0.50   90159     214   90053  3566953  39.56
  1950          32     0.00344  0.00344  0.50   89946     309   89791  3476901  38.66
  1950          33     0.00285  0.00284  0.50   89636     255   89509  3387110  37.79
  1950          34     0.00237  0.00237  0.50   89381     211   89276  3297601  36.89
  1950          35     0.00372  0.00371  0.50   89170     331   89005  3208325  35.98
  1950          36     0.00283  0.00283  0.50   88839     251   88714  3119321  35.11
  1950          37     0.00295  0.00295  0.50   88588     261   88457  3030607  34.21
  1950          38     0.00374  0.00373  0.50   88327     330   88162  2942150  33.31
  1950          39     0.00293  0.00293  0.50   87997     257   87868  2853989  32.43
  1950          40     0.00549  0.00548  0.50   87739     481   87499  2766120  31.53
  1950          41     0.00310  0.00310  0.50   87259     270   87124  2678621  30.70
  1950          42     0.00495  0.00494  0.50   86988     430   86774  2591498  29.79
  1950          43     0.00444  0.00443  0.50   86559     384   86367  2504724  28.94
  1950          44     0.00555  0.00554  0.50   86175     477   85936  2418357  28.06
  1950          45     0.00721  0.00718  0.50   85698     615   85390  2332421  27.22
  1950          46     0.00552  0.00550  0.50   85082     468   84848  2247031  26.41
  1950          47     0.00598  0.00596  0.50   84614     505   84362  2162183  25.55
