Iceland, Life tables (period 1x1), Females     Last modified: 15-Nov-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1838           0     0.36819  0.29709  0.35  100000   29709   80689  3423020  34.23
  1838           1     0.04388  0.04294  0.50   70291    3018   68782  3342331  47.55
  1838           2     0.02830  0.02790  0.50   67273    1877   66334  3273549  48.66
  1838           3     0.02006  0.01986  0.50   65396    1299   64746  3207215  49.04
  1838           4     0.01449  0.01439  0.50   64097     922   63636  3142469  49.03
  1838           5     0.01189  0.01182  0.50   63175     747   62801  3078833  48.74
  1838           6     0.00961  0.00956  0.50   62428     597   62129  3016032  48.31
  1838           7     0.00777  0.00774  0.50   61831     478   61592  2953903  47.77
  1838           8     0.00704  0.00702  0.50   61353     431   61137  2892311  47.14
  1838           9     0.00708  0.00705  0.50   60922     430   60707  2831174  46.47
  1838          10     0.00715  0.00713  0.50   60492     431   60277  2770467  45.80
  1838          11     0.00726  0.00724  0.50   60061     435   59844  2710190  45.12
  1838          12     0.00689  0.00687  0.50   59627     410   59422  2650346  44.45
  1838          13     0.00595  0.00593  0.50   59217     351   59041  2590924  43.75
  1838          14     0.00543  0.00541  0.50   58866     319   58707  2531882  43.01
  1838          15     0.00544  0.00542  0.50   58547     317   58389  2473176  42.24
  1838          16     0.00610  0.00608  0.50   58230     354   58053  2414787  41.47
  1838          17     0.00705  0.00703  0.50   57876     407   57672  2356734  40.72
  1838          18     0.00769  0.00766  0.50   57469     440   57249  2299062  40.01
  1838          19     0.00795  0.00792  0.50   57029     452   56803  2241813  39.31
  1838          20     0.00823  0.00820  0.50   56577     464   56345  2185010  38.62
  1838          21     0.00859  0.00855  0.50   56113     480   55873  2128665  37.94
  1838          22     0.00984  0.00980  0.50   55633     545   55361  2072792  37.26
  1838          23     0.01167  0.01160  0.50   55088     639   54769  2017431  36.62
  1838          24     0.01202  0.01195  0.50   54449     651   54124  1962663  36.05
  1838          25     0.01122  0.01115  0.50   53798     600   53498  1908539  35.48
  1838          26     0.00995  0.00990  0.50   53198     527   52935  1855040  34.87
  1838          27     0.00922  0.00918  0.50   52672     483   52430  1802105  34.21
  1838          28     0.00885  0.00881  0.50   52188     460   51959  1749675  33.53
  1838          29     0.00794  0.00791  0.50   51729     409   51524  1697717  32.82
  1838          30     0.00672  0.00670  0.50   51320     344   51148  1646192  32.08
  1838          31     0.00676  0.00673  0.50   50976     343   50804  1595045  31.29
  1838          32     0.00856  0.00852  0.50   50633     432   50417  1544240  30.50
  1838          33     0.01165  0.01159  0.50   50201     582   49910  1493823  29.76
  1838          34     0.01393  0.01384  0.50   49619     687   49276  1443913  29.10
  1838          35     0.01438  0.01428  0.50   48933     699   48584  1394637  28.50
  1838          36     0.01365  0.01356  0.50   48234     654   47907  1346053  27.91
  1838          37     0.01402  0.01393  0.50   47580     663   47249  1298146  27.28
  1838          38     0.01447  0.01437  0.50   46917     674   46580  1250898  26.66
  1838          39     0.01388  0.01378  0.50   46243     637   45925  1204318  26.04
  1838          40     0.01268  0.01260  0.50   45606     575   45318  1158393  25.40
  1838          41     0.01101  0.01095  0.50   45031     493   44785  1113075  24.72
  1838          42     0.01051  0.01046  0.50   44538     466   44305  1068290  23.99
  1838          43     0.01093  0.01087  0.50   44072     479   43833  1023985  23.23
  1838          44     0.01119  0.01113  0.50   43593     485   43351   980152  22.48
  1838          45     0.01300  0.01292  0.50   43108     557   42830   936801  21.73
  1838          46     0.01368  0.01359  0.50   42551     578   42262   893971  21.01
  1838          47     0.01438  0.01427  0.50   41973     599   41674   851709  20.29
  1838          48     0.01644  0.01631  0.50   41374     675   41037   810035  19.58
  1838          49     0.01838  0.01821  0.50   40699     741   40329   768999  18.89
  1838          50     0.02106  0.02084  0.50   39958     833   39542   728670  18.24
  1838          51     0.02443  0.02413  0.50   39126     944   38654   689128  17.61
  1838          52     0.03000  0.02955  0.50   38182    1128   37617   650474  17.04
  1838          53     0.03455  0.03396  0.50   37053    1258   36424   612857  16.54
  1838          54     0.03168  0.03119  0.50   35795    1116   35237   576433  16.10
  1838          55     0.02625  0.02591  0.50   34678     899   34229   541197  15.61
  1838          56     0.02427  0.02398  0.50   33780     810   33375   506967  15.01
  1838          57     0.02562  0.02530  0.50   32970     834   32553   473593  14.36
  1838          58     0.02883  0.02842  0.50   32136     913   31679   441040  13.72
  1838          59     0.03259  0.03207  0.50   31222    1001   30722   409361  13.11
  1838          60     0.03957  0.03881  0.50   30221    1173   29635   378639  12.53
  1838          61     0.04385  0.04291  0.50   29048    1246   28425   349005  12.01
  1838          62     0.04639  0.04534  0.50   27802    1261   27172   320579  11.53
  1838          63     0.05100  0.04973  0.50   26541    1320   25881   293408  11.05
  1838          64     0.05033  0.04909  0.50   25222    1238   24602   267526  10.61
  1838          65     0.04687  0.04579  0.50   23983    1098   23434   242924  10.13
  1838          66     0.04339  0.04247  0.50   22885     972   22399   219490   9.59
  1838          67     0.04550  0.04449  0.50   21913     975   21426   197090   8.99
  1838          68     0.05393  0.05251  0.50   20938    1100   20389   175664   8.39
  1838          69     0.06996  0.06760  0.50   19839    1341   19168   155276   7.83
  1838          70     0.09064  0.08671  0.50   18498    1604   17696   136107   7.36
  1838          71     0.09815  0.09356  0.50   16894    1581   16104   118412   7.01
  1838          72     0.10873  0.10312  0.50   15313    1579   14524   102308   6.68
  1838          73     0.11806  0.11148  0.50   13734    1531   12969    87784   6.39
  1838          74     0.12741  0.11978  0.50   12203    1462   11472    74815   6.13
  1838          75     0.13546  0.12687  0.50   10742    1363   10060    63343   5.90
  1838          76     0.12957  0.12168  0.50    9379    1141    8808    53283   5.68
  1838          77     0.12598  0.11851  0.50    8238     976    7749    44475   5.40
  1838          78     0.12570  0.11826  0.50    7261     859    6832    36725   5.06
  1838          79     0.13582  0.12718  0.50    6403     814    5995    29893   4.67
  1838          80     0.18700  0.17101  0.50    5588     956    5110    23898   4.28
  1838          81     0.20034  0.18210  0.50    4633     844    4211    18788   4.06
  1838          82     0.21438  0.19363  0.50    3789     734    3422    14577   3.85
  1838          83     0.22913  0.20558  0.50    3055     628    2741    11155   3.65
  1838          84     0.24457  0.21792  0.50    2427     529    2163     8413   3.47
  1838          85     0.26070  0.23064  0.50    1898     438    1679     6250   3.29
  1838          86     0.27751  0.24370  0.50    1460     356    1283     4571   3.13
  1838          87     0.29497  0.25705  0.50    1105     284     963     3289   2.98
  1838          88     0.31305  0.27068  0.50     821     222     710     2326   2.83
  1838          89     0.33171  0.28452  0.50     599     170     513     1616   2.70
  1838          90     0.35092  0.29854  0.50     428     128     364     1103   2.58
  1838          91     0.37063  0.31268  0.50     300      94     253      739   2.46
  1838          92     0.39077  0.32690  0.50     206      67     173      485   2.35
  1838          93     0.41130  0.34114  0.50     139      47     115      313   2.25
  1838          94     0.43214  0.35536  0.50      92      33      75      197   2.16
  1838          95     0.45322  0.36949  0.50      59      22      48      122   2.07
  1838          96     0.47447  0.38349  0.50      37      14      30       74   1.99
  1838          97     0.49582  0.39732  0.50      23       9      18       44   1.91
  1838          98     0.51718  0.41092  0.50      14       6      11       25   1.84
  1838          99     0.53847  0.42425  0.50       8       3       6       14   1.78
  1838         100     0.55963  0.43727  0.50       5       2       4        8   1.72
  1838         101     0.58057  0.44996  0.50       3       1       2        4   1.66
