Iceland, Life tables (period 1x1), Males     Last modified: 15-Nov-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1838           0     0.41464  0.32449  0.33  100000   32449   78259  3056471  30.56
  1838           1     0.04520  0.04420  0.50   67551    2986   66058  2978212  44.09
  1838           2     0.02903  0.02861  0.50   64565    1847   63641  2912155  45.10
  1838           3     0.02336  0.02309  0.50   62717    1448   61993  2848514  45.42
  1838           4     0.01859  0.01842  0.50   61269    1128   60705  2786520  45.48
  1838           5     0.01290  0.01281  0.50   60141     771   59756  2725815  45.32
  1838           6     0.00893  0.00890  0.50   59370     528   59106  2666060  44.91
  1838           7     0.00673  0.00671  0.50   58842     395   58645  2606953  44.30
  1838           8     0.00546  0.00545  0.50   58447     318   58288  2548308  43.60
  1838           9     0.00486  0.00485  0.50   58129     282   57988  2490020  42.84
  1838          10     0.00520  0.00519  0.50   57847     300   57697  2432033  42.04
  1838          11     0.00592  0.00591  0.50   57547     340   57377  2374336  41.26
  1838          12     0.00594  0.00593  0.50   57207     339   57037  2316959  40.50
  1838          13     0.00520  0.00518  0.50   56868     295   56720  2259922  39.74
  1838          14     0.00466  0.00465  0.50   56573     263   56441  2203202  38.94
  1838          15     0.00474  0.00473  0.50   56310     266   56177  2146760  38.12
  1838          16     0.00526  0.00525  0.50   56044     294   55897  2090583  37.30
  1838          17     0.00632  0.00630  0.50   55750     351   55574  2034687  36.50
  1838          18     0.00785  0.00782  0.50   55399     433   55182  1979112  35.72
  1838          19     0.00922  0.00918  0.50   54966     505   54713  1923930  35.00
  1838          20     0.01117  0.01111  0.50   54461     605   54159  1869217  34.32
  1838          21     0.01333  0.01324  0.50   53856     713   53500  1815058  33.70
  1838          22     0.01503  0.01491  0.50   53143     793   52747  1761559  33.15
  1838          23     0.01659  0.01646  0.50   52351     862   51920  1708812  32.64
  1838          24     0.01688  0.01674  0.50   51489     862   51058  1656892  32.18
  1838          25     0.01452  0.01441  0.50   50627     730   50262  1605834  31.72
  1838          26     0.01226  0.01219  0.50   49897     608   49593  1555572  31.18
  1838          27     0.01072  0.01066  0.50   49289     525   49026  1505979  30.55
  1838          28     0.00987  0.00982  0.50   48764     479   48524  1456952  29.88
  1838          29     0.00916  0.00912  0.50   48285     440   48065  1408428  29.17
  1838          30     0.00904  0.00900  0.50   47845     431   47629  1360364  28.43
  1838          31     0.01051  0.01045  0.50   47414     496   47166  1312734  27.69
  1838          32     0.01241  0.01234  0.50   46918     579   46629  1265568  26.97
  1838          33     0.01537  0.01525  0.50   46339     707   45986  1218940  26.30
  1838          34     0.01768  0.01752  0.50   45633     800   45233  1172954  25.70
  1838          35     0.01699  0.01685  0.50   44833     755   44455  1127721  25.15
  1838          36     0.01456  0.01446  0.50   44078     637   43759  1083266  24.58
  1838          37     0.01366  0.01356  0.50   43440     589   43146  1039506  23.93
  1838          38     0.01465  0.01455  0.50   42851     623   42540   996360  23.25
  1838          39     0.01469  0.01458  0.50   42228     616   41920   953821  22.59
  1838          40     0.01365  0.01355  0.50   41612     564   41330   911901  21.91
  1838          41     0.01345  0.01336  0.50   41048     548   40774   870571  21.21
  1838          42     0.01365  0.01356  0.50   40500     549   40225   829797  20.49
  1838          43     0.01477  0.01466  0.50   39951     586   39658   789571  19.76
  1838          44     0.01753  0.01737  0.50   39365     684   39023   749913  19.05
  1838          45     0.02281  0.02256  0.50   38681     873   38245   710890  18.38
  1838          46     0.02560  0.02528  0.50   37808     956   37331   672646  17.79
  1838          47     0.02360  0.02332  0.50   36853     860   36423   635315  17.24
  1838          48     0.02364  0.02336  0.50   35993     841   35573   598892  16.64
  1838          49     0.02475  0.02444  0.50   35152     859   34723   563320  16.03
  1838          50     0.02478  0.02447  0.50   34293     839   33873   528597  15.41
  1838          51     0.02541  0.02509  0.50   33454     840   33034   494724  14.79
  1838          52     0.03101  0.03054  0.50   32614     996   32116   461690  14.16
  1838          53     0.04443  0.04346  0.50   31618    1374   30931   429573  13.59
  1838          54     0.04792  0.04680  0.50   30244    1415   29536   398642  13.18
  1838          55     0.04875  0.04759  0.50   28829    1372   28143   369106  12.80
  1838          56     0.05312  0.05175  0.50   27457    1421   26746   340963  12.42
  1838          57     0.05564  0.05413  0.50   26036    1409   25331   314217  12.07
  1838          58     0.05902  0.05733  0.50   24627    1412   23921   288886  11.73
  1838          59     0.05956  0.05784  0.50   23215    1343   22543   264965  11.41
  1838          60     0.06062  0.05884  0.50   21872    1287   21228   242421  11.08
  1838          61     0.06259  0.06069  0.50   20585    1249   19960   221193  10.75
  1838          62     0.06319  0.06125  0.50   19336    1184   18744   201233  10.41
  1838          63     0.06670  0.06455  0.50   18151    1172   17566   182489  10.05
  1838          64     0.06680  0.06464  0.50   16980    1098   16431   164924   9.71
  1838          65     0.06803  0.06579  0.50   15882    1045   15360   148493   9.35
  1838          66     0.06958  0.06724  0.50   14837     998   14338   133133   8.97
  1838          67     0.06883  0.06654  0.50   13840     921   13379   118794   8.58
  1838          68     0.07039  0.06799  0.50   12919     878   12480   105415   8.16
  1838          69     0.07620  0.07340  0.50   12040     884   11598    92936   7.72
  1838          70     0.08962  0.08578  0.50   11157     957   10678    81337   7.29
  1838          71     0.09965  0.09492  0.50   10200     968    9716    70659   6.93
  1838          72     0.10716  0.10171  0.50    9231     939    8762    60944   6.60
  1838          73     0.11553  0.10922  0.50    8292     906    7840    52182   6.29
  1838          74     0.13116  0.12309  0.50    7387     909    6932    44342   6.00
  1838          75     0.16495  0.15238  0.50    6478     987    5984    37410   5.78
  1838          76     0.16976  0.15648  0.50    5490     859    5061    31426   5.72
  1838          77     0.16705  0.15417  0.50    4631     714    4274    26365   5.69
  1838          78     0.18342  0.16801  0.50    3917     658    3588    22091   5.64
  1838          79     0.18568  0.16991  0.50    3259     554    2982    18502   5.68
  1838          80     0.16492  0.15236  0.50    2705     412    2499    15520   5.74
  1838          81     0.16675  0.15392  0.50    2293     353    2117    13021   5.68
  1838          82     0.16860  0.15549  0.50    1940     302    1789    10904   5.62
  1838          83     0.17046  0.15707  0.50    1639     257    1510     9115   5.56
  1838          84     0.17234  0.15867  0.50    1381     219    1272     7605   5.51
  1838          85     0.17423  0.16027  0.50    1162     186    1069     6333   5.45
  1838          86     0.17615  0.16189  0.50     976     158     897     5264   5.39
  1838          87     0.17807  0.16351  0.50     818     134     751     4368   5.34
  1838          88     0.18002  0.16515  0.50     684     113     628     3617   5.29
  1838          89     0.18198  0.16680  0.50     571      95     523     2989   5.23
  1838          90     0.18395  0.16846  0.50     476      80     436     2465   5.18
  1838          91     0.18595  0.17013  0.50     396      67     362     2030   5.13
  1838          92     0.18796  0.17181  0.50     328      56     300     1668   5.08
  1838          93     0.18998  0.17350  0.50     272      47     248     1367   5.03
  1838          94     0.19203  0.17521  0.50     225      39     205     1119   4.98
  1838          95     0.19409  0.17692  0.50     185      33     169      914   4.93
  1838          96     0.19617  0.17864  0.50     153      27     139      745   4.88
  1838          97     0.19826  0.18038  0.50     125      23     114      606   4.84
  1838          98     0.20037  0.18212  0.50     103      19      93      492   4.79
  1838          99     0.20250  0.18388  0.50      84      15      76      399   4.75
  1838         100     0.20464  0.18565  0.50      69      13      62      322   4.70
  1838         101     0.20680  0.18742  0.50      56      10      51      260   4.66
  1838         102     0.20898  0.18921  0.50      45       9      41      210   4.62
  1838         103     0.21118  0.19101  0.50      37       7      33      169   4.58
  1838         104     0.21339  0.19281  0.50      30       6      27      135   4.54
  1838         105     0.21562  0.19463  0.50      24       5      22      108   4.51
  1838         106     0.21786  0.19646  0.50      19       4      17       87   4.48
  1838         107     0.22012  0.19830  0.50      16       3      14       69   4.45
  1838         108     0.22240  0.20015  0.50      12       2      11       55   4.43
  1838         109     0.22470  0.20200  0.50      10       2       9       44   4.41
  1838         110+    0.22701  1.00000  4.41       8       8      35       35   4.41
  1839           0     0.40955  0.32137  0.33  100000   32137   78468  2648084  26.48
  1839           1     0.08884  0.08506  0.50   67863    5773   64977  2569616  37.86
  1839           2     0.06156  0.05973  0.50   62090    3708   60236  2504639  40.34
  1839           3     0.02632  0.02598  0.50   58382    1517   57624  2444403  41.87
  1839           4     0.00791  0.00788  0.50   56865     448   56641  2386779  41.97
  1839           5     0.00840  0.00836  0.50   56417     472   56182  2330138  41.30
  1839           6     0.01044  0.01039  0.50   55946     581   55655  2273956  40.65
  1839           7     0.01104  0.01098  0.50   55364     608   55061  2218301  40.07
  1839           8     0.01133  0.01126  0.50   54757     617   54448  2163241  39.51
  1839           9     0.01091  0.01085  0.50   54140     588   53846  2108793  38.95
  1839          10     0.00946  0.00942  0.50   53552     504   53300  2054947  38.37
  1839          11     0.00840  0.00836  0.50   53048     444   52826  2001647  37.73
  1839          12     0.00774  0.00771  0.50   52604     406   52401  1948821  37.05
  1839          13     0.00641  0.00639  0.50   52199     334   52032  1896420  36.33
  1839          14     0.00505  0.00503  0.50   51865     261   51734  1844388  35.56
  1839          15     0.00457  0.00456  0.50   51604     235   51486  1792654  34.74
  1839          16     0.00507  0.00505  0.50   51368     260   51239  1741168  33.90
  1839          17     0.00615  0.00613  0.50   51109     313   50952  1689929  33.07
  1839          18     0.00797  0.00794  0.50   50796     403   50594  1638977  32.27
  1839          19     0.01047  0.01042  0.50   50392     525   50130  1588383  31.52
  1839          20     0.01258  0.01251  0.50   49867     624   49555  1538253  30.85
  1839          21     0.01465  0.01454  0.50   49244     716   48886  1488698  30.23
  1839          22     0.01694  0.01680  0.50   48527     815   48120  1439812  29.67
  1839          23     0.01872  0.01855  0.50   47712     885   47270  1391692  29.17
  1839          24     0.02038  0.02018  0.50   46827     945   46355  1344423  28.71
  1839          25     0.02068  0.02046  0.50   45883     939   45413  1298068  28.29
  1839          26     0.01867  0.01849  0.50   44944     831   44528  1252654  27.87
  1839          27     0.01688  0.01673  0.50   44112     738   43743  1208126  27.39
  1839          28     0.01587  0.01575  0.50   43374     683   43033  1164383  26.85
  1839          29     0.01576  0.01564  0.50   42691     668   42357  1121350  26.27
  1839          30     0.01558  0.01546  0.50   42024     650   41699  1078993  25.68
  1839          31     0.01604  0.01592  0.50   41374     658   41044  1037295  25.07
  1839          32     0.01865  0.01848  0.50   40715     752   40339   996250  24.47
  1839          33     0.02134  0.02112  0.50   39963     844   39541   955911  23.92
  1839          34     0.02484  0.02453  0.50   39119     960   38639   916370  23.43
  1839          35     0.02627  0.02593  0.50   38159     989   37664   877732  23.00
  1839          36     0.02313  0.02287  0.50   37170     850   36745   840067  22.60
  1839          37     0.01889  0.01871  0.50   36320     680   35980   803323  22.12
  1839          38     0.01780  0.01764  0.50   35640     629   35326   767343  21.53
  1839          39     0.02012  0.01992  0.50   35011     697   34662   732017  20.91
