Israel, Total Population, Life tables (period 1x1), Females     Last modified: 31-Aug-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1983           0     0.01334  0.01318  0.09  100000    1318   98801  7652641  76.53
  1983           1     0.00126  0.00125  0.50   98682     124   98620  7553840  76.55
  1983           2     0.00074  0.00074  0.50   98558      73   98521  7455220  75.64
  1983           3     0.00029  0.00029  0.50   98485      29   98471  7356699  74.70
  1983           4     0.00025  0.00025  0.50   98456      25   98444  7258228  73.72
  1983           5     0.00025  0.00025  0.50   98432      24   98420  7159784  72.74
  1983           6     0.00018  0.00018  0.50   98407      17   98399  7061364  71.76
  1983           7     0.00022  0.00022  0.50   98390      21   98380  6962966  70.77
  1983           8     0.00027  0.00027  0.50   98369      26   98356  6864586  69.78
  1983           9     0.00023  0.00023  0.50   98342      23   98331  6766230  68.80
  1983          10     0.00007  0.00007  0.50   98320       7   98316  6667899  67.82
  1983          11     0.00012  0.00012  0.50   98313      12   98307  6569583  66.82
  1983          12     0.00025  0.00025  0.50   98301      24   98289  6471276  65.83
  1983          13     0.00023  0.00023  0.50   98277      23   98265  6372988  64.85
  1983          14     0.00035  0.00035  0.50   98254      34   98237  6274723  63.86
  1983          15     0.00020  0.00020  0.50   98219      19   98210  6176486  62.88
  1983          16     0.00026  0.00026  0.50   98200      26   98187  6078276  61.90
  1983          17     0.00040  0.00040  0.50   98174      40   98155  5980089  60.91
  1983          18     0.00009  0.00009  0.50   98135       9   98130  5881935  59.94
  1983          19     0.00045  0.00045  0.50   98126      44   98104  5783804  58.94
  1983          20     0.00022  0.00022  0.50   98082      21   98071  5685700  57.97
  1983          21     0.00044  0.00044  0.50   98061      43   98039  5587629  56.98
  1983          22     0.00037  0.00037  0.50   98017      36   97999  5489590  56.01
  1983          23     0.00037  0.00037  0.50   97981      36   97963  5391591  55.03
  1983          24     0.00012  0.00012  0.50   97945      12   97939  5293628  54.05
  1983          25     0.00037  0.00037  0.50   97933      36   97915  5195689  53.05
  1983          26     0.00053  0.00053  0.50   97896      52   97871  5097775  52.07
  1983          27     0.00028  0.00028  0.50   97845      27   97831  4999904  51.10
  1983          28     0.00059  0.00059  0.50   97818      58   97789  4902073  50.11
  1983          29     0.00040  0.00040  0.50   97760      39   97740  4804284  49.14
  1983          30     0.00051  0.00051  0.50   97720      50   97695  4706545  48.16
  1983          31     0.00052  0.00052  0.50   97670      51   97645  4608849  47.19
  1983          32     0.00056  0.00056  0.50   97620      54   97592  4511205  46.21
  1983          33     0.00067  0.00067  0.50   97565      65   97532  4413612  45.24
  1983          34     0.00074  0.00074  0.50   97500      72   97464  4316080  44.27
  1983          35     0.00078  0.00078  0.50   97428      76   97390  4218616  43.30
  1983          36     0.00079  0.00079  0.50   97352      77   97313  4121226  42.33
  1983          37     0.00066  0.00066  0.50   97275      64   97243  4023913  41.37
  1983          38     0.00099  0.00099  0.50   97211      96   97163  3926670  40.39
  1983          39     0.00086  0.00086  0.50   97114      84   97073  3829507  39.43
  1983          40     0.00114  0.00114  0.50   97031     111   96975  3732435  38.47
  1983          41     0.00070  0.00070  0.50   96920      68   96886  3635459  37.51
  1983          42     0.00133  0.00132  0.50   96852     128   96788  3538573  36.54
  1983          43     0.00191  0.00190  0.50   96724     184   96632  3441786  35.58
  1983          44     0.00163  0.00163  0.50   96540     157   96461  3345154  34.65
  1983          45     0.00164  0.00164  0.50   96383     158   96303  3248693  33.71
  1983          46     0.00163  0.00163  0.50   96224     157   96146  3152389  32.76
  1983          47     0.00159  0.00159  0.50   96068     153   95991  3056244  31.81
  1983          48     0.00293  0.00293  0.50   95915     281   95774  2960252  30.86
  1983          49     0.00226  0.00226  0.50   95634     216   95526  2864478  29.95
  1983          50     0.00269  0.00268  0.50   95418     256   95290  2768952  29.02
  1983          51     0.00430  0.00429  0.50   95162     409   94957  2673663  28.10
  1983          52     0.00326  0.00325  0.50   94753     308   94599  2578705  27.21
  1983          53     0.00503  0.00502  0.50   94445     474   94208  2484106  26.30
  1983          54     0.00474  0.00473  0.50   93971     444   93749  2389898  25.43
  1983          55     0.00580  0.00579  0.50   93527     541   93256  2296149  24.55
  1983          56     0.00578  0.00576  0.50   92985     536   92718  2202893  23.69
  1983          57     0.00533  0.00531  0.50   92450     491   92204  2110176  22.83
  1983          58     0.00760  0.00757  0.50   91959     696   91611  2017972  21.94
  1983          59     0.00801  0.00798  0.50   91262     728   90898  1926361  21.11
  1983          60     0.00843  0.00839  0.50   90534     760   90154  1835463  20.27
  1983          61     0.01011  0.01006  0.50   89775     903   89323  1745308  19.44
