Israel, Total Population, Life tables (period 1x1), Males     Last modified: 31-Aug-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1983           0     0.01469  0.01449  0.08  100000    1449   98673  7310279  73.10
  1983           1     0.00077  0.00077  0.50   98551      76   98513  7211606  73.18
  1983           2     0.00072  0.00072  0.50   98475      71   98440  7113093  72.23
  1983           3     0.00059  0.00059  0.50   98404      58   98375  7014654  71.28
  1983           4     0.00043  0.00043  0.50   98346      42   98325  6916279  70.33
  1983           5     0.00032  0.00032  0.50   98304      31   98288  6817954  69.36
  1983           6     0.00031  0.00031  0.50   98272      31   98257  6719666  68.38
  1983           7     0.00033  0.00033  0.50   98242      32   98225  6621409  67.40
  1983           8     0.00021  0.00021  0.50   98209      21   98199  6523184  66.42
  1983           9     0.00013  0.00013  0.50   98188      13   98182  6424985  65.44
  1983          10     0.00021  0.00021  0.50   98175      20   98165  6326803  64.44
  1983          11     0.00035  0.00035  0.50   98155      34   98138  6228638  63.46
  1983          12     0.00021  0.00021  0.50   98121      21   98111  6130500  62.48
  1983          13     0.00041  0.00041  0.50   98101      41   98080  6032389  61.49
  1983          14     0.00038  0.00038  0.50   98060      38   98041  5934309  60.52
  1983          15     0.00056  0.00056  0.50   98022      55   97995  5836267  59.54
  1983          16     0.00041  0.00041  0.50   97967      40   97947  5738273  58.57
  1983          17     0.00066  0.00066  0.50   97928      65   97895  5640325  57.60
  1983          18     0.00109  0.00109  0.50   97863     106   97810  5542430  56.63
  1983          19     0.00108  0.00108  0.50   97756     105   97704  5444620  55.70
  1983          20     0.00150  0.00150  0.50   97651     146   97578  5346916  54.76
  1983          21     0.00104  0.00104  0.50   97505     102   97454  5249338  53.84
  1983          22     0.00092  0.00092  0.50   97403      89   97359  5151884  52.89
  1983          23     0.00104  0.00104  0.50   97314     101   97263  5054525  51.94
  1983          24     0.00092  0.00092  0.50   97213      89   97168  4957262  50.99
  1983          25     0.00102  0.00102  0.50   97123      99   97074  4860094  50.04
  1983          26     0.00106  0.00106  0.50   97024     103   96973  4763020  49.09
  1983          27     0.00090  0.00090  0.50   96922      87   96878  4666048  48.14
  1983          28     0.00097  0.00097  0.50   96835      94   96788  4569169  47.19
  1983          29     0.00069  0.00069  0.50   96741      67   96707  4472382  46.23
  1983          30     0.00089  0.00089  0.50   96674      86   96631  4375674  45.26
  1983          31     0.00134  0.00134  0.50   96588     130   96524  4279043  44.30
  1983          32     0.00112  0.00112  0.50   96459     108   96405  4182519  43.36
  1983          33     0.00105  0.00105  0.50   96351     101   96301  4086114  42.41
  1983          34     0.00090  0.00090  0.50   96251      87   96207  3989813  41.45
  1983          35     0.00129  0.00129  0.50   96164     124   96101  3893606  40.49
  1983          36     0.00124  0.00124  0.50   96039     119   95980  3797505  39.54
  1983          37     0.00135  0.00135  0.50   95920     129   95856  3701525  38.59
  1983          38     0.00165  0.00165  0.50   95791     158   95712  3605669  37.64
  1983          39     0.00155  0.00155  0.50   95633     148   95559  3509957  36.70
  1983          40     0.00165  0.00165  0.50   95485     157   95406  3414398  35.76
  1983          41     0.00204  0.00204  0.50   95328     194   95231  3318992  34.82
  1983          42     0.00165  0.00165  0.50   95134     157   95055  3223761  33.89
  1983          43     0.00244  0.00244  0.50   94977     231   94861  3128705  32.94
  1983          44     0.00273  0.00273  0.50   94746     258   94617  3033844  32.02
  1983          45     0.00347  0.00347  0.50   94488     327   94324  2939227  31.11
  1983          46     0.00264  0.00264  0.50   94160     248   94036  2844903  30.21
  1983          47     0.00384  0.00383  0.50   93912     360   93732  2750868  29.29
  1983          48     0.00448  0.00447  0.50   93552     418   93343  2657136  28.40
  1983          49     0.00446  0.00445  0.50   93134     415   92926  2563793  27.53
  1983          50     0.00485  0.00483  0.50   92719     448   92495  2470867  26.65
  1983          51     0.00577  0.00575  0.50   92271     531   92005  2378372  25.78
  1983          52     0.00671  0.00669  0.50   91740     614   91433  2286367  24.92
  1983          53     0.00799  0.00796  0.50   91126     725   90764  2194934  24.09
  1983          54     0.00780  0.00777  0.50   90401     703   90050  2104170  23.28
  1983          55     0.00989  0.00984  0.50   89698     883   89257  2014120  22.45
  1983          56     0.01110  0.01104  0.50   88816     981   88325  1924863  21.67
  1983          57     0.01105  0.01099  0.50   87835     965   87353  1836538  20.91
  1983          58     0.01192  0.01184  0.50   86870    1029   86356  1749185  20.14
  1983          59     0.01361  0.01352  0.50   85841    1160   85261  1662830  19.37
  1983          60     0.01446  0.01436  0.50   84681    1216   84073  1577569  18.63
  1983          61     0.01663  0.01649  0.50   83465    1377   82776  1493496  17.89
  1983          62     0.01468  0.01458  0.50   82088    1197   81490  1410720  17.19
  1983          63     0.01947  0.01928  0.50   80891    1560   80111  1329231  16.43
  1983          64     0.01949  0.01930  0.50   79332    1531   78566  1249119  15.75
  1983          65     0.02220  0.02195  0.50   77800    1708   76946  1170553  15.05
  1983          66     0.02281  0.02255  0.50   76092    1716   75234  1093607  14.37
  1983          67     0.02537  0.02505  0.50   74376    1863   73445  1018372  13.69
  1983          68     0.03037  0.02991  0.50   72513    2169   71429   944927  13.03
  1983          69     0.03472  0.03413  0.50   70344    2401   69144   873499  12.42
  1983          70     0.03663  0.03597  0.50   67943    2444   66722   804355  11.84
  1983          71     0.04026  0.03947  0.50   65500    2585   64207   737633  11.26
  1983          72     0.04252  0.04163  0.50   62914    2619   61605   673426  10.70
  1983          73     0.05062  0.04937  0.50   60295    2977   58807   611822  10.15
  1983          74     0.05664  0.05508  0.50   57318    3157   55740   553015   9.65
  1983          75     0.05786  0.05623  0.50   54161    3046   52638   497275   9.18
  1983          76     0.06416  0.06217  0.50   51115    3178   49527   444637   8.70
  1983          77     0.07218  0.06967  0.50   47938    3340   46268   395111   8.24
  1983          78     0.07957  0.07652  0.50   44598    3413   42892   348843   7.82
  1983          79     0.09089  0.08694  0.50   41185    3581   39395   305951   7.43
  1983          80     0.09690  0.09242  0.50   37604    3475   35867   266557   7.09
  1983          81     0.08887  0.08509  0.50   34129    2904   32677   230690   6.76
  1983          82     0.09255  0.08845  0.50   31225    2762   29844   198013   6.34
  1983          83     0.14458  0.13484  0.50   28463    3838   26544   168169   5.91
  1983          84     0.11089  0.10506  0.50   24625    2587   23332   141624   5.75
