Italy, Life tables (period 1x1), Females     Last modified: 29-Mar-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1872           0     0.26296  0.22457  0.35  100000   22457   85403  3020341  30.20
  1872           1     0.13614  0.12747  0.50   77543    9884   72601  2934938  37.85
  1872           2     0.09307  0.08893  0.50   67659    6017   64650  2862337  42.31
  1872           3     0.05400  0.05258  0.50   61642    3241   60021  2797687  45.39
  1872           4     0.03515  0.03454  0.50   58401    2017   57392  2737665  46.88
  1872           5     0.02422  0.02393  0.50   56384    1349   55709  2680273  47.54
  1872           6     0.01663  0.01650  0.50   55034     908   54580  2624564  47.69
  1872           7     0.01107  0.01101  0.50   54126     596   53829  2569984  47.48
  1872           8     0.00755  0.00753  0.50   53531     403   53329  2516155  47.00
  1872           9     0.00633  0.00631  0.50   53128     335   52960  2462826  46.36
  1872          10     0.00630  0.00628  0.50   52793     331   52627  2409866  45.65
  1872          11     0.00694  0.00691  0.50   52461     363   52280  2357239  44.93
  1872          12     0.00705  0.00702  0.50   52098     366   51916  2304959  44.24
  1872          13     0.00705  0.00703  0.50   51733     364   51551  2253044  43.55
  1872          14     0.00740  0.00737  0.50   51369     379   51180  2201493  42.86
  1872          15     0.00719  0.00717  0.50   50990     365   50808  2150313  42.17
  1872          16     0.00731  0.00728  0.50   50625     369   50441  2099505  41.47
  1872          17     0.00775  0.00772  0.50   50256     388   50062  2049065  40.77
  1872          18     0.00770  0.00767  0.50   49868     383   49677  1999003  40.09
  1872          19     0.00842  0.00839  0.50   49486     415   49278  1949326  39.39
  1872          20     0.00849  0.00845  0.50   49071     415   48863  1900048  38.72
  1872          21     0.00922  0.00918  0.50   48656     446   48432  1851184  38.05
  1872          22     0.01048  0.01042  0.50   48209     502   47958  1802752  37.39
  1872          23     0.01062  0.01057  0.50   47707     504   47455  1754794  36.78
  1872          24     0.01090  0.01084  0.50   47203     512   46947  1707339  36.17
  1872          25     0.01051  0.01045  0.50   46691     488   46447  1660392  35.56
