Italy, Life tables (period 1x1), Males     Last modified: 29-Mar-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1872           0     0.29346  0.24524  0.33  100000   24524   83569  2922172  29.22
  1872           1     0.13815  0.12923  0.50   75476    9753   70599  2838604  37.61
  1872           2     0.09327  0.08912  0.50   65722    5857   62794  2768005  42.12
  1872           3     0.05416  0.05273  0.50   59865    3157   58287  2705211  45.19
  1872           4     0.03553  0.03491  0.50   56708    1980   55719  2646924  46.68
  1872           5     0.02417  0.02388  0.50   54729    1307   54075  2591205  47.35
  1872           6     0.01614  0.01601  0.50   53422     855   52994  2537130  47.49
  1872           7     0.01056  0.01051  0.50   52566     552   52290  2484136  47.26
  1872           8     0.00693  0.00691  0.50   52014     359   51834  2431846  46.75
  1872           9     0.00565  0.00563  0.50   51655     291   51509  2380012  46.08
  1872          10     0.00580  0.00578  0.50   51364     297   51215  2328503  45.33
  1872          11     0.00638  0.00636  0.50   51067     325   50904  2277288  44.59
  1872          12     0.00635  0.00633  0.50   50742     321   50581  2226383  43.88
  1872          13     0.00628  0.00626  0.50   50421     315   50263  2175802  43.15
  1872          14     0.00645  0.00643  0.50   50105     322   49944  2125539  42.42
  1872          15     0.00624  0.00622  0.50   49783     310   49628  2075595  41.69
  1872          16     0.00648  0.00646  0.50   49473     320   49313  2025967  40.95
  1872          17     0.00722  0.00720  0.50   49153     354   48977  1976654  40.21
  1872          18     0.00792  0.00788  0.50   48800     385   48607  1927678  39.50
  1872          19     0.00941  0.00937  0.50   48415     454   48188  1879070  38.81
  1872          20     0.01044  0.01039  0.50   47961     498   47712  1830882  38.17
  1872          21     0.01063  0.01058  0.50   47463     502   47212  1783170  37.57
  1872          22     0.01161  0.01154  0.50   46961     542   46690  1735958  36.97
  1872          23     0.01235  0.01227  0.50   46419     570   46134  1689268  36.39
  1872          24     0.01265  0.01258  0.50   45849     577   45561  1643134  35.84
  1872          25     0.01193  0.01186  0.50   45273     537   45004  1597573  35.29
  1872          26     0.01076  0.01070  0.50   44736     479   44496  1552569  34.71
  1872          27     0.01047  0.01041  0.50   44257     461   44027  1508072  34.08
