Japan, Life tables (period 1x1), Females     Last modified: 16-Apr-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08722  0.08218  0.30  100000    8218   94224  5365178  53.65
  1947           1     0.03298  0.03244  0.50   91782    2978   90293  5270953  57.43
  1947           2     0.01681  0.01667  0.50   88804    1480   88064  5180660  58.34
  1947           3     0.01157  0.01150  0.50   87324    1004   86822  5092596  58.32
  1947           4     0.00688  0.00686  0.50   86320     592   86024  5005774  57.99
  1947           5     0.00465  0.00464  0.50   85728     398   85529  4919750  57.39
  1947           6     0.00367  0.00367  0.50   85330     313   85174  4834221  56.65
  1947           7     0.00304  0.00304  0.50   85017     258   84888  4749047  55.86
  1947           8     0.00244  0.00244  0.50   84759     207   84655  4664159  55.03
  1947           9     0.00190  0.00190  0.50   84552     160   84472  4579504  54.16
  1947          10     0.00163  0.00163  0.50   84392     137   84323  4495032  53.26
  1947          11     0.00160  0.00160  0.50   84254     135   84187  4410709  52.35
  1947          12     0.00178  0.00178  0.50   84119     150   84045  4326522  51.43
  1947          13     0.00210  0.00210  0.50   83970     176   83882  4242477  50.52
  1947          14     0.00254  0.00254  0.50   83794     213   83687  4158595  49.63
  1947          15     0.00315  0.00314  0.50   83581     263   83450  4074908  48.75
  1947          16     0.00383  0.00383  0.50   83318     319   83159  3991458  47.91
  1947          17     0.00455  0.00454  0.50   83000     377   82811  3908299  47.09
  1947          18     0.00526  0.00524  0.50   82623     433   82406  3825488  46.30
  1947          19     0.00599  0.00597  0.50   82189     491   81944  3743082  45.54
  1947          20     0.00668  0.00666  0.50   81698     544   81426  3661138  44.81
  1947          21     0.00719  0.00717  0.50   81154     582   80864  3579712  44.11
  1947          22     0.00766  0.00763  0.50   80573     615   80265  3498848  43.42
  1947          23     0.00795  0.00792  0.50   79958     633   79641  3418583  42.75
  1947          24     0.00786  0.00783  0.50   79325     621   79014  3338942  42.09
  1947          25     0.00760  0.00757  0.50   78703     596   78405  3259928  41.42
  1947          26     0.00719  0.00716  0.50   78107     560   77828  3181523  40.73
  1947          27     0.00718  0.00715  0.50   77548     555   77271  3103695  40.02
  1947          28     0.00749  0.00746  0.50   76993     574   76706  3026424  39.31
  1947          29     0.00736  0.00733  0.50   76419     560   76139  2949718  38.60
  1947          30     0.00717  0.00715  0.50   75858     542   75587  2873580  37.88
  1947          31     0.00708  0.00706  0.50   75316     532   75050  2797992  37.15
  1947          32     0.00701  0.00699  0.50   74785     523   74523  2722942  36.41
  1947          33     0.00701  0.00698  0.50   74262     518   74003  2648419  35.66
  1947          34     0.00707  0.00705  0.50   73743     520   73484  2574416  34.91
  1947          35     0.00705  0.00703  0.50   73224     514   72966  2500933  34.15
  1947          36     0.00710  0.00708  0.50   72709     514   72452  2427966  33.39
  1947          37     0.00716  0.00714  0.50   72195     515   71937  2355514  32.63
  1947          38     0.00720  0.00717  0.50   71679     514   71422  2283577  31.86
  1947          39     0.00728  0.00726  0.50   71165     516   70907  2212155  31.08
  1947          40     0.00764  0.00761  0.50   70649     537   70380  2141247  30.31
  1947          41     0.00798  0.00795  0.50   70112     557   69833  2070867  29.54
  1947          42     0.00797  0.00794  0.50   69555     552   69278  2001034  28.77
  1947          43     0.00795  0.00792  0.50   69002     546   68729  1931756  28.00
  1947          44     0.00791  0.00788  0.50   68456     539   68186  1863027  27.21
  1947          45     0.00813  0.00809  0.50   67917     550   67642  1794840  26.43
  1947          46     0.00856  0.00853  0.50   67367     574   67080  1727199  25.64
  1947          47     0.00925  0.00920  0.50   66792     615   66485  1660119  24.85
  1947          48     0.00984  0.00979  0.50   66178     648   65854  1593634  24.08
  1947          49     0.01037  0.01032  0.50   65530     676   65192  1527780  23.31
  1947          50     0.01107  0.01101  0.50   64854     714   64497  1462588  22.55
  1947          51     0.01161  0.01154  0.50   64140     740   63770  1398092  21.80
  1947          52     0.01228  0.01220  0.50   63400     774   63013  1334322  21.05
  1947          53     0.01326  0.01317  0.50   62626     825   62214  1271309  20.30
  1947          54     0.01409  0.01399  0.50   61801     865   61369  1209096  19.56
  1947          55     0.01518  0.01506  0.50   60936     918   60477  1147727  18.83
  1947          56     0.01624  0.01611  0.50   60018     967   59535  1087250  18.12
  1947          57     0.01655  0.01641  0.50   59051     969   58567  1027715  17.40
  1947          58     0.01755  0.01740  0.50   58082    1010   57577   969148  16.69
  1947          59     0.01958  0.01939  0.50   57072    1107   56518   911571  15.97
  1947          60     0.02264  0.02238  0.50   55965    1253   55339   855053  15.28
  1947          61     0.02558  0.02526  0.50   54712    1382   54021   799714  14.62
  1947          62     0.02705  0.02669  0.50   53330    1423   52619   745693  13.98
  1947          63     0.02872  0.02831  0.50   51907    1470   51172   693074  13.35
  1947          64     0.03112  0.03064  0.50   50437    1546   49665   641902  12.73
  1947          65     0.03344  0.03289  0.50   48892    1608   48088   592237  12.11
  1947          66     0.03680  0.03613  0.50   47284    1708   46429   544150  11.51
  1947          67     0.04079  0.03998  0.50   45575    1822   44664   497720  10.92
  1947          68     0.04410  0.04315  0.50   43753    1888   42809   453056  10.35
  1947          69     0.04880  0.04764  0.50   41865    1995   40868   410247   9.80
  1947          70     0.05359  0.05220  0.50   39871    2081   38830   369379   9.26
  1947          71     0.05897  0.05728  0.50   37790    2165   36707   330549   8.75
  1947          72     0.06637  0.06424  0.50   35625    2289   34481   293841   8.25
  1947          73     0.07243  0.06990  0.50   33336    2330   32171   259361   7.78
  1947          74     0.07881  0.07582  0.50   31006    2351   29831   227189   7.33
  1947          75     0.08911  0.08531  0.50   28655    2445   27433   197359   6.89
  1947          76     0.10209  0.09713  0.50   26211    2546   24938   169926   6.48
  1947          77     0.11142  0.10554  0.50   23665    2498   22416   144988   6.13
  1947          78     0.11127  0.10540  0.50   21167    2231   20052   122572   5.79
  1947          79     0.11522  0.10894  0.50   18936    2063   17905   102520   5.41
  1947          80     0.14224  0.13280  0.50   16873    2241   15753    84615   5.01
  1947          81     0.14834  0.13810  0.50   14632    2021   13622    68863   4.71
  1947          82     0.15758  0.14607  0.50   12612    1842   11691    55240   4.38
  1947          83     0.18334  0.16794  0.50   10770    1809    9865    43550   4.04
  1947          84     0.21327  0.19272  0.50    8961    1727    8097    33685   3.76
  1947          85     0.23901  0.21349  0.50    7234    1544    6462    25587   3.54
  1947          86     0.25428  0.22560  0.50    5690    1284    5048    19126   3.36
  1947          87     0.26475  0.23380  0.50    4406    1030    3891    14078   3.20
  1947          88     0.28206  0.24720  0.50    3376     835    2959    10187   3.02
  1947          89     0.29909  0.26018  0.50    2541     661    2211     7228   2.84
  1947          90     0.32368  0.27859  0.50    1880     524    1618     5017   2.67
  1947          91     0.34733  0.29593  0.50    1356     401    1156     3399   2.51
  1947          92     0.37259  0.31408  0.50     955     300     805     2243   2.35
  1947          93     0.40720  0.33832  0.50     655     222     544     1438   2.20
  1947          94     0.44494  0.36397  0.50     433     158     355      894   2.06
  1947          95     0.47346  0.38283  0.50     276     106     223      540   1.96
  1947          96     0.50214  0.40137  0.50     170      68     136      317   1.86
  1947          97     0.53081  0.41948  0.50     102      43      80      181   1.78
  1947          98     0.55928  0.43706  0.50      59      26      46      100   1.70
  1947          99     0.58737  0.45403  0.50      33      15      26       54   1.63
  1947         100     0.61490  0.47030  0.50      18       9      14       28   1.56
  1947         101     0.64171  0.48583  0.50      10       5       7       14   1.50
  1947         102     0.66766  0.50056  0.50       5       2       4        7   1.45
  1947         103     0.69264  0.51447  0.50       2       1       2        3   1.40
  1947         104     0.71653  0.52753  0.50       1       1       1        2   1.36
  1947         105     0.73927  0.53975  0.50       1       0       0        1   1.32
  1947         106     0.76079  0.55114  0.50       0       0       0        0   1.29
  1947         107     0.78106  0.56170  0.50       0       0       0        0   1.26
  1947         108     0.80006  0.57146  0.50       0       0       0        0   1.23
  1947         109     0.81780  0.58045  0.50       0       0       0        0   1.21
  1947         110+    0.83429  1.00000  1.20       0       0       0        0   1.20
  1948           0     0.05990  0.05723  0.22  100000    5723   95540  5862975  58.63
  1948           1     0.01946  0.01927  0.50   94277    1817   93368  5767435  61.18
  1948           2     0.00952  0.00948  0.50   92460     876   92022  5674067  61.37
  1948           3     0.00674  0.00672  0.50   91584     616   91276  5582045  60.95
