Japan, Life tables (period 1x1), Males     Last modified: 16-Apr-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09912  0.09279  0.31  100000    9279   93607  4978321  49.78
  1947           1     0.03423  0.03365  0.50   90721    3053   89195  4884714  53.84
  1947           2     0.01673  0.01659  0.50   87669    1455   86941  4795519  54.70
  1947           3     0.01166  0.01160  0.50   86214    1000   85714  4708578  54.62
  1947           4     0.00732  0.00729  0.50   85214     621   84904  4622864  54.25
  1947           5     0.00506  0.00505  0.50   84593     427   84379  4537960  53.64
  1947           6     0.00403  0.00402  0.50   84166     338   83997  4453581  52.91
  1947           7     0.00334  0.00334  0.50   83828     280   83688  4369584  52.13
  1947           8     0.00267  0.00267  0.50   83548     223   83436  4285896  51.30
  1947           9     0.00203  0.00203  0.50   83325     169   83240  4202460  50.43
  1947          10     0.00169  0.00169  0.50   83155     140   83085  4119220  49.54
  1947          11     0.00160  0.00160  0.50   83015     133   82949  4036135  48.62
  1947          12     0.00171  0.00171  0.50   82883     142   82812  3953186  47.70
  1947          13     0.00197  0.00197  0.50   82741     163   82659  3870374  46.78
  1947          14     0.00236  0.00236  0.50   82578     195   82480  3787715  45.87
  1947          15     0.00292  0.00292  0.50   82383     240   82263  3705235  44.98
  1947          16     0.00360  0.00360  0.50   82143     295   81995  3622972  44.11
  1947          17     0.00438  0.00437  0.50   81847     358   81668  3540977  43.26
  1947          18     0.00524  0.00523  0.50   81489     426   81276  3459309  42.45
  1947          19     0.00611  0.00609  0.50   81063     494   80816  3378033  41.67
  1947          20     0.00701  0.00699  0.50   80569     563   80288  3297216  40.92
  1947          21     0.00790  0.00787  0.50   80006     630   79692  3216928  40.21
  1947          22     0.00883  0.00879  0.50   79377     698   79028  3137237  39.52
  1947          23     0.00970  0.00965  0.50   78679     759   78299  3058209  38.87
  1947          24     0.01004  0.00999  0.50   77920     779   77530  2979910  38.24
  1947          25     0.00965  0.00961  0.50   77141     741   76771  2902379  37.62
  1947          26     0.00881  0.00877  0.50   76400     670   76065  2825609  36.98
  1947          27     0.00836  0.00832  0.50   75730     630   75415  2749544  36.31
  1947          28     0.00839  0.00836  0.50   75100     628   74786  2674129  35.61
  1947          29     0.00821  0.00817  0.50   74472     609   74168  2599343  34.90
  1947          30     0.00811  0.00808  0.50   73863     596   73565  2525175  34.19
  1947          31     0.00818  0.00815  0.50   73267     597   72968  2451610  33.46
  1947          32     0.00825  0.00822  0.50   72670     597   72371  2378642  32.73
  1947          33     0.00831  0.00828  0.50   72073     597   71774  2306271  32.00
  1947          34     0.00848  0.00845  0.50   71476     604   71174  2234496  31.26
  1947          35     0.00853  0.00849  0.50   70872     602   70571  2163322  30.52
  1947          36     0.00855  0.00851  0.50   70270     598   69971  2092751  29.78
  1947          37     0.00859  0.00855  0.50   69672     596   69374  2022779  29.03
  1947          38     0.00869  0.00865  0.50   69076     598   68777  1953405  28.28
  1947          39     0.00878  0.00874  0.50   68479     598   68179  1884628  27.52
  1947          40     0.00912  0.00908  0.50   67880     616   67572  1816448  26.76
  1947          41     0.00967  0.00962  0.50   67264     647   66940  1748877  26.00
  1947          42     0.00997  0.00992  0.50   66617     661   66286  1681936  25.25
  1947          43     0.01016  0.01010  0.50   65956     666   65623  1615650  24.50
  1947          44     0.01033  0.01028  0.50   65289     671   64954  1550028  23.74
  1947          45     0.01079  0.01073  0.50   64618     693   64272  1485074  22.98
  1947          46     0.01154  0.01148  0.50   63925     734   63558  1420802  22.23
  1947          47     0.01262  0.01254  0.50   63191     793   62795  1357244  21.48
  1947          48     0.01350  0.01341  0.50   62399     837   61981  1294449  20.74
  1947          49     0.01421  0.01411  0.50   61562     868   61128  1232468  20.02
  1947          50     0.01514  0.01503  0.50   60694     912   60238  1171340  19.30
  1947          51     0.01598  0.01585  0.50   59782     948   59308  1111102  18.59
  1947          52     0.01715  0.01700  0.50   58834    1000   58334  1051794  17.88
  1947          53     0.01891  0.01873  0.50   57834    1083   57292   993460  17.18
  1947          54     0.02053  0.02032  0.50   56751    1153   56174   936168  16.50
  1947          55     0.02266  0.02240  0.50   55598    1246   54975   879994  15.83
  1947          56     0.02481  0.02450  0.50   54352    1332   53686   825019  15.18
  1947          57     0.02547  0.02515  0.50   53020    1334   52354   771332  14.55
  1947          58     0.02691  0.02655  0.50   51687    1372   51001   718979  13.91
  1947          59     0.02970  0.02926  0.50   50314    1472   49578   667978  13.28
  1947          60     0.03410  0.03352  0.50   48842    1637   48023   618400  12.66
  1947          61     0.03854  0.03781  0.50   47205    1785   46312   570377  12.08
  1947          62     0.04110  0.04027  0.50   45420    1829   44505   524065  11.54
  1947          63     0.04427  0.04331  0.50   43591    1888   42647   479559  11.00
  1947          64     0.04848  0.04733  0.50   41703    1974   40716   436913  10.48
  1947          65     0.05217  0.05084  0.50   39729    2020   38719   396197   9.97
  1947          66     0.05707  0.05549  0.50   37709    2092   36663   357478   9.48
  1947          67     0.06281  0.06090  0.50   35616    2169   34532   320815   9.01
  1947          68     0.06723  0.06504  0.50   33447    2175   32360   286284   8.56
  1947          69     0.07290  0.07033  0.50   31272    2199   30172   253924   8.12
  1947          70     0.07795  0.07502  0.50   29072    2181   27982   223752   7.70
  1947          71     0.08421  0.08081  0.50   26891    2173   25805   195770   7.28
  1947          72     0.09369  0.08950  0.50   24718    2212   23612   169965   6.88
  1947          73     0.10116  0.09629  0.50   22506    2167   21422   146353   6.50
  1947          74     0.10797  0.10244  0.50   20339    2084   19297   124931   6.14
  1947          75     0.11883  0.11217  0.50   18255    2048   17231   105634   5.79
  1947          76     0.13420  0.12576  0.50   16208    2038   15189    88402   5.45
  1947          77     0.14621  0.13625  0.50   14169    1931   13204    73214   5.17
  1947          78     0.14616  0.13620  0.50   12239    1667   11405    60010   4.90
  1947          79     0.15161  0.14093  0.50   10572    1490    9827    48604   4.60
  1947          80     0.18132  0.16625  0.50    9082    1510    8327    38777   4.27
  1947          81     0.18888  0.17258  0.50    7572    1307    6919    30450   4.02
  1947          82     0.19956  0.18146  0.50    6265    1137    5697    23532   3.76
  1947          83     0.22492  0.20218  0.50    5128    1037    4610    17835   3.48
  1947          84     0.25964  0.22981  0.50    4092     940    3621    13225   3.23
  1947          85     0.29161  0.25450  0.50    3151     802    2750     9603   3.05
  1947          86     0.30480  0.26449  0.50    2349     621    2039     6853   2.92
  1947          87     0.31607  0.27293  0.50    1728     472    1492     4814   2.79
  1947          88     0.33294  0.28542  0.50    1256     359    1077     3322   2.64
  1947          89     0.34612  0.29506  0.50     898     265     765     2245   2.50
  1947          90     0.37711  0.31729  0.50     633     201     532     1480   2.34
  1947          91     0.41591  0.34431  0.50     432     149     358      947   2.19
  1947          92     0.44141  0.36161  0.50     283     102     232      590   2.08
  1947          93     0.46429  0.37682  0.50     181      68     147      358   1.98
  1947          94     0.50034  0.40022  0.50     113      45      90      211   1.87
  1947          95     0.52787  0.41764  0.50      68      28      53      121   1.79
  1947          96     0.55524  0.43459  0.50      39      17      31       67   1.71
  1947          97     0.58227  0.45098  0.50      22      10      17       37   1.64
  1947          98     0.60882  0.46674  0.50      12       6       9       19   1.58
  1947          99     0.63474  0.48182  0.50       7       3       5       10   1.52
  1947         100     0.65990  0.49618  0.50       3       2       3        5   1.47
  1947         101     0.68419  0.50979  0.50       2       1       1        2   1.42
  1947         102     0.70751  0.52263  0.50       1       0       1        1   1.38
  1947         103     0.72979  0.53469  0.50       0       0       0        1   1.34
  1947         104     0.75098  0.54597  0.50       0       0       0        0   1.31
  1947         105     0.77102  0.55649  0.50       0       0       0        0   1.27
  1947         106     0.78990  0.56626  0.50       0       0       0        0   1.25
  1947         107     0.80761  0.57530  0.50       0       0       0        0   1.22
  1947         108     0.82416  0.58365  0.50       0       0       0        0   1.20
  1947         109     0.83957  0.59134  0.50       0       0       0        0   1.18
  1947         110+    0.85387  1.00000  1.17       0       0       0        0   1.17
  1948           0     0.06936  0.06585  0.23  100000    6585   94937  5502406  55.02
  1948           1     0.02021  0.02001  0.50   93415    1869   92480  5407468  57.89
  1948           2     0.00961  0.00956  0.50   91546     875   91108  5314988  58.06
  1948           3     0.00705  0.00702  0.50   90671     637   90352  5223880  57.61
  1948           4     0.00521  0.00520  0.50   90034     468   89800  5133528  57.02
  1948           5     0.00382  0.00381  0.50   89566     341   89395  5043728  56.31
  1948           6     0.00291  0.00291  0.50   89225     260   89095  4954333  55.53
  1948           7     0.00231  0.00231  0.50   88965     205   88863  4865238  54.69
  1948           8     0.00196  0.00196  0.50   88760     174   88673  4776375  53.81
  1948           9     0.00168  0.00168  0.50   88586     149   88512  4687702  52.92
  1948          10     0.00145  0.00145  0.50   88437     128   88373  4599190  52.01
  1948          11     0.00135  0.00135  0.50   88309     119   88249  4510817  51.08
  1948          12     0.00141  0.00141  0.50   88189     124   88127  4422568  50.15
  1948          13     0.00161  0.00161  0.50   88065     142   87994  4334441  49.22
  1948          14     0.00190  0.00189  0.50   87924     167   87840  4246447  48.30
  1948          15     0.00226  0.00226  0.50   87757     198   87658  4158607  47.39
  1948          16     0.00274  0.00274  0.50   87559     240   87439  4070948  46.49
  1948          17     0.00338  0.00338  0.50   87319     295   87172  3983509  45.62
  1948          18     0.00418  0.00418  0.50   87025     363   86843  3896337  44.77
  1948          19     0.00512  0.00511  0.50   86661     443   86440  3809494  43.96
  1948          20     0.00608  0.00606  0.50   86219     523   85957  3723054  43.18
  1948          21     0.00684  0.00682  0.50   85696     584   85404  3637097  42.44
  1948          22     0.00747  0.00744  0.50   85112     633   84795  3551694  41.73
  1948          23     0.00807  0.00804  0.50   84478     679   84139  3466899  41.04
  1948          24     0.00850  0.00847  0.50   83799     710   83444  3382760  40.37
  1948          25     0.00846  0.00842  0.50   83089     700   82740  3299316  39.71
  1948          26     0.00814  0.00811  0.50   82390     668   82056  3216576  39.04
  1948          27     0.00754  0.00751  0.50   81721     614   81414  3134520  38.36
  1948          28     0.00730  0.00727  0.50   81107     590   80812  3053106  37.64
  1948          29     0.00749  0.00746  0.50   80517     601   80217  2972294  36.91
  1948          30     0.00741  0.00738  0.50   79917     590   79622  2892076  36.19
  1948          31     0.00722  0.00720  0.50   79327     571   79042  2812454  35.45
  1948          32     0.00718  0.00715  0.50   78756     563   78475  2733413  34.71
  1948          33     0.00716  0.00714  0.50   78193     558   77914  2654938  33.95
  1948          34     0.00718  0.00715  0.50   77635     555   77357  2577024  33.19
  1948          35     0.00731  0.00728  0.50   77080     561   76799  2499667  32.43
  1948          36     0.00737  0.00734  0.50   76518     562   76237  2422868  31.66
  1948          37     0.00744  0.00741  0.50   75956     563   75675  2346630  30.89
  1948          38     0.00750  0.00747  0.50   75393     563   75112  2270956  30.12
  1948          39     0.00759  0.00756  0.50   74830     566   74547  2195844  29.34
  1948          40     0.00769  0.00766  0.50   74264     569   73980  2121297  28.56
  1948          41     0.00810  0.00807  0.50   73695     595   73398  2047317  27.78
  1948          42     0.00869  0.00865  0.50   73100     632   72784  1973919  27.00
  1948          43     0.00902  0.00898  0.50   72468     651   72142  1901135  26.23
  1948          44     0.00925  0.00920  0.50   71817     661   71487  1828993  25.47
  1948          45     0.00944  0.00940  0.50   71156     669   70822  1757506  24.70
  1948          46     0.00984  0.00979  0.50   70487     690   70142  1686685  23.93
  1948          47     0.01054  0.01048  0.50   69797     732   69431  1616542  23.16
  1948          48     0.01155  0.01148  0.50   69066     793   68669  1547111  22.40
  1948          49     0.01239  0.01231  0.50   68272     841   67852  1478442  21.66
  1948          50     0.01311  0.01302  0.50   67432     878   66993  1410590  20.92
  1948          51     0.01413  0.01403  0.50   66554     934   66087  1343597  20.19
  1948          52     0.01508  0.01497  0.50   65620     982   65129  1277510  19.47
  1948          53     0.01628  0.01614  0.50   64638    1044   64116  1212382  18.76
  1948          54     0.01794  0.01778  0.50   63594    1131   63029  1148266  18.06
  1948          55     0.01939  0.01921  0.50   62463    1200   61863  1085237  17.37
  1948          56     0.02123  0.02100  0.50   61264    1287   60620  1023374  16.70
  1948          57     0.02307  0.02281  0.50   59977    1368   59293   962754  16.05
  1948          58     0.02359  0.02331  0.50   58609    1366   57926   903461  15.42
  1948          59     0.02483  0.02453  0.50   57242    1404   56540   845535  14.77
  1948          60     0.02732  0.02695  0.50   55838    1505   55086   788995  14.13
  1948          61     0.03134  0.03085  0.50   54334    1676   53495   733908  13.51
  1948          62     0.03534  0.03472  0.50   52657    1828   51743   680413  12.92
  1948          63     0.03762  0.03693  0.50   50829    1877   49890   628670  12.37
  1948          64     0.04046  0.03966  0.50   48952    1941   47981   578780  11.82
  1948          65     0.04408  0.04313  0.50   47010    2028   45997   530799  11.29
  1948          66     0.04710  0.04601  0.50   44983    2070   43948   484802  10.78
  1948          67     0.05127  0.04999  0.50   42913    2145   41840   440854  10.27
  1948          68     0.05619  0.05465  0.50   40768    2228   39654   399014   9.79
  1948          69     0.06013  0.05838  0.50   38540    2250   37415   359360   9.32
  1948          70     0.06535  0.06328  0.50   36290    2296   35142   321945   8.87
  1948          71     0.06989  0.06753  0.50   33994    2296   32846   286804   8.44
  1948          72     0.07532  0.07259  0.50   31698    2301   30547   253958   8.01
  1948          73     0.08298  0.07968  0.50   29397    2342   28226   223410   7.60
  1948          74     0.08800  0.08429  0.50   27055    2281   25915   195184   7.21
  1948          75     0.09193  0.08789  0.50   24774    2177   23686   169270   6.83
  1948          76     0.10051  0.09570  0.50   22597    2163   21516   145584   6.44
  1948          77     0.11355  0.10745  0.50   20434    2196   19336   124069   6.07
  1948          78     0.12364  0.11644  0.50   18239    2124   17177   104732   5.74
  1948          79     0.12333  0.11617  0.50   16115    1872   15179    87556   5.43
  1948          80     0.14593  0.13601  0.50   14243    1937   13274    72377   5.08
  1948          81     0.16367  0.15129  0.50   12306    1862   11375    59103   4.80
  1948          82     0.16767  0.15470  0.50   10444    1616    9636    47728   4.57
  1948          83     0.17423  0.16027  0.50    8828    1415    8121    38092   4.31
  1948          84     0.19547  0.17807  0.50    7413    1320    6753    29971   4.04
  1948          85     0.22612  0.20315  0.50    6093    1238    5474    23218   3.81
  1948          86     0.25291  0.22452  0.50    4855    1090    4310    17743   3.65
  1948          87     0.25707  0.22779  0.50    3765     858    3336    13433   3.57
  1948          88     0.25774  0.22832  0.50    2908     664    2576    10096   3.47
  1948          89     0.26312  0.23253  0.50    2244     522    1983     7521   3.35
  1948          90     0.26310  0.23251  0.50    1722     400    1522     5538   3.22
  1948          91     0.27986  0.24551  0.50    1322     324    1159     4016   3.04
  1948          92     0.30272  0.26293  0.50     997     262     866     2857   2.86
  1948          93     0.30963  0.26812  0.50     735     197     636     1991   2.71
  1948          94     0.36121  0.30595  0.50     538     165     456     1354   2.52
  1948          95     0.38078  0.31988  0.50     373     119     314      898   2.41
  1948          96     0.40074  0.33385  0.50     254      85     212      585   2.30
  1948          97     0.42104  0.34782  0.50     169      59     140      373   2.21
  1948          98     0.44161  0.36174  0.50     110      40      90      234   2.12
  1948          99     0.46238  0.37556  0.50      70      26      57      143   2.03
  1948         100     0.48329  0.38923  0.50      44      17      35       86   1.96
  1948         101     0.50425  0.40272  0.50      27      11      21       51   1.88
  1948         102     0.52520  0.41597  0.50      16       7      13       29   1.82
  1948         103     0.54606  0.42894  0.50       9       4       7       16   1.75
  1948         104     0.56676  0.44161  0.50       5       2       4        9   1.70
  1948         105     0.58723  0.45394  0.50       3       1       2        5   1.64
  1948         106     0.60740  0.46590  0.50       2       1       1        3   1.60
  1948         107     0.62721  0.47747  0.50       1       0       1        1   1.55
  1948         108     0.64660  0.48863  0.50       0       0       0        1   1.51
  1948         109     0.66553  0.49936  0.50       0       0       0        0   1.48
  1948         110+    0.68393  1.00000  1.46       0       0       0        0   1.46
  1949           0     0.06970  0.06615  0.23  100000    6615   94920  5596539  55.97
  1949           1     0.01858  0.01841  0.50   93385    1719   92525  5501619  58.91
  1949           2     0.01168  0.01161  0.50   91665    1064   91133  5409094  59.01
  1949           3     0.00693  0.00691  0.50   90601     626   90288  5317961  58.70
  1949           4     0.00494  0.00492  0.50   89975     443   89754  5227673  58.10
  1949           5     0.00363  0.00363  0.50   89532     325   89370  5137919  57.39
  1949           6     0.00281  0.00280  0.50   89208     250   89083  5048549  56.59
  1949           7     0.00218  0.00217  0.50   88958     193   88861  4959466  55.75
  1949           8     0.00177  0.00176  0.50   88764     157   88686  4870605  54.87
  1949           9     0.00156  0.00156  0.50   88608     138   88539  4781919  53.97
  1949          10     0.00140  0.00140  0.50   88470     123   88408  4693380  53.05
  1949          11     0.00122  0.00122  0.50   88346     108   88292  4604972  52.12
  1949          12     0.00117  0.00117  0.50   88238     103   88187  4516679  51.19
  1949          13     0.00126  0.00126  0.50   88135     111   88080  4428492  50.25
  1949          14     0.00150  0.00150  0.50   88024     132   87958  4340412  49.31
  1949          15     0.00183  0.00183  0.50   87892     161   87812  4252454  48.38
  1949          16     0.00224  0.00224  0.50   87731     197   87633  4164643  47.47
  1949          17     0.00278  0.00277  0.50   87534     243   87413  4077010  46.58
  1949          18     0.00348  0.00347  0.50   87292     303   87140  3989597  45.70
  1949          19     0.00435  0.00434  0.50   86989     378   86800  3902457  44.86
  1949          20     0.00529  0.00528  0.50   86611     457   86382  3815657  44.06
