Lithuania, Life tables (period 1x1), Females     Last modified: 10-Feb-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0     0.04858  0.04674  0.19  100000    4674   96210  7055225  70.55
  1959           1     0.00413  0.00413  0.50   95326     393   95129  6959016  73.00
  1959           2     0.00218  0.00218  0.50   94933     207   94829  6863886  72.30
  1959           3     0.00127  0.00127  0.50   94726     120   94666  6769057  71.46
  1959           4     0.00124  0.00124  0.50   94606     117   94548  6674390  70.55
  1959           5     0.00063  0.00063  0.50   94489      59   94459  6579843  69.64
  1959           6     0.00093  0.00093  0.50   94430      88   94386  6485384  68.68
  1959           7     0.00059  0.00059  0.50   94342      55   94314  6390998  67.74
  1959           8     0.00045  0.00045  0.50   94287      43   94265  6296684  66.78
  1959           9     0.00041  0.00041  0.50   94244      39   94224  6202418  65.81
  1959          10     0.00059  0.00059  0.50   94205      55   94177  6108194  64.84
  1959          11     0.00053  0.00053  0.50   94150      50   94125  6014017  63.88
  1959          12     0.00051  0.00051  0.50   94100      48   94076  5919892  62.91
  1959          13     0.00050  0.00050  0.50   94052      47   94028  5825816  61.94
  1959          14     0.00060  0.00060  0.50   94004      57   93976  5731788  60.97
  1959          15     0.00069  0.00069  0.50   93947      65   93915  5637812  60.01
  1959          16     0.00083  0.00083  0.50   93883      78   93844  5543897  59.05
  1959          17     0.00056  0.00056  0.50   93805      52   93779  5450053  58.10
  1959          18     0.00098  0.00098  0.50   93753      92   93707  5356274  57.13
  1959          19     0.00077  0.00077  0.50   93661      72   93625  5262567  56.19
  1959          20     0.00110  0.00110  0.50   93589     103   93538  5168942  55.23
  1959          21     0.00070  0.00070  0.50   93487      65   93454  5075404  54.29
  1959          22     0.00092  0.00092  0.50   93422      86   93378  4981950  53.33
  1959          23     0.00107  0.00107  0.50   93335     100   93285  4888571  52.38
  1959          24     0.00124  0.00123  0.50   93236     115   93178  4795286  51.43
  1959          25     0.00100  0.00100  0.50   93120      93   93074  4702108  50.49
  1959          26     0.00100  0.00100  0.50   93027      93   92980  4609034  49.55
  1959          27     0.00175  0.00175  0.50   92934     162   92853  4516054  48.59
  1959          28     0.00129  0.00129  0.50   92771     120   92711  4423201  47.68
  1959          29     0.00090  0.00090  0.50   92651      84   92610  4330490  46.74
  1959          30     0.00146  0.00146  0.50   92568     135   92500  4237880  45.78
  1959          31     0.00137  0.00137  0.50   92432     127   92369  4145380  44.85
  1959          32     0.00161  0.00161  0.50   92306     149   92231  4053011  43.91
  1959          33     0.00168  0.00168  0.50   92157     155   92079  3960780  42.98
  1959          34     0.00124  0.00124  0.50   92002     114   91945  3868700  42.05
  1959          35     0.00149  0.00149  0.50   91888     137   91819  3776756  41.10
  1959          36     0.00213  0.00213  0.50   91751     195   91653  3684936  40.16
  1959          37     0.00218  0.00218  0.50   91556     199   91456  3593283  39.25
  1959          38     0.00289  0.00288  0.50   91356     263   91225  3501827  38.33
  1959          39     0.00175  0.00175  0.50   91093     160   91013  3410603  37.44
  1959          40     0.00284  0.00283  0.50   90933     258   90805  3319589  36.51
  1959          41     0.00295  0.00295  0.50   90676     267   90542  3228785  35.61
  1959          42     0.00284  0.00283  0.50   90409     256   90280  3138243  34.71
  1959          43     0.00236  0.00236  0.50   90152     212   90046  3047962  33.81
  1959          44     0.00305  0.00304  0.50   89940     274   89803  2957916  32.89
  1959          45     0.00337  0.00337  0.50   89666     302   89515  2868113  31.99
  1959          46     0.00315  0.00315  0.50   89364     281   89224  2778598  31.09
  1959          47     0.00430  0.00429  0.50   89083     382   88892  2689374  30.19
  1959          48     0.00410  0.00409  0.50   88701     363   88519  2600482  29.32
  1959          49     0.00371  0.00370  0.50   88338     327   88174  2511963  28.44
  1959          50     0.00423  0.00422  0.50   88011     372   87825  2423789  27.54
  1959          51     0.00468  0.00467  0.50   87639     409   87434  2335964  26.65
  1959          52     0.00598  0.00596  0.50   87229     520   86969  2248530  25.78
  1959          53     0.00621  0.00619  0.50   86709     537   86441  2161561  24.93
  1959          54     0.00699  0.00697  0.50   86172     601   85872  2075120  24.08
  1959          55     0.00683  0.00681  0.50   85572     583   85281  1989248  23.25
  1959          56     0.00751  0.00748  0.50   84989     636   84671  1903967  22.40
  1959          57     0.00684  0.00682  0.50   84354     575   84066  1819296  21.57
  1959          58     0.00956  0.00951  0.50   83779     797   83380  1735230  20.71
  1959          59     0.00871  0.00867  0.50   82982     719   82622  1651849  19.91
  1959          60     0.01095  0.01089  0.50   82262     895   81815  1569227  19.08
  1959          61     0.01079  0.01073  0.50   81367     873   80930  1487413  18.28
  1959          62     0.01760  0.01744  0.50   80494    1404   79792  1406483  17.47
  1959          63     0.01730  0.01715  0.50   79089    1357   78411  1326691  16.77
  1959          64     0.01918  0.01900  0.50   77733    1477   76994  1248280  16.06
  1959          65     0.01616  0.01604  0.50   76256    1223   75645  1171285  15.36
  1959          66     0.01944  0.01925  0.50   75033    1444   74311  1095641  14.60
  1959          67     0.02266  0.02241  0.50   73589    1649   72765  1021329  13.88
  1959          68     0.02586  0.02553  0.50   71940    1837   71022   948565  13.19
  1959          69     0.02665  0.02630  0.50   70103    1843   69182   877543  12.52
  1959          70     0.03130  0.03082  0.50   68260    2104   67208   808362  11.84
  1959          71     0.03087  0.03041  0.50   66156    2012   65150   741154  11.20
  1959          72     0.05245  0.05111  0.50   64145    3278   62506   676003  10.54
  1959          73     0.04716  0.04607  0.50   60866    2804   59464   613498  10.08
  1959          74     0.05976  0.05803  0.50   58062    3369   56378   554034   9.54
  1959          75     0.05414  0.05271  0.50   54693    2883   53251   497656   9.10
  1959          76     0.06181  0.05996  0.50   51810    3107   50257   444404   8.58
  1959          77     0.06803  0.06579  0.50   48703    3204   47101   394148   8.09
  1959          78     0.07695  0.07410  0.50   45499    3371   43813   347047   7.63
  1959          79     0.08703  0.08341  0.50   42127    3514   40371   303234   7.20
  1959          80     0.10985  0.10413  0.50   38614    4021   36603   262863   6.81
  1959          81     0.09135  0.08736  0.50   34593    3022   33082   226260   6.54
  1959          82     0.10929  0.10362  0.50   31571    3272   29935   193178   6.12
  1959          83     0.12646  0.11894  0.50   28299    3366   26617   163242   5.77
  1959          84     0.13577  0.12714  0.50   24934    3170   23349   136626   5.48
  1959          85     0.16280  0.15054  0.50   21763    3276   20125   113277   5.20
  1959          86     0.17361  0.15975  0.50   18487    2953   17011    93152   5.04
  1959          87     0.16096  0.14897  0.50   15534    2314   14377    76142   4.90
  1959          88     0.17133  0.15781  0.50   13220    2086   12177    61765   4.67
  1959          89     0.18223  0.16701  0.50   11133    1859   10204    49588   4.45
  1959          90     0.19365  0.17655  0.50    9274    1637    8455    39384   4.25
  1959          91     0.20561  0.18644  0.50    7637    1424    6925    30929   4.05
  1959          92     0.21811  0.19666  0.50    6213    1222    5602    24004   3.86
  1959          93     0.23114  0.20720  0.50    4991    1034    4474    18402   3.69
  1959          94     0.24472  0.21804  0.50    3957     863    3526    13928   3.52
  1959          95     0.25882  0.22916  0.50    3094     709    2740    10403   3.36
  1959          96     0.27344  0.24055  0.50    2385     574    2098     7663   3.21
  1959          97     0.28856  0.25218  0.50    1811     457    1583     5565   3.07
  1959          98     0.30417  0.26402  0.50    1355     358    1176     3982   2.94
  1959          99     0.32024  0.27604  0.50     997     275     859     2806   2.81
  1959         100     0.33676  0.28823  0.50     722     208     618     1947   2.70
  1959         101     0.35368  0.30053  0.50     514     154     437     1329   2.59
  1959         102     0.37097  0.31293  0.50     359     112     303      892   2.48
  1959         103     0.38861  0.32538  0.50     247      80     207      589   2.39
  1959         104     0.40654  0.33786  0.50     167      56     138      382   2.30
  1959         105     0.42472  0.35032  0.50     110      39      91      244   2.21
  1959         106     0.44311  0.36274  0.50      72      26      59      153   2.14
  1959         107     0.46165  0.37507  0.50      46      17      37       94   2.07
  1959         108     0.48030  0.38729  0.50      29      11      23       57   2.01
  1959         109     0.49901  0.39937  0.50      17       7      14       34   1.96
  1959         110+    0.51772  1.00000  1.93      11      11      20       20   1.93
  1960           0     0.03483  0.03383  0.15  100000    3383   97126  7301764  73.02
  1960           1     0.00247  0.00247  0.50   96617     238   96498  7204637  74.57
  1960           2     0.00178  0.00178  0.50   96379     172   96293  7108139  73.75
  1960           3     0.00120  0.00120  0.50   96207     116   96150  7011846  72.88
  1960           4     0.00103  0.00103  0.50   96092      99   96042  6915696  71.97
  1960           5     0.00092  0.00092  0.50   95993      88   95949  6819654  71.04
  1960           6     0.00075  0.00075  0.50   95905      72   95869  6723705  70.11
  1960           7     0.00046  0.00046  0.50   95832      45   95810  6627837  69.16
  1960           8     0.00080  0.00080  0.50   95788      76   95750  6532026  68.19
  1960           9     0.00074  0.00074  0.50   95712      71   95676  6436277  67.25
  1960          10     0.00058  0.00058  0.50   95641      55   95613  6340600  66.30
