Lithuania, Life tables (period 1x1), Males     Last modified: 10-Feb-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0     0.06219  0.05928  0.21  100000    5928   95328  6427588  64.28
  1959           1     0.00392  0.00391  0.50   94072     368   93888  6332260  67.31
  1959           2     0.00237  0.00236  0.50   93704     221   93593  6238372  66.58
  1959           3     0.00130  0.00130  0.50   93482     122   93422  6144779  65.73
  1959           4     0.00127  0.00127  0.50   93361     118   93302  6051358  64.82
  1959           5     0.00108  0.00108  0.50   93242     101   93192  5958056  63.90
  1959           6     0.00123  0.00123  0.50   93141     114   93084  5864864  62.97
  1959           7     0.00085  0.00085  0.50   93027      79   92988  5771780  62.04
  1959           8     0.00100  0.00100  0.50   92948      93   92902  5678792  61.10
  1959           9     0.00081  0.00081  0.50   92856      75   92818  5585890  60.16
  1959          10     0.00128  0.00128  0.50   92781     119   92721  5493072  59.20
  1959          11     0.00087  0.00087  0.50   92662      81   92622  5400350  58.28
  1959          12     0.00055  0.00055  0.50   92581      51   92556  5307729  57.33
  1959          13     0.00067  0.00067  0.50   92530      62   92499  5215173  56.36
  1959          14     0.00166  0.00166  0.50   92468     153   92392  5122674  55.40
  1959          15     0.00129  0.00129  0.50   92315     119   92255  5030282  54.49
  1959          16     0.00125  0.00125  0.50   92196     115   92138  4938027  53.56
  1959          17     0.00136  0.00136  0.50   92080     126   92017  4845889  52.63
  1959          18     0.00228  0.00228  0.50   91955     210   91850  4753872  51.70
  1959          19     0.00254  0.00254  0.50   91745     233   91628  4662022  50.82
  1959          20     0.00202  0.00202  0.50   91512     185   91420  4570393  49.94
  1959          21     0.00227  0.00227  0.50   91327     207   91224  4478974  49.04
  1959          22     0.00237  0.00236  0.50   91120     215   91012  4387750  48.15
  1959          23     0.00232  0.00231  0.50   90904     210   90799  4296738  47.27
  1959          24     0.00244  0.00244  0.50   90694     221   90584  4205939  46.38
  1959          25     0.00234  0.00234  0.50   90473     212   90367  4115356  45.49
  1959          26     0.00251  0.00250  0.50   90261     226   90148  4024988  44.59
  1959          27     0.00306  0.00306  0.50   90035     276   89897  3934840  43.70
  1959          28     0.00288  0.00288  0.50   89760     258   89631  3844943  42.84
  1959          29     0.00309  0.00308  0.50   89502     276   89364  3755312  41.96
  1959          30     0.00343  0.00342  0.50   89226     305   89073  3665948  41.09
  1959          31     0.00237  0.00237  0.50   88920     210   88815  3576875  40.23
  1959          32     0.00345  0.00344  0.50   88710     305   88557  3488060  39.32
  1959          33     0.00333  0.00333  0.50   88405     294   88257  3399503  38.45
  1959          34     0.00305  0.00305  0.50   88110     269   87976  3311245  37.58
  1959          35     0.00392  0.00391  0.50   87842     344   87670  3223269  36.69
  1959          36     0.00397  0.00396  0.50   87498     347   87324  3135600  35.84
  1959          37     0.00388  0.00387  0.50   87151     338   86982  3048275  34.98
  1959          38     0.00407  0.00406  0.50   86814     352   86637  2961293  34.11
  1959          39     0.00409  0.00408  0.50   86461     353   86285  2874656  33.25
  1959          40     0.00527  0.00526  0.50   86108     453   85882  2788371  32.38
  1959          41     0.00326  0.00325  0.50   85656     279   85516  2702489  31.55
  1959          42     0.00439  0.00438  0.50   85377     374   85190  2616973  30.65
  1959          43     0.00524  0.00522  0.50   85003     444   84781  2531783  29.78
  1959          44     0.00553  0.00551  0.50   84559     466   84326  2447002  28.94
  1959          45     0.00568  0.00567  0.50   84093     477   83854  2362676  28.10
  1959          46     0.00652  0.00650  0.50   83616     544   83344  2278822  27.25
  1959          47     0.00621  0.00619  0.50   83072     514   82815  2195478  26.43
  1959          48     0.00707  0.00705  0.50   82558     582   82267  2112663  25.59
  1959          49     0.00640  0.00638  0.50   81976     523   81714  2030396  24.77
  1959          50     0.00847  0.00844  0.50   81453     687   81109  1948681  23.92
  1959          51     0.00738  0.00735  0.50   80766     594   80469  1867572  23.12
  1959          52     0.01069  0.01063  0.50   80172     853   79745  1787103  22.29
  1959          53     0.01055  0.01050  0.50   79319     833   78903  1707358  21.53
  1959          54     0.01370  0.01361  0.50   78487    1068   77953  1628455  20.75
  1959          55     0.01199  0.01191  0.50   77419     922   76957  1550503  20.03
  1959          56     0.01369  0.01360  0.50   76496    1040   75976  1473545  19.26
  1959          57     0.01604  0.01591  0.50   75456    1201   74855  1397569  18.52
  1959          58     0.01967  0.01947  0.50   74255    1446   73532  1322714  17.81
  1959          59     0.01892  0.01874  0.50   72809    1364   72127  1249182  17.16
  1959          60     0.02237  0.02213  0.50   71445    1581   70654  1177055  16.48
  1959          61     0.02192  0.02168  0.50   69864    1515   69106  1106401  15.84
  1959          62     0.02355  0.02328  0.50   68349    1591   67554  1037295  15.18
  1959          63     0.02898  0.02856  0.50   66758    1907   65805   969741  14.53
  1959          64     0.02863  0.02823  0.50   64851    1830   63936   903937  13.94
  1959          65     0.03197  0.03146  0.50   63021    1983   62029   840001  13.33
  1959          66     0.02880  0.02839  0.50   61038    1733   60171   777971  12.75
  1959          67     0.03683  0.03617  0.50   59305    2145   58232   717800  12.10
  1959          68     0.03733  0.03665  0.50   57160    2095   56113   659567  11.54
  1959          69     0.04184  0.04099  0.50   55065    2257   53937   603455  10.96
  1959          70     0.05327  0.05189  0.50   52808    2740   51438   549518  10.41
  1959          71     0.04522  0.04422  0.50   50068    2214   48961   498080   9.95
  1959          72     0.05889  0.05721  0.50   47854    2738   46485   449119   9.39
  1959          73     0.05680  0.05523  0.50   45116    2492   43870   402633   8.92
  1959          74     0.06667  0.06452  0.50   42625    2750   41250   358763   8.42
  1959          75     0.07133  0.06888  0.50   39875    2746   38501   317513   7.96
  1959          76     0.07394  0.07131  0.50   37128    2647   35804   279012   7.51
  1959          77     0.09880  0.09415  0.50   34481    3246   32857   243208   7.05
