Luxembourg, Life tables (period 1x1), Females     Last modified: 25-Apr-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1960           0     0.02376  0.02327  0.12  100000    2327   97951  7216017  72.16
  1960           1     0.00169  0.00169  0.50   97673     165   97590  7118066  72.88
  1960           2     0.00171  0.00171  0.50   97508     167   97424  7020476  72.00
  1960           3     0.00126  0.00126  0.50   97341     122   97280  6923051  71.12
  1960           4     0.00085  0.00085  0.50   97219      83   97177  6825772  70.21
  1960           5     0.00087  0.00087  0.50   97136      84   97094  6728594  69.27
  1960           6     0.00044  0.00044  0.50   97052      43   97030  6631500  68.33
  1960           7     0.00000  0.00000  0.50   97009       0   97009  6534470  67.36
  1960           8     0.00095  0.00095  0.50   97009      92   96963  6437461  66.36
  1960           9     0.00000  0.00000  0.50   96917       0   96917  6340498  65.42
  1960          10     0.00000  0.00000  0.50   96917       0   96917  6243581  64.42
  1960          11     0.00102  0.00102  0.50   96917      99   96867  6146664  63.42
  1960          12     0.00000  0.00000  0.50   96818       0   96818  6049797  62.49
  1960          13     0.00000  0.00000  0.50   96818       0   96818  5952979  61.49
  1960          14     0.00053  0.00053  0.50   96818      51   96792  5856161  60.49
  1960          15     0.00053  0.00053  0.50   96767      52   96741  5759368  59.52
  1960          16     0.00051  0.00051  0.50   96715      49   96691  5662628  58.55
  1960          17     0.00049  0.00049  0.50   96666      47   96643  5565937  57.58
  1960          18     0.00000  0.00000  0.50   96619       0   96619  5469294  56.61
  1960          19     0.00000  0.00000  0.50   96619       0   96619  5372675  55.61
  1960          20     0.00000  0.00000  0.50   96619       0   96619  5276056  54.61
  1960          21     0.00094  0.00094  0.50   96619      91   96574  5179437  53.61
  1960          22     0.00048  0.00048  0.50   96529      46   96506  5082863  52.66
  1960          23     0.00097  0.00097  0.50   96482      94   96436  4986357  51.68
  1960          24     0.00000  0.00000  0.50   96389       0   96389  4889922  50.73
  1960          25     0.00000  0.00000  0.50   96389       0   96389  4793533  49.73
  1960          26     0.00139  0.00139  0.50   96389     134   96322  4697144  48.73
  1960          27     0.00184  0.00183  0.50   96255     177   96167  4600822  47.80
  1960          28     0.00044  0.00044  0.50   96079      42   96058  4504655  46.89
  1960          29     0.00081  0.00081  0.50   96037      78   95997  4408597  45.91
  1960          30     0.00121  0.00121  0.50   95958     116   95900  4312600  44.94
  1960          31     0.00083  0.00083  0.50   95842      79   95803  4216699  44.00
  1960          32     0.00166  0.00166  0.50   95763     159   95684  4120897  43.03
  1960          33     0.00084  0.00084  0.50   95604      80   95564  4025213  42.10
  1960          34     0.00000  0.00000  0.50   95525       0   95525  3929649  41.14
  1960          35     0.00128  0.00128  0.50   95525     122   95463  3834124  40.14
  1960          36     0.00126  0.00126  0.50   95402     120   95342  3738661  39.19
  1960          37     0.00303  0.00303  0.50   95282     289   95138  3643318  38.24
  1960          38     0.00178  0.00178  0.50   94994     169   94909  3548180  37.35
  1960          39     0.00213  0.00213  0.50   94825     202   94724  3453271  36.42
  1960          40     0.00137  0.00137  0.50   94623     129   94559  3358547  35.49
