Luxembourg, Life tables (period 1x1), Males     Last modified: 25-Apr-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1960           0     0.03941  0.03813  0.15  100000    3813   96762  6604561  66.05
  1960           1     0.00353  0.00353  0.50   96187     339   96017  6507800  67.66
  1960           2     0.00236  0.00236  0.50   95848     226   95735  6411782  66.90
  1960           3     0.00203  0.00203  0.50   95622     194   95525  6316047  66.05
  1960           4     0.00126  0.00126  0.50   95428     120   95368  6220522  65.19
  1960           5     0.00169  0.00169  0.50   95308     161   95227  6125154  64.27
  1960           6     0.00043  0.00043  0.50   95146      41   95126  6029927  63.38
  1960           7     0.00131  0.00131  0.50   95106     124   95044  5934801  62.40
  1960           8     0.00000  0.00000  0.50   94982       0   94982  5839757  61.48
  1960           9     0.00000  0.00000  0.50   94982       0   94982  5744776  60.48
  1960          10     0.00049  0.00049  0.50   94982      46   94958  5649794  59.48
  1960          11     0.00049  0.00049  0.50   94935      46   94912  5554836  58.51
  1960          12     0.00000  0.00000  0.50   94889       0   94889  5459924  57.54
  1960          13     0.00048  0.00048  0.50   94889      45   94866  5365035  56.54
  1960          14     0.00153  0.00153  0.50   94843     145   94771  5270169  55.57
  1960          15     0.00054  0.00054  0.50   94699      51   94673  5175397  54.65
  1960          16     0.00100  0.00100  0.50   94648      95   94600  5080724  53.68
  1960          17     0.00048  0.00048  0.50   94553      45   94530  4986124  52.73
  1960          18     0.00144  0.00144  0.50   94508     136   94440  4891593  51.76
  1960          19     0.00145  0.00145  0.50   94372     137   94303  4797153  50.83
  1960          20     0.00045  0.00045  0.50   94235      42   94214  4702850  49.91
  1960          21     0.00309  0.00308  0.50   94193     290   94048  4608636  48.93
  1960          22     0.00044  0.00044  0.50   93903      42   93882  4514589  48.08
  1960          23     0.00176  0.00175  0.50   93861     165   93779  4420707  47.10
  1960          24     0.00352  0.00351  0.50   93696     329   93532  4326928  46.18
  1960          25     0.00175  0.00175  0.50   93367     163   93286  4233397  45.34
  1960          26     0.00172  0.00172  0.50   93204     160   93124  4140111  44.42
  1960          27     0.00168  0.00167  0.50   93044     156   92966  4046987  43.50
  1960          28     0.00120  0.00120  0.50   92888     111   92833  3954021  42.57
  1960          29     0.00113  0.00113  0.50   92777     105   92724  3861188  41.62
  1960          30     0.00148  0.00148  0.50   92672     137   92603  3768464  40.66
  1960          31     0.00187  0.00187  0.50   92535     173   92449  3675860  39.72
  1960          32     0.00229  0.00228  0.50   92362     211   92257  3583412  38.80
  1960          33     0.00162  0.00162  0.50   92151     149   92077  3491155  37.88
  1960          34     0.00267  0.00267  0.50   92002     245   91880  3399078  36.95
  1960          35     0.00294  0.00294  0.50   91757     270   91622  3307199  36.04
  1960          36     0.00051  0.00051  0.50   91487      47   91464  3215576  35.15
  1960          37     0.00419  0.00418  0.50   91440     382   91249  3124113  34.17
  1960          38     0.00104  0.00104  0.50   91058      94   91011  3032863  33.31
  1960          39     0.00099  0.00099  0.50   90964      90   90919  2941852  32.34
  1960          40     0.00156  0.00155  0.50   90874     141   90803  2850933  31.37
  1960          41     0.00407  0.00406  0.50   90733     368   90548  2760130  30.42
  1960          42     0.00490  0.00489  0.50   90364     442   90143  2669582  29.54
  1960          43     0.00177  0.00177  0.50   89923     159   89843  2579438  28.69
  1960          44     0.00694  0.00692  0.50   89764     621   89453  2489595  27.73
  1960          45     0.00279  0.00279  0.50   89143     249   89018  2400142  26.92
  1960          46     0.00620  0.00618  0.50   88894     549   88619  2311123  26.00
  1960          47     0.01163  0.01156  0.50   88345    1022   87834  2222504  25.16
  1960          48     0.00772  0.00769  0.50   87323     672   86987  2134670  24.45
  1960          49     0.00739  0.00736  0.50   86651     638   86332  2047683  23.63
  1960          50     0.01114  0.01108  0.50   86014     953   85537  1961350  22.80
  1960          51     0.01030  0.01025  0.50   85060     872   84624  1875813  22.05
  1960          52     0.01538  0.01527  0.50   84188    1285   83546  1791189  21.28
  1960          53     0.00650  0.00648  0.50   82903     537   82635  1707643  20.60
  1960          54     0.01696  0.01682  0.50   82366    1386   81673  1625009  19.73
  1960          55     0.01108  0.01102  0.50   80980     892   80534  1543336  19.06
  1960          56     0.01884  0.01866  0.50   80088    1495   79341  1462801  18.26
  1960          57     0.01423  0.01413  0.50   78594    1111   78038  1383460  17.60
  1960          58     0.01757  0.01742  0.50   77483    1349   76808  1305422  16.85
  1960          59     0.01830  0.01814  0.50   76134    1381   75443  1228614  16.14
  1960          60     0.02368  0.02340  0.50   74753    1750   73878  1153171  15.43
  1960          61     0.02025  0.02005  0.50   73003    1464   72272  1079293  14.78
  1960          62     0.02910  0.02869  0.50   71540    2052   70514  1007021  14.08
  1960          63     0.02548  0.02516  0.50   69488    1749   68613   936508  13.48
  1960          64     0.02738  0.02701  0.50   67739    1829   66824   867894  12.81
  1960          65     0.02934  0.02891  0.50   65910    1906   64957   801070  12.15
  1960          66     0.03628  0.03563  0.50   64004    2281   62864   736113  11.50
  1960          67     0.03757  0.03688  0.50   61723    2276   60585   673250  10.91
  1960          68     0.04867  0.04751  0.50   59447    2824   58035   612664  10.31
  1960          69     0.04659  0.04553  0.50   56623    2578   55334   554629   9.80
  1960          70     0.06259  0.06069  0.50   54045    3280   52405   499295   9.24
  1960          71     0.05466  0.05321  0.50   50765    2701   49414   446890   8.80
  1960          72     0.05415  0.05272  0.50   48064    2534   46797   397476   8.27
  1960          73     0.09276  0.08865  0.50   45530    4036   43512   350679   7.70
  1960          74     0.08324  0.07992  0.50   41494    3316   39836   307167   7.40
  1960          75     0.07983  0.07677  0.50   38178    2931   36712   267332   7.00
  1960          76     0.07985  0.07678  0.50   35247    2706   33894   230620   6.54
  1960          77     0.12197  0.11496  0.50   32541    3741   30670   196726   6.05
  1960          78     0.10197  0.09702  0.50   28800    2794   27403   166056   5.77
  1960          79     0.11225  0.10629  0.50   26006    2764   24624   138653   5.33
  1960          80     0.13826  0.12932  0.50   23242    3006   21739   114029   4.91
  1960          81     0.15411  0.14308  0.50   20236    2895   18788    92291   4.56
  1960          82     0.17141  0.15788  0.50   17341    2738   15972    73502   4.24
  1960          83     0.19022  0.17370  0.50   14603    2537   13335    57531   3.94
  1960          84     0.21057  0.19051  0.50   12066    2299   10917    44196   3.66
  1960          85     0.23247  0.20826  0.50    9768    2034    8750    33279   3.41
  1960          86     0.25591  0.22688  0.50    7733    1755    6856    24529   3.17
  1960          87     0.28085  0.24627  0.50    5979    1472    5243    17673   2.96
  1960          88     0.30722  0.26631  0.50    4506    1200    3906    12430   2.76
  1960          89     0.33491  0.28687  0.50    3306     948    2832     8524   2.58
  1960          90     0.36378  0.30780  0.50    2358     726    1995     5692   2.41
  1960          91     0.39367  0.32893  0.50    1632     537    1364     3697   2.27
  1960          92     0.42438  0.35009  0.50    1095     383     904     2333   2.13
  1960          93     0.45568  0.37113  0.50     712     264     580     1430   2.01
  1960          94     0.48734  0.39186  0.50     448     175     360      850   1.90
  1960          95     0.51910  0.41213  0.50     272     112     216      490   1.80
  1960          96     0.55071  0.43181  0.50     160      69     125      274   1.71
  1960          97     0.58191  0.45076  0.50      91      41      70      148   1.63
  1960          98     0.61247  0.46888  0.50      50      23      38       78   1.56
  1960          99     0.64216  0.48609  0.50      27      13      20       40   1.50
  1960         100     0.67081  0.50233  0.50      14       7      10       20   1.44
  1960         101     0.69824  0.51755  0.50       7       4       5        9   1.39
  1960         102     0.72433  0.53175  0.50       3       2       2        4   1.35
  1960         103     0.74897  0.54491  0.50       2       1       1        2   1.31
  1960         104     0.77210  0.55705  0.50       1       0       1        1   1.27
  1960         105     0.79368  0.56820  0.50       0       0       0        0   1.24
  1960         106     0.81372  0.57839  0.50       0       0       0        0   1.21
  1960         107     0.83222  0.58768  0.50       0       0       0        0   1.19
  1960         108     0.84922  0.59611  0.50       0       0       0        0   1.17
  1960         109     0.86478  0.60373  0.50       0       0       0        0   1.15
  1960         110+    0.87897  1.00000  1.14       0       0       0        0   1.14
  1961           0     0.02899  0.02827  0.12  100000    2827   97520  6678067  66.78
  1961           1     0.00159  0.00159  0.50   97173     154   97095  6580547  67.72
  1961           2     0.00118  0.00118  0.50   97018     114   96961  6483451  66.83
  1961           3     0.00157  0.00157  0.50   96904     152   96828  6386490  65.91
  1961           4     0.00081  0.00081  0.50   96752      79   96713  6289661  65.01
  1961           5     0.00084  0.00084  0.50   96674      82   96633  6192948  64.06
  1961           6     0.00211  0.00211  0.50   96592     204   96490  6096315  63.11
  1961           7     0.00000  0.00000  0.50   96389       0   96389  5999825  62.25
  1961           8     0.00087  0.00087  0.50   96389      83   96347  5903436  61.25
  1961           9     0.00045  0.00045  0.50   96305      43   96284  5807089  60.30
  1961          10     0.00000  0.00000  0.50   96262       0   96262  5710805  59.33
  1961          11     0.00000  0.00000  0.50   96262       0   96262  5614544  58.33
  1961          12     0.00049  0.00049  0.50   96262      47   96239  5518282  57.33
  1961          13     0.00048  0.00048  0.50   96215      46   96192  5422043  56.35
  1961          14     0.00095  0.00095  0.50   96169      91   96124  5325851  55.38
  1961          15     0.00050  0.00050  0.50   96078      48   96054  5229727  54.43
  1961          16     0.00105  0.00105  0.50   96030     101   95979  5133673  53.46
  1961          17     0.00150  0.00150  0.50   95929     143   95857  5037693  52.51
  1961          18     0.00234  0.00234  0.50   95785     224   95673  4941836  51.59
  1961          19     0.00095  0.00095  0.50   95562      91   95516  4846163  50.71
  1961          20     0.00336  0.00335  0.50   95470     320   95310  4750647  49.76
  1961          21     0.00399  0.00398  0.50   95150     379   94961  4655336  48.93
  1961          22     0.00088  0.00088  0.50   94771      83   94730  4560375  48.12
  1961          23     0.00399  0.00398  0.50   94688     377   94500  4465645  47.16
  1961          24     0.00218  0.00218  0.50   94312     206   94209  4371145  46.35
  1961          25     0.00306  0.00306  0.50   94106     288   93962  4276936  45.45
  1961          26     0.00306  0.00305  0.50   93818     286   93675  4182974  44.59
  1961          27     0.00173  0.00173  0.50   93532     161   93451  4089299  43.72
  1961          28     0.00125  0.00125  0.50   93371     117   93312  3995848  42.80
  1961          29     0.00320  0.00319  0.50   93254     298   93105  3902536  41.85
  1961          30     0.00076  0.00076  0.50   92956      70   92921  3809431  40.98
  1961          31     0.00222  0.00222  0.50   92885     206   92782  3716510  40.01
  1961          32     0.00224  0.00224  0.50   92679     207   92576  3623728  39.10
  1961          33     0.00305  0.00304  0.50   92472     281   92331  3531152  38.19
  1961          34     0.00122  0.00122  0.50   92191     112   92134  3438821  37.30
  1961          35     0.00267  0.00266  0.50   92078     245   91956  3346686  36.35
  1961          36     0.00147  0.00147  0.50   91833     135   91765  3254731  35.44
  1961          37     0.00256  0.00256  0.50   91698     235   91580  3162966  34.49
  1961          38     0.00314  0.00314  0.50   91463     287   91320  3071385  33.58
  1961          39     0.00260  0.00260  0.50   91176     237   91058  2980065  32.68
  1961          40     0.00249  0.00249  0.50   90940     226   90826  2889007  31.77
  1961          41     0.00156  0.00156  0.50   90713     141   90643  2798181  30.85
