Latvia, Life tables (period 1x1), Females     Last modified: 15-Aug-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0     0.02660  0.02600  0.13  100000    2600   97732  7263757  72.64
  1959           1     0.00240  0.00239  0.50   97400     233   97284  7166026  73.57
  1959           2     0.00162  0.00162  0.50   97167     157   97089  7068742  72.75
  1959           3     0.00105  0.00105  0.50   97010     102   96959  6971653  71.87
  1959           4     0.00075  0.00075  0.50   96908      73   96872  6874694  70.94
  1959           5     0.00069  0.00069  0.50   96836      66   96802  6777822  69.99
  1959           6     0.00065  0.00065  0.50   96769      63   96738  6681020  69.04
  1959           7     0.00058  0.00058  0.50   96706      56   96678  6584282  68.09
  1959           8     0.00053  0.00053  0.50   96650      51   96625  6487604  67.12
  1959           9     0.00046  0.00046  0.50   96599      44   96577  6390979  66.16
  1959          10     0.00040  0.00040  0.50   96555      38   96536  6294402  65.19
  1959          11     0.00038  0.00038  0.50   96517      37   96498  6197866  64.22
  1959          12     0.00041  0.00041  0.50   96480      40   96460  6101368  63.24
  1959          13     0.00048  0.00048  0.50   96440      47   96416  6004908  62.27
  1959          14     0.00055  0.00055  0.50   96393      53   96366  5908492  61.30
  1959          15     0.00062  0.00062  0.50   96340      60   96310  5812125  60.33
  1959          16     0.00068  0.00068  0.50   96280      65   96247  5715816  59.37
  1959          17     0.00072  0.00072  0.50   96214      70   96179  5619569  58.41
  1959          18     0.00080  0.00080  0.50   96145      77   96106  5523389  57.45
  1959          19     0.00091  0.00091  0.50   96068      87   96024  5427283  56.49
  1959          20     0.00099  0.00099  0.50   95981      95   95933  5331259  55.55
  1959          21     0.00107  0.00107  0.50   95886     102   95834  5235326  54.60
  1959          22     0.00114  0.00114  0.50   95783     109   95729  5139491  53.66
  1959          23     0.00121  0.00121  0.50   95674     115   95617  5043762  52.72
  1959          24     0.00128  0.00128  0.50   95559     122   95498  4948146  51.78
  1959          25     0.00127  0.00127  0.50   95436     122   95376  4852648  50.85
  1959          26     0.00121  0.00121  0.50   95315     116   95257  4757272  49.91
  1959          27     0.00124  0.00124  0.50   95199     118   95140  4662015  48.97
  1959          28     0.00129  0.00129  0.50   95081     123   95020  4566875  48.03
  1959          29     0.00140  0.00140  0.50   94959     133   94892  4471855  47.09
  1959          30     0.00147  0.00147  0.50   94826     140   94756  4376963  46.16
  1959          31     0.00153  0.00153  0.50   94686     145   94613  4282207  45.23
  1959          32     0.00161  0.00161  0.50   94541     152   94465  4187594  44.29
  1959          33     0.00159  0.00159  0.50   94389     150   94314  4093129  43.36
  1959          34     0.00163  0.00163  0.50   94240     154   94163  3998814  42.43
  1959          35     0.00160  0.00160  0.50   94086     150   94011  3904652  41.50
  1959          36     0.00159  0.00159  0.50   93935     149   93861  3810641  40.57
  1959          37     0.00173  0.00173  0.50   93786     162   93705  3716780  39.63
  1959          38     0.00189  0.00189  0.50   93624     177   93536  3623075  38.70
  1959          39     0.00207  0.00207  0.50   93447     194   93350  3529539  37.77
  1959          40     0.00216  0.00216  0.50   93254     202   93153  3436189  36.85
  1959          41     0.00252  0.00251  0.50   93052     234   92935  3343036  35.93
  1959          42     0.00302  0.00301  0.50   92818     280   92678  3250101  35.02
  1959          43     0.00301  0.00301  0.50   92539     278   92399  3157423  34.12
  1959          44     0.00304  0.00303  0.50   92260     280   92120  3065024  33.22
