Latvia, Life tables (period 1x1), Males     Last modified: 15-Aug-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0     0.03624  0.03515  0.14  100000    3515   96985  6553545  65.54
  1959           1     0.00274  0.00273  0.50   96485     264   96353  6456560  66.92
  1959           2     0.00184  0.00184  0.50   96221     177   96133  6360207  66.10
  1959           3     0.00125  0.00125  0.50   96044     120   95984  6264075  65.22
  1959           4     0.00098  0.00098  0.50   95924      94   95877  6168090  64.30
  1959           5     0.00106  0.00106  0.50   95830     101   95780  6072213  63.36
  1959           6     0.00115  0.00115  0.50   95729     110   95674  5976434  62.43
  1959           7     0.00116  0.00116  0.50   95619     111   95564  5880760  61.50
  1959           8     0.00114  0.00114  0.50   95509     108   95455  5785196  60.57
  1959           9     0.00107  0.00107  0.50   95400     102   95349  5689741  59.64
  1959          10     0.00098  0.00098  0.50   95298      93   95251  5594392  58.70
  1959          11     0.00095  0.00095  0.50   95205      90   95160  5499140  57.76
  1959          12     0.00101  0.00101  0.50   95114      96   95066  5403981  56.82
  1959          13     0.00113  0.00113  0.50   95018     107   94965  5308915  55.87
  1959          14     0.00122  0.00122  0.50   94911     116   94853  5213950  54.94
  1959          15     0.00129  0.00129  0.50   94795     122   94734  5119097  54.00
  1959          16     0.00138  0.00138  0.50   94673     131   94608  5024363  53.07
  1959          17     0.00147  0.00147  0.50   94543     139   94473  4929755  52.14
  1959          18     0.00165  0.00164  0.50   94404     155   94326  4835281  51.22
  1959          19     0.00192  0.00192  0.50   94248     181   94158  4740955  50.30
  1959          20     0.00217  0.00216  0.50   94068     204   93966  4646797  49.40
  1959          21     0.00247  0.00246  0.50   93864     231   93749  4552831  48.50
  1959          22     0.00280  0.00279  0.50   93633     262   93502  4459082  47.62
  1959          23     0.00311  0.00311  0.50   93371     290   93226  4365580  46.76
  1959          24     0.00346  0.00345  0.50   93081     322   92920  4272354  45.90
  1959          25     0.00363  0.00363  0.50   92760     336   92591  4179434  45.06
  1959          26     0.00348  0.00347  0.50   92423     321   92263  4086842  44.22
  1959          27     0.00336  0.00335  0.50   92102     309   91948  3994580  43.37
  1959          28     0.00321  0.00321  0.50   91794     294   91646  3902632  42.52
  1959          29     0.00314  0.00313  0.50   91499     287   91356  3810985  41.65
  1959          30     0.00304  0.00304  0.50   91213     277   91074  3719629  40.78
  1959          31     0.00297  0.00297  0.50   90935     270   90800  3628555  39.90
  1959          32     0.00329  0.00328  0.50   90666     298   90517  3537755  39.02
  1959          33     0.00371  0.00371  0.50   90368     335   90200  3447238  38.15
  1959          34     0.00408  0.00407  0.50   90033     366   89850  3357038  37.29
  1959          35     0.00424  0.00423  0.50   89667     379   89477  3267188  36.44
  1959          36     0.00427  0.00426  0.50   89287     380   89097  3177711  35.59
  1959          37     0.00436  0.00435  0.50   88907     387   88713  3088614  34.74
  1959          38     0.00435  0.00434  0.50   88520     384   88328  2999901  33.89
  1959          39     0.00449  0.00448  0.50   88136     395   87938  2911573  33.04
  1959          40     0.00441  0.00440  0.50   87741     386   87548  2823634  32.18
  1959          41     0.00477  0.00476  0.50   87355     415   87148  2736086  31.32
  1959          42     0.00541  0.00539  0.50   86940     469   86705  2648939  30.47
  1959          43     0.00541  0.00540  0.50   86471     467   86237  2562233  29.63
  1959          44     0.00554  0.00552  0.50   86004     475   85767  2475996  28.79
  1959          45     0.00588  0.00586  0.50   85529     501   85278  2390229  27.95
  1959          46     0.00643  0.00641  0.50   85028     545   84755  2304951  27.11
  1959          47     0.00720  0.00717  0.50   84483     606   84180  2220195  26.28
  1959          48     0.00784  0.00781  0.50   83877     655   83549  2136015  25.47
  1959          49     0.00866  0.00862  0.50   83222     718   82863  2052466  24.66
  1959          50     0.00960  0.00956  0.50   82504     789   82110  1969603  23.87
  1959          51     0.00996  0.00991  0.50   81716     809   81311  1887493  23.10
  1959          52     0.01029  0.01024  0.50   80906     828   80492  1806182  22.32
  1959          53     0.01106  0.01100  0.50   80078     881   79637  1725691  21.55
  1959          54     0.01203  0.01196  0.50   79197     947   78723  1646053  20.78
  1959          55     0.01319  0.01311  0.50   78250    1026   77737  1567330  20.03
  1959          56     0.01466  0.01455  0.50   77224    1124   76662  1489593  19.29
  1959          57     0.01684  0.01670  0.50   76101    1271   75465  1412931  18.57
  1959          58     0.01827  0.01810  0.50   74830    1354   74152  1337466  17.87
  1959          59     0.01991  0.01971  0.50   73475    1448   72751  1263313  17.19
  1959          60     0.02222  0.02197  0.50   72027    1583   71235  1190562  16.53
  1959          61     0.02390  0.02362  0.50   70444    1664   69612  1119327  15.89
  1959          62     0.02632  0.02598  0.50   68780    1787   67887  1049715  15.26
  1959          63     0.02727  0.02691  0.50   66994    1802   66092   981828  14.66
  1959          64     0.02961  0.02918  0.50   65191    1902   64240   915736  14.05
  1959          65     0.03304  0.03250  0.50   63289    2057   62261   851496  13.45
  1959          66     0.03647  0.03581  0.50   61232    2193   60136   789235  12.89
  1959          67     0.04006  0.03927  0.50   59039    2319   57880   729099  12.35
  1959          68     0.04203  0.04116  0.50   56720    2335   55553   671219  11.83
  1959          69     0.04537  0.04436  0.50   54386    2413   53179   615666  11.32
  1959          70     0.04482  0.04384  0.50   51973    2278   50834   562487  10.82
  1959          71     0.04800  0.04687  0.50   49694    2329   48530   511654  10.30
  1959          72     0.05474  0.05328  0.50   47365    2524   46103   463124   9.78
  1959          73     0.05564  0.05413  0.50   44841    2427   43628   417021   9.30
  1959          74     0.05780  0.05618  0.50   42414    2383   41223   373393   8.80
  1959          75     0.05826  0.05661  0.50   40031    2266   38898   332170   8.30
