Netherlands, Life tables (period 1x1), Females     Last modified: 15-Jun-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1850           0     0.20163  0.17827  0.35  100000   17827   88413  4080774  40.81
  1850           1     0.06556  0.06348  0.50   82173    5216   79565  3992361  48.58
  1850           2     0.03132  0.03084  0.50   76957    2373   75770  3912796  50.84
  1850           3     0.01883  0.01865  0.50   74584    1391   73888  3837026  51.45
  1850           4     0.01401  0.01392  0.50   73193    1019   72683  3763137  51.41
  1850           5     0.01186  0.01179  0.50   72174     851   71749  3690454  51.13
  1850           6     0.00923  0.00919  0.50   71323     655   70996  3618705  50.74
  1850           7     0.00783  0.00780  0.50   70668     551   70392  3547710  50.20
  1850           8     0.00727  0.00724  0.50   70117     508   69863  3477317  49.59
  1850           9     0.00639  0.00637  0.50   69609     444   69387  3407455  48.95
  1850          10     0.00576  0.00574  0.50   69165     397   68967  3338068  48.26
  1850          11     0.00521  0.00520  0.50   68768     357   68590  3269101  47.54
  1850          12     0.00460  0.00459  0.50   68411     314   68254  3200512  46.78
  1850          13     0.00451  0.00450  0.50   68097     306   67944  3132258  46.00
  1850          14     0.00551  0.00550  0.50   67791     373   67604  3064314  45.20
  1850          15     0.00578  0.00577  0.50   67418     389   67223  2996710  44.45
  1850          16     0.00516  0.00515  0.50   67029     345   66856  2929487  43.70
  1850          17     0.00600  0.00598  0.50   66684     399   66484  2862630  42.93
  1850          18     0.00661  0.00658  0.50   66285     436   66067  2796146  42.18
  1850          19     0.00664  0.00662  0.50   65849     436   65631  2730079  41.46
  1850          20     0.00703  0.00700  0.50   65413     458   65184  2664448  40.73
  1850          21     0.00663  0.00660  0.50   64955     429   64740  2599265  40.02
  1850          22     0.00829  0.00826  0.50   64526     533   64259  2534525  39.28
  1850          23     0.00770  0.00767  0.50   63993     491   63747  2470265  38.60
  1850          24     0.00735  0.00732  0.50   63502     465   63270  2406518  37.90
  1850          25     0.00886  0.00882  0.50   63037     556   62759  2343248  37.17
  1850          26     0.00887  0.00883  0.50   62481     552   62205  2280489  36.50
  1850          27     0.00983  0.00978  0.50   61930     606   61627  2218284  35.82
  1850          28     0.01115  0.01109  0.50   61324     680   60984  2156657  35.17
  1850          29     0.01121  0.01115  0.50   60644     676   60306  2095674  34.56
  1850          30     0.01011  0.01006  0.50   59968     603   59666  2035368  33.94
  1850          31     0.01074  0.01068  0.50   59365     634   59048  1975702  33.28
  1850          32     0.01290  0.01281  0.50   58731     753   58354  1916654  32.63
  1850          33     0.01262  0.01254  0.50   57978     727   57614  1858300  32.05
  1850          34     0.01262  0.01254  0.50   57251     718   56892  1800685  31.45
  1850          35     0.01159  0.01152  0.50   56533     652   56207  1743794  30.85
  1850          36     0.01190  0.01183  0.50   55881     661   55551  1687587  30.20
  1850          37     0.01286  0.01278  0.50   55220     706   54867  1632036  29.56
  1850          38     0.01438  0.01427  0.50   54514     778   54125  1577169  28.93
  1850          39     0.01388  0.01378  0.50   53736     741   53366  1523043  28.34
  1850          40     0.01390  0.01381  0.50   52996     732   52630  1469677  27.73
  1850          41     0.01373  0.01364  0.50   52264     713   51908  1417048  27.11
  1850          42     0.01463  0.01453  0.50   51551     749   51177  1365140  26.48
  1850          43     0.01333  0.01324  0.50   50802     672   50466  1313963  25.86
  1850          44     0.01198  0.01191  0.50   50130     597   49831  1263497  25.20
  1850          45     0.01389  0.01379  0.50   49533     683   49191  1213666  24.50
  1850          46     0.01348  0.01339  0.50   48850     654   48523  1164475  23.84
  1850          47     0.01350  0.01341  0.50   48196     646   47873  1115952  23.15
  1850          48     0.01405  0.01396  0.50   47549     664   47218  1068080  22.46
  1850          49     0.01373  0.01364  0.50   46886     639   46566  1020862  21.77
