Netherlands, Life tables (period 1x1), Males     Last modified: 15-Jun-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1850           0     0.24055  0.20716  0.33  100000   20716   86120  3889585  38.90
  1850           1     0.06905  0.06674  0.50   79284    5292   76638  3803465  47.97
  1850           2     0.03252  0.03200  0.50   73992    2368   72808  3726827  50.37
  1850           3     0.02005  0.01985  0.50   71624    1422   70913  3654019  51.02
  1850           4     0.01567  0.01555  0.50   70203    1091   69657  3583105  51.04
  1850           5     0.01204  0.01197  0.50   69111     827   68698  3513448  50.84
  1850           6     0.00950  0.00946  0.50   68284     646   67961  3444751  50.45
  1850           7     0.00802  0.00799  0.50   67638     540   67368  3376790  49.92
  1850           8     0.00724  0.00721  0.50   67098     484   66856  3309421  49.32
  1850           9     0.00605  0.00603  0.50   66614     402   66413  3242565  48.68
  1850          10     0.00538  0.00537  0.50   66212     355   66034  3176152  47.97
  1850          11     0.00477  0.00476  0.50   65857     313   65700  3110118  47.23
  1850          12     0.00417  0.00416  0.50   65543     272   65407  3044418  46.45
  1850          13     0.00367  0.00366  0.50   65271     239   65151  2979011  45.64
  1850          14     0.00419  0.00418  0.50   65032     272   64896  2913860  44.81
  1850          15     0.00415  0.00414  0.50   64760     268   64626  2848964  43.99
  1850          16     0.00398  0.00397  0.50   64492     256   64364  2784339  43.17
  1850          17     0.00525  0.00524  0.50   64236     337   64067  2719975  42.34
  1850          18     0.00721  0.00718  0.50   63899     459   63670  2655907  41.56
  1850          19     0.00752  0.00749  0.50   63440     475   63203  2592238  40.86
  1850          20     0.00826  0.00823  0.50   62965     518   62706  2529035  40.17
  1850          21     0.00902  0.00898  0.50   62447     561   62167  2466329  39.49
  1850          22     0.00953  0.00948  0.50   61886     587   61593  2404162  38.85
  1850          23     0.00918  0.00913  0.50   61299     560   61019  2342570  38.22
  1850          24     0.00819  0.00816  0.50   60739     495   60492  2281550  37.56
  1850          25     0.00922  0.00918  0.50   60244     553   59967  2221059  36.87
  1850          26     0.00894  0.00890  0.50   59691     531   59425  2161091  36.20
  1850          27     0.00937  0.00933  0.50   59160     552   58884  2101666  35.53
  1850          28     0.00904  0.00900  0.50   58608     527   58344  2042782  34.86
  1850          29     0.00922  0.00918  0.50   58080     533   57814  1984438  34.17
  1850          30     0.00888  0.00884  0.50   57547     509   57293  1926624  33.48
  1850          31     0.00823  0.00819  0.50   57039     467   56805  1869331  32.77
  1850          32     0.00991  0.00986  0.50   56571     558   56292  1812526  32.04
  1850          33     0.01050  0.01044  0.50   56013     585   55721  1756234  31.35
  1850          34     0.00965  0.00960  0.50   55429     532   55162  1700513  30.68
  1850          35     0.00978  0.00973  0.50   54896     534   54629  1645351  29.97
  1850          36     0.01017  0.01012  0.50   54362     550   54087  1590721  29.26
  1850          37     0.01011  0.01006  0.50   53812     541   53541  1536634  28.56
  1850          38     0.01182  0.01175  0.50   53271     626   52958  1483093  27.84
  1850          39     0.01217  0.01210  0.50   52645     637   52326  1430135  27.17
  1850          40     0.01191  0.01184  0.50   52008     616   51700  1377809  26.49
  1850          41     0.01301  0.01293  0.50   51392     664   51059  1326110  25.80
  1850          42     0.01442  0.01432  0.50   50727     726   50364  1275050  25.14
  1850          43     0.01374  0.01364  0.50   50001     682   49660  1224686  24.49
  1850          44     0.01394  0.01385  0.50   49319     683   48977  1175027  23.83
  1850          45     0.01553  0.01541  0.50   48636     750   48261  1126050  23.15
  1850          46     0.01533  0.01521  0.50   47886     728   47522  1077789  22.51
  1850          47     0.01514  0.01502  0.50   47158     708   46803  1030267  21.85
  1850          48     0.01733  0.01718  0.50   46449     798   46050   983463  21.17
  1850          49     0.01562  0.01550  0.50   45651     708   45298   937413  20.53
  1850          50     0.01811  0.01794  0.50   44944     806   44540   892115  19.85
  1850          51     0.01927  0.01908  0.50   44137     842   43716   847575  19.20
  1850          52     0.02325  0.02299  0.50   43295     995   42797   803859  18.57
  1850          53     0.02087  0.02065  0.50   42300     874   41863   761061  17.99
  1850          54     0.02353  0.02326  0.50   41426     963   40944   719199  17.36
  1850          55     0.02341  0.02314  0.50   40463     936   39995   678254  16.76
  1850          56     0.02471  0.02441  0.50   39527     965   39044   638260  16.15
  1850          57     0.02566  0.02533  0.50   38562     977   38073   599215  15.54
  1850          58     0.02937  0.02894  0.50   37585    1088   37041   561142  14.93
  1850          59     0.02919  0.02877  0.50   36497    1050   35972   524101  14.36
  1850          60     0.03363  0.03307  0.50   35447    1172   34861   488129  13.77
  1850          61     0.03530  0.03469  0.50   34275    1189   33680   453268  13.22
  1850          62     0.03535  0.03473  0.50   33086    1149   32511   419588  12.68
  1850          63     0.03798  0.03727  0.50   31937    1190   31342   387077  12.12
