Norway, Life tables (period 1x1), Females     Last modified: 18-Mar-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1846           0     0.10950  0.10222  0.35  100000   10222   93356  4965807  49.66
  1846           1     0.04984  0.04862  0.50   89778    4365   87595  4872451  54.27
  1846           2     0.02793  0.02755  0.50   85413    2353   84236  4784856  56.02
  1846           3     0.02050  0.02029  0.50   83060    1685   82217  4700620  56.59
  1846           4     0.01396  0.01386  0.50   81375    1128   80811  4618403  56.75
  1846           5     0.00995  0.00990  0.50   80247     794   79849  4537592  56.55
  1846           6     0.00861  0.00857  0.50   79452     681   79112  4457743  56.11
  1846           7     0.00735  0.00732  0.50   78771     577   78482  4378631  55.59
  1846           8     0.00628  0.00626  0.50   78194     489   77949  4300149  54.99
  1846           9     0.00457  0.00456  0.50   77705     355   77527  4222200  54.34
  1846          10     0.00312  0.00311  0.50   77350     241   77230  4144672  53.58
  1846          11     0.00280  0.00280  0.50   77109     216   77001  4067443  52.75
  1846          12     0.00284  0.00284  0.50   76893     218   76784  3990441  51.90
  1846          13     0.00335  0.00334  0.50   76675     256   76547  3913657  51.04
  1846          14     0.00365  0.00364  0.50   76419     278   76279  3837110  50.21
  1846          15     0.00383  0.00382  0.50   76140     291   75995  3760831  49.39
  1846          16     0.00380  0.00379  0.50   75849     288   75705  3684836  48.58
  1846          17     0.00362  0.00361  0.50   75562     273   75425  3609131  47.76
  1846          18     0.00382  0.00381  0.50   75289     287   75145  3533706  46.94
  1846          19     0.00460  0.00459  0.50   75002     344   74830  3458561  46.11
  1846          20     0.00519  0.00518  0.50   74658     387   74464  3383731  45.32
  1846          21     0.00540  0.00539  0.50   74271     400   74071  3309266  44.56
  1846          22     0.00541  0.00539  0.50   73871     398   73672  3235195  43.80
  1846          23     0.00558  0.00557  0.50   73473     409   73268  3161524  43.03
  1846          24     0.00570  0.00568  0.50   73064     415   72856  3088255  42.27
  1846          25     0.00567  0.00565  0.50   72648     411   72443  3015399  41.51
  1846          26     0.00593  0.00591  0.50   72238     427   72024  2942956  40.74
  1846          27     0.00632  0.00630  0.50   71811     452   71585  2870932  39.98
  1846          28     0.00633  0.00631  0.50   71359     450   71134  2799347  39.23
  1846          29     0.00629  0.00627  0.50   70909     444   70687  2728213  38.47
  1846          30     0.00650  0.00648  0.50   70464     456   70236  2657527  37.71
  1846          31     0.00758  0.00755  0.50   70008     529   69744  2587291  36.96
  1846          32     0.00875  0.00871  0.50   69479     605   69177  2517547  36.23
  1846          33     0.00809  0.00806  0.50   68874     555   68597  2448370  35.55
  1846          34     0.00766  0.00763  0.50   68319     521   68058  2379774  34.83
  1846          35     0.00835  0.00832  0.50   67798     564   67516  2311715  34.10
  1846          36     0.00918  0.00914  0.50   67234     615   66927  2244199  33.38
  1846          37     0.00871  0.00868  0.50   66619     578   66330  2177273  32.68
  1846          38     0.00762  0.00759  0.50   66041     501   65791  2110942  31.96
  1846          39     0.00835  0.00832  0.50   65540     545   65268  2045151  31.20
  1846          40     0.00889  0.00885  0.50   64995     575   64708  1979884  30.46
  1846          41     0.00890  0.00886  0.50   64420     571   64135  1915176  29.73
  1846          42     0.00965  0.00960  0.50   63849     613   63543  1851042  28.99
  1846          43     0.00987  0.00983  0.50   63236     621   62926  1787499  28.27
  1846          44     0.00995  0.00990  0.50   62615     620   62305  1724573  27.54
  1846          45     0.00932  0.00927  0.50   61995     575   61708  1662268  26.81
  1846          46     0.00915  0.00911  0.50   61420     559   61140  1600560  26.06
  1846          47     0.00970  0.00965  0.50   60861     588   60567  1539420  25.29
  1846          48     0.00991  0.00986  0.50   60273     594   59976  1478853  24.54
  1846          49     0.01155  0.01148  0.50   59679     685   59336  1418877  23.78
  1846          50     0.01239  0.01232  0.50   58994     727   58630  1359541  23.05
  1846          51     0.01158  0.01151  0.50   58267     671   57931  1300911  22.33
  1846          52     0.01319  0.01310  0.50   57596     755   57219  1242979  21.58
  1846          53     0.01394  0.01384  0.50   56842     787   56448  1185760  20.86
  1846          54     0.01470  0.01459  0.50   56055     818   55646  1129312  20.15
  1846          55     0.01649  0.01635  0.50   55237     903   54785  1073666  19.44
  1846          56     0.01658  0.01645  0.50   54334     894   53887  1018881  18.75
  1846          57     0.01654  0.01640  0.50   53440     876   53002   964994  18.06
  1846          58     0.01790  0.01774  0.50   52564     933   52097   911992  17.35
  1846          59     0.02466  0.02436  0.50   51631    1258   51002   859895  16.65
  1846          60     0.02723  0.02686  0.50   50373    1353   49697   808893  16.06
  1846          61     0.02310  0.02284  0.50   49020    1120   48460   759196  15.49
  1846          62     0.02580  0.02547  0.50   47901    1220   47291   710736  14.84
  1846          63     0.03000  0.02956  0.50   46681    1380   45991   663445  14.21
  1846          64     0.03050  0.03004  0.50   45301    1361   44621   617454  13.63
  1846          65     0.03160  0.03111  0.50   43940    1367   43257   572834  13.04
  1846          66     0.03386  0.03330  0.50   42573    1417   41864   529577  12.44
  1846          67     0.03737  0.03668  0.50   41156    1510   40401   487713  11.85
  1846          68     0.03934  0.03858  0.50   39646    1530   38881   447312  11.28
  1846          69     0.04629  0.04524  0.50   38116    1725   37254   408431  10.72
  1846          70     0.04498  0.04399  0.50   36392    1601   35591   371176  10.20
  1846          71     0.04440  0.04344  0.50   34791    1511   34035   335585   9.65
  1846          72     0.06121  0.05940  0.50   33280    1977   32291   301550   9.06
  1846          73     0.07063  0.06822  0.50   31303    2136   30235   269258   8.60
  1846          74     0.07828  0.07533  0.50   29167    2197   28069   239023   8.19
  1846          75     0.08229  0.07904  0.50   26970    2132   25905   210954   7.82
  1846          76     0.08954  0.08570  0.50   24839    2129   23774   185050   7.45
  1846          77     0.10398  0.09884  0.50   22710    2245   21588   161275   7.10
  1846          78     0.10509  0.09984  0.50   20465    2043   19444   139688   6.83
  1846          79     0.12803  0.12033  0.50   18422    2217   17314   120244   6.53
  1846          80     0.11583  0.10949  0.50   16205    1774   15318   102930   6.35
  1846          81     0.11218  0.10622  0.50   14431    1533   13665    87612   6.07
  1846          82     0.12192  0.11491  0.50   12898    1482   12157    73947   5.73
  1846          83     0.13237  0.12416  0.50   11416    1417   10707    61790   5.41
  1846          84     0.14358  0.13396  0.50    9999    1339    9329    51083   5.11
  1846          85     0.15556  0.14433  0.50    8659    1250    8034    41754   4.82
  1846          86     0.16835  0.15528  0.50    7409    1150    6834    33720   4.55
  1846          87     0.18196  0.16678  0.50    6259    1044    5737    26886   4.30
  1846          88     0.19641  0.17884  0.50    5215     933    4749    21149   4.06
  1846          89     0.21171  0.19144  0.50    4282     820    3872    16400   3.83
  1846          90     0.22786  0.20456  0.50    3463     708    3108    12528   3.62
  1846          91     0.24487  0.21816  0.50    2754     601    2454     9419   3.42
  1846          92     0.26271  0.23221  0.50    2153     500    1903     6965   3.23
  1846          93     0.28137  0.24667  0.50    1653     408    1449     5062   3.06
  1846          94     0.30081  0.26148  0.50    1246     326    1083     3613   2.90
  1846          95     0.32100  0.27660  0.50     920     254     793     2530   2.75
  1846          96     0.34188  0.29197  0.50     665     194     568     1737   2.61
  1846          97     0.36339  0.30751  0.50     471     145     399     1169   2.48
  1846          98     0.38546  0.32317  0.50     326     105     274      770   2.36
  1846          99     0.40801  0.33888  0.50     221      75     183      497   2.25
  1846         100     0.43096  0.35456  0.50     146      52     120      314   2.15
  1846         101     0.45420  0.37014  0.50      94      35      77      193   2.05
  1846         102     0.47765  0.38557  0.50      59      23      48      117   1.97
  1846         103     0.50120  0.40077  0.50      36      15      29       69   1.88
  1846         104     0.52474  0.41568  0.50      22       9      17       40   1.81
  1846         105     0.54817  0.43025  0.50      13       5      10       22   1.74
  1846         106     0.57139  0.44442  0.50       7       3       6       12   1.68
  1846         107     0.59430  0.45816  0.50       4       2       3        7   1.63
  1846         108     0.61681  0.47142  0.50       2       1       2        3   1.58
  1846         109     0.63882  0.48417  0.50       1       1       1        2   1.54
  1846         110+    0.66027  1.00000  1.51       1       1       1        1   1.51
  1847           0     0.11381  0.10597  0.35  100000   10597   93112  4606004  46.06
  1847           1     0.05884  0.05716  0.50   89403    5110   86848  4512892  50.48
  1847           2     0.03359  0.03304  0.50   84293    2785   82901  4426043  52.51
  1847           3     0.02595  0.02562  0.50   81508    2088   80464  4343143  53.28
  1847           4     0.01764  0.01748  0.50   79420    1388   78726  4262679  53.67
  1847           5     0.01224  0.01216  0.50   78032     949   77557  4183953  53.62
  1847           6     0.01044  0.01038  0.50   77083     800   76682  4106395  53.27
  1847           7     0.00946  0.00942  0.50   76282     719   75923  4029713  52.83
  1847           8     0.00841  0.00838  0.50   75564     633   75247  3953790  52.32
  1847           9     0.00637  0.00635  0.50   74931     476   74693  3878543  51.76
  1847          10     0.00485  0.00483  0.50   74455     360   74275  3803850  51.09
  1847          11     0.00431  0.00430  0.50   74095     319   73936  3729575  50.34
  1847          12     0.00407  0.00406  0.50   73776     300   73627  3655640  49.55
  1847          13     0.00467  0.00466  0.50   73477     342   73306  3582013  48.75
  1847          14     0.00527  0.00526  0.50   73134     384   72942  3508707  47.98
  1847          15     0.00572  0.00571  0.50   72750     415   72542  3435765  47.23
  1847          16     0.00577  0.00575  0.50   72335     416   72127  3363223  46.50
  1847          17     0.00533  0.00531  0.50   71918     382   71727  3291096  45.76
  1847          18     0.00549  0.00547  0.50   71536     392   71340  3219369  45.00
  1847          19     0.00584  0.00583  0.50   71145     414   70937  3148029  44.25
  1847          20     0.00555  0.00554  0.50   70730     392   70534  3077091  43.50
  1847          21     0.00548  0.00546  0.50   70339     384   70147  3006557  42.74
  1847          22     0.00564  0.00563  0.50   69954     394   69758  2936411  41.98
  1847          23     0.00582  0.00581  0.50   69561     404   69359  2866653  41.21
  1847          24     0.00594  0.00592  0.50   69157     410   68952  2797294  40.45
  1847          25     0.00587  0.00586  0.50   68747     403   68546  2728342  39.69
  1847          26     0.00593  0.00592  0.50   68345     404   68143  2659796  38.92
  1847          27     0.00630  0.00628  0.50   67940     426   67727  2591653  38.15
  1847          28     0.00658  0.00656  0.50   67514     443   67293  2523926  37.38
  1847          29     0.00720  0.00718  0.50   67071     481   66831  2456633  36.63
  1847          30     0.00696  0.00693  0.50   66590     462   66359  2389803  35.89
  1847          31     0.00710  0.00707  0.50   66129     468   65895  2323443  35.14
  1847          32     0.00903  0.00899  0.50   65661     590   65366  2257548  34.38
  1847          33     0.00990  0.00985  0.50   65071     641   64750  2192183  33.69
  1847          34     0.00872  0.00868  0.50   64430     559   64150  2127432  33.02
  1847          35     0.00877  0.00873  0.50   63871     558   63592  2063282  32.30
  1847          36     0.00935  0.00930  0.50   63313     589   63019  1999690  31.58
  1847          37     0.01020  0.01015  0.50   62724     636   62406  1936671  30.88
  1847          38     0.00970  0.00965  0.50   62088     599   61788  1874265  30.19
  1847          39     0.00986  0.00981  0.50   61489     603   61187  1812477  29.48
  1847          40     0.01052  0.01046  0.50   60885     637   60567  1751290  28.76
  1847          41     0.01013  0.01008  0.50   60248     607   59944  1690723  28.06
  1847          42     0.01134  0.01128  0.50   59641     673   59304  1630779  27.34
  1847          43     0.01172  0.01165  0.50   58968     687   58624  1571475  26.65
  1847          44     0.01198  0.01191  0.50   58281     694   57934  1512850  25.96
