Norway, Life tables (period 1x1), Males     Last modified: 18-Mar-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1846           0     0.13021  0.11977  0.33  100000   11977   91976  4642288  46.42
  1846           1     0.05241  0.05107  0.50   88023    4495   85776  4550313  51.69
  1846           2     0.02756  0.02718  0.50   83528    2270   82393  4464537  53.45
  1846           3     0.01928  0.01909  0.50   81258    1551   80482  4382144  53.93
  1846           4     0.01344  0.01335  0.50   79706    1064   79174  4301662  53.97
  1846           5     0.00986  0.00981  0.50   78643     772   78257  4222487  53.69
  1846           6     0.00842  0.00838  0.50   77871     653   77545  4144230  53.22
  1846           7     0.00697  0.00695  0.50   77218     536   76950  4066686  52.66
  1846           8     0.00607  0.00605  0.50   76682     464   76450  3989736  52.03
  1846           9     0.00478  0.00477  0.50   76218     363   76036  3913286  51.34
  1846          10     0.00376  0.00375  0.50   75855     284   75712  3837250  50.59
  1846          11     0.00360  0.00360  0.50   75570     272   75434  3761537  49.78
  1846          12     0.00375  0.00375  0.50   75298     282   75157  3686103  48.95
  1846          13     0.00366  0.00366  0.50   75016     274   74879  3610946  48.14
  1846          14     0.00351  0.00351  0.50   74742     262   74611  3536067  47.31
  1846          15     0.00375  0.00374  0.50   74480     278   74341  3461456  46.48
  1846          16     0.00429  0.00428  0.50   74201     317   74043  3387115  45.65
  1846          17     0.00504  0.00503  0.50   73884     372   73698  3313072  44.84
  1846          18     0.00579  0.00577  0.50   73512     424   73300  3239374  44.07
  1846          19     0.00687  0.00684  0.50   73088     500   72838  3166074  43.32
  1846          20     0.00759  0.00756  0.50   72588     549   72313  3093236  42.61
  1846          21     0.00770  0.00767  0.50   72039     553   71762  3020923  41.93
  1846          22     0.00777  0.00774  0.50   71486     553   71209  2949160  41.26
  1846          23     0.00755  0.00752  0.50   70933     534   70666  2877951  40.57
  1846          24     0.00734  0.00731  0.50   70399     515   70141  2807285  39.88
  1846          25     0.00743  0.00741  0.50   69884     517   69625  2737144  39.17
  1846          26     0.00726  0.00723  0.50   69366     502   69116  2667519  38.46
  1846          27     0.00725  0.00722  0.50   68865     497   68616  2598403  37.73
  1846          28     0.00694  0.00691  0.50   68367     473   68131  2529787  37.00
  1846          29     0.00704  0.00702  0.50   67895     476   67657  2461656  36.26
  1846          30     0.00760  0.00757  0.50   67418     510   67163  2393999  35.51
  1846          31     0.00796  0.00793  0.50   66908     531   66643  2326836  34.78
  1846          32     0.00892  0.00889  0.50   66377     590   66083  2260193  34.05
  1846          33     0.00829  0.00825  0.50   65788     543   65516  2194111  33.35
  1846          34     0.00809  0.00806  0.50   65245     526   64982  2128595  32.62
  1846          35     0.00904  0.00900  0.50   64719     582   64428  2063613  31.89
  1846          36     0.01050  0.01045  0.50   64137     670   63801  1999185  31.17
  1846          37     0.01023  0.01018  0.50   63466     646   63143  1935384  30.49
  1846          38     0.00844  0.00841  0.50   62820     528   62556  1872240  29.80
  1846          39     0.00944  0.00939  0.50   62292     585   62000  1809684  29.05
  1846          40     0.00974  0.00969  0.50   61707     598   61408  1747684  28.32
  1846          41     0.01031  0.01025  0.50   61109     627   60796  1686276  27.59
  1846          42     0.01150  0.01144  0.50   60483     692   60137  1625480  26.88
  1846          43     0.01190  0.01183  0.50   59791     707   59437  1565344  26.18
  1846          44     0.01332  0.01324  0.50   59084     782   58693  1505906  25.49
  1846          45     0.01235  0.01227  0.50   58302     715   57944  1447214  24.82
  1846          46     0.01226  0.01218  0.50   57586     702   57235  1389270  24.13
  1846          47     0.01443  0.01432  0.50   56885     815   56477  1332035  23.42
  1846          48     0.01519  0.01507  0.50   56070     845   55647  1275557  22.75
  1846          49     0.01749  0.01734  0.50   55225     958   54746  1219910  22.09
  1846          50     0.01711  0.01696  0.50   54267     920   53807  1165164  21.47
  1846          51     0.01549  0.01537  0.50   53347     820   52937  1111357  20.83
  1846          52     0.01664  0.01650  0.50   52527     867   52093  1058420  20.15
  1846          53     0.01652  0.01638  0.50   51660     846   51237  1006327  19.48
  1846          54     0.01861  0.01844  0.50   50814     937   50345   955090  18.80
  1846          55     0.02095  0.02074  0.50   49877    1034   49360   904745  18.14
  1846          56     0.02226  0.02201  0.50   48842    1075   48305   855385  17.51
  1846          57     0.02329  0.02302  0.50   47767    1100   47218   807081  16.90
  1846          58     0.02443  0.02413  0.50   46668    1126   46105   759863  16.28
  1846          59     0.02827  0.02787  0.50   45542    1269   44907   713758  15.67
  1846          60     0.02859  0.02819  0.50   44272    1248   43648   668851  15.11
  1846          61     0.02765  0.02727  0.50   43024    1173   42438   625203  14.53
  1846          62     0.03207  0.03157  0.50   41851    1321   41190   582766  13.92
  1846          63     0.03577  0.03514  0.50   40530    1424   39818   541575  13.36
  1846          64     0.03668  0.03602  0.50   39106    1409   38401   501758  12.83
  1846          65     0.03739  0.03670  0.50   37697    1384   37005   463356  12.29
  1846          66     0.04015  0.03936  0.50   36313    1429   35599   426351  11.74
  1846          67     0.04244  0.04156  0.50   34884    1450   34159   390752  11.20
  1846          68     0.04419  0.04323  0.50   33434    1445   32712   356593  10.67
  1846          69     0.05278  0.05142  0.50   31989    1645   31166   323882  10.12
  1846          70     0.05028  0.04904  0.50   30344    1488   29600   292715   9.65
  1846          71     0.04970  0.04849  0.50   28856    1399   28156   263116   9.12
  1846          72     0.06914  0.06683  0.50   27456    1835   26539   234960   8.56
  1846          73     0.07551  0.07276  0.50   25621    1864   24689   208421   8.13
  1846          74     0.07865  0.07567  0.50   23757    1798   22858   183732   7.73
  1846          75     0.08625  0.08269  0.50   21959    1816   21052   160873   7.33
  1846          76     0.09553  0.09117  0.50   20144    1837   19225   139822   6.94
  1846          77     0.11199  0.10605  0.50   18307    1942   17336   120596   6.59
  1846          78     0.11693  0.11048  0.50   16366    1808   15462   103260   6.31
  1846          79     0.13260  0.12436  0.50   14558    1810   13652    87799   6.03
  1846          80     0.12256  0.11549  0.50   12747    1472   12011    74146   5.82
  1846          81     0.12111  0.11419  0.50   11275    1288   10631    62135   5.51
  1846          82     0.13369  0.12532  0.50    9988    1252    9362    51504   5.16
  1846          83     0.14736  0.13725  0.50    8736    1199    8136    42142   4.82
  1846          84     0.16217  0.15001  0.50    7537    1131    6972    34006   4.51
  1846          85     0.17815  0.16358  0.50    6406    1048    5882    27034   4.22
  1846          86     0.19534  0.17796  0.50    5358     954    4882    21152   3.95
  1846          87     0.21376  0.19312  0.50    4405     851    3979    16270   3.69
  1846          88     0.23342  0.20902  0.50    3554     743    3183    12290   3.46
  1846          89     0.25429  0.22561  0.50    2811     634    2494     9108   3.24
  1846          90     0.27636  0.24281  0.50    2177     529    1913     6614   3.04
  1846          91     0.29957  0.26055  0.50    1648     429    1434     4701   2.85
  1846          92     0.32387  0.27873  0.50    1219     340    1049     3267   2.68
  1846          93     0.34915  0.29725  0.50     879     261     749     2218   2.52
  1846          94     0.37530  0.31600  0.50     618     195     520     1470   2.38
  1846          95     0.40221  0.33487  0.50     423     142     352      950   2.25
  1846          96     0.42972  0.35372  0.50     281      99     231      598   2.13
  1846          97     0.45767  0.37244  0.50     182      68     148      366   2.02
  1846          98     0.48588  0.39091  0.50     114      45      92      218   1.92
  1846          99     0.51419  0.40903  0.50      69      28      55      127   1.83
  1846         100     0.54241  0.42669  0.50      41      18      32       72   1.74
  1846         101     0.57036  0.44380  0.50      24      10      18       39   1.67
  1846         102     0.59786  0.46027  0.50      13       6      10       21   1.60
  1846         103     0.62477  0.47606  0.50       7       3       5       11   1.54
  1846         104     0.65092  0.49109  0.50       4       2       3        5   1.48
  1846         105     0.67620  0.50534  0.50       2       1       1        3   1.44
  1846         106     0.70049  0.51879  0.50       1       0       1        1   1.39
