New Zealand -- Maori, Life tables (period 1x1), Females     Last modified: 06-Jul-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1948           0     0.07099  0.06741  0.25  100000    6741   94956  5305547  53.06
  1948           1     0.01734  0.01720  0.50   93259    1604   92457  5210591  55.87
  1948           2     0.00598  0.00596  0.50   91655     546   91382  5118134  55.84
  1948           3     0.00544  0.00543  0.50   91109     495   90862  5026752  55.17
  1948           4     0.00737  0.00734  0.50   90614     665   90282  4935890  54.47
  1948           5     0.00591  0.00589  0.50   89949     530   89684  4845608  53.87
  1948           6     0.00190  0.00189  0.50   89419     169   89335  4755924  53.19
  1948           7     0.00250  0.00250  0.50   89250     223   89138  4666589  52.29
  1948           8     0.00318  0.00318  0.50   89027     283   88886  4577451  51.42
  1948           9     0.00327  0.00326  0.50   88744     289   88599  4488565  50.58
  1948          10     0.00405  0.00405  0.50   88455     358   88276  4399966  49.74
  1948          11     0.00140  0.00140  0.50   88097     124   88035  4311690  48.94
  1948          12     0.00221  0.00221  0.50   87973     194   87876  4223655  48.01
  1948          13     0.00920  0.00916  0.50   87779     804   87377  4135779  47.12
  1948          14     0.00234  0.00234  0.50   86975     203   86874  4048402  46.55
  1948          15     0.00388  0.00388  0.50   86772     336   86604  3961528  45.65
  1948          16     0.00631  0.00629  0.50   86436     543   86164  3874924  44.83
  1948          17     0.00827  0.00824  0.50   85892     708   85539  3788760  44.11
  1948          18     0.00803  0.00800  0.50   85185     682   84844  3703221  43.47
  1948          19     0.00782  0.00779  0.50   84503     659   84174  3618377  42.82
  1948          20     0.00616  0.00614  0.50   83845     515   83587  3534203  42.15
  1948          21     0.01256  0.01248  0.50   83330    1040   82810  3450616  41.41
  1948          22     0.00756  0.00753  0.50   82289     620   81980  3367807  40.93
  1948          23     0.00785  0.00782  0.50   81670     639   81350  3285827  40.23
  1948          24     0.00940  0.00936  0.50   81031     758   80652  3204477  39.55
  1948          25     0.00732  0.00729  0.50   80272     585   79980  3123825  38.92
  1948          26     0.00631  0.00629  0.50   79687     502   79436  3043845  38.20
  1948          27     0.00261  0.00261  0.50   79185     206   79082  2964409  37.44
  1948          28     0.00966  0.00962  0.50   78979     759   78599  2885327  36.53
  1948          29     0.00882  0.00878  0.50   78220     687   77876  2806728  35.88
  1948          30     0.01057  0.01052  0.50   77533     815   77125  2728851  35.20
  1948          31     0.00300  0.00300  0.50   76717     230   76602  2651726  34.56
  1948          32     0.00298  0.00297  0.50   76488     227   76374  2575124  33.67
  1948          33     0.00636  0.00633  0.50   76260     483   76019  2498750  32.77
  1948          34     0.00347  0.00346  0.50   75777     262   75646  2422732  31.97
  1948          35     0.00554  0.00553  0.50   75515     417   75306  2347086  31.08
  1948          36     0.00947  0.00943  0.50   75098     708   74744  2271780  30.25
  1948          37     0.00771  0.00768  0.50   74390     571   74104  2197036  29.53
  1948          38     0.00994  0.00989  0.50   73818     730   73453  2122932  28.76
  1948          39     0.00835  0.00832  0.50   73088     608   72784  2049479  28.04
  1948          40     0.01488  0.01477  0.50   72480    1070   71945  1976695  27.27
  1948          41     0.01270  0.01262  0.50   71409     901   70959  1904750  26.67
  1948          42     0.00881  0.00877  0.50   70509     619   70199  1833791  26.01
  1948          43     0.00496  0.00495  0.50   69890     346   69717  1763592  25.23
  1948          44     0.01966  0.01947  0.50   69544    1354   68867  1693875  24.36
  1948          45     0.00879  0.00875  0.50   68190     597   67892  1625008  23.83
  1948          46     0.01814  0.01797  0.50   67593    1215   66986  1557117  23.04
  1948          47     0.00591  0.00589  0.50   66378     391   66183  1490131  22.45
  1948          48     0.00628  0.00626  0.50   65987     413   65780  1423948  21.58
  1948          49     0.00737  0.00735  0.50   65574     482   65333  1358168  20.71
  1948          50     0.01950  0.01931  0.50   65092    1257   64464  1292835  19.86
  1948          51     0.00731  0.00728  0.50   63835     465   63603  1228371  19.24
  1948          52     0.02924  0.02882  0.50   63370    1826   62457  1164768  18.38
  1948          53     0.00846  0.00843  0.50   61544     519   61285  1102311  17.91
  1948          54     0.02172  0.02149  0.50   61026    1312   60370  1041026  17.06
  1948          55     0.04942  0.04823  0.50   59714    2880   58274   980656  16.42
  1948          56     0.03948  0.03872  0.50   56834    2200   55734   922382  16.23
  1948          57     0.03347  0.03292  0.50   54634    1799   53734   866648  15.86
  1948          58     0.03948  0.03872  0.50   52835    2046   51812   812913  15.39
  1948          59     0.03347  0.03292  0.50   50790    1672   49954   761101  14.99
  1948          60     0.02041  0.02020  0.50   49118     992   48621   711147  14.48
  1948          61     0.03830  0.03758  0.50   48125    1809   47221   662526  13.77
  1948          62     0.04801  0.04689  0.50   46317    2172   45231   615305  13.28
  1948          63     0.00689  0.00687  0.50   44145     303   43994   570074  12.91
  1948          64     0.07861  0.07564  0.50   43842    3316   42184   526080  12.00
  1948          65     0.06394  0.06196  0.50   40526    2511   39270   483897  11.94
  1948          66     0.03343  0.03288  0.50   38015    1250   37390   444626  11.70
  1948          67     0.04724  0.04615  0.50   36765    1697   35917   407236  11.08
  1948          68     0.04016  0.03937  0.50   35068    1381   34378   371320  10.59
  1948          69     0.01827  0.01811  0.50   33688     610   33383   336942  10.00
  1948          70     0.05032  0.04908  0.50   33078    1623   32266   303559   9.18
  1948          71     0.03345  0.03290  0.50   31454    1035   30937   271293   8.63
  1948          72     0.09739  0.09287  0.50   30419    2825   29007   240357   7.90
  1948          73     0.07188  0.06939  0.50   27594    1915   26637   211350   7.66
  1948          74     0.03828  0.03756  0.50   25680     965   25197   184713   7.19
  1948          75     0.16101  0.14902  0.50   24715    3683   22874   159516   6.45
  1948          76     0.16754  0.15459  0.50   21032    3251   19406   136642   6.50
  1948          77     0.15066  0.14011  0.50   17781    2491   16535   117236   6.59
  1948          78     0.17598  0.16175  0.50   15290    2473   14053   100700   6.59
  1948          79     0.17226  0.15860  0.50   12817    2033   11800    86647   6.76
  1948          80     0.10987  0.10415  0.50   10784    1123   10222    74847   6.94
  1948          81     0.11532  0.10904  0.50    9661    1053    9134    64625   6.69
  1948          82     0.12101  0.11411  0.50    8607     982    8116    55491   6.45
  1948          83     0.12694  0.11936  0.50    7625     910    7170    47375   6.21
  1948          84     0.13311  0.12480  0.50    6715     838    6296    40205   5.99
  1948          85     0.13954  0.13044  0.50    5877     767    5494    33909   5.77
  1948          86     0.14622  0.13626  0.50    5110     696    4762    28415   5.56
  1948          87     0.15317  0.14227  0.50    4414     628    4100    23653   5.36
  1948          88     0.16038  0.14847  0.50    3786     562    3505    19553   5.16
  1948          89     0.16787  0.15487  0.50    3224     499    2974    16048   4.98
  1948          90     0.17563  0.16145  0.50    2725     440    2505    13073   4.80
  1948          91     0.18367  0.16822  0.50    2285     384    2093    10569   4.63
  1948          92     0.19200  0.17518  0.50    1900     333    1734     8476   4.46
  1948          93     0.20061  0.18232  0.50    1567     286    1425     6742   4.30
  1948          94     0.20951  0.18964  0.50    1282     243    1160     5318   4.15
  1948          95     0.21869  0.19713  0.50    1039     205     936     4157   4.00
  1948          96     0.22816  0.20479  0.50     834     171     748     3221   3.86
  1948          97     0.23791  0.21262  0.50     663     141     593     2473   3.73
