New Zealand -- Maori, Life tables (period 1x1), Males     Last modified: 06-Jul-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1948           0     0.09065  0.08516  0.29  100000    8516   93939  5209778  52.10
  1948           1     0.01987  0.01967  0.50   91484    1800   90584  5115839  55.92
  1948           2     0.00900  0.00896  0.50   89684     804   89282  5025255  56.03
  1948           3     0.00808  0.00805  0.50   88881     715   88523  4935972  55.53
  1948           4     0.00255  0.00255  0.50   88165     225   88053  4847449  54.98
  1948           5     0.00691  0.00689  0.50   87941     606   87638  4759396  54.12
  1948           6     0.00246  0.00246  0.50   87335     215   87227  4671759  53.49
  1948           7     0.00182  0.00182  0.50   87120     158   87041  4584531  52.62
  1948           8     0.00244  0.00243  0.50   86962     212   86856  4497491  51.72
  1948           9     0.00063  0.00063  0.50   86750      54   86723  4410635  50.84
  1948          10     0.00460  0.00459  0.50   86696     398   86497  4323912  49.87
  1948          11     0.00613  0.00611  0.50   86298     527   86034  4237415  49.10
  1948          12     0.00421  0.00420  0.50   85771     360   85591  4151381  48.40
  1948          13     0.00645  0.00643  0.50   85410     549   85136  4065790  47.60
  1948          14     0.00513  0.00511  0.50   84862     434   84645  3980654  46.91
  1948          15     0.00302  0.00302  0.50   84428     255   84300  3896010  46.15
  1948          16     0.00316  0.00315  0.50   84173     265   84040  3811709  45.28
  1948          17     0.00249  0.00248  0.50   83907     208   83803  3727669  44.43
  1948          18     0.00783  0.00780  0.50   83699     653   83372  3643866  43.54
  1948          19     0.00553  0.00551  0.50   83046     458   82817  3560494  42.87
  1948          20     0.00099  0.00099  0.50   82588      82   82547  3477677  42.11
  1948          21     0.00536  0.00534  0.50   82507     441   82286  3395129  41.15
  1948          22     0.01393  0.01384  0.50   82066    1136   81498  3312843  40.37
  1948          23     0.00242  0.00241  0.50   80930     195   80832  3231345  39.93
  1948          24     0.00480  0.00479  0.50   80735     387   80541  3150513  39.02
  1948          25     0.00599  0.00597  0.50   80348     480   80108  3069972  38.21
  1948          26     0.00986  0.00981  0.50   79868     783   79477  2989863  37.43
  1948          27     0.00381  0.00380  0.50   79085     301   78935  2910387  36.80
  1948          28     0.00538  0.00537  0.50   78784     423   78573  2831452  35.94
  1948          29     0.00429  0.00428  0.50   78361     335   78194  2752880  35.13
  1948          30     0.00900  0.00896  0.50   78026     699   77677  2674686  34.28
  1948          31     0.00458  0.00457  0.50   77327     353   77150  2597009  33.58
  1948          32     0.00461  0.00460  0.50   76974     354   76797  2519859  32.74
  1948          33     0.00478  0.00477  0.50   76619     365   76437  2443062  31.89
  1948          34     0.00000  0.00000  0.50   76254       0   76254  2366626  31.04
  1948          35     0.00842  0.00838  0.50   76254     639   75935  2290371  30.04
  1948          36     0.01188  0.01181  0.50   75615     893   75168  2214437  29.29
  1948          37     0.00506  0.00505  0.50   74722     377   74533  2139269  28.63
  1948          38     0.00860  0.00856  0.50   74344     637   74026  2064735  27.77
  1948          39     0.00536  0.00534  0.50   73708     394   73511  1990709  27.01
  1948          40     0.00550  0.00549  0.50   73314     402   73113  1917199  26.15
  1948          41     0.00757  0.00754  0.50   72911     550   72637  1844086  25.29
  1948          42     0.02213  0.02189  0.50   72362    1584   71570  1771449  24.48
  1948          43     0.01130  0.01123  0.50   70778     795   70380  1699879  24.02
  1948          44     0.00755  0.00752  0.50   69983     526   69720  1629499  23.28
  1948          45     0.01055  0.01050  0.50   69457     729   69092  1559779  22.46
  1948          46     0.00526  0.00525  0.50   68728     361   68547  1490687  21.69
  1948          47     0.01003  0.00998  0.50   68367     682   68026  1422140  20.80
  1948          48     0.01809  0.01793  0.50   67685    1213   67078  1354114  20.01
  1948          49     0.02047  0.02026  0.50   66471    1347   65798  1287036  19.36
  1948          50     0.03943  0.03867  0.50   65125    2518   63866  1221238  18.75
  1948          51     0.00572  0.00570  0.50   62606     357   62428  1157372  18.49
  1948          52     0.01179  0.01172  0.50   62250     730   61885  1094944  17.59
  1948          53     0.01407  0.01397  0.50   61520     859   61090  1033060  16.79
  1948          54     0.03838  0.03766  0.50   60660    2284   59518   971970  16.02
  1948          55     0.03219  0.03168  0.50   58376    1849   57451   912452  15.63
  1948          56     0.01844  0.01827  0.50   56527    1033   56010   855000  15.13
  1948          57     0.02829  0.02789  0.50   55494    1548   54720   798990  14.40
  1948          58     0.04291  0.04201  0.50   53946    2266   52813   744270  13.80
  1948          59     0.03374  0.03318  0.50   51680    1715   50823   691457  13.38
  1948          60     0.04450  0.04353  0.50   49965    2175   48878   640634  12.82
  1948          61     0.02000  0.01980  0.50   47790     946   47317   591756  12.38
  1948          62     0.04108  0.04025  0.50   46844    1886   45901   544440  11.62
  1948          63     0.07659  0.07377  0.50   44958    3317   43300   498539  11.09
  1948          64     0.05431  0.05288  0.50   41642    2202   40541   455239  10.93
  1948          65     0.08589  0.08236  0.50   39440    3248   37816   414698  10.51
  1948          66     0.02070  0.02048  0.50   36192     741   35821   376883  10.41
  1948          67     0.07758  0.07468  0.50   35450    2648   34126   341062   9.62
  1948          68     0.07026  0.06787  0.50   32803    2226   31689   306935   9.36
  1948          69     0.06676  0.06460  0.50   30576    1975   29589   275246   9.00
  1948          70     0.07631  0.07351  0.50   28601    2102   27550   245657   8.59
  1948          71     0.02927  0.02885  0.50   26499     765   26116   218108   8.23
  1948          72     0.04011  0.03932  0.50   25734    1012   25228   191991   7.46
  1948          73     0.05406  0.05263  0.50   24722    1301   24071   166763   6.75
  1948          74     0.19350  0.17643  0.50   23421    4132   21355   142692   6.09
  1948          75     0.06977  0.06742  0.50   19289    1300   18638   121337   6.29
  1948          76     0.26078  0.23070  0.50   17988    4150   15913   102698   5.71
  1948          77     0.20072  0.18241  0.50   13838    2524   12576    86785   6.27
  1948          78     0.14130  0.13198  0.50   11314    1493   10567    74209   6.56
  1948          79     0.31216  0.27001  0.50    9821    2652    8495    63642   6.48
  1948          80     0.06654  0.06440  0.50    7169     462    6938    55147   7.69
  1948          81     0.07489  0.07219  0.50    6707     484    6465    48208   7.19
  1948          82     0.08420  0.08080  0.50    6223     503    5972    41743   6.71
  1948          83     0.09454  0.09028  0.50    5720     516    5462    35771   6.25
  1948          84     0.10601  0.10068  0.50    5204     524    4942    30309   5.82
  1948          85     0.11869  0.11204  0.50    4680     524    4418    25367   5.42
  1948          86     0.13266  0.12441  0.50    4156     517    3897    20949   5.04
  1948          87     0.14799  0.13780  0.50    3639     501    3388    17052   4.69
  1948          88     0.16476  0.15222  0.50    3137     478    2899    13664   4.36
  1948          89     0.18303  0.16768  0.50    2660     446    2437    10766   4.05
  1948          90     0.20283  0.18415  0.50    2214     408    2010     8329   3.76
  1948          91     0.22418  0.20158  0.50    1806     364    1624     6319   3.50
  1948          92     0.24708  0.21991  0.50    1442     317    1283     4695   3.26
  1948          93     0.27150  0.23905  0.50    1125     269     990     3411   3.03
  1948          94     0.29738  0.25889  0.50     856     222     745     2421   2.83
  1948          95     0.32463  0.27930  0.50     634     177     546     1676   2.64
  1948          96     0.35313  0.30013  0.50     457     137     389     1130   2.47
  1948          97     0.38270  0.32123  0.50     320     103     269      741   2.32
  1948          98     0.41317  0.34243  0.50     217      74     180      473   2.18
  1948          99     0.44433  0.36356  0.50     143      52     117      293   2.05
  1948         100     0.47592  0.38444  0.50      91      35      73      176   1.94
  1948         101     0.50771  0.40492  0.50      56      23      45      103   1.83
  1948         102     0.53944  0.42485  0.50      33      14      26       58   1.74
  1948         103     0.57085  0.44409  0.50      19       9      15       32   1.66
  1948         104     0.60170  0.46254  0.50      11       5       8       17   1.59
  1948         105     0.63176  0.48010  0.50       6       3       4        9   1.52
  1948         106     0.66083  0.49671  0.50       3       1       2        4   1.46
  1948         107     0.68874  0.51232  0.50       1       1       1        2   1.41
  1948         108     0.71534  0.52689  0.50       1       0       1        1   1.37
  1948         109     0.74053  0.54043  0.50       0       0       0        0   1.33
  1948         110+    0.76422  1.00000  1.31       0       0       0        0   1.31
  1949           0     0.09824  0.09200  0.31  100000    9200   93640  5199282  51.99
  1949           1     0.01783  0.01767  0.50   90800    1605   89998  5105642  56.23
  1949           2     0.00868  0.00864  0.50   89196     771   88810  5015644  56.23
  1949           3     0.00531  0.00530  0.50   88425     469   88191  4926834  55.72
  1949           4     0.00469  0.00468  0.50   87956     412   87751  4838643  55.01
  1949           5     0.00324  0.00324  0.50   87545     283   87403  4750892  54.27
  1949           6     0.00321  0.00320  0.50   87261     279   87122  4663489  53.44
  1949           7     0.00250  0.00250  0.50   86982     217   86874  4576368  52.61
  1949           8     0.00368  0.00368  0.50   86765     319   86606  4489494  51.74
  1949           9     0.00185  0.00185  0.50   86446     160   86366  4402889  50.93
  1949          10     0.00319  0.00318  0.50   86286     275   86149  4316523  50.03
  1949          11     0.00399  0.00399  0.50   86011     343   85840  4230374  49.18
  1949          12     0.00277  0.00277  0.50   85669     237   85550  4144534  48.38
  1949          13     0.00355  0.00355  0.50   85431     303   85280  4058984  47.51
  1949          14     0.00291  0.00291  0.50   85128     247   85004  3973705  46.68
  1949          15     0.00297  0.00297  0.50   84881     252   84755  3888700  45.81
  1949          16     0.00613  0.00611  0.50   84629     517   84370  3803945  44.95
  1949          17     0.00562  0.00560  0.50   84111     471   83876  3719575  44.22
  1949          18     0.00674  0.00671  0.50   83640     562   83359  3635700  43.47
  1949          19     0.00442  0.00441  0.50   83078     367   82895  3552341  42.76
  1949          20     0.00377  0.00376  0.50   82712     311   82556  3469445  41.95
  1949          21     0.00605  0.00604  0.50   82401     497   82152  3386889  41.10
  1949          22     0.00979  0.00975  0.50   81904     798   81504  3304737  40.35
  1949          23     0.00823  0.00820  0.50   81105     665   80773  3223232  39.74
  1949          24     0.00723  0.00721  0.50   80440     580   80150  3142460  39.07
  1949          25     0.00958  0.00954  0.50   79861     762   79480  3062309  38.35
  1949          26     0.00606  0.00604  0.50   79099     478   78860  2982829  37.71
  1949          27     0.00373  0.00372  0.50   78621     293   78475  2903970  36.94
  1949          28     0.00257  0.00257  0.50   78328     201   78228  2825495  36.07
  1949          29     0.00407  0.00406  0.50   78127     317   77969  2747267  35.16
  1949          30     0.00291  0.00291  0.50   77810     226   77697  2669298  34.31
  1949          31     0.00613  0.00611  0.50   77584     474   77347  2591601  33.40
  1949          32     0.00929  0.00925  0.50   77110     713   76753  2514254  32.61
  1949          33     0.00313  0.00312  0.50   76397     239   76278  2437500  31.91
  1949          34     0.00483  0.00482  0.50   76158     367   75975  2361223  31.00
  1949          35     0.00838  0.00835  0.50   75791     633   75475  2285248  30.15
  1949          36     0.00689  0.00687  0.50   75158     516   74900  2209773  29.40
  1949          37     0.00347  0.00346  0.50   74642     258   74513  2134873  28.60
  1949          38     0.00515  0.00513  0.50   74384     382   74193  2060360  27.70
  1949          39     0.00879  0.00875  0.50   74002     647   73679  1986166  26.84
  1949          40     0.01098  0.01092  0.50   73355     801   72955  1912488  26.07
  1949          41     0.00753  0.00750  0.50   72554     544   72282  1839533  25.35
  1949          42     0.01548  0.01536  0.50   72009    1106   71456  1767251  24.54
  1949          43     0.01032  0.01026  0.50   70903     728   70539  1695795  23.92
  1949          44     0.00233  0.00233  0.50   70175     164   70094  1625256  23.16
  1949          45     0.03376  0.03320  0.50   70012    2324   68850  1555162  22.21
  1949          46     0.00000  0.00000  0.50   67688       0   67688  1486312  21.96
  1949          47     0.00800  0.00797  0.50   67688     539   67418  1418625  20.96
  1949          48     0.03098  0.03051  0.50   67148    2049   66124  1351207  20.12
  1949          49     0.02400  0.02371  0.50   65100    1544   64328  1285083  19.74
  1949          50     0.01513  0.01501  0.50   63556     954   63079  1220755  19.21
  1949          51     0.00944  0.00939  0.50   62602     588   62308  1157676  18.49
  1949          52     0.02368  0.02340  0.50   62014    1451   61288  1095369  17.66
  1949          53     0.01524  0.01513  0.50   60562     916   60104  1034081  17.07
  1949          54     0.03290  0.03237  0.50   59646    1931   58681   973976  16.33
  1949          55     0.02211  0.02187  0.50   57715    1262   57084   915296  15.86
  1949          56     0.03358  0.03302  0.50   56453    1864   55521   858211  15.20
  1949          57     0.00476  0.00475  0.50   54589     259   54460   802690  14.70
  1949          58     0.03482  0.03422  0.50   54330    1859   53400   748230  13.77
  1949          59     0.02978  0.02934  0.50   52471    1540   51701   694830  13.24
  1949          60     0.04531  0.04430  0.50   50931    2256   49803   643129  12.63
  1949          61     0.01569  0.01557  0.50   48674     758   48296   593327  12.19
  1949          62     0.03054  0.03008  0.50   47917    1441   47196   545031  11.37
  1949          63     0.05985  0.05811  0.50   46476    2701   45125   497835  10.71
  1949          64     0.03769  0.03699  0.50   43775    1619   42965   452710  10.34
  1949          65     0.09516  0.09084  0.50   42156    3829   40241   409744   9.72
  1949          66     0.04647  0.04542  0.50   38326    1741   37456   369503   9.64
  1949          67     0.08626  0.08270  0.50   36586    3026   35073   332047   9.08
  1949          68     0.06941  0.06708  0.50   33560    2251   32435   296974   8.85
  1949          69     0.06839  0.06613  0.50   31309    2070   30274   264540   8.45
  1949          70     0.12815  0.12044  0.50   29239    3521   27478   234266   8.01
  1949          71     0.02020  0.02000  0.50   25717     514   25460   206788   8.04
  1949          72     0.11659  0.11017  0.50   25203    2777   23815   181328   7.19
  1949          73     0.07425  0.07159  0.50   22426    1606   21623   157513   7.02
  1949          74     0.09473  0.09045  0.50   20821    1883   19879   135890   6.53
  1949          75     0.13421  0.12577  0.50   18938    2382   17747   116011   6.13
  1949          76     0.22169  0.19957  0.50   16556    3304   14904    98264   5.94
  1949          77     0.20123  0.18284  0.50   13252    2423   12040    83360   6.29
  1949          78     0.18959  0.17317  0.50   10829    1875    9891    71320   6.59
  1949          79     0.30203  0.26240  0.50    8954    2349    7779    61429   6.86
  1949          80     0.09455  0.09028  0.50    6604     596    6306    53650   8.12
  1949          81     0.09836  0.09375  0.50    6008     563    5726    47344   7.88
  1949          82     0.10230  0.09732  0.50    5445     530    5180    41618   7.64
  1949          83     0.10638  0.10101  0.50    4915     496    4667    36438   7.41
  1949          84     0.11061  0.10481  0.50    4418     463    4187    31771   7.19
  1949          85     0.11498  0.10873  0.50    3955     430    3740    27585   6.97
  1949          86     0.11950  0.11276  0.50    3525     398    3326    23844   6.76
  1949          87     0.12417  0.11691  0.50    3128     366    2945    20518   6.56
  1949          88     0.12900  0.12118  0.50    2762     335    2595    17573   6.36
  1949          89     0.13399  0.12558  0.50    2427     305    2275    14979   6.17
  1949          90     0.13914  0.13009  0.50    2122     276    1984    12704   5.99
  1949          91     0.14445  0.13472  0.50    1846     249    1722    10719   5.81
  1949          92     0.14994  0.13948  0.50    1598     223    1486     8997   5.63
  1949          93     0.15559  0.14436  0.50    1375     198    1276     7511   5.46
  1949          94     0.16141  0.14936  0.50    1176     176    1088     6236   5.30
  1949          95     0.16742  0.15448  0.50    1001     155     923     5147   5.14
  1949          96     0.17359  0.15973  0.50     846     135     778     4224   4.99
  1949          97     0.17995  0.16509  0.50     711     117     652     3445   4.85
  1949          98     0.18648  0.17058  0.50     594     101     543     2793   4.71
  1949          99     0.19320  0.17618  0.50     492      87     449     2250   4.57
  1949         100     0.20010  0.18190  0.50     406      74     369     1801   4.44
  1949         101     0.20719  0.18774  0.50     332      62     301     1432   4.32
  1949         102     0.21445  0.19368  0.50     269      52     243     1132   4.20
  1949         103     0.22190  0.19974  0.50     217      43     196      888   4.09
  1949         104     0.22954  0.20590  0.50     174      36     156      693   3.98
  1949         105     0.23735  0.21217  0.50     138      29     123      537   3.89
  1949         106     0.24535  0.21854  0.50     109      24      97      413   3.80
  1949         107     0.25353  0.22500  0.50      85      19      75      316   3.72
  1949         108     0.26188  0.23156  0.50      66      15      58      241   3.66
  1949         109     0.27041  0.23821  0.50      51      12      45      183   3.61
  1949         110+    0.27912  1.00000  3.58      39      39     138      138   3.58
  1950           0     0.07981  0.07535  0.26  100000    7535   94418  5379202  53.79
  1950           1     0.01871  0.01854  0.50   92465    1714   91608  5284785  57.15
  1950           2     0.00619  0.00617  0.50   90751     560   90471  5193177  57.22
