New Zealand -- Non-Maori, Life tables (period 1x1), Females     Last modified: 14-Sep-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1901           0     0.06642  0.06322  0.24  100000    6322   95189  6054012  60.54
  1901           1     0.01092  0.01086  0.50   93678    1017   93169  5958824  63.61
  1901           2     0.00336  0.00336  0.50   92660     311   92505  5865654  63.30
  1901           3     0.00356  0.00356  0.50   92349     329   92185  5773150  62.51
  1901           4     0.00281  0.00280  0.50   92021     258   91892  5680965  61.74
  1901           5     0.00224  0.00224  0.50   91763     206   91660  5589073  60.91
  1901           6     0.00205  0.00205  0.50   91557     188   91463  5497413  60.04
  1901           7     0.00187  0.00187  0.50   91370     171   91284  5405950  59.17
  1901           8     0.00167  0.00167  0.50   91199     152   91123  5314665  58.28
  1901           9     0.00148  0.00148  0.50   91047     135   90979  5223543  57.37
  1901          10     0.00136  0.00136  0.50   90912     123   90850  5132563  56.46
  1901          11     0.00132  0.00132  0.50   90789     120   90729  5041713  55.53
  1901          12     0.00136  0.00136  0.50   90669     123   90607  4950984  54.61
  1901          13     0.00150  0.00150  0.50   90546     136   90478  4860377  53.68
  1901          14     0.00177  0.00177  0.50   90410     160   90330  4769899  52.76
  1901          15     0.00221  0.00221  0.50   90250     200   90150  4679569  51.85
  1901          16     0.00267  0.00267  0.50   90050     240   89930  4589419  50.97
  1901          17     0.00303  0.00302  0.50   89810     272   89674  4499489  50.10
  1901          18     0.00335  0.00334  0.50   89538     299   89389  4409815  49.25
  1901          19     0.00360  0.00360  0.50   89239     321   89079  4320426  48.41
  1901          20     0.00380  0.00379  0.50   88918     337   88750  4231347  47.59
  1901          21     0.00398  0.00397  0.50   88581     352   88405  4142597  46.77
  1901          22     0.00419  0.00418  0.50   88230     368   88045  4054192  45.95
  1901          23     0.00436  0.00435  0.50   87861     382   87670  3966146  45.14
  1901          24     0.00450  0.00449  0.50   87479     393   87282  3878476  44.34
  1901          25     0.00460  0.00459  0.50   87086     400   86886  3791194  43.53
  1901          26     0.00465  0.00464  0.50   86686     402   86485  3704308  42.73
  1901          27     0.00464  0.00463  0.50   86284     400   86084  3617823  41.93
  1901          28     0.00461  0.00459  0.50   85884     395   85687  3531739  41.12
  1901          29     0.00458  0.00457  0.50   85490     390   85294  3446052  40.31
  1901          30     0.00462  0.00461  0.50   85099     392   84903  3360758  39.49
  1901          31     0.00470  0.00469  0.50   84707     398   84508  3275855  38.67
  1901          32     0.00480  0.00479  0.50   84310     404   84108  3191346  37.85
  1901          33     0.00490  0.00488  0.50   83906     410   83701  3107238  37.03
  1901          34     0.00498  0.00497  0.50   83496     415   83289  3023537  36.21
  1901          35     0.00506  0.00505  0.50   83081     419   82871  2940249  35.39
  1901          36     0.00521  0.00520  0.50   82662     430   82447  2857378  34.57
  1901          37     0.00548  0.00547  0.50   82232     450   82007  2774931  33.75
  1901          38     0.00588  0.00586  0.50   81782     480   81542  2692924  32.93
  1901          39     0.00645  0.00643  0.50   81303     523   81041  2611381  32.12
  1901          40     0.00725  0.00722  0.50   80780     584   80488  2530340  31.32
  1901          41     0.00791  0.00788  0.50   80196     632   79880  2449852  30.55
  1901          42     0.00824  0.00820  0.50   79564     653   79238  2369972  29.79
  1901          43     0.00835  0.00832  0.50   78912     656   78583  2290734  29.03
  1901          44     0.00830  0.00827  0.50   78255     647   77932  2212151  28.27
  1901          45     0.00828  0.00824  0.50   77608     640   77288  2134219  27.50
  1901          46     0.00838  0.00834  0.50   76969     642   76648  2056931  26.72
  1901          47     0.00859  0.00855  0.50   76327     653   76000  1980283  25.94
  1901          48     0.00917  0.00912  0.50   75674     690   75329  1904282  25.16
  1901          49     0.01009  0.01004  0.50   74984     753   74607  1828954  24.39
  1901          50     0.01103  0.01097  0.50   74231     814   73824  1754346  23.63
  1901          51     0.01193  0.01186  0.50   73417     871   72981  1680523  22.89
  1901          52     0.01294  0.01285  0.50   72546     932   72080  1607541  22.16
  1901          53     0.01368  0.01358  0.50   71613     973   71127  1535462  21.44
  1901          54     0.01429  0.01419  0.50   70641    1002   70139  1464335  20.73
  1901          55     0.01514  0.01503  0.50   69638    1047   69115  1394195  20.02
  1901          56     0.01582  0.01569  0.50   68592    1076   68053  1325080  19.32
  1901          57     0.01600  0.01587  0.50   67515    1072   66979  1257027  18.62
  1901          58     0.01630  0.01617  0.50   66444    1074   65907  1190047  17.91
  1901          59     0.01706  0.01691  0.50   65369    1106   64817  1124141  17.20
  1901          60     0.01904  0.01886  0.50   64264    1212   63658  1059324  16.48
  1901          61     0.02143  0.02120  0.50   63052    1337   62383   995666  15.79
  1901          62     0.02322  0.02295  0.50   61715    1417   61007   933283  15.12
  1901          63     0.02534  0.02502  0.50   60298    1509   59544   872276  14.47
  1901          64     0.02826  0.02787  0.50   58790    1638   57971   812732  13.82
  1901          65     0.03201  0.03150  0.50   57151    1800   56251   754762  13.21
  1901          66     0.03585  0.03522  0.50   55351    1949   54376   698510  12.62
  1901          67     0.03870  0.03797  0.50   53402    2028   52388   644134  12.06
  1901          68     0.03980  0.03902  0.50   51374    2005   50372   591746  11.52
  1901          69     0.04089  0.04007  0.50   49369    1978   48380   541374  10.97
  1901          70     0.04398  0.04303  0.50   47391    2039   46372   492994  10.40
  1901          71     0.04997  0.04875  0.50   45352    2211   44247   446622   9.85
  1901          72     0.05620  0.05466  0.50   43141    2358   41962   402376   9.33
  1901          73     0.06070  0.05891  0.50   40783    2402   39582   360414   8.84
  1901          74     0.06135  0.05953  0.50   38380    2285   37238   320832   8.36
  1901          75     0.05634  0.05479  0.50   36096    1978   35107   283594   7.86
  1901          76     0.06961  0.06727  0.50   34118    2295   32970   248487   7.28
  1901          77     0.11772  0.11118  0.50   31823    3538   30054   215517   6.77
  1901          78     0.13897  0.12994  0.50   28285    3675   26447   185463   6.56
  1901          79     0.11410  0.10794  0.50   24609    2656   23281   159017   6.46
  1901          80     0.08533  0.08184  0.50   21953    1797   21055   135735   6.18
  1901          81     0.09864  0.09400  0.50   20156    1895   19209   114681   5.69
  1901          82     0.11376  0.10764  0.50   18262    1966   17279    95472   5.23
  1901          83     0.13086  0.12282  0.50   16296    2002   15295    78193   4.80
  1901          84     0.15010  0.13962  0.50   14294    1996   13296    62898   4.40
  1901          85     0.17161  0.15805  0.50   12299    1944   11327    49602   4.03
  1901          86     0.19549  0.17808  0.50   10355    1844    9433    38275   3.70
  1901          87     0.22180  0.19966  0.50    8511    1699    7661    28842   3.39
  1901          88     0.25056  0.22266  0.50    6812    1517    6053    21181   3.11
  1901          89     0.28169  0.24691  0.50    5295    1307    4641    15128   2.86
  1901          90     0.31507  0.27219  0.50    3987    1085    3445    10487   2.63
  1901          91     0.35046  0.29821  0.50    2902     865    2469     7042   2.43
