New Zealand -- Non-Maori, Life tables (period 1x1), Males     Last modified: 14-Sep-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1901           0     0.08175  0.07711  0.26  100000    7711   94328  5843962  58.44
  1901           1     0.01132  0.01126  0.50   92289    1039   91769  5749634  62.30
  1901           2     0.00625  0.00623  0.50   91250     569   90965  5657865  62.00
  1901           3     0.00462  0.00460  0.50   90681     418   90472  5566900  61.39
  1901           4     0.00369  0.00369  0.50   90263     333   90097  5476428  60.67
  1901           5     0.00293  0.00292  0.50   89931     263   89799  5386331  59.89
  1901           6     0.00237  0.00236  0.50   89668     212   89562  5296531  59.07
  1901           7     0.00196  0.00196  0.50   89456     175   89368  5206970  58.21
  1901           8     0.00166  0.00166  0.50   89281     148   89207  5117601  57.32
  1901           9     0.00151  0.00150  0.50   89133     134   89066  5028394  56.41
  1901          10     0.00152  0.00152  0.50   88999     135   88931  4939329  55.50
  1901          11     0.00161  0.00161  0.50   88863     143   88792  4850398  54.58
  1901          12     0.00171  0.00170  0.50   88720     151   88645  4761606  53.67
  1901          13     0.00185  0.00185  0.50   88569     164   88487  4672961  52.76
  1901          14     0.00207  0.00207  0.50   88406     183   88314  4584473  51.86
  1901          15     0.00245  0.00244  0.50   88223     216   88115  4496159  50.96
  1901          16     0.00283  0.00282  0.50   88007     248   87883  4408044  50.09
  1901          17     0.00309  0.00309  0.50   87759     271   87623  4320161  49.23
  1901          18     0.00333  0.00332  0.50   87488     291   87343  4232538  48.38
  1901          19     0.00350  0.00349  0.50   87197     305   87045  4145195  47.54
  1901          20     0.00363  0.00362  0.50   86893     315   86735  4058150  46.70
  1901          21     0.00375  0.00375  0.50   86578     324   86416  3971415  45.87
  1901          22     0.00388  0.00387  0.50   86253     334   86086  3885000  45.04
  1901          23     0.00397  0.00396  0.50   85919     340   85749  3798913  44.21
  1901          24     0.00398  0.00398  0.50   85579     340   85409  3713164  43.39
  1901          25     0.00384  0.00384  0.50   85239     327   85075  3627755  42.56
  1901          26     0.00370  0.00370  0.50   84912     314   84755  3542679  41.72
  1901          27     0.00364  0.00364  0.50   84598     308   84444  3457924  40.87
  1901          28     0.00358  0.00358  0.50   84291     301   84140  3373480  40.02
  1901          29     0.00356  0.00355  0.50   83989     298   83840  3289340  39.16
  1901          30     0.00360  0.00359  0.50   83691     301   83541  3205500  38.30
  1901          31     0.00377  0.00377  0.50   83390     314   83233  3121960  37.44
  1901          32     0.00410  0.00409  0.50   83076     340   82906  3038727  36.58
  1901          33     0.00456  0.00454  0.50   82736     376   82548  2955820  35.73
  1901          34     0.00514  0.00512  0.50   82360     422   82149  2873272  34.89
  1901          35     0.00572  0.00570  0.50   81938     467   81705  2791122  34.06
  1901          36     0.00618  0.00616  0.50   81471     502   81220  2709418  33.26
  1901          37     0.00651  0.00649  0.50   80969     525   80707  2628198  32.46
  1901          38     0.00659  0.00656  0.50   80444     528   80180  2547491  31.67
  1901          39     0.00635  0.00633  0.50   79916     506   79663  2467310  30.87
  1901          40     0.00586  0.00584  0.50   79410     464   79178  2387647  30.07
  1901          41     0.00558  0.00557  0.50   78946     440   78727  2308469  29.24
  1901          42     0.00569  0.00567  0.50   78507     445   78284  2229742  28.40
  1901          43     0.00612  0.00611  0.50   78062     477   77823  2151458  27.56
  1901          44     0.00691  0.00688  0.50   77585     534   77318  2073635  26.73
  1901          45     0.00794  0.00791  0.50   77051     609   76746  1996317  25.91
  1901          46     0.00898  0.00894  0.50   76442     683   76100  1919571  25.11
  1901          47     0.01001  0.00996  0.50   75758     754   75381  1843471  24.33
  1901          48     0.01101  0.01095  0.50   75004     821   74593  1768089  23.57
  1901          49     0.01201  0.01194  0.50   74183     886   73740  1693496  22.83
  1901          50     0.01292  0.01284  0.50   73297     941   72826  1619756  22.10
  1901          51     0.01380  0.01371  0.50   72356     992   71860  1546930  21.38
  1901          52     0.01466  0.01455  0.50   71364    1039   70845  1475070  20.67
  1901          53     0.01543  0.01532  0.50   70325    1077   69787  1404225  19.97
  1901          54     0.01621  0.01608  0.50   69248    1113   68691  1334439  19.27
  1901          55     0.01717  0.01702  0.50   68135    1160   67555  1265747  18.58
  1901          56     0.01814  0.01797  0.50   66975    1204   66373  1198193  17.89
  1901          57     0.01900  0.01882  0.50   65771    1238   65152  1131820  17.21
  1901          58     0.02007  0.01987  0.50   64533    1282   63892  1066667  16.53
  1901          59     0.02149  0.02126  0.50   63251    1345   62579  1002775  15.85
  1901          60     0.02338  0.02311  0.50   61907    1430   61191   940196  15.19
  1901          61     0.02551  0.02519  0.50   60476    1523   59715   879005  14.53
