New Zealand, Life tables (period 1x1), Females     Last modified: 06-Jul-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1948           0     0.02402  0.02353  0.12  100000    2353   97930  7083305  70.83
  1948           1     0.00390  0.00389  0.50   97647     380   97457  6985375  71.54
  1948           2     0.00183  0.00183  0.50   97267     178   97178  6887917  70.81
  1948           3     0.00097  0.00097  0.50   97089      94   97042  6790739  69.94
  1948           4     0.00146  0.00146  0.50   96995     142   96924  6693697  69.01
  1948           5     0.00148  0.00148  0.50   96853     143   96781  6596773  68.11
  1948           6     0.00064  0.00064  0.50   96710      61   96679  6499992  67.21
  1948           7     0.00070  0.00070  0.50   96648      67   96615  6403313  66.25
  1948           8     0.00062  0.00062  0.50   96581      59   96551  6306698  65.30
  1948           9     0.00060  0.00060  0.50   96522      58   96493  6210147  64.34
  1948          10     0.00077  0.00077  0.50   96464      75   96427  6113654  63.38
  1948          11     0.00044  0.00044  0.50   96390      43   96368  6017227  62.43
  1948          12     0.00084  0.00084  0.50   96347      81   96306  5920859  61.45
  1948          13     0.00149  0.00149  0.50   96266     144   96194  5824553  60.50
  1948          14     0.00071  0.00071  0.50   96122      68   96088  5728359  59.59
  1948          15     0.00094  0.00094  0.50   96054      90   96009  5632271  58.64
  1948          16     0.00159  0.00159  0.50   95964     153   95888  5536262  57.69
  1948          17     0.00133  0.00133  0.50   95811     128   95747  5440374  56.78
  1948          18     0.00184  0.00184  0.50   95684     176   95596  5344627  55.86
  1948          19     0.00140  0.00140  0.50   95508     134   95441  5249031  54.96
  1948          20     0.00169  0.00169  0.50   95374     161   95294  5153590  54.04
  1948          21     0.00181  0.00181  0.50   95213     172   95127  5058296  53.13
  1948          22     0.00179  0.00179  0.50   95041     170   94956  4963169  52.22
  1948          23     0.00142  0.00142  0.50   94871     135   94804  4868213  51.31
  1948          24     0.00198  0.00198  0.50   94736     188   94643  4773409  50.39
  1948          25     0.00224  0.00223  0.50   94549     211   94443  4678767  49.49
  1948          26     0.00214  0.00213  0.50   94337     201   94237  4584324  48.59
  1948          27     0.00131  0.00131  0.50   94136     123   94075  4490087  47.70
  1948          28     0.00208  0.00207  0.50   94013     195   93916  4396012  46.76
  1948          29     0.00179  0.00179  0.50   93818     168   93734  4302096  45.86
  1948          30     0.00156  0.00156  0.50   93650     146   93577  4208362  44.94
  1948          31     0.00167  0.00167  0.50   93504     156   93426  4114785  44.01
  1948          32     0.00222  0.00221  0.50   93348     207   93245  4021359  43.08
  1948          33     0.00151  0.00151  0.50   93141     140   93071  3928115  42.17
  1948          34     0.00197  0.00196  0.50   93001     183   92909  3835044  41.24
  1948          35     0.00244  0.00244  0.50   92818     226   92705  3742134  40.32
  1948          36     0.00226  0.00226  0.50   92592     209   92487  3649429  39.41
  1948          37     0.00199  0.00199  0.50   92383     183   92291  3556942  38.50
  1948          38     0.00224  0.00224  0.50   92199     207   92096  3464651  37.58
  1948          39     0.00308  0.00307  0.50   91993     283   91851  3372555  36.66
  1948          40     0.00267  0.00267  0.50   91710     245   91588  3280704  35.77
  1948          41     0.00273  0.00272  0.50   91465     249   91341  3189116  34.87
  1948          42     0.00270  0.00270  0.50   91217     246   91093  3097775  33.96
  1948          43     0.00352  0.00351  0.50   90970     320   90810  3006681  33.05
  1948          44     0.00332  0.00331  0.50   90651     300   90501  2915871  32.17
  1948          45     0.00362  0.00361  0.50   90350     326   90187  2825370  31.27
  1948          46     0.00354  0.00354  0.50   90024     318   89865  2735183  30.38
  1948          47     0.00434  0.00433  0.50   89706     388   89512  2645318  29.49
  1948          48     0.00519  0.00518  0.50   89318     463   89086  2555807  28.61
  1948          49     0.00376  0.00375  0.50   88855     334   88688  2466720  27.76
  1948          50     0.00682  0.00679  0.50   88521     601   88221  2378032  26.86
  1948          51     0.00429  0.00428  0.50   87920     376   87732  2289811  26.04
  1948          52     0.00723  0.00721  0.50   87544     631   87228  2202080  25.15
  1948          53     0.00641  0.00639  0.50   86913     556   86635  2114851  24.33
  1948          54     0.00818  0.00814  0.50   86357     703   86006  2028216  23.49
  1948          55     0.00691  0.00689  0.50   85654     590   85359  1942210  22.67
  1948          56     0.01125  0.01119  0.50   85064     952   84588  1856851  21.83
  1948          57     0.01082  0.01076  0.50   84113     905   83660  1772262  21.07
  1948          58     0.01131  0.01125  0.50   83207     936   82740  1688602  20.29
  1948          59     0.01238  0.01231  0.50   82272    1013   81765  1605863  19.52
  1948          60     0.01380  0.01370  0.50   81259    1114   80702  1524097  18.76
  1948          61     0.01154  0.01147  0.50   80145     920   79686  1443395  18.01
  1948          62     0.01533  0.01521  0.50   79226    1205   78623  1363710  17.21
  1948          63     0.01771  0.01756  0.50   78021    1370   77336  1285087  16.47
  1948          64     0.02064  0.02043  0.50   76651    1566   75868  1207751  15.76
  1948          65     0.02366  0.02339  0.50   75085    1756   74207  1131883  15.07
  1948          66     0.02315  0.02289  0.50   73329    1678   72490  1057677  14.42
  1948          67     0.02469  0.02439  0.50   71650    1748   70777   985187  13.75
  1948          68     0.02544  0.02512  0.50   69903    1756   69025   914411  13.08
  1948          69     0.03165  0.03115  0.50   68147    2123   67085   845386  12.41
  1948          70     0.03432  0.03374  0.50   66024    2228   64910   778301  11.79
  1948          71     0.03307  0.03253  0.50   63796    2075   62758   713391  11.18
  1948          72     0.04136  0.04052  0.50   61721    2501   60470   650632  10.54
  1948          73     0.04707  0.04599  0.50   59220    2724   57858   590162   9.97
  1948          74     0.05233  0.05100  0.50   56496    2881   55055   532305   9.42
  1948          75     0.05298  0.05161  0.50   53615    2767   52231   477249   8.90
  1948          76     0.07005  0.06768  0.50   50848    3441   49127   425018   8.36
  1948          77     0.07914  0.07613  0.50   47406    3609   45602   375891   7.93
  1948          78     0.08695  0.08333  0.50   43797    3650   41972   330289   7.54
  1948          79     0.08129  0.07812  0.50   40148    3136   38579   288317   7.18
  1948          80     0.09651  0.09207  0.50   37011    3407   35308   249737   6.75
  1948          81     0.10418  0.09903  0.50   33604    3328   31940   214430   6.38
  1948          82     0.12567  0.11824  0.50   30276    3580   28486   182490   6.03
  1948          83     0.11419  0.10802  0.50   26696    2884   25255   154003   5.77
  1948          84     0.14010  0.13093  0.50   23813    3118   22254   128749   5.41
  1948          85     0.14768  0.13753  0.50   20695    2846   19272   106495   5.15
  1948          86     0.15993  0.14809  0.50   17849    2643   16527    87223   4.89
  1948          87     0.16714  0.15425  0.50   15206    2345   14033    70696   4.65
  1948          88     0.17949  0.16471  0.50   12860    2118   11801    56663   4.41
  1948          89     0.19253  0.17563  0.50   10742    1887    9799    44862   4.18
  1948          90     0.20629  0.18700  0.50    8855    1656    8027    35064   3.96
  1948          91     0.22076  0.19881  0.50    7199    1431    6484    27036   3.76
  1948          92     0.23594  0.21104  0.50    5768    1217    5159    20552   3.56
  1948          93     0.25183  0.22366  0.50    4551    1018    4042    15393   3.38
  1948          94     0.26841  0.23665  0.50    3533     836    3115    11351   3.21
  1948          95     0.28567  0.24996  0.50    2697     674    2360     8236   3.05
  1948          96     0.30357  0.26357  0.50    2023     533    1756     5876   2.91
  1948          97     0.32210  0.27742  0.50    1490     413    1283     4120   2.77
  1948          98     0.34120  0.29147  0.50    1076     314     920     2837   2.64
  1948          99     0.36083  0.30568  0.50     763     233     646     1918   2.51
  1948         100     0.38093  0.31998  0.50     530     169     445     1272   2.40
  1948         101     0.40145  0.33434  0.50     360     120     300      827   2.30
  1948         102     0.42233  0.34870  0.50     240      84     198      527   2.20
  1948         103     0.44348  0.36299  0.50     156      57     128      329   2.11
  1948         104     0.46484  0.37718  0.50      99      38      81      201   2.02
  1948         105     0.48634  0.39121  0.50      62      24      50      121   1.95
  1948         106     0.50788  0.40503  0.50      38      15      30       71   1.88
  1948         107     0.52939  0.41859  0.50      22       9      18       41   1.81
  1948         108     0.55080  0.43186  0.50      13       6      10       23   1.76
  1948         109     0.57201  0.44480  0.50       7       3       6       13   1.71
  1948         110+    0.59297  1.00000  1.69       4       4       7        7   1.69
  1949           0     0.02737  0.02673  0.13  100000    2673   97673  7073816  70.74
  1949           1     0.00461  0.00460  0.50   97327     448   97103  6976143  71.68
  1949           2     0.00191  0.00191  0.50   96879     185   96787  6879040  71.01
  1949           3     0.00169  0.00169  0.50   96694     163   96613  6782253  70.14
  1949           4     0.00118  0.00118  0.50   96531     114   96474  6685641  69.26
  1949           5     0.00093  0.00093  0.50   96417      90   96372  6589167  68.34
  1949           6     0.00083  0.00083  0.50   96327      80   96287  6492795  67.40
  1949           7     0.00063  0.00063  0.50   96247      61   96216  6396508  66.46
  1949           8     0.00064  0.00064  0.50   96186      61   96155  6300291  65.50
  1949           9     0.00037  0.00037  0.50   96124      35   96107  6204136  64.54
  1949          10     0.00060  0.00060  0.50   96089      57   96060  6108030  63.57
  1949          11     0.00063  0.00063  0.50   96032      61   96001  6011969  62.60
  1949          12     0.00081  0.00081  0.50   95971      78   95932  5915968  61.64
  1949          13     0.00077  0.00077  0.50   95894      73   95857  5820035  60.69
  1949          14     0.00071  0.00071  0.50   95820      68   95786  5724179  59.74
  1949          15     0.00055  0.00055  0.50   95752      53   95726  5628392  58.78
  1949          16     0.00117  0.00117  0.50   95699     112   95644  5532667  57.81
  1949          17     0.00137  0.00137  0.50   95588     130   95522  5437023  56.88
  1949          18     0.00111  0.00111  0.50   95457     106   95404  5341501  55.96
  1949          19     0.00147  0.00147  0.50   95351     140   95281  5246096  55.02
  1949          20     0.00066  0.00066  0.50   95211      63   95179  5150815  54.10
  1949          21     0.00139  0.00139  0.50   95148     133   95081  5055636  53.13
  1949          22     0.00109  0.00108  0.50   95015     103   94964  4960555  52.21
  1949          23     0.00129  0.00129  0.50   94912     122   94851  4865591  51.26
  1949          24     0.00185  0.00185  0.50   94790     175   94702  4770740  50.33
  1949          25     0.00170  0.00170  0.50   94615     160   94534  4676038  49.42
  1949          26     0.00126  0.00125  0.50   94454     119   94395  4581503  48.51
  1949          27     0.00137  0.00137  0.50   94336     130   94271  4487108  47.57
  1949          28     0.00158  0.00158  0.50   94206     149   94132  4392838  46.63
  1949          29     0.00172  0.00171  0.50   94057     161   93977  4298706  45.70
  1949          30     0.00142  0.00141  0.50   93896     133   93830  4204729  44.78
  1949          31     0.00156  0.00156  0.50   93763     146   93690  4110899  43.84
  1949          32     0.00174  0.00173  0.50   93617     162   93536  4017209  42.91
  1949          33     0.00157  0.00157  0.50   93455     147   93381  3923673  41.98
  1949          34     0.00230  0.00229  0.50   93308     214   93201  3830292  41.05
  1949          35     0.00225  0.00225  0.50   93094     209   92990  3737091  40.14
  1949          36     0.00258  0.00258  0.50   92885     240   92765  3644101  39.23
  1949          37     0.00181  0.00181  0.50   92645     167   92562  3551336  38.33
  1949          38     0.00298  0.00298  0.50   92478     275   92340  3458774  37.40
  1949          39     0.00209  0.00208  0.50   92203     192   92107  3366434  36.51
  1949          40     0.00237  0.00237  0.50   92011     218   91902  3274327  35.59
  1949          41     0.00259  0.00259  0.50   91793     238   91674  3182426  34.67
  1949          42     0.00297  0.00297  0.50   91555     272   91419  3090752  33.76
  1949          43     0.00389  0.00388  0.50   91283     354   91106  2999333  32.86
  1949          44     0.00247  0.00246  0.50   90929     224   90817  2908226  31.98
  1949          45     0.00461  0.00460  0.50   90705     418   90496  2817409  31.06
  1949          46     0.00477  0.00476  0.50   90287     430   90073  2726913  30.20
  1949          47     0.00527  0.00526  0.50   89858     472   89622  2636841  29.34
  1949          48     0.00483  0.00481  0.50   89385     430   89170  2547219  28.50
  1949          49     0.00560  0.00558  0.50   88955     496   88707  2458049  27.63
