New Zealand, Life tables (period 1x1), Males     Last modified: 06-Jul-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1948           0     0.03214  0.03126  0.13  100000    3126   97284  6696822  66.97
  1948           1     0.00481  0.00480  0.50   96874     465   96641  6599538  68.13
  1948           2     0.00232  0.00231  0.50   96409     223   96298  6502896  67.45
  1948           3     0.00165  0.00165  0.50   96186     159   96107  6406598  66.61
  1948           4     0.00145  0.00145  0.50   96027     140   95957  6310492  65.72
  1948           5     0.00160  0.00160  0.50   95888     153   95811  6214534  64.81
  1948           6     0.00090  0.00090  0.50   95735      86   95692  6118723  63.91
  1948           7     0.00074  0.00074  0.50   95648      70   95613  6023032  62.97
  1948           8     0.00072  0.00072  0.50   95578      69   95544  5927418  62.02
  1948           9     0.00052  0.00052  0.50   95509      50   95485  5831875  61.06
  1948          10     0.00117  0.00117  0.50   95460     112   95404  5736390  60.09
  1948          11     0.00122  0.00122  0.50   95348     116   95290  5640986  59.16
  1948          12     0.00111  0.00111  0.50   95232     106   95179  5545697  58.23
  1948          13     0.00098  0.00098  0.50   95126      93   95080  5450518  57.30
  1948          14     0.00136  0.00136  0.50   95033     129   94969  5355438  56.35
  1948          15     0.00127  0.00127  0.50   94904     121   94844  5260470  55.43
  1948          16     0.00102  0.00102  0.50   94783      97   94735  5165626  54.50
  1948          17     0.00136  0.00136  0.50   94686     129   94622  5070891  53.55
  1948          18     0.00214  0.00214  0.50   94557     202   94456  4976269  52.63
  1948          19     0.00171  0.00170  0.50   94355     161   94275  4881813  51.74
  1948          20     0.00241  0.00241  0.50   94195     227   94081  4787538  50.83
  1948          21     0.00170  0.00170  0.50   93968     160   93888  4693456  49.95
  1948          22     0.00283  0.00283  0.50   93808     265   93676  4599568  49.03
  1948          23     0.00157  0.00157  0.50   93543     146   93470  4505893  48.17
  1948          24     0.00180  0.00180  0.50   93397     168   93313  4412423  47.24
  1948          25     0.00152  0.00151  0.50   93229     141   93158  4319110  46.33
  1948          26     0.00180  0.00180  0.50   93087     167   93004  4225952  45.40
  1948          27     0.00196  0.00196  0.50   92920     182   92829  4132949  44.48
  1948          28     0.00217  0.00217  0.50   92738     201   92638  4040119  43.56
  1948          29     0.00132  0.00131  0.50   92537     122   92476  3947482  42.66
  1948          30     0.00184  0.00184  0.50   92415     170   92330  3855006  41.71
  1948          31     0.00149  0.00149  0.50   92245     137   92176  3762675  40.79
  1948          32     0.00212  0.00212  0.50   92108     195   92010  3670499  39.85
  1948          33     0.00195  0.00195  0.50   91913     179   91823  3578489  38.93
  1948          34     0.00181  0.00181  0.50   91734     166   91651  3486665  38.01
  1948          35     0.00168  0.00168  0.50   91568     154   91490  3395015  37.08
  1948          36     0.00289  0.00288  0.50   91413     263   91282  3303524  36.14
  1948          37     0.00230  0.00230  0.50   91150     209   91045  3212243  35.24
  1948          38     0.00217  0.00217  0.50   90940     197   90842  3121197  34.32
  1948          39     0.00243  0.00243  0.50   90744     221   90633  3030355  33.39
  1948          40     0.00218  0.00217  0.50   90523     197   90425  2939722  32.47
  1948          41     0.00269  0.00269  0.50   90326     243   90205  2849298  31.54
  1948          42     0.00525  0.00524  0.50   90083     472   89848  2759093  30.63
  1948          43     0.00360  0.00359  0.50   89612     322   89451  2669245  29.79
  1948          44     0.00367  0.00366  0.50   89290     327   89126  2579795  28.89
  1948          45     0.00433  0.00432  0.50   88963     385   88771  2490668  28.00
  1948          46     0.00548  0.00547  0.50   88578     484   88336  2401898  27.12
  1948          47     0.00528  0.00526  0.50   88094     464   87862  2313561  26.26
  1948          48     0.00759  0.00756  0.50   87630     663   87299  2225699  25.40
  1948          49     0.00888  0.00884  0.50   86967     769   86583  2138400  24.59
  1948          50     0.00826  0.00823  0.50   86199     709   85844  2051817  23.80
  1948          51     0.00643  0.00641  0.50   85489     548   85215  1965973  23.00
  1948          52     0.00985  0.00980  0.50   84941     832   84525  1880758  22.14
  1948          53     0.00960  0.00956  0.50   84109     804   83707  1796233  21.36
  1948          54     0.01291  0.01283  0.50   83305    1069   82770  1712526  20.56
  1948          55     0.01231  0.01223  0.50   82236    1006   81733  1629756  19.82
  1948          56     0.01406  0.01396  0.50   81230    1134   80663  1548023  19.06
  1948          57     0.01216  0.01208  0.50   80096     968   79612  1467360  18.32
  1948          58     0.01804  0.01788  0.50   79128    1415   78421  1387748  17.54
  1948          59     0.01786  0.01771  0.50   77713    1376   77025  1309327  16.85
  1948          60     0.02014  0.01994  0.50   76337    1522   75576  1232302  16.14
  1948          61     0.01983  0.01964  0.50   74815    1469   74081  1156725  15.46
  1948          62     0.02327  0.02300  0.50   73346    1687   72503  1082644  14.76
  1948          63     0.03101  0.03054  0.50   71659    2188   70565  1010142  14.10
