Portugal, Life tables (period 1x1), Females     Last modified: 23-Jul-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1940           0     0.13613  0.12507  0.35  100000   12507   91871  5360136  53.60
  1940           1     0.04835  0.04721  0.50   87493    4131   85428  5268265  60.21
  1940           2     0.01962  0.01943  0.50   83363    1620   82553  5182837  62.17
  1940           3     0.01014  0.01009  0.50   81743     825   81331  5100284  62.39
  1940           4     0.00634  0.00632  0.50   80918     511   80663  5018954  62.03
  1940           5     0.00400  0.00399  0.50   80407     321   80246  4938291  61.42
  1940           6     0.00337  0.00337  0.50   80086     270   79951  4858045  60.66
  1940           7     0.00259  0.00259  0.50   79816     207   79713  4778094  59.86
  1940           8     0.00236  0.00236  0.50   79609     188   79516  4698381  59.02
  1940           9     0.00224  0.00224  0.50   79422     178   79333  4618865  58.16
  1940          10     0.00204  0.00204  0.50   79244     162   79163  4539533  57.29
  1940          11     0.00200  0.00200  0.50   79082     158   79003  4460370  56.40
  1940          12     0.00191  0.00191  0.50   78924     151   78849  4381367  55.51
  1940          13     0.00216  0.00216  0.50   78773     170   78688  4302518  54.62
  1940          14     0.00221  0.00221  0.50   78603     173   78517  4223830  53.74
  1940          15     0.00258  0.00257  0.50   78430     202   78329  4145313  52.85
  1940          16     0.00308  0.00308  0.50   78228     241   78108  4066984  51.99
  1940          17     0.00312  0.00312  0.50   77987     243   77866  3988877  51.15
  1940          18     0.00378  0.00377  0.50   77744     293   77598  3911011  50.31
  1940          19     0.00385  0.00384  0.50   77451     297   77302  3833413  49.49
  1940          20     0.00431  0.00430  0.50   77154     332   76988  3756111  48.68
  1940          21     0.00426  0.00425  0.50   76822     326   76659  3679123  47.89
  1940          22     0.00408  0.00407  0.50   76495     311   76340  3602465  47.09
  1940          23     0.00421  0.00420  0.50   76184     320   76024  3526125  46.28
  1940          24     0.00421  0.00420  0.50   75864     319   75705  3450101  45.48
  1940          25     0.00443  0.00442  0.50   75546     334   75379  3374396  44.67
  1940          26     0.00474  0.00473  0.50   75212     355   75034  3299017  43.86
  1940          27     0.00461  0.00460  0.50   74856     345   74684  3223983  43.07
  1940          28     0.00525  0.00523  0.50   74512     390   74317  3149299  42.27
  1940          29     0.00438  0.00437  0.50   74122     324   73960  3074983  41.49
  1940          30     0.00482  0.00481  0.50   73798     355   73620  3001023  40.67
  1940          31     0.00421  0.00421  0.50   73443     309   73289  2927402  39.86
  1940          32     0.00462  0.00461  0.50   73134     337   72966  2854114  39.03
  1940          33     0.00558  0.00556  0.50   72797     405   72595  2781148  38.20
  1940          34     0.00484  0.00483  0.50   72392     350   72217  2708554  37.42
  1940          35     0.00489  0.00488  0.50   72042     351   71867  2636336  36.59
  1940          36     0.00497  0.00496  0.50   71691     356   71513  2564470  35.77
  1940          37     0.00463  0.00462  0.50   71335     329   71171  2492956  34.95
  1940          38     0.00539  0.00537  0.50   71006     381   70815  2421786  34.11
  1940          39     0.00509  0.00508  0.50   70624     359   70445  2350971  33.29
  1940          40     0.00648  0.00646  0.50   70266     454   70039  2280525  32.46
  1940          41     0.00550  0.00549  0.50   69812     383   69620  2210487  31.66
  1940          42     0.00612  0.00610  0.50   69429     424   69217  2140866  30.84
  1940          43     0.00632  0.00630  0.50   69005     434   68788  2071649  30.02
  1940          44     0.00533  0.00531  0.50   68571     364   68389  2002861  29.21
  1940          45     0.00686  0.00683  0.50   68206     466   67973  1934473  28.36
  1940          46     0.00744  0.00741  0.50   67740     502   67489  1866499  27.55
  1940          47     0.00539  0.00537  0.50   67238     361   67058  1799010  26.76
  1940          48     0.00745  0.00743  0.50   66877     497   66629  1731952  25.90
  1940          49     0.00637  0.00635  0.50   66380     421   66170  1665324  25.09
  1940          50     0.00880  0.00876  0.50   65959     578   65670  1599154  24.24
  1940          51     0.00817  0.00814  0.50   65381     532   65115  1533484  23.45
  1940          52     0.00940  0.00935  0.50   64849     607   64546  1468369  22.64
  1940          53     0.00947  0.00943  0.50   64242     606   63939  1403824  21.85
  1940          54     0.00916  0.00912  0.50   63637     580   63346  1339884  21.06
  1940          55     0.01131  0.01125  0.50   63056     709   62702  1276538  20.24
  1940          56     0.01225  0.01218  0.50   62347     759   61968  1213836  19.47
  1940          57     0.01271  0.01263  0.50   61588     778   61199  1151868  18.70
  1940          58     0.01559  0.01547  0.50   60810     941   60340  1090669  17.94
  1940          59     0.01105  0.01099  0.50   59870     658   59540  1030329  17.21
  1940          60     0.02221  0.02196  0.50   59211    1301   58561   970788  16.40
  1940          61     0.01787  0.01771  0.50   57911    1026   57398   912227  15.75
  1940          62     0.02058  0.02037  0.50   56885    1159   56306   854829  15.03
  1940          63     0.02401  0.02373  0.50   55727    1322   55065   798523  14.33
  1940          64     0.02263  0.02238  0.50   54404    1217   53796   743458  13.67
  1940          65     0.02909  0.02867  0.50   53187    1525   52424   689662  12.97
  1940          66     0.03123  0.03075  0.50   51662    1589   50868   637238  12.33
  1940          67     0.02995  0.02951  0.50   50073    1478   49334   586370  11.71
  1940          68     0.04264  0.04175  0.50   48595    2029   47581   537036  11.05
  1940          69     0.02663  0.02628  0.50   46566    1224   45955   489455  10.51
  1940          70     0.06177  0.05992  0.50   45343    2717   43984   443500   9.78
  1940          71     0.04671  0.04565  0.50   42626    1946   41653   399516   9.37
  1940          72     0.06786  0.06563  0.50   40680    2670   39345   357863   8.80
  1940          73     0.07057  0.06816  0.50   38010    2591   36715   318518   8.38
  1940          74     0.06356  0.06160  0.50   35419    2182   34328   281803   7.96
  1940          75     0.08540  0.08190  0.50   33237    2722   31876   247475   7.45
  1940          76     0.09450  0.09024  0.50   30515    2754   29139   215598   7.07
  1940          77     0.09040  0.08649  0.50   27762    2401   26561   186460   6.72
  1940          78     0.13381  0.12542  0.50   25361    3181   23770   159899   6.30
  1940          79     0.10032  0.09553  0.50   22180    2119   21121   136128   6.14
  1940          80     0.17958  0.16478  0.50   20061    3306   18408   115008   5.73
  1940          81     0.09209  0.08803  0.50   16755    1475   16018    96599   5.77
  1940          82     0.14269  0.13319  0.50   15280    2035   14263    80582   5.27
  1940          83     0.13983  0.13069  0.50   13245    1731   12380    66319   5.01
  1940          84     0.15857  0.14692  0.50   11514    1692   10668    53939   4.68
  1940          85     0.21137  0.19117  0.50    9822    1878    8884    43271   4.41
  1940          86     0.20036  0.18212  0.50    7945    1447    7221    34387   4.33
  1940          87     0.19329  0.17626  0.50    6498    1145    5925    27166   4.18
  1940          88     0.21518  0.19428  0.50    5353    1040    4833    21241   3.97
  1940          89     0.16658  0.15377  0.50    4313     663    3981    16408   3.80
  1940          90     0.33783  0.28901  0.50    3649    1055    3122    12427   3.41
  1940          91     0.24326  0.21688  0.50    2595     563    2313     9305   3.59
  1940          92     0.25564  0.22666  0.50    2032     461    1802     6992   3.44
  1940          93     0.26842  0.23666  0.50    1571     372    1385     5190   3.30
  1940          94     0.28160  0.24684  0.50    1200     296    1051     3805   3.17
  1940          95     0.29517  0.25721  0.50     903     232     787     2753   3.05
  1940          96     0.30911  0.26773  0.50     671     180     581     1966   2.93
  1940          97     0.32340  0.27839  0.50     491     137     423     1385   2.82
  1940          98     0.33803  0.28916  0.50     355     103     303      962   2.71
  1940          99     0.35298  0.30003  0.50     252      76     214      659   2.61
  1940         100     0.36823  0.31097  0.50     176      55     149      444   2.52
  1940         101     0.38374  0.32196  0.50     122      39     102      295   2.43
