Portugal, Life tables (period 1x1), Males     Last modified: 23-Jul-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1940           0     0.15110  0.13721  0.33  100000   13721   90807  4908534  49.09
  1940           1     0.05163  0.05033  0.50   86279    4343   84108  4817727  55.84
  1940           2     0.01977  0.01957  0.50   81937    1604   81135  4733619  57.77
  1940           3     0.00995  0.00990  0.50   80333     796   79935  4652484  57.92
  1940           4     0.00686  0.00684  0.50   79537     544   79265  4572549  57.49
  1940           5     0.00468  0.00467  0.50   78993     369   78809  4493284  56.88
  1940           6     0.00382  0.00382  0.50   78624     300   78474  4414475  56.15
  1940           7     0.00340  0.00340  0.50   78324     266   78191  4336001  55.36
  1940           8     0.00294  0.00293  0.50   78058     229   77944  4257810  54.55
  1940           9     0.00217  0.00217  0.50   77829     169   77745  4179866  53.71
  1940          10     0.00253  0.00253  0.50   77660     197   77562  4102122  52.82
  1940          11     0.00223  0.00223  0.50   77464     173   77378  4024560  51.95
  1940          12     0.00180  0.00180  0.50   77291     139   77222  3947182  51.07
  1940          13     0.00261  0.00260  0.50   77152     201   77052  3869960  50.16
  1940          14     0.00213  0.00213  0.50   76951     164   76869  3792909  49.29
  1940          15     0.00237  0.00236  0.50   76788     182   76697  3716039  48.39
  1940          16     0.00269  0.00269  0.50   76606     206   76503  3639342  47.51
  1940          17     0.00334  0.00334  0.50   76400     255   76273  3562839  46.63
  1940          18     0.00431  0.00430  0.50   76145     328   75981  3486566  45.79
  1940          19     0.00472  0.00471  0.50   75818     357   75639  3410585  44.98
  1940          20     0.00480  0.00479  0.50   75460     361   75280  3334946  44.19
  1940          21     0.00416  0.00415  0.50   75099     312   74943  3259666  43.40
  1940          22     0.00469  0.00468  0.50   74787     350   74613  3184723  42.58
  1940          23     0.00544  0.00543  0.50   74438     404   74236  3110110  41.78
  1940          24     0.00489  0.00488  0.50   74034     361   73853  3035874  41.01
  1940          25     0.00464  0.00463  0.50   73673     341   73502  2962021  40.21
  1940          26     0.00510  0.00509  0.50   73331     373   73145  2888519  39.39
  1940          27     0.00570  0.00568  0.50   72958     415   72751  2815375  38.59
  1940          28     0.00580  0.00578  0.50   72543     420   72334  2742624  37.81
  1940          29     0.00510  0.00509  0.50   72124     367   71940  2670290  37.02
  1940          30     0.00631  0.00629  0.50   71757     451   71531  2598350  36.21
  1940          31     0.00569  0.00567  0.50   71305     405   71103  2526819  35.44
  1940          32     0.00693  0.00690  0.50   70901     489   70656  2455716  34.64
  1940          33     0.00710  0.00708  0.50   70411     498   70162  2385060  33.87
  1940          34     0.00622  0.00620  0.50   69913     433   69696  2314897  33.11
  1940          35     0.00690  0.00688  0.50   69480     478   69241  2245201  32.31
  1940          36     0.00718  0.00715  0.50   69002     494   68755  2175960  31.53
  1940          37     0.00702  0.00700  0.50   68508     479   68268  2107205  30.76
  1940          38     0.00780  0.00777  0.50   68029     529   67764  2038937  29.97
  1940          39     0.00674  0.00672  0.50   67500     454   67273  1971172  29.20
  1940          40     0.00851  0.00847  0.50   67046     568   66762  1903899  28.40
  1940          41     0.00809  0.00806  0.50   66479     536   66211  1837137  27.64
  1940          42     0.01082  0.01076  0.50   65943     710   65588  1770926  26.86
  1940          43     0.00911  0.00907  0.50   65233     591   64937  1705338  26.14
  1940          44     0.00907  0.00903  0.50   64641     583   64350  1640401  25.38
  1940          45     0.01092  0.01086  0.50   64058     696   63710  1576051  24.60
  1940          46     0.01170  0.01163  0.50   63362     737   62994  1512341  23.87
  1940          47     0.01161  0.01155  0.50   62625     723   62264  1449348  23.14
  1940          48     0.01308  0.01300  0.50   61902     805   61500  1387084  22.41
  1940          49     0.01086  0.01080  0.50   61097     660   60767  1325584  21.70
  1940          50     0.01547  0.01535  0.50   60437     928   59973  1264817  20.93
  1940          51     0.01378  0.01369  0.50   59510     815   59102  1204843  20.25
  1940          52     0.01458  0.01448  0.50   58695     850   58270  1145741  19.52
  1940          53     0.01477  0.01466  0.50   57845     848   57421  1087471  18.80
  1940          54     0.01753  0.01738  0.50   56997     991   56502  1030050  18.07
  1940          55     0.01913  0.01895  0.50   56006    1062   55475   973549  17.38
  1940          56     0.02082  0.02061  0.50   54945    1132   54379   918073  16.71
  1940          57     0.02042  0.02021  0.50   53812    1088   53269   863695  16.05
  1940          58     0.02436  0.02407  0.50   52725    1269   52090   810426  15.37
  1940          59     0.02004  0.01984  0.50   51456    1021   50945   758336  14.74
  1940          60     0.02927  0.02885  0.50   50435    1455   49707   707391  14.03
  1940          61     0.02624  0.02590  0.50   48980    1269   48345   657684  13.43
  1940          62     0.03118  0.03070  0.50   47711    1465   46979   609339  12.77
