Russia, Life tables (period 1x1), Females     Last modified: 18-Nov-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0     0.03758  0.03642  0.16  100000    3642   96934  7114424  71.14
  1959           1     0.00638  0.00636  0.50   96358     612   96051  7017490  72.83
  1959           2     0.00251  0.00251  0.50   95745     240   95625  6921439  72.29
  1959           3     0.00161  0.00161  0.50   95505     154   95428  6825814  71.47
  1959           4     0.00122  0.00122  0.50   95351     116   95293  6730386  70.59
  1959           5     0.00104  0.00104  0.50   95234      99   95185  6635094  69.67
  1959           6     0.00096  0.00096  0.50   95135      91   95089  6539909  68.74
  1959           7     0.00081  0.00081  0.50   95044      77   95005  6444820  67.81
  1959           8     0.00077  0.00077  0.50   94966      73   94930  6349815  66.86
  1959           9     0.00062  0.00062  0.50   94893      59   94864  6254885  65.91
  1959          10     0.00070  0.00070  0.50   94835      66   94802  6160021  64.96
  1959          11     0.00052  0.00052  0.50   94768      49   94744  6065219  64.00
  1959          12     0.00067  0.00067  0.50   94719      64   94687  5970476  63.03
  1959          13     0.00068  0.00068  0.50   94655      65   94623  5875789  62.08
  1959          14     0.00073  0.00073  0.50   94591      69   94556  5781166  61.12
  1959          15     0.00084  0.00084  0.50   94522      79   94482  5686609  60.16
  1959          16     0.00071  0.00070  0.50   94442      67   94409  5592127  59.21
  1959          17     0.00089  0.00089  0.50   94376      84   94334  5497718  58.25
  1959          18     0.00110  0.00110  0.50   94292     104   94240  5403385  57.31
  1959          19     0.00106  0.00106  0.50   94188     100   94138  5309145  56.37
  1959          20     0.00128  0.00128  0.50   94088     120   94028  5215007  55.43
  1959          21     0.00105  0.00105  0.50   93968      99   93919  5120979  54.50
  1959          22     0.00129  0.00128  0.50   93869     121   93809  5027060  53.55
  1959          23     0.00129  0.00129  0.50   93748     121   93688  4933251  52.62
  1959          24     0.00130  0.00130  0.50   93628     122   93567  4839563  51.69
  1959          25     0.00135  0.00134  0.50   93506     126   93443  4745997  50.76
  1959          26     0.00132  0.00132  0.50   93380     123   93318  4652554  49.82
  1959          27     0.00140  0.00140  0.50   93257     131   93191  4559236  48.89
  1959          28     0.00147  0.00147  0.50   93126     137   93058  4466045  47.96
  1959          29     0.00136  0.00136  0.50   92989     126   92926  4372987  47.03
  1959          30     0.00175  0.00175  0.50   92863     162   92781  4280061  46.09
  1959          31     0.00144  0.00144  0.50   92700     134   92633  4187280  45.17
  1959          32     0.00180  0.00179  0.50   92567     166   92484  4094646  44.23
  1959          33     0.00171  0.00171  0.50   92401     158   92322  4002163  43.31
  1959          34     0.00179  0.00179  0.50   92243     165   92160  3909841  42.39
  1959          35     0.00217  0.00216  0.50   92078     199   91978  3817680  41.46
  1959          36     0.00196  0.00196  0.50   91879     180   91789  3725702  40.55
  1959          37     0.00218  0.00218  0.50   91699     200   91599  3633913  39.63
  1959          38     0.00263  0.00263  0.50   91499     240   91379  3542314  38.71
  1959          39     0.00212  0.00212  0.50   91259     193   91162  3450935  37.81
  1959          40     0.00297  0.00297  0.50   91066     270   90931  3359773  36.89
  1959          41     0.00243  0.00243  0.50   90795     221   90685  3268842  36.00
  1959          42     0.00315  0.00315  0.50   90575     285   90432  3178157  35.09
  1959          43     0.00292  0.00291  0.50   90290     263   90158  3087725  34.20
  1959          44     0.00309  0.00308  0.50   90026     278   89888  2997567  33.30
  1959          45     0.00377  0.00376  0.50   89749     338   89580  2907679  32.40
