Russia, Life tables (period 1x1), Males     Last modified: 18-Nov-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0     0.04662  0.04489  0.17  100000    4489   96275  6284074  62.84
  1959           1     0.00680  0.00678  0.50   95511     648   95188  6187799  64.79
  1959           2     0.00271  0.00270  0.50   94864     256   94736  6092611  64.22
  1959           3     0.00181  0.00181  0.50   94607     171   94522  5997875  63.40
  1959           4     0.00157  0.00157  0.50   94437     148   94363  5903353  62.51
  1959           5     0.00136  0.00136  0.50   94289     128   94225  5808991  61.61
  1959           6     0.00137  0.00137  0.50   94160     129   94096  5714766  60.69
  1959           7     0.00132  0.00132  0.50   94031     124   93969  5620671  59.77
  1959           8     0.00127  0.00127  0.50   93907     119   93847  5526702  58.85
  1959           9     0.00098  0.00098  0.50   93788      92   93742  5432855  57.93
  1959          10     0.00113  0.00113  0.50   93696     106   93643  5339113  56.98
  1959          11     0.00081  0.00081  0.50   93590      76   93552  5245470  56.05
  1959          12     0.00097  0.00097  0.50   93514      91   93468  5151919  55.09
  1959          13     0.00089  0.00089  0.50   93423      83   93381  5058450  54.15
  1959          14     0.00106  0.00106  0.50   93340      99   93290  4965069  53.19
  1959          15     0.00112  0.00112  0.50   93241     105   93189  4871779  52.25
  1959          16     0.00123  0.00123  0.50   93136     114   93079  4778590  51.31
  1959          17     0.00169  0.00169  0.50   93022     157   92944  4685510  50.37
  1959          18     0.00212  0.00212  0.50   92865     197   92767  4592567  49.45
  1959          19     0.00193  0.00193  0.50   92668     179   92579  4499800  48.56
  1959          20     0.00227  0.00227  0.50   92489     210   92384  4407221  47.65
  1959          21     0.00197  0.00197  0.50   92279     182   92188  4314837  46.76
  1959          22     0.00253  0.00252  0.50   92097     232   91981  4222649  45.85
  1959          23     0.00277  0.00277  0.50   91865     254   91738  4130667  44.96
  1959          24     0.00286  0.00286  0.50   91611     262   91480  4038929  44.09
  1959          25     0.00299  0.00298  0.50   91349     272   91213  3947449  43.21
  1959          26     0.00287  0.00287  0.50   91077     261   90946  3856237  42.34
  1959          27     0.00309  0.00309  0.50   90816     280   90675  3765290  41.46
  1959          28     0.00337  0.00336  0.50   90535     304   90383  3674615  40.59
