Slovakia, Life tables (period 1x1), Females     Last modified: 11-Feb-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1950           0     0.10888  0.10168  0.35  100000   10168   93391  6254610  62.55
  1950           1     0.00971  0.00966  0.50   89832     868   89398  6161219  68.59
  1950           2     0.00335  0.00335  0.50   88964     298   88815  6071821  68.25
  1950           3     0.00205  0.00205  0.50   88666     182   88575  5983006  67.48
  1950           4     0.00110  0.00110  0.50   88484      97   88436  5894431  66.62
  1950           5     0.00101  0.00101  0.50   88387      89   88342  5805995  65.69
  1950           6     0.00099  0.00099  0.50   88298      87   88254  5717652  64.75
  1950           7     0.00123  0.00123  0.50   88211     109   88156  5629398  63.82
  1950           8     0.00085  0.00085  0.50   88102      75   88065  5541242  62.90
  1950           9     0.00065  0.00065  0.50   88027      57   87999  5453177  61.95
  1950          10     0.00096  0.00096  0.50   87970      84   87928  5365178  60.99
  1950          11     0.00085  0.00085  0.50   87886      75   87848  5277250  60.05
  1950          12     0.00066  0.00066  0.50   87811      58   87782  5189402  59.10
  1950          13     0.00081  0.00081  0.50   87753      71   87718  5101620  58.14
  1950          14     0.00070  0.00070  0.50   87682      61   87652  5013902  57.18
  1950          15     0.00097  0.00097  0.50   87621      85   87579  4926251  56.22
  1950          16     0.00182  0.00182  0.50   87536     159   87456  4838672  55.28
  1950          17     0.00191  0.00191  0.50   87377     167   87293  4751216  54.38
  1950          18     0.00187  0.00187  0.50   87210     163   87128  4663922  53.48
  1950          19     0.00209  0.00208  0.50   87047     181   86956  4576794  52.58
  1950          20     0.00256  0.00256  0.50   86865     222   86754  4489838  51.69
  1950          21     0.00240  0.00240  0.50   86643     208   86539  4403083  50.82
  1950          22     0.00306  0.00306  0.50   86435     264   86303  4316544  49.94
  1950          23     0.00253  0.00253  0.50   86171     218   86062  4230241  49.09
  1950          24     0.00252  0.00252  0.50   85953     217   85845  4144179  48.21
  1950          25     0.00203  0.00203  0.50   85736     174   85650  4058334  47.33
  1950          26     0.00320  0.00319  0.50   85563     273   85426  3972685  46.43
  1950          27     0.00221  0.00221  0.50   85289     188   85195  3887259  45.58
  1950          28     0.00247  0.00247  0.50   85101     210   84996  3802064  44.68
  1950          29     0.00290  0.00290  0.50   84891     246   84768  3717068  43.79
  1950          30     0.00296  0.00296  0.50   84645     251   84520  3632300  42.91
  1950          31     0.00262  0.00262  0.50   84394     221   84284  3547780  42.04
  1950          32     0.00233  0.00233  0.50   84173     196   84075  3463496  41.15
  1950          33     0.00280  0.00279  0.50   83977     235   83860  3379421  40.24
  1950          34     0.00245  0.00244  0.50   83743     205   83640  3295561  39.35
  1950          35     0.00328  0.00328  0.50   83538     274   83401  3211921  38.45
  1950          36     0.00175  0.00175  0.50   83264     146   83191  3128520  37.57
  1950          37     0.00357  0.00356  0.50   83119     296   82971  3045329  36.64
  1950          38     0.00343  0.00342  0.50   82823     283   82681  2962358  35.77
  1950          39     0.00305  0.00305  0.50   82539     252   82414  2879677  34.89
  1950          40     0.00371  0.00370  0.50   82288     305   82136  2797264  33.99
  1950          41     0.00313  0.00312  0.50   81983     256   81855  2715128  33.12
  1950          42     0.00327  0.00327  0.50   81727     267   81593  2633273  32.22
  1950          43     0.00422  0.00421  0.50   81460     343   81288  2551680  31.32
  1950          44     0.00400  0.00399  0.50   81117     324   80955  2470391  30.45
  1950          45     0.00397  0.00396  0.50   80793     320   80633  2389436  29.57
  1950          46     0.00450  0.00449  0.50   80473     362   80292  2308804  28.69
  1950          47     0.00587  0.00585  0.50   80111     468   79877  2228511  27.82
  1950          48     0.00487  0.00485  0.50   79643     387   79450  2148634  26.98
  1950          49     0.00602  0.00600  0.50   79256     476   79018  2069185  26.11
  1950          50     0.00673  0.00671  0.50   78780     529   78516  1990166  25.26
  1950          51     0.00544  0.00543  0.50   78252     425   78040  1911650  24.43
  1950          52     0.00884  0.00880  0.50   77827     685   77485  1833611  23.56
  1950          53     0.00716  0.00713  0.50   77142     550   76867  1756126  22.76
  1950          54     0.01026  0.01021  0.50   76592     782   76201  1679259  21.92
  1950          55     0.01137  0.01130  0.50   75810     857   75382  1603057  21.15
  1950          56     0.00974  0.00970  0.50   74954     727   74590  1527675  20.38
  1950          57     0.01288  0.01280  0.50   74227     950   73752  1453085  19.58
  1950          58     0.01225  0.01217  0.50   73276     892   72831  1379334  18.82
  1950          59     0.01417  0.01407  0.50   72385    1018   71875  1306503  18.05
  1950          60     0.01645  0.01632  0.50   71366    1165   70784  1234628  17.30
  1950          61     0.01577  0.01565  0.50   70202    1098   69652  1163844  16.58
  1950          62     0.02035  0.02015  0.50   69103    1392   68407  1094192  15.83
  1950          63     0.02142  0.02120  0.50   67711    1435   66994  1025784  15.15
  1950          64     0.02233  0.02209  0.50   66276    1464   65544   958791  14.47
